0,1
DB00395,P17658
DB01210,P18089
DB01236,P09874
DB00721,Q8N159
DB00201,P00441
DB01189,P21796
DB01583,O60840
DB08916,Q9UKI8
DB08604,P03372
DB00143,P04217
DB11348,P42261
DB00633,Q9Y6J6
DB13269,P28223
DB00296,O60939
DB01101,Q12882
DB00454,P15559
DB01138,P28472
DB08893,P34969
DB00367,P50453
DB00277,P46939
DB11181,Q01668
DB00898,P14410
DB01063,P30542
DB00726,O95665
DB00751,P05177
DB01238,Q9Y617
DB01593,Q92953
DB03754,P06396
DB00831,P02649
DB09092,P16219
DB01239,Q8IWT1
DB01337,P18507
DB01086,Q02641
DB01205,P28221
DB00333,Q9Y6J6
DB00898,P08697
DB00443,Q8WXS5
DB08950,Q9H252
DB11633,P02708
DB00565,P18507
DB13346,O14788
DB11718,P41240
DB14001,P33527
DB00699,P05412
DB00383,Q01118
DB00731,O60939
DB12404,P62955
DB06237,Q06187
DB08881,P36897
DB09118,P22626
DB01241,Q9UNQ0
DB00630,P29350
DB09351,P21918
DB00952,P08172
DB00434,O95264
DB00179,P05177
DB00870,Q9HBA0
DB01254,Q9NRP7
DB00574,P04040
DB00711,P07498
DB01211,P05771
DB03754,P11142
DB01353,P28472
DB12978,Q9BUB5
DB00877,P01133
DB09061,P55055
DB01698,O94788
DB08860,P00325
DB00376,Q9Y5Y9
DB01104,Q07699
DB01621,P28335
DB13953,P14923
DB00849,P52429
DB00536,P23368
DB00261,O60658
DB00315,P18825
DB06800,O15554
DB09140,P62508
DB00374,P43088
DB01624,Q00653
DB00295,Q12791
DB00425,P36544
DB00153,Q12809
DB01577,Q9UBL9
DB06595,Q12866
DB14489,P15880
DB09130,O95299
DB06151,Q15878
DB00496,P06276
DB00950,P18505
DB01621,P18507
DB00590,O95298
DB00882,P08700
DB00849,P35498
DB00241,P23415
DB00376,P35372
DB01156,P27338
DB00421,P63316
DB13751,P55211
DB01595,Q07699
DB13179,Q96KK3
DB01440,Q01959
DB00568,P05177
DB09401,O75469
DB06787,Q9H252
DB09148,P06870
DB04843,Q99928
DB06151,P30044
DB05316,Q96G91
DB00201,P28223
DB00201,P21554
DB04898,Q9BQB6
DB01080,P11177
DB00351,Q9BXT2
DB08871,P10636
DB00142,Q9NPC2
DB01124,P18825
DB13956,P22830
DB00688,P10515
DB00363,P11473
DB01181,Q9H3M0
DB00203,Q13237
DB11235,P02708
DB08911,Q16620
DB06691,O15547
DB00151,P15104
DB00518,Q9UJT1
DB08911,Q9UIK4
DB00744,P33981
DB15566,P30968
DB01395,P09525
DB12978,Q15759
DB00795,P57059
DB00255,P05546
DB00517,P48169
DB00247,Q14654
DB12141,P35590
DB01576,P18846
DB09517,Q06323
DB01259,P19784
DB00316,P25024
DB00630,P12235
DB00575,Q8IWT1
DB00721,Q70Z44
DB06016,P49888
DB08911,O76074
DB00668,P06858
DB01189,P41250
DB11219,P04217
DB00239,P11137
DB01620,P42261
DB00697,P16581
DB01209,O15399
DB01559,P28335
DB01320,P18825
DB09371,P01591
DB00756,P00450
DB04898,P07237
DB01185,P18507
DB00276,Q9H2S1
DB01203,O60840
DB06825,P03372
DB06176,P06396
DB00370,Q9Y257
DB01136,O60840
DB14507,P48664
DB14001,P08686
DB12483,P14616
DB13346,P25101
DB00867,P48050
DB00769,P07288
DB00839,P51787
DB01128,Q16445
DB11235,Q96G91
DB06757,O00217
DB01325,Q9Y666
DB09555,Q8TDN2
DB01028,Q14032
DB01138,P18505
DB00143,P09417
DB00877,P06239
DB00418,P51787
DB00142,Q9Y6M9
DB00436,P35498
DB01246,O15547
DB00143,Q9Y697
DB00740,O15547
DB00816,P06276
DB01024,P00338
DB00570,P23560
DB08918,P21728
DB00193,O95263
DB00401,Q15825
DB00593,P35348
DB00942,O15554
DB04920,Q14524
DB00367,O60656
DB00142,P49589
DB08882,P04035
DB00869,P05089
DB11901,Q8NET8
DB00629,Q15842
DB12500,Q02763
DB00287,P43119
DB01625,P48547
DB12332,P02649
DB00382,P11229
DB00964,P35372
DB00157,P14920
DB08911,Q13873
DB14487,P02675
DB08820,Q15842
DB00580,P05089
DB00825,Q96L42
DB06213,Q14123
DB01205,Q96L42
DB00910,O15440
DB00804,Q9ULD8
DB09213,P01042
DB04575,P41143
DB00391,P54284
DB00268,P18507
DB00328,Q9P0J0
DB04843,Q9UJ90
DB05990,P04054
DB06249,Q13547
DB00574,P34969
DB13345,P78508
DB00756,P35498
DB00170,P35858
DB01197,O15304
DB14487,P00738
DB00915,P30542
DB05260,Q9UI12
DB00423,P27338
DB06218,P63252
DB06077,Q15842
DB00203,Q2M2I8
DB00360,Q9UQ05
DB01213,P10606
DB00233,P12004
DB00550,P10827
DB01327,O75880
DB00509,Q86YN6
DB00975,Q12851
DB00244,P23786
DB00657,O00519
DB00874,P41250
DB03756,P34972
DB00179,Q8TBX8
DB00915,Q7Z3S7
DB00574,P10635
DB01095,P07327
DB04843,O95259
DB15598,P10828
DB00690,Q15878
DB11348,P60842
DB00794,O15382
DB00191,Q12791
DB00373,O60840
DB00957,P62508
DB00244,Q59H18
DB00633,Q9UNX9
DB01039,Q96S37
DB00663,P09525
DB00233,P15502
DB00482,Q9H2X6
DB01325,P13569
DB00961,Q9NY46
DB13952,Q9NY46
DB00696,P0DP23
DB13955,P22792
DB09082,P18846
DB00197,P29322
DB00823,P26439
DB01017,P01106
DB00241,P28222
DB04896,P41143
DB00746,P02655
DB00513,P00338
DB01199,P21397
DB00159,Q04828
DB01628,P10635
DB00408,P47869
DB01280,Q9NRF9
DB00408,Q16620
DB09119,Q9UQD0
DB06267,P00533
DB00458,O95298
DB01620,Q99572
DB00590,P56373
DB01440,Q8TCU5
DB00169,Q9BXT2
DB00957,P22792
DB14845,Q08881
DB06077,P27338
DB00605,P03897
DB00745,Q13639
DB06626,Q9UPZ9
DB06694,P21397
DB01159,P16615
DB00162,Q16798
DB14491,P23246
DB00201,Q99759
DB01438,P18089
DB00860,Q8WXS5
DB00798,Q16795
DB00396,O14791
DB00421,P00915
DB00539,P08700
DB00402,Q99720
DB01420,P28223
DB11828,P14616
DB01426,P16389
DB01592,P19021
DB00266,P20815
DB00533,P37231
DB01226,Q86U10
DB09061,P13995
DB00574,P48039
DB00838,Q7Z3S7
DB00711,P99999
DB08910,P21554
DB00367,O14618
DB00804,Q02641
DB11738,P28221
DB01611,P01375
DB14583,P41145
DB05316,Q9Y6H6
DB00424,P28472
DB00861,Q9UGJ0
DB01121,P35218
DB06176,P05109
DB06710,P05067
DB09555,Q99928
DB15035,P46734
DB00320,P15336
DB11691,P04629
DB01017,P51843
DB01708,P07357
DB01245,Q14542
DB00928,Q8TCU5
DB00823,P05067
DB00481,Q14457
DB01110,P62955
DB09371,Q9UBN1
DB01337,Q9H252
DB00477,P47869
DB01438,P02708
DB00940,P18825
DB00388,O14764
DB00751,O95644
DB06751,Q16099
DB01189,P03923
DB00816,P01100
DB00750,P25100
DB00768,P04406
DB01174,P48050
DB00648,P11678
DB01177,Q14978
DB12001,P53779
DB11823,P30291
DB00143,P13631
DB00775,P10827
DB03147,P03915
DB04896,O15067
DB00657,O95180
DB00975,O95263
DB01226,Q96KK3
DB00797,O95259
DB00897,Q9UK17
DB00884,P55211
DB00532,P11229
DB04272,Q9Y5Y4
DB00383,P41145
DB00590,P08686
DB08871,P27338
DB01183,P42261
DB00783,P48051
DB00182,P29274
DB09140,P51161
DB00114,P68871
DB00753,P36955
DB06800,P28335
DB14487,P02679
DB01189,P17516
DB00989,P49585
DB00945,P02795
DB00482,O75914
DB00408,Q8NER1
DB03756,P21554
DB00316,P98066
DB13751,Q9BYF1
DB01128,P10109
DB03147,Q8TCU5
DB00945,O14791
DB00415,P06493
DB00990,Q15822
DB00541,P17174
DB01327,P02743
DB00653,Q9H8P0
DB01620,P09211
DB00454,Q9UQD0
DB00143,P07437
DB09300,Q99572
DB00740,P28223
DB00313,Q13698
DB01280,P00491
DB00454,P24311
DB06204,P48058
DB08906,O75469
DB00190,Q9Y617
DB06764,O14764
DB00227,P03915
DB00914,P42684
DB01028,Q13547
DB08911,P04629
DB06695,P03372
DB00571,Q07869
DB00415,Q4U2R8
DB00862,Q15569
DB00221,P17405
DB11738,Q9Y6H6
DB00849,Q9Y5S1
DB00687,Q08289
DB01045,P05129
DB00834,P35228
DB00279,P35368
DB00309,O75469
DB01337,P09211
DB01014,Q8NFD2
DB05271,Q96KK3
DB01041,P36897
DB00281,O15146
DB14845,Q7KZI7
DB11986,P42679
DB00945,P16070
DB00918,O14764
DB04838,P28472
DB00203,P16499
DB04817,Q16678
DB01708,P07814
DB01588,Q9Y6H6
DB01274,P21918
DB00118,Q9BYV1
DB01251,P28335
DB00897,P23415
DB03088,P14780
DB09462,P51649
DB06825,P06401
DB01229,P48547
DB00810,Q01064
DB14575,Q96PR1
DB00337,P35968
DB01125,P48506
DB01595,Q9UBS5
DB01057,P28335
DB01151,Q9HBA0
DB00372,Q70Z44
DB01592,P01591
DB01392,Q12879
DB00247,P61024
DB09351,Q13639
DB00975,P07711
DB00436,Q6FHJ7
DB01018,P01375
DB00530,P17252
DB06710,P18507
DB01339,Q9Y698
DB04908,Q13639
DB01213,P51970
DB00201,P17948
DB00741,P09525
DB00710,P29074
DB01090,P14598
DB13995,P07360
DB14509,P05129
DB00630,Q13488
DB09053,Q06418
DB00845,P30542
DB01283,P10635
DB00912,P36544
DB01161,Q96KK3
DB00481,Q05513
DB12015,Q14123
DB00690,Q96L42
DB00347,Q9UNX9
DB01028,O95264
DB00912,O95342
DB09054,Q6PHR2
DB00721,P48050
DB00241,P18825
DB00995,P42680
DB06213,Q15858
DB01168,Q8IWT1
DB01014,O43353
DB01179,P01019
DB00849,P48058
DB00908,P37231
DB00157,O75911
DB01128,Q04759
DB09212,Q9Y5Y4
DB00312,P41250
DB08896,P06213
DB01056,Q08289
DB00637,O43193
DB08865,P30291
DB00987,Q9GZT9
DB01621,P16389
DB03147,O15239
DB01070,Q9P0X4
DB00498,P38435
DB00255,P00414
DB00332,P23415
DB00604,Q92731
DB11712,Q07869
DB01195,Q99720
DB00331,O00519
DB08911,P42684
DB00143,Q9P0X4
DB00850,Q99705
DB00191,P37231
DB14490,Q02809
DB00897,P48167
DB13257,P20851
DB00233,P07498
DB00283,Q9Y6J6
DB00408,P78334
DB00874,O95954
DB00312,Q9UJ90
DB11235,Q01668
DB05260,Q99437
DB01253,Q02641
DB13953,P00533
DB01259,O95747
DB01242,P46098
DB01403,Q8TDN2
DB09280,P07204
DB01192,P03372
DB08901,O75914
DB01159,Q16878
DB01208,P68366
DB01224,Q8N1C3
DB01063,P41595
DB00563,Q16795
DB11619,P05546
DB00405,P47898
DB01586,P30837
DB08896,Q13554
DB01618,O60840
DB00335,P05412
DB01131,P12268
DB06757,P02765
DB00715,P35462
DB08950,Q96G91
DB01138,P63252
DB01159,P69905
DB04573,P22792
DB04832,Q16558
DB00717,Q15596
DB11219,Q92753
DB00619,P24941
DB00514,Q96L42
DB00820,P53779
DB00898,P21728
DB14487,Q9Y2Q3
DB00163,Q15878
DB00854,Q16678
DB01353,P00846
DB00231,Q06432
DB00237,O75762
DB00243,P18405
DB00513,P11021
DB00134,Q8IVH4
DB08912,P36897
DB14489,Q8IVL5
DB06701,P25103
DB09213,P09874
DB09185,P35367
DB04843,Q9NPA1
DB00753,P00738
DB00262,P04264
DB00612,P60568
DB01135,Q8IWT1
DB00244,Q96SW2
DB13257,P02794
DB04844,P28222
DB01169,P00748
DB00169,Q08289
DB00530,P06241
DB01327,P05067
DB00877,Q9Y4K4
DB00142,P07195
DB00672,Q15842
DB00968,P21397
DB00514,Q06432
DB11689,Q14680
DB09118,Q92731
DB00776,Q01668
DB00598,P48549
DB00323,Q9HBK9
DB00163,P35498
DB08910,Q08499
DB00844,P18507
DB09061,Q9UN88
DB00145,Q99735
DB12483,Q15139
DB00679,Q16678
DB00412,Q16654
DB01028,P62807
DB00850,Q12809
DB09205,Q9Y257
DB11181,Q12879
DB00277,P33527
DB00619,P35367
DB01014,Q13554
DB00854,O60840
DB00617,Q14722
DB00215,Q03721
DB00130,O00222
DB11730,Q15746
DB13872,P17787
DB00908,P30542
DB00940,P48169
DB01325,Q02641
DB01188,P02787
DB00903,Q9H4Y5
DB15982,P02787
DB01174,Q07075
DB01014,P11021
DB00996,Q9H8P0
DB01586,P24310
DB00588,Q01668
DB06151,P19440
DB11837,P08235
DB00854,Q9H252
DB06288,P41145
DB00988,P42263
DB00563,O75489
DB00227,Q92781
DB09555,P14867
DB00530,Q15878
DB11823,Q9NS40
DB09129,P36507
DB13956,P10415
DB00344,P28221
DB00318,P07550
DB00270,P17787
DB06751,Q14003
DB00255,Q02221
DB00825,Q14524
DB01062,P56373
DB06637,P30049
DB00714,P21554
DB14507,Q9UPY5
DB01028,Q16795
DB00457,Q05655
DB00014,P13500
DB00496,P23415
DB09130,Q92953
DB12010,P99999
DB00580,O14842
DB01595,Q9UF02
DB00624,P16083
DB00397,Q9UI33
DB09061,P21589
DB00184,P46098
DB01129,O94760
DB00248,P35869
DB00657,Q13936
DB00590,Q05513
DB00323,Q00266
DB00752,Q9Y5Y9
DB00191,Q15067
DB00574,Q14524
DB08865,Q16512
DB01239,Q12809
DB14754,P30542
DB00811,Q13423
DB14491,Q32P28
DB08814,O95259
DB00810,P36544
DB00454,P04629
DB00572,P04196
DB06287,P35590
DB00947,Q0VD83
DB00201,P07203
DB00573,P78334
DB04896,P48169
DB06684,P01303
DB05990,P00414
DB14487,Q9UGN5
DB00367,Q00987
DB05381,O95665
DB09053,P68400
DB00680,P43681
DB00187,P35348
DB01345,P06870
DB00292,P08100
DB00392,P08243
DB01192,P30542
DB11855,P47869
DB06589,Q13523
DB00391,P18507
DB00119,P50747
DB08865,P04629
DB06249,P11474
DB11994,P19440
DB02530,P34896
DB11081,P51970
DB00789,P35367
DB11581,Q9H4B7
DB01108,P00326
DB09481,Q8NCM2
DB01114,P41231
DB14185,P48167
DB00354,P41143
DB00914,P42679
DB00679,Q9H2S1
DB00953,P31644
DB14002,P07288
DB01698,P51649
DB06287,Q96D53
DB00370,P48547
DB00968,Q9BYV1
DB00795,Q13255
DB00418,P28223
