0,1
DB13943,P08235
DB00333,P43681
DB00763,P07202
DB01119,P00918
DB01708,Q99720
DB11901,P34903
DB00381,P00915
DB01205,P34903
DB00461,P35354
DB14533,P31151
DB00935,P18825
DB12278,P35348
DB00563,P04818
DB00142,P39086
DB00308,O00180
DB09089,Q13698
DB01956,P78334
DB00475,P18505
DB00981,P43681
DB08896,P11362
DB01043,P14416
DB08901,P11362
DB14533,P00738
DB00661,O00555
DB06217,P22460
DB01223,P30542
DB00387,P11229
DB00402,P14867
DB00696,P08908
DB01244,O95180
DB00342,P08172
DB12147,P22455
DB00306,O14764
DB13954,Q92731
DB00143,Q03013
DB01236,P28472
DB00157,P53004
DB00477,P18825
DB09130,P35858
DB00184,Q15822
DB00604,P28223
DB00934,P28223
DB00907,Q9NY46
DB12010,Q99808
DB00153,Q01668
DB06637,P17658
DB12404,Q8N1C3
DB01062,P20309
DB00920,P35367
DB00848,P32297
DB01212,Q8TCC7
DB00897,O14764
DB00519,P12821
DB14487,P35908
DB00157,P30043
DB14487,P00736
DB00244,P35354
DB09130,P17174
DB01593,P81605
DB14487,P14780
DB00334,P28223
DB00777,P08912
DB01589,P47870
DB01159,P23634
DB00692,P35348
DB01016,O60706
DB00656,P31645
DB08818,P05362
DB01221,P06276
DB05521,Q9Y6L6
DB01593,P27169
DB01239,P35462
DB00989,P06276
DB00851,P52209
DB00142,O14841
DB06216,P47898
DB01558,Q9UN88
DB00502,Q05940
DB00941,P06276
DB01036,P11229
DB06701,P23975
DB00157,P30837
DB01593,Q14624
DB12010,P54756
DB09089,O60840
DB00812,Q16647
DB04908,P28223
DB08828,Q99835
DB11855,P11229
DB05271,P35462
DB14487,P07360
DB01558,P47869
DB00753,Q9UN88
DB13955,Q15596
DB00132,Q9NXB9
DB06144,P35368
DB00313,Q8IWT1
DB14975,P69905
DB01016,O95477
DB12010,P06239
DB09130,P04004
DB09236,O60840
DB01577,P18089
DB00523,P10276
DB06802,P35354
DB00726,P08173
DB00408,P35462
DB00898,P42262
DB01149,P31645
DB01392,P28221
DB12010,P41240
DB01159,Q01814
DB09061,P10635
DB00145,Q9P0Z9
DB00472,P61024
DB01185,P80365
DB00312,P28472
DB00849,P48169
DB00210,O60603
DB01248,O75469
DB00321,P28335
DB01069,P51582
DB01359,P08908
DB00477,P28223
DB00449,P08913
DB00805,P14416
DB01200,P25100
DB01233,P14416
DB00907,Q01118
DB00591,P04150
DB01559,P47869
DB01092,P13637
DB12371,Q9H228
DB14487,P04075
DB00162,P41222
DB01074,P50416
DB00909,P07451
DB09061,Q9P0X4
DB00528,Q06432
DB00350,P48048
DB00862,P18545
DB00794,P28472
DB01428,Q92731
DB09064,Q07869
DB00975,P02763
DB00477,P08908
DB00726,P08172
DB00934,P08913
DB09238,O43497
DB00777,P08173
DB00392,P08172
DB09026,P00797
DB11186,P35372
DB04855,P10827
DB04839,P07288
DB00696,P14416
DB00677,P06276
DB00412,P48443
DB06716,P28472
DB00142,P43005
DB00333,Q12879
DB00714,P28335
DB06700,Q01959
DB06766,P35367
DB01250,P01579
DB00964,P18089
DB01239,P28221
DB01544,P28472
DB00865,P08913
DB03147,P27338
DB00228,Q9Y698
DB00242,P31350
DB01395,P04150
DB00540,P25100
DB15822,P09619
DB01224,P28222
DB01133,O95670
DB01069,Q9UQ05
DB14840,Q02763
DB00755,O94788
DB12010,Q9UQM7
DB09130,P08758
DB00114,P21549
DB00157,P00367
DB09477,P46663
DB01224,P46098
DB00228,Q9UJ90
DB01576,P18089
DB00675,P03372
DB06148,Q01959
DB00477,P35462
DB00659,P28472
DB01099,P26358
DB00908,P25100
DB00252,Q8N1C3
DB01593,P06702
DB04855,O00305
DB00972,P35367
DB00475,P48169
DB00721,Q9Y5Y9
DB00555,Q9Y5Y9
DB11994,P09917
DB00557,P35367
DB00142,Q8TCU5
DB00393,O00305
DB00555,P18507
DB00153,Q7Z3S7
DB09086,P03372
DB00805,P21397
DB01069,Q9H3M0
DB00697,P08913
DB00469,P23219
DB00721,Q8TCU5
DB01151,P07550
DB01069,Q9H252
DB00333,O60391
