0,1
DB00699,P31151
DB00836,P43003
DB01186,P02775
DB04339,Q14524
DB00812,Q15208
DB00915,P46597
DB01273,Q9HAB3
DB11386,P05543
DB00688,Q9BY32
DB11986,Q9P0X4
DB00580,P06401
DB00687,P68871
DB01218,P41240
DB00995,P18505
DB04890,Q13315
DB04837,Q9NP56
DB01589,O00217
DB00687,P01009
DB00572,P01375
DB00949,P56556
DB11348,Q9UF02
DB00680,Q9UKI8
DB00927,P02775
DB11633,Q9Y694
DB01047,P08183
DB00951,Q8TCU5
DB00554,P41231
DB00404,P31151
DB01142,P28329
DB00500,Q9UF02
DB00615,Q13547
DB00897,P16083
DB00899,P80404
DB00602,P21589
DB01367,P04181
DB01254,Q08499
DB00679,P00750
DB09076,Q9H1R3
DB11718,P12814
DB00801,P35590
DB06709,Q05397
DB06700,Q15418
DB06203,Q9NY46
DB00533,P38435
DB13995,Q16445
DB00356,O95182
DB00575,Q9H4B4
DB00935,Q99497
DB01236,P11802
DB00710,O15342
DB00292,Q00536
DB11079,Q13630
DB00537,P00915
DB04898,P00846
DB00209,P16220
DB00899,Q14542
DB00281,P04217
DB04573,O94804
DB01041,P00734
DB01239,P21802
DB00333,P14060
DB00573,P13500
DB00573,P31260
DB00392,Q8NFD2
DB00753,P10606
DB00521,Q9NR96
DB00237,Q8WYK2
DB11859,P00505
DB00368,P07203
DB11186,P57078
DB09074,P80192
DB06757,Q9H6Z9
DB08439,P20851
DB04890,Q12791
DB00721,O95182
DB00499,Q16620
DB00432,P00326
DB01173,Q9HBK9
DB06781,Q92781
DB03193,P54886
DB06757,P14920
DB00216,O76074
DB09214,P33527
DB01378,Q9NP56
DB01224,P07204
DB00143,P30613
DB00568,P29972
DB00991,P14920
DB00465,Q99712
DB03310,O76074
DB00363,O75116
DB01203,P27815
DB01403,Q6W5P4
DB13953,P27986
DB04839,Q8NEV4
DB09061,Q13574
DB00829,O15067
DB00209,P11474
DB00720,Q8NEY4
DB01085,P23560
DB01214,P04155
DB11591,P00533
DB01297,P26447
DB00528,Q15569
DB00214,P23634
DB00401,O75438
DB04938,O96017
DB06288,Q9H1R3
DB00628,P00747
DB04841,P02795
DB13269,P22570
DB06176,Q13237
DB00481,P21918
DB01215,Q02252
DB00368,Q14123
DB06710,P48051
DB01009,Q15822
DB01175,O14556
DB09078,O95180
DB01240,P17787
DB00320,Q03403
DB01616,Q9NPC2
DB01174,P04114
DB06155,Q96RQ9
DB00757,P11388
DB00910,Q92806
DB01086,P00395
DB06152,P15880
DB00715,P35858
DB00716,Q08426
DB09095,O14791
DB00279,P08514
DB01250,P21802
DB01357,P08253
DB01173,Q9H6Z9
