0,1
DB00934,P35368
DB11901,P31644
DB00371,P78334
DB00761,Q9Y666
DB00273,Q15878
DB13872,P18507
DB04898,P00734
DB08896,P35916
DB14487,P60174
DB11093,Q9ULB1
DB01160,P43119
DB13179,O75469
DB00903,P09211
DB14543,P04150
DB00841,P03372
DB00182,P13945
DB00708,P41143
DB01559,Q9UN88
DB11148,Q15878
DB00862,O76074
DB08918,P31645
DB13956,P37059
DB12010,P11802
DB00282,P14324
DB01403,P08912
DB01159,Q16445
DB01336,Q15822
DB00789,P52209
DB01154,Q15842
DB09085,Q92736
DB00237,P48058
DB14006,Q13393
DB00175,P04035
DB00157,P03923
DB04855,P48050
DB00157,P08319
DB00189,P18507
DB00641,P20701
DB11823,Q14957
DB01393,P37231
DB00834,P07288
DB01169,P05412
DB00157,P53004
DB00277,P29274
DB00433,P08913
DB13952,P37059
DB01427,P27815
DB12010,P29320
DB15685,P17948
DB01254,Q06187
DB01142,P31645
DB01136,P48050
DB00589,P18089
DB00502,P20309
DB00153,O43497
DB12010,P31152
DB09213,P13569
DB01174,Q8TCU5
DB00281,P35499
DB01159,P47869
DB12010,Q8NFD2
DB01427,P01375
DB00308,Q12809
DB00825,O60840
DB00806,P29274
DB01175,P11229
DB00243,Q08289
DB09225,P21728
DB00228,P31644
DB00555,Q16445
DB01115,Q9UK17
DB00753,O14764
DB01011,P15538
DB01151,P08173
DB14481,P80303
DB14487,P51693
DB12010,O95819
DB00162,P05090
DB00945,Q04828
DB00697,P18825
DB00334,P07550
DB00509,P10828
DB04821,P23975
DB14488,P02794
DB14517,P06870
DB01593,Q00987
DB11157,P35908
DB00421,P06401
DB00721,Q01959
DB01069,P35348
DB11093,O75340
DB01069,P16389
DB00622,P11229
DB14533,P49411
DB00371,O14764
DB01205,Q99928
DB08896,P00519
DB04930,P03372
DB00898,P30926
DB00898,P42261
DB00312,O60391
DB00843,P06276
DB01194,P22748
DB01593,P01591
DB15102,P22607
DB01238,P08908
DB00795,O14920
DB00477,P0DP23
DB09517,P69905
DB00252,P78334
DB00114,P00505
DB00964,P35348
DB00794,Q99928
DB03147,P09622
DB00458,P20309
DB00842,Q16445
DB01251,Q09428
DB00182,P35348
DB00777,P08912
DB13954,Q14457
DB14649,P04083
DB12010,Q9P2K8
DB01588,Q9UN88
DB00191,Q01959
DB11496,P07202
DB00297,P34995
DB00273,O00305
DB00861,P35354
DB00627,P49019
DB12404,Q99928
DB00119,Q9BYV1
DB00370,P41145
DB01591,P08172
DB00788,P35354
DB00270,Q13698
DB01708,Q14994
DB06701,P23975
DB13955,Q92731
DB00897,P47869
DB06781,P04150
DB00508,P21728
DB01189,Q16720
DB00360,P07101
DB14487,P02765
DB00277,Q92769
DB01608,P10275
DB12010,Q9Y463
DB12010,P06213
DB00822,P09172
DB00255,Q15596
DB00669,P28222
DB00360,P29474
DB01199,P46098
DB00313,Q15858
DB00714,P14416
DB00425,P14867
DB01392,P78508
DB02789,O00204
DB00848,P32297
DB00988,P46098
DB01222,P04083
DB00496,P11229
DB00715,P18825
DB01189,O75185
