0,1
DB13944,P10275
DB00340,P20309
DB00776,Q07699
DB01133,Q9Y487
DB01708,Q07869
DB11901,P10275
DB00393,O60840
DB01205,P78334
DB00475,P78334
DB14533,P02766
DB00941,P06276
DB12267,P08581
DB00568,Q13936
DB00143,Q7RTV2
DB00313,Q14524
DB09079,P21802
DB01956,Q9UN88
DB00480,P33151
DB00988,P31645
DB08871,Q9H4B7
DB01043,Q99928
DB08896,P11362
DB14533,P01042
DB00669,P08908
DB06216,P18089
DB01222,P04150
DB00395,P47870
DB00408,P14416
DB00706,P25100
DB01242,P28223
DB00357,P11511
DB12147,P11362
DB00312,Q14957
DB13954,Q99527
DB00151,P32929
DB01236,Q16445
DB00157,O95168
DB00490,P35368
DB09130,P02765
DB00189,Q99928
DB00606,P00918
DB00939,P35354
DB00909,Q14524
DB11995,Q8TCC7
DB00157,P37059
DB06626,P35916
DB12404,P34903
DB01065,P16083
DB00925,P35368
DB00852,P07550
DB01213,P00326
DB00898,P43681
DB00540,P35367
DB14487,P49908
DB00157,P51970
DB14487,P46736
DB00246,Q8WXA8
DB09130,P63244
DB01593,P00739
DB14487,P14780
DB00340,P08173
DB00794,P78334
DB01589,Q99928
DB01162,P01137
DB00696,P41595
DB01017,P45983
DB00659,O14764
DB08799,P35367
DB01221,P28222
DB05294,Q13882
DB01593,P08185
DB01239,P14416
DB01010,P22303
DB00854,P35372
DB00142,Q8TD30
DB06207,P25100
DB01558,P78334
DB00514,P13498
DB00945,P31152
DB01043,P34903
DB06694,P18825
DB00157,O95182
DB01593,P02538
DB12010,P54762
DB09079,P11362
DB00819,P29972
DB04864,P22303
DB08815,P14416
DB11853,P30968
DB05015,P56524
DB14487,P81605
DB01544,P28472
DB00768,P23297
DB13955,Q99527
DB00142,P17174
DB06077,P31645
DB00321,P28221
DB15035,Q06187
DB01017,P35228
DB12010,P53671
DB09130,Q07021
DB09213,P35354
DB01577,P18089
DB00540,P28335
DB06781,P04150
DB00740,Q9UPY5
DB00413,P35462
DB00898,Q99928
DB01151,P35368
DB01392,P18089
DB12010,O14578
DB01162,Q9H252
DB09061,P36544
DB00153,O00305
DB00477,P18825
DB01186,P28222
DB00315,P28223
DB00852,P18846
DB00228,P34903
DB01248,Q9H4B7
DB00333,Q8TCU5
DB01069,Q9NZV8
DB01359,P08588
DB00484,P18089
DB00458,P35367
DB00818,P48169
DB01205,P31644
DB01229,P10636
DB00909,Q07699
DB00598,P07550
DB01558,Q99928
DB01107,P48169
DB12278,P20309
DB14487,O14556
DB00182,Q05940
DB01087,P16083
DB00921,P41145
DB09026,P00797
DB00540,Q99720
DB00363,P35368
DB00874,Q14957
DB00800,P08913
DB01426,Q14524
DB09061,O95180
DB00988,P35462
DB00483,P08912
DB00737,Q14994
DB00939,O43525
DB09225,P14416
DB00794,O14764
DB00398,P35916
DB08910,P01375
DB11181,P11229
DB04855,Q12809
DB04820,P21964
DB00703,P00915
DB00683,O14764
DB00418,Q13224
DB06712,Q01668
DB00142,P54886
DB00334,Q99928
DB00715,P41595
DB06694,P18089
DB06751,Q13936
DB01248,P27816
DB00977,O75469
DB01239,P28222
DB01544,P34903
DB00875,P35348
DB03147,P15559
DB00231,Q99928
DB00243,P25100
DB01392,P41595
DB00543,P21917
DB15822,P11362
DB01223,Q14432
DB01136,Q16665
DB01076,P04035
DB14840,P16234
