0,1
DB09112,P02708
DB01067,P00742
DB01418,O43293
DB09216,P29074
DB01394,Q86YN6
DB01164,P02679
DB01192,Q16348
DB01348,P47869
DB04224,P02675
DB01166,Q16558
DB06713,P07741
DB00722,P62312
DB08880,Q13133
DB00276,P02818
DB00967,Q9NXB9
DB15444,Q9UIX4
DB01348,Q8N1C3
DB04832,P41180
DB01070,P0C0L5
DB00571,Q9UKG9
DB00118,P15056
DB00845,P05089
DB08897,P43353
DB11994,P31040
DB00285,Q9UGN5
DB04837,P49419
DB01198,Q9H228
DB01240,P22557
DB13953,Q9NVH6
DB11591,P56181
DB01099,P36896
DB00761,P22607
DB00956,P02753
DB01002,P14618
DB00306,P50579
DB15233,P51787
DB00396,Q96Q83
DB04868,P51553
DB14895,P22557
DB00497,P08069
DB09256,P0CG30
DB14489,P07451
DB09256,P05089
DB08799,P78559
DB00343,P98164
DB00946,Q9Y257
DB01430,O15382
DB00691,P16220
DB12483,P06733
DB02300,P01009
DB00518,P48051
DB01059,P02818
DB06287,P09960
DB14539,Q99623
DB00392,P17752
DB08875,P56524
DB00774,P98164
DB00179,P02748
DB14520,Q16620
DB01430,Q15418
DB01067,P50579
DB05812,O60568
DB00975,Q14833
DB01012,P35228
DB13873,P01133
DB00294,P11310
DB11817,P09525
DB04540,P09669
DB11581,P49189
DB00241,Q9HC29
DB00483,Q16760
DB06825,P54619
DB00360,P10696
DB00798,P01137
DB00239,P11216
DB00498,Q9UBV8
DB04540,Q13546
DB06155,Q15303
DB01053,P08185
DB11791,P14866
DB11560,Q9Y5K3
DB00388,P07359
DB04657,Q16678
DB01171,Q14541
DB13800,P0CG29
DB11978,O95139
DB00770,Q9BYF1
DB00471,P11926
DB00644,Q5S007
DB00892,Q9H6Z9
DB01275,P17948
DB15091,Q13303
DB00780,O15304
DB13800,O14842
DB00222,O15382
DB09131,Q9NS40
DB00998,Q9HCR9
DB09071,Q6YP21
DB09119,P11362
DB06716,Q16853
DB00584,P57078
DB00324,Q12866
DB00511,Q14032
DB06288,P23921
DB01436,P07711
DB00877,O00555
DB01296,P24530
DB09140,P04004
DB04871,P31151
DB01250,Q04912
DB02659,Q13370
DB11712,P35218
DB01193,P15814
DB00320,P04637
DB04817,P11388
DB04703,P41180
DB00981,P07355
DB14575,P01023
DB00603,P43115
DB00807,P60174
DB01025,O43617
DB01327,P19099
DB00217,Q02809
DB04843,Q13956
DB01626,O75936
DB01045,O94760
DB16019,P46734
DB00444,P51161
DB00905,P05091
DB09123,P13611
DB00119,Q13554
DB01436,P22607
DB01064,P20648
DB01165,O14965
DB00458,Q9Y5S8
DB00302,P21709
DB00807,P05546
DB11703,P00441
DB06412,O60706
DB01117,P15086
DB00910,P02649
DB00686,O75311
DB00918,Q10588
DB06174,P12268
DB00544,P09874
DB04843,P13611
DB04898,O00519
DB03585,P07550
DB04890,O75489
DB01056,O60494
DB01210,P62807
DB04953,P17516
DB00153,O75390
DB00575,Q9BTZ2
DB01394,Q99250
DB13949,Q9UJ96
DB12783,P48544
DB01339,P48728
DB00583,Q9Y697
DB00247,P35222
DB01059,P17612
DB14509,P25024
DB00145,Q9Y4U1
DB00896,Q9Y6L6
DB00390,P60568
DB00695,P09486
DB00400,P54756
DB01171,Q13237
DB00937,P02656
