0,1
DB04575,P03372
DB01025,Q99584
DB00418,P31644
DB08818,P13611
DB00619,P10721
DB00321,P35368
DB00753,P18505
DB13346,Q9UBN7
DB08896,Q15759
DB00794,P48169
DB15685,P17948
DB00715,P07550
DB00924,Q06278
DB01186,P28223
DB00241,P34903
DB00119,P14618
DB14533,P00450
DB04841,Q9P0X4
DB00690,Q8N1C3
DB00697,P35348
DB01365,P35368
DB00228,P18507
DB00328,P23219
DB11633,P51787
DB01221,P08172
DB00728,P08172
DB00898,P32297
DB00723,P25100
DB01254,Q16539
DB00849,P47869
DB01956,P18505
DB02701,P09874
DB09076,P08173
DB03756,P37231
DB00711,P23219
DB06216,P35348
DB04946,P35462
DB11577,P35869
DB01115,Q9P0X4
DB00559,P24530
DB00455,P35367
DB00321,Q12809
DB00712,P23219
DB11823,Q13224
DB00572,P23415
DB00606,P35218
DB00157,P07195
DB00247,P28223
DB11093,Q75N90
DB00273,P35498
DB00852,Q8WYK2
DB00862,O76074
DB09079,P35968
DB12010,P06241
DB00228,Q14722
DB00777,P14416
DB00703,P22748
DB01320,Q14524
DB00539,P03372
DB00940,P25021
DB00201,P42336
DB00126,O00469
DB00898,Q9UN88
DB01161,Q01959
DB00312,Q8N1C3
DB09089,P11229
DB00598,P35348
DB00313,P35498
DB01288,P07550
DB00610,P35348
DB01169,P05412
DB14185,P34969
DB08815,P08908
DB00514,P35372
DB00555,P41145
DB01268,P07333
DB00659,P34903
DB00157,O95178
DB01588,Q9UN88
DB14490,Q16595
DB04953,P56696
DB00543,Q99928
DB00555,P08588
DB13751,P01375
DB00333,P35372
DB01229,P11137
DB00627,Q15274
DB12010,O75716
DB13345,P18825
DB11348,Q9ULB1
DB14488,Q969S2
DB00983,P07550
DB15685,P11362
DB14487,P06396
DB09118,O14764
DB01588,Q8N1C3
DB12364,P00742
DB14481,P13693
DB01228,Q14524
DB00765,P07101
DB00688,P12268
DB09130,P01008
DB09053,Q06187
DB14487,O75636
DB01395,P10275
DB00547,P04150
DB01069,P08172
DB01407,P07550
DB00114,O94903
DB11986,O60674
DB00715,P31645
DB01133,P21281
DB00715,Q8WXA8
DB00312,Q14957
DB00404,P78334
DB00996,Q9NR82
DB00922,Q15842
DB01062,P11229
DB14533,P01308
DB01592,Q16595
DB01107,P47870
DB00418,P48169
DB00688,P20839
DB00404,P14867
DB12010,P42679
DB00554,P23219
DB00604,Q13639
DB06274,P41145
DB01050,P37231
DB00780,P21397
DB00589,P21728
DB12010,P53779
DB01036,P08173
DB09213,P31151
DB04574,Q92731
DB13867,P47712
DB01245,P22303
DB00745,Q01959
DB08896,P16234
DB01392,P14416
DB01032,Q8TCC7
DB04948,P35348
DB06712,P54289
DB00458,P21918
DB01593,P00748
DB00677,P02787
DB00549,Q9Y271
DB00157,O94788
DB14490,Q9BY41
DB01013,P04150
DB00599,O00519
DB13943,P10275
DB00312,Q05586
DB01065,P46597
DB01136,P08588
DB01215,P18505
DB01268,P36888
DB00823,P03372
DB00502,P18089
DB00818,P78334
DB00142,P08243
DB14001,O75469
DB04896,O15399
DB00842,Q8N1C3
DB00951,P10632
DB00726,P23975
DB01593,P60174
DB00540,P07550
DB14487,P00441
DB00228,Q7Z3S7
DB01559,P14867
DB01142,P35368
DB00186,P47869
DB12010,Q12851
DB01224,P21918
DB01118,O60840
DB01254,P00519
DB00777,P11229
DB00143,Q96SL4
DB01110,Q9Y6J6
DB00441,P04818
DB00945,P25101
DB00898,A5X5Y0
DB15233,P10721
DB01135,Q15822
DB00818,P18505
DB03796,Q07869
DB13873,Q9NPA2
DB00606,P07451
DB00835,P11229
DB01088,P34995
DB00555,Q15858
DB00751,P08913
DB01577,Q01959
DB00273,Q13002
DB09236,P54284
DB00843,P19838
DB01110,Q6PIU1
DB01593,P00441
DB01242,P28335
DB12941,P10275
DB01268,P35916
DB01226,Q15822
DB00153,Q9BXT2
DB01580,P08588
DB00852,P15336
DB00376,P08173
DB00776,Q01118
DB00454,O15399
DB11496,P07202
DB00726,P08908
DB09130,P05109
DB00197,Q03181
DB11901,P18507
DB00477,P25100
DB06153,P20309
DB13954,Q15596
DB01364,P07550
DB12010,Q14289
DB01708,P10275
DB09131,P04070
DB00189,P47869
DB01593,P51693
DB14487,P01023
DB00306,P47870
DB00408,P08912
DB01273,P43681
DB00753,P48169
DB11837,P15538
DB00513,P00750
DB00246,P47898
DB13345,P35368
DB14895,P13945
DB00114,Q96I15
DB00455,Q12809
DB00598,P08588
DB14507,P29218
DB12010,O43353
DB00514,P63000
DB01587,P47870
