0,1
DB01212,P07355
DB11986,Q9Y487
DB01159,P05141
DB01260,O15392
DB00864,P09884
DB01170,P00491
DB06788,Q9GZT4
DB00163,Q8IVL5
DB08819,O15304
DB15566,Q9Y5S8
DB00900,P35354
DB00829,O15342
DB04115,P04406
DB08882,O15270
DB00987,P00491
DB00477,Q13332
DB13996,P00491
DB08819,Q13547
DB01005,Q9UQQ2
DB00736,P02533
DB01580,Q15274
DB09517,P49281
DB01075,P12235
DB00889,O60494
DB01280,Q06432
DB08819,P34969
DB00720,P98194
DB00724,O60391
DB01129,P31946
DB13872,Q13126
DB00711,Q14978
DB00631,P10828
DB00464,Q9UBK8
DB00400,P25103
DB00491,Q9BXA7
DB00342,Q99437
DB00509,P17707
DB11278,Q9NR33
DB03793,Q99835
DB01070,Q05209
DB01077,P00338
DB00775,P35527
DB00387,Q96RD7
DB00868,P05141
DB01428,P61421
DB11842,P11274
DB00464,Q08345
DB00619,P29350
DB13346,P48029
DB00287,P61769
DB06605,P30530
DB00864,P30086
DB09073,Q9UHI5
DB05039,Q9UI12
DB00338,P43115
DB06152,Q9H2M3
DB01129,P04818
DB00720,P36888
DB00887,Q9UBK8
DB00552,P34897
DB01077,Q9UI32
DB01280,Q08289
DB00944,P50579
DB02789,O95670
DB08819,O75914
DB04115,P36897
DB00750,P29350
DB08897,Q9UNQ0
DB00615,P05106
DB06782,P20648
DB00287,P27487
DB00323,O14976
DB08964,P10909
DB00900,P31937
DB00944,P49019
DB08964,P53667
DB00261,O94760
DB00445,P27449
DB00631,P08172
DB13946,P38606
DB01057,P22888
DB05381,Q13126
DB06786,Q96SL4
DB00917,P02786
DB00778,P09455
DB00441,Q15493
DB00876,P50453
DB01348,P08519
DB14840,P05166
DB01077,P17658
DB09220,P00846
DB00686,P18850
DB09351,P48029
DB01129,Q14353
DB01159,Q9NYK1
DB00900,P47870
DB00569,P49281
DB00724,Q9H0K1
DB11362,P04070
DB15598,P03905
DB00967,P17936
DB01077,P00739
DB00363,P42898
DB09119,Q16595
DB01338,P14324
DB00494,P51812
DB00687,O60931
DB04743,O15342
DB08828,Q14749
DB00814,P05141
DB00142,Q9NYK1
DB15598,P09172
DB01164,O60706
DB00736,Q92570
DB01624,P06732
DB11632,P00519
DB00720,P57078
DB00472,P42898
DB11660,O43676
DB01324,P61421
DB00243,Q9NRF9
DB09220,P27449
DB00631,Q14542
DB00514,P12277
DB00533,P00491
DB00924,P50747
DB00863,P98164
DB00724,P01591
DB09481,P49281
DB00661,Q9UI12
DB00175,Q15904
DB01148,Q9HCC0
DB00720,Q14722
DB00720,O60391
DB00842,Q9UBK8
DB05351,Q86YB8
DB00493,Q9Y600
DB00900,Q86W47
DB08819,P02787
DB06626,O15270
DB05316,P78362
DB00987,P42679
DB01105,O75348
DB11581,P78362
DB00871,P51164
DB01204,Q32P28
DB08875,Q9UI12
DB02701,Q07864
DB08949,O95342
DB00822,P50993
DB11979,Q9UJT0
DB01105,O75911
DB01280,P43405
DB00979,Q9H2M3
DB14185,P05165
DB01401,P05166
DB00544,Q04759
DB00724,Q8TCU5
DB09026,P00846
DB00631,P10275
DB09389,P49281
DB04880,Q8N8Y2
DB14507,Q07864
DB00323,P42345
DB00775,Q0VD83
DB00630,P78334
DB00549,P36543
DB00734,Q93088
DB08828,P08243
DB09280,Q6NS38
DB04115,P11473
DB00819,P10253
DB06757,P10253
DB00181,Q8IVL6
DB01133,P01137
DB00213,P13631
DB00631,Q9UJ96
DB08865,Q9Y5S8
DB09472,Q9UJT0
DB00722,P35398
DB13166,O95665
DB00799,P21281
DB00449,Q13332
DB00213,P02533
DB00720,P62312
DB00983,Q96A05
DB00950,P50747
DB00550,Q9Y4U1
DB00213,P06396
DB00724,Q8N1C3
DB00864,P17174
DB06144,Q13332
DB00596,Q9H6Z9
DB00494,P49840
DB00357,Q07864
DB01181,P50747
DB01073,P63252
DB00513,P23921
DB01059,Q9NR97
DB00765,Q13627
DB00884,Q15825
DB01077,P15814
DB00790,Q13393
DB08964,Q8IU85
DB06786,P09769
DB04339,Q99835
DB09143,P07204
DB01005,P47869
DB00993,P17936
DB00900,P49760
DB01180,Q16348
DB09256,P21283
DB00306,P51164
DB00134,P16499
DB00432,P14616
DB08964,Q00987
DB01077,Q99759
DB00666,P41222
DB04657,P35228
DB00900,O15269
DB00253,Q9NYK1
DB15598,P21802
DB00464,O60285
DB01280,Q9NZD4
DB09074,Q9NR97
DB00433,Q9NRF9
DB00552,P49915
DB00114,Q00534
DB00492,Q9NVH6
DB05246,P36543
DB08816,Q92570
DB08819,P78356
DB00851,Q13423
DB00741,O75936
DB00792,P05108
DB05239,Q9NYP7
DB00724,P15153
DB00918,Q07820
DB09075,Q12852
DB08819,Q9H4Y5
DB03619,P50579
DB01395,Q9BXJ7
DB15598,O00299
DB08867,Q8N8Y2
DB00199,P51580
DB00630,P18507
DB11611,P08514
DB00644,Q9UJT0
DB00448,P56282
DB08801,P21283
DB00820,P04818
DB01208,P00492
DB04115,Q9NPH2
DB00631,P02763
DB00736,P02748
DB06786,Q9NYL2
DB01244,P17540
DB00422,Q9BXJ7
DB01158,P49281
DB06228,P21917
DB00860,P31153
DB00157,P12235
DB15598,P06239
DB06176,P29074
DB00773,P33261
DB09071,Q9BXJ7
DB11901,O15342
DB04115,P15502
DB00536,P25105
DB01077,Q92569
DB04115,P51649
DB00584,P42336
DB01133,P02794
DB14001,Q9NVH6
DB01280,P35499
DB12364,P25774
DB00710,P10632
DB00343,Q15904
DB00592,Q9Y487
DB03615,Q8N8Y2
DB00504,P12277
DB00900,P68400
DB11853,Q9NR97
DB09214,P17540
DB01212,Q9Y271
DB11632,P09769
DB01073,P37231
DB15091,Q96RD7
DB01430,P98164
DB06228,P04626
DB09026,P01133
DB01073,Q8WXS5
DB00393,P05166
DB01219,P21281
DB08880,Q14520
DB00864,O75489
DB00947,Q9UI12
DB04920,O95670
DB00287,P22830
DB01180,Q16853
DB06825,Q9NS75
DB00491,P05177
DB06274,P27707
DB01077,O60218
DB01005,P02743
DB09220,P14679
DB01005,Q14721
DB00435,Q02880
DB00493,Q8N543
DB00287,Q14978
DB00619,P05141
DB08819,Q14032
DB09401,Q8IVH4
DB01280,Q02083
DB00996,P42898
DB00765,P16591
DB04854,P18545
DB00713,P11766
DB00545,P43088
DB00562,P14735
DB00173,Q9BZV3
DB06786,P21589
DB01077,P21918
DB00672,Q9Y600
DB06228,P25103
DB00630,Q9UGM1
DB05351,P12004
DB00980,P80075
DB00377,P21283
DB08819,P51813
DB01023,O95670
DB00323,P54646
DB00959,Q8N8Y2
DB00491,P00918
DB00483,P12277
DB00935,P05165
DB01129,O14842
DB06605,O94804
DB00631,P22001
DB06712,Q96RQ3
DB00713,Q9HBA0
DB04703,P11926
DB00772,P27707
DB00484,Q13332
DB00173,O60494
DB00686,Q9H2S1
DB00753,O75348
DB00121,P30556
DB00491,P50897
DB00458,Q9BY49
DB09063,P49788
DB00323,P08069
DB00921,Q13126
DB13155,Q14181
DB00670,P15313
DB05239,Q9UGI6
DB01056,P27449
DB00900,Q08345
DB00841,Q9Y4U1
DB00765,Q9H422
DB00864,O43678
DB05990,Q9BY49
DB00400,P28221
DB11660,Q8IVL5
DB11611,P52429
DB00714,Q9UBK8
DB00726,Q9H2M3
DB00213,Q9Y233
DB00215,Q9NR33
DB00521,Q9Y5S8
DB11632,Q13085
DB05351,P69905
DB09070,Q8IVH4
DB15598,P05543
DB00444,P24941
DB00900,O75715
DB01280,P30038
DB09242,Q9BY49
DB04657,Q03721
DB00700,Q03403
DB05351,P56537
DB04657,Q9Y6H6
DB00382,P08514
DB00720,Q9NQU5
DB01234,Q13085
DB00631,P48723
DB00818,O95670
DB09130,P51164
DB14539,Q9UQQ2
DB00518,Q14643
DB11963,O75899
DB00559,P04080
DB01170,Q6NUM9
DB00491,P06733
DB11995,P05089
DB14491,P06756
DB00173,P23258
DB00448,Q9NZD4
DB08880,Q15185
DB01101,P49281
DB13154,Q8N8Y2
DB00584,Q14571
DB09256,Q04912
DB09220,Q9HC29
DB01149,Q96RQ3
DB01166,Q93088
DB00724,P27169
DB01189,P21283
DB00851,P11177
DB12612,Q16099
DB01280,Q05901
DB00894,O43174
DB00694,P14324
DB13155,P50579
DB01580,O75348
DB04865,Q8WYK2
DB00864,Q9Y6M9
DB00628,Q7LG56
DB00620,P43116
DB12612,P10828
DB00283,Q9UBK8
DB15598,O43708
DB00778,Q7Z2Z2
DB04657,P54762
DB00524,Q9NXA8
DB04115,Q16878
DB00720,O96000
DB04540,P56282
DB01608,P27449
DB01085,Q9Y5K8
DB01073,P50406
DB12612,P16860
DB00941,P30085
DB00900,Q05901
DB00719,P22888
DB11632,P42685
DB00851,P13995
DB08911,Q9NVS9
DB00900,Q99808
DB00050,P29350
DB01077,P43403
DB00489,Q9Y5K8
DB00654,Q13547
DB11660,Q9NYX4
DB01113,P53985
DB00533,P68371
DB00884,Q01118
DB06786,P08243
DB00889,P29350
DB00687,Q8IVH4
DB09068,Q96A05
DB01367,Q7LG56
DB00444,P08253
DB00356,P68371
DB01143,P16152
DB01599,Q15904
DB00672,P30613
DB01280,P30542
DB00630,Q9Y6K1
DB00199,Q9Y487
DB00287,O43617
DB01120,Q9BXJ7
DB13949,Q08493
DB00151,P21283
DB00987,Q99759
DB00570,Q8IVH4
DB01392,Q9NR97
DB11640,P68371
DB01280,Q9NRP7
DB00864,Q9Y5N1
DB00230,Q13488
DB06228,Q16832
DB06401,Q9UHW9
DB01259,P04080
DB00851,Q9UQL6
DB00143,P12235
DB00900,P48058
DB00631,P10997
DB00322,P14410
DB01053,Q9NVH6
DB00724,P19099
DB09409,O94760
DB06282,P29350
DB00481,P38606
DB08899,P20061
DB00810,Q13488
DB00631,P04279
DB14490,P49019
DB00807,Q9UP52
DB09256,Q08881
DB00654,Q05901
DB01037,P08620
DB00118,P51857
DB00631,P35869
DB00720,Q13621
DB00710,P10109
DB12267,P12235
DB00903,Q9NR97
DB04896,P78362
DB00179,Q96Q83
DB00842,Q9Y4U1
DB00491,Q9BYZ2
DB00006,Q8IVH4
DB00287,Q16584
DB14500,Q13085
DB01011,Q6NS38
DB01357,P49281
DB01217,P11274
DB11978,Q9UGI9
DB00654,P22309
DB00414,Q8N8Y2
DB00720,O15239
DB09256,Q9GZT9
DB00371,Q13085
