0,1
DB00243,Q15858
DB00491,O43451
DB01174,O15399
DB00186,Q99928
DB12941,P10275
DB00659,O14764
DB14533,Q00987
DB00321,P11229
DB00651,Q07343
DB00205,P07686
DB08896,P07949
DB06589,Q08881
DB00363,P28223
DB14006,P06276
DB06151,O14920
DB00651,P27815
DB00514,P19878
DB04876,P27487
DB08818,Q5JVS0
DB00334,P28223
DB00482,P35354
DB00907,Q01118
DB00715,P20309
DB08949,Q8TDS4
DB00114,Q6YP21
DB00228,Q05586
DB05541,Q14524
DB00540,P08588
DB00383,P11229
DB12267,P04626
DB06751,P27815
DB01110,Q16558
DB04841,P0DP23
DB01559,P31644
DB00842,P18505
DB00898,A5X5Y0
DB11633,P51787
DB00751,P08913
DB01069,Q96PR1
DB14001,P05771
DB12010,Q9UIK4
DB01593,P08185
DB00237,Q99928
DB13952,O75469
DB00334,P31644
DB01189,P34903
DB09130,P15531
DB00280,P08172
DB09085,Q99250
DB00143,Q99735
DB00401,Q01668
DB00842,O14764
DB00491,Q14697
DB00589,P28223
DB01169,O14920
DB00184,P36544
DB00228,Q12879
DB00321,Q12809
DB14533,P03951
DB01069,Q9H244
DB03756,P37231
DB01095,P04035
DB00898,Q9UN88
DB00875,P21728
DB01254,P06239
DB00157,Q13630
DB00654,P43088
DB12010,Q07912
DB00126,Q96KS0
DB01251,Q15842
DB00795,P35354
DB00603,P47869
DB01017,P29466
DB00659,P48169
DB11986,Q16620
DB08901,P16234
DB00768,P25021
DB00439,P04035
DB00543,P28222
DB00246,P18825
DB00360,P29474
DB00312,Q16445
DB00755,P31025
DB00564,Q9UQD0
DB00200,P22033
DB00228,Q9UJ90
DB01588,P48169
DB00157,O43678
DB01436,P19793
DB15566,P04150
DB11652,P04626
DB01236,O14764
DB00114,P17735
DB12010,P36888
DB00674,P22303
DB01291,P08588
DB06780,P08235
DB01238,P28221
DB01085,P08173
DB00318,P41145
DB09130,P08865
DB00842,P31644
DB00211,P35368
DB00454,P20309
DB06594,P48039
DB01558,Q8N1C3
DB01023,Q01668
DB01159,Q9NPC2
DB11859,Q16445
DB01118,Q13698
DB14481,O14958
DB01189,P23634
DB00852,Q9Y2D1
DB00659,Q13224
DB00411,P08173
DB01245,P22303
DB00555,P42261
DB00845,P22001
DB01392,P48048
DB13944,P08235
DB05260,P02818
DB01069,P20309
DB12010,Q9UQB9
