0,1
DB08911,Q9BRS2
DB00142,P34969
DB00782,Q7KZI7
DB01084,Q16873
DB00239,Q9H2S1
DB14509,O94768
DB09074,P06727
DB06176,P04217
DB01254,P12724
DB04703,O76074
DB01580,P04155
DB06718,P13500
DB06766,Q9UK17
DB00153,Q9NSA2
DB12010,Q16134
DB00396,O14521
DB00946,P52429
DB11699,P13647
DB05294,P16581
DB14489,Q8IVL5
DB00795,Q93088
DB00585,P04271
DB01283,Q7RTV2
DB00928,Q9Y646
DB14845,O14936
DB00890,P05093
DB00146,O15440
DB03193,Q07699
DB00728,P15880
DB09049,P00390
DB01033,Q99714
DB00907,P09669
DB01185,P15121
DB00711,P35968
DB13946,P78330
DB15102,P43403
DB00382,P20674
DB02266,P14416
DB00126,Q969S2
DB03147,P06744
DB00894,P28329
DB00874,P48549
DB00756,P05109
DB04272,O00238
DB00145,O75899
DB14002,Q9BXT2
DB04837,O95264
DB14487,P98194
DB04908,Q9Y2H1
DB05260,Q9BQB6
DB01087,P56181
DB01254,P51884
DB06813,P49419
DB00807,O75469
DB00944,P98066
DB11689,P07360
DB00904,Q9Y463
DB01956,Q8TDN1
DB14001,P43405
DB01014,Q04771
DB01023,P30626
DB01131,O95139
DB00142,O43526
DB03088,Q09428
DB11386,P18089
DB03310,P09525
DB01092,P13647
DB00572,P24046
DB14491,Q32P28
DB00361,P04003
DB14509,O96013
DB01043,P31942
DB14491,P48637
DB01337,P10253
DB00140,P56181
DB01219,O76083
DB01146,Q99928
DB11577,P16860
DB01078,P05067
DB13501,P08908
DB00201,P27448
DB08868,P03951
DB00674,Q14542
DB00151,P31937
DB00411,Q9Y6H6
DB01080,Q9HD40
DB00536,P53004
DB01226,P10253
DB15685,Q9H2X6
DB09409,P48051
DB04573,P62508
DB08801,P80511
DB01185,P48728
DB15690,P07360
DB00411,P04629
DB01185,O43674
DB09205,Q16836
DB00750,Q86VZ1
DB00142,Q13936
DB11090,P98194
DB04703,Q06418
DB08865,P40926
DB01260,O95180
DB00824,Q01118
DB00644,P22888
