0,1
DB00157,P24385
DB00536,O75251
DB14631,P12429
DB01185,O43497
DB02789,Q05655
DB03147,Q16678
DB01171,P55789
DB00205,P30837
DB00814,Q8IYT8
DB09118,Q92506
DB09526,P08559
DB01043,P31943
DB09085,P26358
DB01436,Q9ULY5
DB11577,P15336
DB09148,P45381
DB00959,P19099
DB12783,Q9Y697
DB01110,P17752
DB00939,Q9NYY3
DB08604,P08173
DB01378,P30711
DB00740,Q93088
DB00947,P14060
DB00824,P23219
DB11718,O14757
DB11718,Q9Y2K2
DB00756,P00387
DB00296,Q92506
DB01698,P30038
DB00132,P48549
DB14509,Q9UQB9
DB01018,P14060
DB03193,Q8TCC7
DB01407,Q9BYF1
DB00190,Q9Y600
DB01005,P09884
DB00966,Q9NYP7
DB01224,P23297
DB00239,P07288
DB15102,Q13523
DB14895,Q07869
DB00653,Q96RI1
DB00917,P43088
DB01247,P26440
DB01092,Q0VD83
DB00848,P42262
DB08911,Q12851
DB01062,Q96GD4
DB00143,Q8NFJ5
DB06787,Q06323
DB06202,P14060
DB00591,P05090
DB01142,P23297
DB01399,P11586
DB01110,P24046
DB00811,P52895
DB08809,P00325
DB00192,P20309
DB00995,P57078
DB14490,P29034
DB00201,P02585
DB00711,P53671
DB11760,O15350
DB06710,P00738
DB00752,O95831
DB00659,P48544
DB09167,P23297
DB01274,Q92506
DB00768,P51693
DB02266,P19404
DB14487,O15217
DB00006,P04264
DB13953,Q16718
DB09092,P35498
DB11823,Q9Y617
DB05039,P03891
DB06764,Q99705
DB09112,P56537
DB00598,P15169
DB09526,P13995
DB01017,Q8TDR2
DB00648,P01011
DB01181,Q86XP1
DB06148,Q99584
DB00794,Q9UI32
DB06698,P80511
DB00262,P37058
DB06710,P02765
DB09212,Q96RI1
DB08604,P31644
DB14540,P49189
DB11718,Q9NRP7
DB09097,P42261
DB01708,Q03721
DB01238,P17735
DB09097,Q16568
DB09074,Q02383
DB09130,P49069
DB00498,P16083
DB00890,P14780
DB09148,P01011
DB00489,P49585
DB04855,Q9H8P0
DB14488,P02747
DB06216,P04271
DB13257,P10997
