0,1
DB00799,P13631
DB06786,Q99835
DB00714,P18089
DB00508,P11229
DB06702,P08912
DB01110,P35228
DB13345,P21917
DB00841,P08588
DB01437,P78334
DB12267,P00519
DB00661,Q13936
DB00843,P19838
DB00805,P41595
DB00295,Q9Y6Y9
DB00408,P11229
DB12010,O60674
DB00228,P62955
DB01238,P25021
DB00751,P35367
DB01205,Q16445
DB00659,P47870
DB01593,P02649
DB04896,Q05586
DB08896,P16234
DB00794,P43681
DB11148,Q14654
DB11093,P62166
DB00197,P37231
DB01248,P10415
DB11853,P30968
DB00921,P41145
DB05316,P28223
DB01583,P10827
DB01135,P08172
DB01177,P11388
DB01238,P50406
DB05015,Q9UQL6
DB00228,Q13698
DB00273,Q9UI33
DB00647,P41145
DB01069,P20309
DB00458,P35368
DB01392,P28335
DB00228,Q9H3M0
DB00805,P22303
DB01588,P31644
DB06153,P08172
DB01056,Q14524
DB01587,P78334
DB01133,Q8N8Y2
DB01698,P42330
DB12010,P25774
DB00159,O14842
DB00248,P41595
DB01593,P01024
DB00245,Q01959
DB09092,Q02218
DB00367,P18405
DB00761,Q9UHW9
DB00988,P21918
DB00449,P08913
DB00583,P43155
DB14575,Q99571
DB12010,O75385
DB00353,P41595
DB00193,Q8TCU5
DB06216,P28222
DB00395,P31644
DB01593,P01308
DB09517,P68871
DB13269,Q9NY72
DB14185,P18825
DB12010,P22607
DB00433,P25100
DB05812,P05093
DB08910,P35354
DB01595,P47869
DB00363,P35462
DB11186,P35499
DB01367,P27338
DB00402,P78334
DB06148,P18825
DB00182,Q16568
DB11085,P07202
DB00334,P28335
DB09225,P50406
DB09061,P23415
DB13781,P08588
DB09130,P17174
DB02659,P62508
DB13783,P23219
DB12404,P28472
DB01197,P09960
DB00388,P25100
DB01028,Q9UN88
DB00273,P22748
DB01107,P47870
DB09167,P20309
DB00924,O00206
DB00157,Q96C36
DB00228,P47869
DB00572,P08172
DB01320,Q14524
DB00321,Q9NS40
DB14533,P01009
DB00334,P31644
DB11859,P34903
DB00721,Q15822
DB13995,P02794
DB15685,P17948
DB11235,P08173
DB01029,P30556
DB12010,Q06418
DB09097,P14416
DB11577,P25100
DB04272,Q96RQ9
DB11348,Q9UBV8
DB09216,P35354
DB00228,Q9Y698
DB12010,P36888
DB00458,O95259
DB00606,Q6FHJ7
DB06403,P25101
DB00193,P31645
DB04855,Q08289
DB00354,P35367
DB14488,Q16595
DB09118,P48169
DB06813,P04818
DB00898,P42261
DB00774,O43570
DB00252,P48169
DB01110,O15554
DB00945,P23219
DB09148,P05067
DB01016,P50416
DB01069,Q9NR82
DB01708,P14867
DB13345,P08588
DB13954,Q92731
DB04846,P18825
DB00244,O14920
DB09481,Q12879
DB09076,P08172
DB03796,P10632
DB01077,P12235
DB00191,P01303
DB00909,Q14524
DB12010,P41240
DB01956,P48169
DB12010,P48736
DB01353,P34903
DB01136,O95298
DB00237,P39086
DB01238,P28221
DB00588,P47712
DB13269,Q99250
DB00903,Q9UJU2
DB09061,P04035
DB01254,Q92570
DB09238,Q13936
DB14185,P08173
DB06782,P05067
DB00852,Q01959
DB09555,P35367
DB01110,P48547
DB00114,Q99259
DB00114,O75600
DB00818,P78334
DB01211,Q9NPD5
DB00381,Q9P0X4
DB01154,P14867
DB03585,Q9NZK7
DB01589,P14867
DB00959,P04083
DB00402,P31644
DB00909,Q9UI33
DB04703,Q96GD4
DB00627,Q8TDS4
DB00818,P14867
DB00206,P54219
DB09213,P07204
DB00641,P04035
DB01593,P31151
DB01144,P00915
DB08897,P20309
DB09130,P31943
DB13956,O75469
DB14520,P02786
DB11348,P35556
DB00333,O60391
DB00132,Q07869
DB00157,P16083
DB00482,P35354
DB06148,P41595
DB01587,Q9UN88
DB09130,P22626
DB00126,Q8IVL6
DB00170,P04070
DB00780,Q8TD30
DB00543,P47869
DB14533,P0C0L5
DB00726,P08588
DB02659,P23141
DB00204,Q12809
DB11760,P09874
DB00222,Q14654
DB00564,Q99250
DB00608,P09488
DB00579,Q05940
DB01039,Q9NPA2
DB00812,P35354
DB00201,Q14643
DB11590,P54710
DB00565,Q15822
DB00898,O14764
DB00308,P54289
DB00115,Q99707
DB00312,P28472
DB00733,P22303
DB00318,P41143
DB00717,P10275
DB00622,P0DP23
DB00477,Q12809
DB01200,P28222
DB00246,P28223
DB00444,P11388
DB00586,P23219
DB00925,P18825
DB00863,P22303
DB00849,P47869
DB09131,P04080
DB01238,P08173
DB00780,P21397
DB00591,P04150
DB01275,P13674
DB00433,P35367
DB00657,P43681
DB00642,P22102
DB00201,P78527
DB00142,O94925
DB00228,O15399
DB00572,P08912
DB04855,O60840
DB15444,P13569
DB00243,Q02641
DB00780,Q16853
DB00182,P35368
DB11986,Q16620
DB00589,P18825
DB01133,P21281
DB14649,O75469
DB01593,P00748
DB00157,O75306
DB00363,P18089
DB04821,Q05940
DB00523,P48443
DB00579,P31645
DB00940,P08912
DB01023,Q08289
DB00246,A5X5Y0
DB06603,P56524
DB01438,P35498
DB00409,P28223
DB01621,P28223
DB02701,P00338
DB12010,P07498
DB00415,Q16348
DB01239,Q13639
DB00794,Q99928
DB00157,P20839
DB01115,O95180
DB08906,P04150
DB12010,P07333
DB09130,P00387
DB14487,O15304
DB00408,P20309
DB00184,Q9UGM1
DB00753,P98194
DB01239,A5X5Y0
DB09130,P30086
DB12010,Q16539
DB00157,P53004
DB00374,Q9H244
DB01028,P14867
DB04272,P07741
DB04855,P51787
DB00372,P14416
DB00459,P10826
DB00228,P22001
DB01611,Q9NR96
DB01364,P23975
DB01452,P41145
DB00796,P30556
DB06262,P25100
DB01133,Q9HBG4
DB14540,P04083
DB00132,O60427
DB00818,P18505
DB00703,P07451
DB02659,P24311
DB00211,P25100
DB01036,P20309
DB14533,P04279
DB11718,P24385
DB01189,P16615
DB00370,P25100
DB09195,P25100
DB00696,P21918
DB08439,P35354
DB00653,Q01668
DB00628,P34903
DB00142,O15067
DB00114,P80404
DB14533,P30101
DB00273,Q13003
DB00756,P00367
DB00753,P0DP23
DB15102,P21802
DB00157,Q04828
DB01273,P17787
DB00431,P03372
DB09472,P00918
DB00527,Q9Y5Y9
DB01110,Q14721
DB00674,P36544
DB00998,P28222
DB00342,Q12809
DB09061,Q9HBA0
DB00321,P08172
DB00197,Q07869
DB05015,O15379
DB00472,P31645
DB14509,P29218
DB14533,P46663
DB01239,P08908
DB06262,P07550
DB14489,Q96FI4
DB01351,P36544
DB00543,P31645
DB06016,P35462
DB00966,P30556
DB00332,P11229
DB01348,P12821
DB00157,O95169
DB00630,Q13332
DB01365,P35368
DB13345,P13945
DB12010,Q9C098
DB06148,P41145
DB06736,P23219
DB00398,P17948
DB00241,Q16445
DB00289,Q14957
DB00193,P23975
DB00661,O00555
DB13867,P06401
DB00715,P41595
DB00142,Q16099
DB00986,P08172
DB11689,P36507
DB11148,O95180
DB14533,P68871
DB00255,O75469
DB01069,P08912
DB01591,P11229
DB14490,Q9NZD4
DB08604,P10275
DB00252,Q02641
DB00909,P00918
DB01022,P38435
DB00501,P25021
DB12010,O75914
DB01191,P31645
DB01016,Q14654
DB01179,P68366
DB14488,P39748
DB11348,P31415
DB00852,Q8WYK2
DB00523,P19793
DB00580,P00918
DB14001,Q16760
DB01233,Q13639
DB01593,P02751
DB00157,Q9UDR5
DB01043,Q8N1C3
DB00334,P28221
DB00800,P25100
DB00404,P31644
DB09061,P48167
DB12010,P42684
DB00120,Q9UHI5
DB00122,P49585
DB00659,P47869
DB00603,P18505
DB00897,Q9UN88
DB00514,P04839
DB00120,Q9Y285
DB00922,Q14432
DB00396,P05093
DB01250,P01579
DB14185,P08172
DB09130,P42858
DB01262,Q9UBC3
DB14533,P02746
DB01064,P13945
DB01382,P48048
DB00228,Q96L42
DB00540,P18825
DB14490,Q9GZT9
DB00936,P35354
DB00687,P04150
DB00328,P14555
DB01041,P02763
DB09089,O43497
DB14488,P02794
DB01088,P27815
DB00988,P31645
DB01234,O75469
DB00475,P18507
DB13345,P34969
DB01579,P35368
DB09195,P31645
DB00176,Q12809
DB13954,P03372
DB06148,P31645
DB00408,P21728
DB06589,Q9UQQ2
DB12010,P31152
DB01246,P35367
DB06262,P08588
DB00387,P08173
DB09061,O95180
DB00715,P28222
DB08896,P21802
DB00842,P47870
DB00243,Q08289
DB00533,P35354
DB01956,P47869
DB11093,P06703
DB01593,P13647
DB00603,Q16445
DB00604,Q13639
DB00907,P08172
DB00839,Q09428
DB14487,P04731
DB00915,P36544
DB00628,P48169
DB00945,P28482
DB00114,P11216
DB12328,P35869
DB00157,P05093
DB04920,Q13698
DB11901,Q99928
DB00228,Q08289
DB14001,P52429
DB00368,P35348
DB09130,P02750
DB01068,P34903
DB00228,Q9UQ05
DB01403,P21728
DB06151,Q12879
DB09130,Q0VD83
DB00200,Q9Y4U1
DB11273,P13945
DB00142,P38435
DB00321,P08913
DB01110,Q08289
DB02266,P37231
DB00454,P20309
DB12010,Q9P286
DB00813,P41143
DB01024,P12268
DB14487,P04003
DB01169,Q16881
DB01039,Q07869
DB00401,Q13936
DB00904,P46098
DB14185,P35367
DB00316,P23219
DB06712,Q01668
DB12010,P41743
DB04946,P35367
DB09462,O43252
DB00799,P10826
DB00628,Q9UN88
DB01194,P00915
DB00571,P13945
DB00816,P07550
DB00524,P55017
DB00540,O00264
DB00145,P34897
DB00898,P48051
DB01013,P08235
DB01032,Q96RD7
DB00193,P18825
DB00715,P08588
DB13269,Q9Y5Y9
DB01136,P17302
DB00408,P08588
DB14512,P06401
DB01050,P10415
DB00246,P11229
DB01216,P18405
DB01146,P35367
DB00898,P48544
DB11859,P31644
DB00418,P48169
DB01589,P47870
DB01159,P59768
DB00854,P41143
DB04821,P21397
DB09061,P05093
DB01587,P18505
DB11855,P08173
DB11148,Q99712
DB12010,P08631
DB00281,P00533
DB01025,P05230
DB00477,P08913
DB01110,Q14500
DB00349,Q99928
DB00898,P36544
DB00312,Q12879
DB00157,P32322
DB11186,Q9UI33
DB09071,P48039
DB00704,P35372
DB01126,P31213
DB01437,P28472
DB15685,P11362
DB00344,P23975
DB00363,P34969
DB00564,Q01118
DB14001,P17252
DB00715,P21728
DB00398,P15056
DB11348,P41180
DB14481,O75340
DB09130,P07237
DB09079,P17948
DB00841,P03372
DB00589,P18089
DB09213,P07359
DB00308,O00180
DB09061,P41143
DB00481,P03372
DB11577,P35368
DB12010,Q9HBH9
DB01403,P18089
DB00157,O94788
DB13139,P07550
DB01090,P30926
DB00725,P08172
DB00477,P41595
DB00960,P13945
DB13872,P18507
DB00543,P08913
DB00476,P31645
DB00469,P35354
DB02530,O75899
DB00458,P50406
DB00363,P08913
DB01364,P07550
DB14487,O14556
DB01407,P13945
DB01267,P21728
DB00983,P08588
DB12141,O95264
DB12404,Q99928
DB00228,Q9BXT2
DB09079,P35916
DB09092,P04406
DB01234,P35228
DB00228,Q9NR82
DB00543,P31644
DB01558,P18505
DB00363,P08173
DB00540,P14416
DB00652,P41145
DB00598,P35368
DB00142,Q04609
DB14489,P02786
DB11181,P11229
DB01110,Q9BQ31
DB00768,P23297
DB11273,P08913
DB01218,Q12809
DB12010,O96017
DB09130,Q06830
DB00243,P63252
DB09130,P02647
DB00382,P23141
DB00880,P55017
DB01043,Q8TCU5
DB01254,P54756
DB00340,P08173
DB00243,Q13698
DB01189,P30049
DB03128,P22303
DB00201,Q9Y233
DB01069,O95259
DB00237,Q99928
DB00153,O60840
DB01069,Q99572
DB00237,P36544
DB00184,Q15822
DB00929,P35408
DB00908,P35348
DB12010,Q96D53
DB01593,P49908
DB13872,P14867
DB00210,P05412
DB00201,Q14432
DB00157,Q16836
DB04948,P08908
DB00555,Q15878
DB05015,P56524
DB00114,Q9NVS9
DB04821,P27338
DB14840,P10721
DB00708,P41145
DB00122,Q9Y5K3
DB00563,P04818
DB00402,Q16445
DB00813,P08183
DB00589,P21918
DB00421,O95180
DB01215,P47869
DB09128,P18825
DB00641,Q92769
DB00605,P35354
DB12141,P41595
DB13995,P02792
DB03193,Q9UNK4
DB09130,P02766
DB01069,Q99677
DB01069,P35499
DB00201,O60658
DB14533,P68104
DB14533,P06733
DB00121,P05166
DB00543,P28335
DB01577,P08913
DB00798,P98164
DB00603,P48169
DB00801,O14764
DB00228,P48547
DB13872,Q8N1C3
DB14533,P04114
DB00493,Q9Y694
DB00894,P11511
DB06684,P08908
DB09131,P04070
DB01623,P21728
DB09460,Q16790
DB00755,P00352
DB00178,P46663
DB00804,P08172
DB01593,P01031
DB00159,Q07869
DB00899,P41143
DB14533,P02671
DB04838,P54289
DB00349,P47870
DB00450,P14416
DB00606,P00918
DB00940,P25021
DB01708,Q14994
DB11348,P0DP23
DB00988,Q01959
DB00201,P54750
DB09130,P10909
DB09130,P50213
DB00849,P36544
DB01162,P35368
DB00148,Q14353
DB11148,Q9UNX9
DB00157,P11766
DB01544,P14867
DB06153,P18089
DB14596,P04150
DB00226,P23975
DB00252,Q99250
