0,1
DB01146,Q8TDN1
DB11148,Q99250
DB01262,Q92952
DB00539,Q06481
DB14517,O43570
DB00364,P01591
DB01247,P55789
DB01068,Q86XP1
DB09148,P14780
DB14481,P05121
DB13155,P03372
DB00119,P68104
DB00306,P07814
DB00431,Q96KK3
DB09061,P03923
DB00846,P35228
DB05015,Q9NZD4
DB00142,P06727
DB01023,P27824
DB13954,Q16760
DB01586,Q15738
DB00606,P05089
DB06751,P35913
DB00939,P54760
DB08860,P30519
DB04838,P20674
DB11274,P30542
DB00572,P29401
DB00240,P51843
DB12783,O95470
DB09526,P07864
DB13269,Q86U10
DB01191,Q9UM73
DB01129,O94760
DB09462,Q13946
DB00536,P62312
DB00782,Q9NWZ3
DB00868,Q9NY46
DB01708,P48039
DB15102,Q8IU85
DB00142,O15403
DB11738,Q99705
DB08881,P07741
DB05039,O43920
DB11560,O60656
DB00244,Q9BXA7
DB04703,Q13627
DB09237,P53778
DB12783,P54687
DB01708,P41743
DB00850,P09172
DB00121,O95907
DB00822,P03901
DB09130,O75911
DB03796,P07204
DB09213,P07360
DB15102,Q9P2K8
DB11967,O15342
DB00950,O95665
DB00119,P29622
DB14002,Q9H4B4
DB00415,Q9UQM7
DB06691,P29034
DB00652,Q92731
DB00312,Q14749
DB00772,P23141
DB00151,P52895
DB06203,P16219
DB11386,Q9UBL9
DB00713,P51955
DB00257,O95718
DB11359,Q9NSA0
DB04272,O15239
DB11718,Q9Y478
DB00870,P21554
DB00157,Q9HA77
DB00841,Q04759
DB00471,P52564
DB04540,O60840
DB00711,Q9Y4K4
DB14975,P02794
DB13520,Q92736
DB00688,P13995
DB11672,Q9Y5S1
DB01019,P42262
DB00504,P14598
DB01296,P36969
DB09129,P11802
DB03615,P14923
DB11186,O14764
DB00146,Q9ULY5
DB14507,Q9UHD2
DB00391,Q6FHJ7
DB00157,Q00975
DB00598,P03901
DB14507,Q16584
DB00139,P10515
DB00874,P36544
DB03193,O60840
DB00677,P10412
DB00841,P11678
DB00360,Q9UQ05
DB01097,Q9BYZ2
DB01744,Q9UF02
DB00575,P51858
DB01117,Q92772
DB01236,O95954
DB00951,Q8TED1
DB00694,P14866
DB00641,P48448
DB04896,Q04609
DB01744,Q99623
DB14533,P16389
DB06777,Q13698
DB00130,O15382
DB00677,Q96FI4
DB06176,P46736
DB01327,P08185
DB14517,Q9UHF0
DB02530,Q14957
DB00201,Q9UKE5
DB00972,P78417
DB03147,P01303
DB00119,Q96GD0
DB00157,P25963
DB01382,O75762
DB03193,Q8TCC7
DB01095,O75438
DB00583,Q16795
DB00298,P47900
DB00541,P60842
DB00647,Q9H015
DB08329,P05089
DB11760,P02751
DB09091,Q15155
DB01063,P17252
DB01621,Q9UM73
DB01159,Q9BYZ2
DB04825,P06213
DB00145,Q99250
DB09061,Q86Y39
DB09460,Q14524
DB00780,O15427
DB00379,O94760
DB00431,Q70Z44
DB09063,P53778
DB13955,P02766
DB11577,Q02127
DB11085,Q14994
DB00120,P11217
DB00130,P17174
DB00496,P47989
DB04838,P14854
DB00754,P28702
DB04898,P51693
DB00870,P48048
DB00192,Q9UN88
DB01064,P29034
DB06772,P43652
DB08809,P35754
DB01080,Q96EN8
DB13783,O43678
DB01159,P02748
DB00145,P16615
DB00151,Q9NUV7
DB09460,O95180
DB06176,P02766
DB00914,Q9BVS4
DB11157,P30041
DB12789,Q07343
DB01213,P03897
DB15685,O14730
DB13967,P02787
DB00825,Q9Y6Y9
DB13946,P51693
DB00179,Q9NYL2
DB01069,P18848
DB00939,P53355
DB00780,Q96GD0
DB01196,Q92753
DB01026,Q13423
DB08814,Q14643
DB06777,Q8TDS4
DB00951,P35754
DB04272,P51957
DB00823,P02652
DB01231,P61769
DB14487,P09525
DB00262,P43353
DB00132,P09466
DB00768,P30101
DB00907,P14854
DB00600,P51857
DB11093,P02749
DB00331,P48729
DB01248,Q9UBN1
DB04272,P50747
DB00768,P02747
DB01619,Q03721
DB01017,Q04828
DB06782,P46736
DB00663,Q92731
DB09327,P14920
DB06782,P00387
DB00706,P51659
DB13995,P02656
DB14533,P24752
DB04339,P21266
DB00549,P21462
DB13949,P06746
DB01213,P51161
DB14487,P35462
DB00721,P08243
DB11994,P29322
DB00747,P62508
DB01029,Q04609
DB01043,Q14032
DB00119,Q16773
DB14881,Q8N4C8
DB01085,Q96PR1
DB00964,Q16445
DB11619,O00206
DB06751,Q9NY72
DB15598,P48050
DB00445,P63244
DB00244,Q15759
DB00591,P17174
DB00449,P54219
DB00825,Q15825
DB00151,P08684
DB14509,P27448
DB01189,P29401
DB09124,P13500
DB01428,P14780
DB01110,O75185
DB01080,O15269
DB01014,Q92772
DB11148,P08913
DB09130,P41180
DB14001,P43405
DB00121,P78362
DB00939,Q9UL54
DB00121,Q9BY49
DB00119,Q96EN8
DB04896,Q13255
DB14487,Q9HA77
DB00233,Q13627
DB00130,P51692
DB00792,P80511
DB01017,P04746
DB09080,P56181
DB00602,P59768
DB02789,P54284
DB09214,O75385
DB01033,O43677
DB01065,P11177
DB00170,Q14330
DB00244,O00519
DB00843,Q14032
DB00237,P54687
DB00890,P14780
DB00455,P23786
DB00121,Q13126
DB00846,P47712
DB12500,Q9UEW8
DB01169,P18846
DB01088,P35408
DB00768,Q8WXA8
DB00699,Q16772
DB00415,P78356
DB01452,P24311
DB03310,P32322
DB01260,Q9UBN1
DB04837,Q09470
DB03310,O95182
DB06154,Q02383
DB01593,O75380
DB13944,P35908
DB00964,Q6PIU1
DB00778,Q9HAB3
DB04821,Q92947
DB00372,Q14573
DB13751,Q9Y6M9
DB01708,Q9HAB3
DB01092,Q9NSA2
DB01159,P36955
DB14481,Q6PIU1
DB01254,P25311
DB00281,P19784
DB00159,P50897
DB14517,Q01064
DB13953,P05109
DB00179,Q15208
DB14845,Q13873
DB00663,Q8WXS5
DB09270,P30519
DB08799,Q16873
DB09185,Q8WYK2
DB00244,O14730
DB00289,Q07075
DB01018,P23297
DB00431,P46597
DB00874,Q16445
DB01357,O60656
DB00536,P56556
DB00480,Q7Z2W7
DB00143,Q8NFJ5
DB01224,P23297
DB00933,Q9P2K8
DB00157,O95907
DB00585,P23297
DB06710,P02765
DB14533,Q16878
DB00313,O75438
DB01220,Q13303
DB15091,P21709
DB00716,P29622
DB00173,P05165
DB11348,Q16322
DB01186,Q14833
DB00807,P21817
DB00813,P55055
DB01157,Q00796
DB01161,P48050
DB00910,Q14994
DB00788,Q9Y6M9
DB06151,Q9Y478
DB14544,P32322
DB00677,P11142
DB01236,P02747
DB01056,Q99572
DB01127,Q9NPA1
DB01370,P00387
DB01708,P30536
DB08867,P08686
DB01017,Q13555
DB01370,P02747
DB03615,P17174
DB06218,Q13574
DB00711,Q7Z2W7
DB00775,P49281
DB04839,P30968
DB13995,P04075
DB01075,P80511
DB00655,P29622
DB08820,P07204
DB06401,P02538
DB00145,P51787
DB09070,P05129
DB00179,P53667
DB00415,P29320
DB00239,Q16322
DB00752,P00387
DB14533,Q6W5P4
DB00281,Q8NEV4
DB00921,Q9Y6M9
DB01028,Q9UI32
DB00868,P54284
DB00157,Q9UBN1
DB01428,O14556
DB03193,Q02641
DB05381,Q99584
DB00226,Q9NY46
DB06709,Q96KK3
DB04703,P04629
DB01210,O00459
DB09112,Q99497
DB00416,P11511
DB14488,P00734
DB00364,P15924
DB15102,P29317
DB01698,Q9UBM7
DB11791,Q16512
DB00179,P09619
DB04938,P01009
DB00415,O00750
DB04703,P41240
DB00642,P00367
DB14488,P32119
DB13257,P62937
DB00120,P00367
DB13873,P09466
DB08901,P12724
DB01173,Q6IA69
DB00297,P21817
DB00941,O14939
DB00865,P03952
DB09079,O75390
DB01122,Q13393
DB00957,P35908
DB11967,P21281
DB00711,Q07817
DB11823,Q00537
DB00204,Q99712
DB00227,P50213
DB00138,P43004
DB04938,P06727
DB13955,P62714
DB00929,Q08499
DB11760,P02743
DB06777,Q9UQ05
DB00914,Q9UL54
DB01017,Q03403
DB11978,P07355
DB06202,P08183
DB01452,Q9UKG9
DB01080,P54687
DB03147,P04818
DB04339,O15440
DB05260,P45983
DB00982,O43174
DB02266,P56556
DB14507,P43005
DB14489,O75936
DB00831,P32119
DB14507,Q13177
DB00205,P30837
DB01236,P13196
DB09089,P11473
DB04575,P08183
DB11791,Q8N4C8
DB01179,Q14978
DB06016,P52209
DB11591,Q16873
DB00337,Q12851
DB01403,P04271
DB00192,Q02218
DB09517,P02786
DB00905,P27815
DB15685,O75716
DB13954,O95169
DB00179,P99999
DB14539,Q00796
DB00151,P30838
DB01214,Q16568
DB15102,Q8N5S9
DB09130,Q14520
DB01616,P09172
DB01608,P08686
DB00745,Q86W47
DB00711,O75914
DB00205,P43353
DB04855,P06756
DB00143,P14866
DB00449,O00459
DB00694,P29034
DB00655,P01042
DB06413,Q9H2S1
DB00998,P19525
DB00153,Q14330
DB14575,P06703
DB00298,P31644
DB08604,Q8TDU6
DB00843,Q7LG56
DB06151,Q9UF33
DB06077,Q9UDR5
DB00936,P51970
DB01296,P09960
DB00228,P56537
DB04838,P00395
DB14185,P23297
DB01065,Q92947
DB00602,Q96KK3
DB00995,Q9H2G2
DB06595,Q13574
DB09130,Q9UIX4
DB00890,Q15125
DB08864,O60359
DB00197,P31942
DB12783,P23378
DB00145,P11498
DB14517,P18669
DB01076,P43353
DB00680,O00204
DB00193,Q14573
DB09149,Q06323
DB00626,P07357
DB00537,P18848
DB00711,P52429
DB00304,P02787
DB00471,P52429
DB00805,P14920
DB00481,P35908
DB01016,Q9H015
DB08815,P47989
DB04703,P42680
DB01213,P15559
DB00294,P13500
DB14487,O95178
DB02701,P49448
DB04703,Q16832
DB00716,P45973
DB09064,P51649
DB01146,Q9BPV8
DB02701,Q9UI09
