0,1
DB04224,P24557
DB00600,P49821
DB01296,P12821
DB11718,O43353
DB00163,Q06432
DB14487,Q16772
DB00228,P00505
DB00768,P31151
DB00884,Q00653
DB14509,Q9H422
DB00711,P08581
DB00145,P32297
DB01577,P26440
DB01436,Q9ULY5
DB11577,P16581
DB14543,O95298
DB00959,P31213
DB11186,Q9Y6Y9
DB06751,P17787
DB00868,Q9UBL9
DB01708,P08183
DB01583,Q9UJ96
DB03615,Q9UGN5
DB14488,P05090
DB04890,P23297
DB01236,P31943
DB14507,Q5JPH6
DB00756,P42330
DB00335,P51649
DB11148,P08173
DB01017,P48736
DB14539,P47895
DB01081,O43678
DB00768,Q8TDN2
DB00647,Q9H015
DB01708,Q9Y6K1
DB01028,O43837
DB00966,P07202
DB01224,P23297
DB00378,P07288
DB00995,Q13555
DB14975,O14556
DB00692,Q9Y646
DB00917,Q08499
DB11641,P26447
DB01154,P81605
DB04339,P34969
DB01259,Q12866
DB01117,Q9C098
DB00257,Q8TCU5
DB08895,P07998
DB14541,P49821
DB00591,P60842
DB01142,P23297
DB01591,P35590
DB01110,O75185
DB09213,P02795
DB08809,Q96SL4
DB00145,P20711
DB13995,P61769
DB14490,P02750
DB03754,P02538
DB09092,P02652
DB04703,Q9P286
DB06710,P00739
DB00752,P22570
DB15233,Q9UHD2
DB09185,P18846
DB01359,P10909
DB09526,P03891
DB14507,P19784
DB06751,P08173
DB00988,P04196
DB13954,P02533
DB01586,O43837
DB01428,Q05513
DB06228,P05543
DB06764,Q99705
DB03615,P15814
DB00653,P36956
DB09526,O75380
DB01351,P38435
DB00648,P46597
DB00304,P35527
DB06148,P29034
DB00170,P10412
DB09112,P04264
DB03128,P47898
DB01033,P51648
DB09401,O14842
DB00205,P32322
DB14481,Q01118
DB00822,Q9NVH6
DB09112,P14866
DB11791,Q04771
DB01238,Q8N159
DB13751,Q16659
DB09517,P29401
DB06151,P49589
DB00498,P00740
DB00890,P02747
DB01025,P01009
DB00519,P04003
DB04855,P06756
DB06695,P10809
DB06216,P80511
DB04272,Q96C36
DB01183,P14854
DB11093,Q6PIU1
DB00641,P28331
DB00882,P04279
DB00471,Q04771
DB06695,P07357
DB14533,P56696
DB01406,O15304
DB00509,P08514
DB01296,P09917
DB06802,P21796
DB00951,Q14541
DB00945,P04004
DB15444,P07204
DB00050,P04150
DB04890,Q8WXA8
DB00745,Q9H2S1
DB00843,Q8N8Y2
DB06710,P01591
DB11148,Q9UI33
DB09092,P01008
DB06777,Q9NR82
DB00130,P42263
DB15102,P21709
DB01179,P04003
DB00750,Q16790
DB00312,P51843
DB12130,P35590
DB06249,P80365
DB14509,Q14833
DB08899,O75912
DB00151,O95168
DB01213,P08559
DB01110,Q07817
DB01107,Q92731
DB00360,P48547
DB04573,O15304
DB11952,P05181
DB00257,Q15274
DB00741,Q9H8P0
DB00536,P48029
DB08875,Q15208
DB09095,P31937
DB00331,Q86UE8
DB00586,P07864
DB01014,Q8TDR2
DB01028,P02538
DB14509,Q9Y6E0
DB00686,P02675
DB13751,Q02252
DB01146,P43657
DB01406,O14556
DB00381,P31943
DB00843,O00222
DB00142,Q13698
DB00870,P05093
DB13154,P35367
DB15102,P48736
DB04832,Q16881
DB00118,O75311
DB00136,Q14994
DB01127,P28702
DB00769,Q9UF02
DB09085,P47712
DB00892,Q96L42
DB01248,O94760
DB01182,Q14541
DB00201,P54619
DB09481,O14983
DB14487,P48039
DB08814,P24530
DB01028,P05452
DB11386,P28335
DB00834,P49619
DB15233,Q13177
DB03310,P07195
DB05271,P16219
DB00750,Q92953
DB00913,P08588
DB00178,P04279
DB00140,Q08426
DB05381,Q15391
DB00621,Q9H8P0
DB05381,Q99705
DB00237,Q9UI32
DB00509,P54284
DB14845,O14936
DB00244,P53355
DB01148,Q59H18
DB00143,Q96RQ9
DB00222,P00797
DB00623,P41180
DB00191,P22570
DB00151,O94788
DB00949,P38435
DB06782,P15924
DB11703,P04004
DB00829,P24046
DB00947,Q06830
DB00870,Q9HBA0
DB14489,P00441
DB00940,P04271
DB00298,P01375
DB14507,Q06187
DB00408,P27986
DB00819,P05089
DB00233,Q9HBH9
DB04898,P00558
DB01160,P43115
DB01619,Q9H3M0
DB00162,P14060
DB02300,P35398
DB01619,P16389
DB04348,Q9NXB9
DB01327,P14618
DB00984,P05129
DB06202,O14618
DB06757,Q9NZD4
DB01115,Q9ULB1
DB14488,P03951
DB01189,P02656
DB00945,P49760
DB00711,P35968
DB01173,P34897
DB13257,P51693
DB00177,Q9NXB9
DB00298,P22460
DB03310,P02766
DB00489,O00299
DB13952,P30837
DB15102,P07949
DB01708,P07204
DB00811,P53004
DB00268,P09172
DB00947,P06396
DB04574,P01019
DB00843,Q7LG56
DB00807,P26358
DB01090,P32004
DB00968,P22557
DB00651,Q15155
DB00151,P13995
DB14517,P02751
DB00744,Q8TBX8
DB01019,Q15391
DB04834,P60842
DB00555,P54886
DB06789,P24046
DB00623,P33261
DB14489,O60568
DB14491,P01308
DB01259,P51812
DB01296,Q01959
DB01132,Q9HBA0
DB00367,P01591
DB00889,O75936
DB11633,P01137
DB06786,P47712
DB11817,Q96RQ9
DB00262,Q99714
DB11760,P35527
DB00270,P45973
DB01159,P23526
DB00470,Q7Z2W7
DB00233,Q86XP1
DB00192,Q9BQ31
DB02266,P07204
DB13953,P30101
DB13946,Q14624
DB11581,P00750
DB00675,Q8N907
DB00145,P18505
DB00264,Q9UKU7
DB04272,P23219
DB00744,Q8N5S9
DB00502,Q8N5Z0
DB08995,O00305
DB00822,Q02809
DB00484,P0CG30
DB01017,Q93050
DB08949,O75469
DB15617,P16455
DB00905,Q08499
DB06701,P15531
DB00619,P23743
DB00908,P32322
DB01296,P23975
DB00132,P30556
DB11994,Q8NI60
DB06401,P02765
DB00234,P09172
DB00527,P28676
DB06401,P11511
DB11652,P15121
DB00846,Q9UBN1
DB11386,Q05655
DB01157,Q9UBM7
DB01050,P02743
DB00210,Q9NR63
DB08875,Q92772
DB09148,P10809
DB11386,P11229
DB00157,P63261
DB01708,P07451
DB01162,P05771
DB00266,P09622
DB00122,P21796
DB03147,P13645
DB01234,P52429
DB00750,P20309
DB00831,P18669
DB15982,P02790
DB00464,P02818
DB00486,P23528
DB13946,P78330
DB04573,P01024
DB00841,O60656
DB00536,Q16878
DB06151,P08922
DB00487,P68366
DB06282,P04271
DB00621,Q14994
DB04841,P35556
DB00770,P43088
DB00655,P01024
DB00913,O00264
DB01076,P03915
DB09462,Q9BYZ2
DB00242,Q9Y487
DB00745,Q92952
DB00142,P00747
DB00575,P15531
DB03147,O75715
DB00823,P30101
DB15091,P54762
DB04946,P29034
DB00559,P48728
DB00543,P23297
DB00477,P06703
DB00630,P02818
DB00964,Q9UJ96
DB01185,O75340
DB04224,P12104
DB00659,P24046
DB09371,P18405
DB01045,P24046
DB01392,O95477
DB00745,P00439
DB02266,P08588
DB01586,P13995
DB00623,P13693
DB00255,P04003
DB01214,P60568
DB01024,P11766
DB00298,Q9UI33
DB00711,P23458
DB01196,O14764
DB00914,Q13557
DB01211,P78330
DB00509,Q9P0X4
DB00841,P02790
DB01171,Q92947
DB00870,P48167
DB00431,Q01668
DB00903,O15440
DB09118,P03897
DB00950,Q9NR82
DB01120,P80075
DB04272,Q9H1R3
DB00421,O75438
DB00205,O95299
DB01593,P35556
DB04339,O60488
DB05015,P01591
DB13952,O00483
DB14845,Q9Y2K2
DB04846,Q9UKQ2
DB00511,P02787
DB00807,Q08289
DB06207,Q8TDN2
DB00711,P25024
DB11090,P41743
DB00262,P49821
DB14002,Q9H0K1
DB00190,Q9BYV1
DB00204,Q7Z3S7
DB01956,P08100
DB01065,P03952
DB01236,P41250
DB03147,O43772
DB00190,Q16773
DB09371,P49286
DB09209,P04839
DB00343,P10412
DB00145,Q9NVS9
DB00756,P07360
DB00432,Q16878
DB11760,Q15155
DB00121,Q13126
DB00672,Q99712
DB00929,P43119
DB06151,O75385
DB01254,P50213
DB01296,P51580
