0,1
DB00143,P28161
DB01593,P02652
DB01392,P48048
DB08896,P35968
DB09112,P69905
DB00121,P05165
DB00555,P08913
DB01017,P45983
DB00371,P28472
DB00661,Q14654
DB00751,P34969
DB00120,P17735
DB09213,P37231
DB12010,Q9UM73
DB06595,P35968
DB00514,P41145
DB00777,P28223
DB06153,P18825
DB01544,P31644
DB00564,Q01118
DB00683,P47869
DB00243,P25100
DB14533,P20851
DB01593,P02533
DB06144,P28223
DB01185,P03372
DB01406,P03372
DB01403,P35368
DB11901,P34903
DB00313,P35499
DB13946,P10275
DB00228,P78334
DB13872,Q99928
DB00216,P08908
DB12010,Q6PHR2
DB14840,Q02763
DB00841,P03372
DB00732,Q15822
DB00543,P50406
DB00157,P56556
DB00731,Q09428
DB01366,P07550
DB00340,P08912
DB09124,P06401
DB01028,P14867
DB00157,P11586
DB00849,P31644
DB00408,P31645
DB00477,P34969
DB09053,Q06187
DB12278,P20309
DB01118,Q9P0X4
DB06813,P04818
DB00487,P11388
DB00465,P23219
DB00589,P14416
DB06766,P35367
DB14541,P04083
DB01708,Q13224
DB12010,P06493
DB14845,P23458
DB12010,P53671
DB02701,Q9NXA8
DB12010,Q9H4B4
DB01620,Q9H3N8
DB01236,Q8N1C3
DB01159,O14649
DB03619,P09211
DB01238,P34969
DB01403,P08172
DB06176,P56524
DB09238,Q01668
DB01119,P00915
DB00217,P18089
DB13867,P04150
DB00580,P35354
DB11633,Q13936
DB01138,Q96S37
DB14509,P42263
DB14487,P02765
DB00182,Q01959
DB01159,P14867
DB00202,P20309
DB00367,P18405
DB03147,P14920
DB09130,P02649
DB01107,P18505
DB00854,P35372
DB01148,P11229
DB09079,P35916
DB01254,P09769
DB00825,Q7Z2W7
DB00201,Q07343
DB00145,P50440
DB15685,P17948
DB03310,O60760
DB14487,P09874
DB00280,P08172
DB12010,Q14289
DB00904,P35372
DB06589,P09619
DB00918,P28222
DB00585,P25021
DB00509,P10827
DB12010,P54764
DB09089,P11229
DB01069,P51582
DB11093,P30626
DB00780,P80404
DB09085,Q9UQD0
DB15690,P03372
DB01238,P08173
DB01236,P31644
DB13953,Q14457
DB00334,P21728
DB01043,P14867
DB12278,P11229
DB00696,P35368
DB00228,Q14721
DB00897,Q9UN88
DB01337,P20309
DB00917,Q9Y5Y4
DB09079,P35968
DB00252,Q9UN88
DB00934,P18825
DB09409,Q12879
DB06230,P35372
DB00776,P35498
DB00656,P08908
DB00696,P28223
DB11641,P07437
DB00540,P20309
DB06777,P52895
DB00201,O76074
DB01595,Q8N1C3
DB00898,P47869
DB11186,Q9UI33
DB12010,P22694
DB09089,Q9UGI6
DB00809,P11229
DB03310,P09210
DB13345,P13945
DB00477,P50406
DB11689,Q02750
DB14533,P16455
DB14491,P02794
DB00801,P34903
DB00642,P31939
DB01133,P29350
DB01437,P47870
DB00139,P51649
DB00659,P41594
DB12010,Q96GD4
DB01019,P08173
DB00201,Q14432
DB01069,Q9UJ96
DB06777,Q8TDU6
DB01069,Q92953
DB01235,P21917
DB00605,P27361
DB08604,O75469
DB00408,P25021
DB03147,P11310
DB01121,P35498
DB01240,Q9H244
DB00371,O14764
DB00555,P18507
DB00273,Q13003
DB00829,P31644
DB00843,Q14957
DB00243,Q9NY72
DB00513,P08519
DB01162,P35368
DB00315,P28221
DB00938,P07550
DB00312,P78334
DB14487,P01024
DB01267,P34969
DB08868,Q9H228
DB00564,P35498
DB00714,P18825
DB00264,P08588
DB00184,P36544
DB01023,P02585
DB12010,O43353
DB01175,P28223
DB00115,P22033
DB01392,Q15842
DB00543,P35348
DB00721,Q16558
DB06216,P08913
DB00431,P06401
DB01053,Q8TCC7
DB00405,P35367
DB12010,Q14164
DB01437,P18505
DB00296,Q9Y5Y9
DB00328,P42330
DB12001,P11802
DB00555,Q8N1C3
DB00691,P12821
DB12010,P07711
DB08868,O95977
DB04930,P35498
DB09209,P41145
DB01118,O00305
DB11823,Q8TCU5
DB14533,P35527
DB00898,Q70Z44
DB01191,P28335
DB00548,P31213
DB02659,Q96RI1
DB04272,P15086
DB03128,P08173
DB01043,Q14957
DB01069,P22459
DB00210,P05412
DB00543,P14867
DB00239,O75469
DB06589,P35968
DB01002,Q9Y5Y9
DB00603,P18505
DB01200,P35348
DB00231,P34903
DB01135,Q15822
DB01253,P35348
DB08804,P10275
DB00157,P51970
DB09089,O00305
DB08815,P14416
DB01110,Q14003
DB00130,Q06203
DB06204,P23975
DB00285,Q01959
DB06699,P30968
DB00661,Q13936
DB01427,Q08493
DB00148,Q14353
DB00120,O95363
DB00228,O14983
DB01076,P27487
DB08820,P13569
DB11577,P35348
DB00925,P35368
DB01076,Q14994
DB00228,Q92953
DB09130,P68104
DB00246,P21917
DB01558,Q9UN88
DB14533,Q06481
DB08895,P52333
DB00734,P21728
DB01088,Q08499
DB00909,P35499
DB01205,Q16445
DB09112,P68871
DB00143,Q9H4Y5
DB00554,P35354
DB14487,Q13547
DB00184,Q15825
DB09130,P51693
DB00776,Q8IWT1
DB11093,P06703
DB01236,P03886
DB00797,P35367
DB06691,P35367
DB00396,P41145
DB03619,Q96RI1
DB01026,Q14994
DB00228,Q9UJ96
DB09517,P02792
DB01189,P42261
DB09119,Q99571
DB04743,Q9NZK7
DB11994,P20815
DB00957,P10275
DB13943,P03372
DB00829,Q99928
DB00420,P28335
DB11652,P21860
DB00749,P19793
DB05541,Q15858
DB14533,P00736
DB00313,Q15858
DB00382,P06276
DB00398,P35968
DB06774,Q8NER1
DB00313,Q8IWT1
DB00903,P09211
DB00696,P41595
DB00346,Q12809
DB00261,Q14432
DB01586,Q96RI1
DB06151,Q9UPY5
DB09130,P15531
DB00852,P01375
DB11093,P28676
DB14840,P35968
DB00925,P07550
DB09195,P31645
DB01017,Q8TD08
DB08916,P04626
DB11274,P21918
DB00143,Q16772
DB01248,Q9H4B7
DB00907,P35498
DB06262,P18825
DB00797,P08913
DB00813,P41145
DB00631,P09884
DB00543,P47870
DB01028,P47870
DB00880,P00918
DB00508,P21728
DB00246,P20309
DB01656,Q08493
DB12010,Q02156
DB11619,P03372
DB13154,P35499
DB01215,P47870
DB01159,Q9UN88
DB01224,P28221
DB00281,P02763
DB00603,P78334
DB00247,P08908
DB01110,Q01668
DB02659,P14854
DB04871,P28335
DB14487,P01011
DB11235,P08173
DB09238,Q9P0X4
DB00907,Q01959
DB00590,P35368
DB14487,P02647
DB08815,P28223
DB00247,P28222
DB00228,P14867
DB02530,P50440
DB14488,P02787
