0,1
DB11186,Q86VZ1
DB11157,P04279
DB00244,P35590
DB11641,P02655
DB01174,O14841
DB03754,P42858
DB08604,O60488
DB01087,Q92506
DB11081,P30837
DB00244,Q8N4C8
DB00518,P10809
DB00548,P51553
DB15091,P46734
DB00569,P02750
DB00655,P49411
DB14509,P57078
DB00114,P02765
DB01592,P00739
DB00465,P51451
DB08814,P22460
DB11081,P43353
DB09073,Q9HB21
DB01370,P30086
DB11348,P46663
DB00796,P07437
DB06202,P08588
DB11901,O75185
DB00140,P49448
DB09351,Q96RI1
DB00192,P08913
DB15102,P36896
DB01189,Q16836
DB15102,P06213
DB00890,P11137
DB15091,Q13873
DB14507,Q8N5S9
DB00750,Q9NZV8
DB00963,P35228
DB11359,Q9Y694
DB00240,P08758
DB00377,Q14164
DB00244,Q9NYL2
DB01244,P62166
DB11823,O94768
DB00555,P54886
DB13946,P46939
DB00904,Q8TBX8
DB00187,O95299
DB00143,P12268
DB01043,P48723
DB06274,Q16620
DB11093,P62937
DB00841,P02747
DB00333,Q07075
DB13155,P21728
DB01078,P05067
DB02266,O15111
DB03615,P05452
DB00176,P00738
DB14001,Q96PR1
DB00201,Q9P286
DB01251,Q14432
DB01026,Q02928
DB12500,Q9Y616
DB00936,Q9P0J0
DB12500,Q7KZI7
DB00836,Q9UBV8
DB08893,P20851
DB00142,O95180
DB14540,P15428
DB00949,P48664
DB00903,P30711
DB09112,O00299
DB14489,Q6NS38
DB00995,Q13882
DB00763,Q9Y6T7
DB14723,P29320
DB13953,P00736
DB00205,O95168
DB00898,P45381
DB04838,Q8TDU6
DB00372,P00747
DB06151,O14976
DB00205,O60701
DB03310,Q9BYZ2
DB14507,P08922
DB14491,P05155
DB08932,P09874
DB11186,P19320
DB13956,P08700
DB00752,Q16795
DB09401,Q969S8
DB03904,P29972
DB14002,Q9NSY1
DB06217,Q9UBN1
DB13751,P03886
DB06781,P51843
DB08910,P18848
DB00228,Q8N159
DB14491,Q96DB2
DB01181,P49619
DB09526,Q92506
DB11219,P13647
DB14507,Q9UIK4
DB00278,P29034
DB00415,Q9UHD2
DB01254,P12724
DB01019,P47898
DB09517,P01308
DB00163,Q8TBX8
DB00210,Q9Y646
DB01183,P01591
DB03615,P04406
DB03615,P14923
DB00288,Q06432
DB06202,P47869
DB00435,Q9Y5S1
DB00162,P50213
DB00539,P00748
DB00843,P54886
DB09130,Q9Y271
DB00432,P08559
DB00223,P07355
DB00527,P06703
DB01043,Q14330
DB00449,Q99250
DB01166,P02747
DB06712,Q05932
DB09063,O60658
DB11081,Q05932
DB09409,O95264
DB04224,Q8NER1
DB11093,P01024
DB13955,P08319
DB00844,Q99584
DB00561,P09874
DB00772,P98066
DB00465,P00505
DB14543,Q7Z3S7
DB14540,P03915
DB00768,P18825
DB00179,P07947
DB00142,P25103
DB00192,Q13002
DB11186,O43570
DB00984,O60391
DB01698,P43353
DB01028,P05109
DB15091,P54760
DB00918,P15104
DB00432,P40939
DB11081,O14561
DB00756,P31939
DB14541,P14679
DB09149,P15880
DB00756,O60391
DB00415,P22607
DB04817,P29401
DB03088,P53779
DB00936,O95182
DB06151,Q92806
DB00950,Q99584
DB01087,P23368
DB13751,P18846
DB00807,Q16322
DB09116,P19404
DB01026,P40926
DB00711,Q86XP1
DB13751,P11766
DB00849,P08243
DB00360,Q9UQ05
DB03193,P18507
DB08820,P12104
DB00691,P04114
DB00367,P15924
DB00605,O95299
DB00868,Q9UN88
DB04703,P62942
DB00252,P24046
DB00142,P0C0L5
DB08911,Q00536
DB01067,P11473
DB00309,P12104
DB00752,Q92947
DB00830,P26358
DB11093,P07360
DB00262,P11177
DB15690,P27797
DB03128,P00390
DB13751,Q96SW2
