0,1
DB00162,P20839
DB01351,Q13255
DB01189,P38435
DB14517,P81605
DB01229,P52824
DB13954,O75306
DB00896,Q9UF02
DB06718,O95180
DB06151,O75311
DB00504,P35462
DB00396,P02652
DB00227,P40394
DB08899,Q8N159
DB00142,Q06830
DB00624,P10109
DB04930,P04264
DB01586,P16219
DB00755,P51553
DB00159,Q9UNQ0
DB00641,P17568
DB09371,P02787
DB14517,P04155
DB14507,Q9Y617
DB01406,P68104
DB14001,P22694
DB00805,Q9Y5K3
DB04272,Q16288
DB00844,Q8IW41
DB00197,P62807
DB14491,P31749
DB01014,Q13882
DB00281,Q13555
DB00145,P32004
DB14509,Q9BUB5
DB01087,O43676
DB11186,P13945
DB13257,P15814
DB00145,P09525
DB11641,P08603
DB06813,P07864
DB00257,P48549
DB00277,P13647
DB01017,O75385
DB14481,P41143
DB06766,P51787
DB00210,P0C0L5
DB08864,Q9Y6T7
DB00536,O43175
DB14517,P23528
DB11348,P23528
DB01234,Q16760
DB14649,Q01668
DB00255,P06702
DB00945,P56556
DB00756,P31151
DB01197,P03951
DB00796,Q9UJT0
DB06698,P04271
DB00264,P22557
DB00415,Q00536
DB00310,P55789
DB09130,P02538
DB00159,Q14643
DB00006,P10909
DB00677,O15350
DB00298,P17544
DB08818,Q06323
DB14489,Q13547
DB06786,Q15878
DB04871,Q00536
DB11855,Q969S2
DB00169,P35398
DB00768,P60842
DB06595,P52429
DB01327,P31946
DB00179,P55055
DB00756,O95479
DB00145,P68871
DB14488,P81605
DB00621,P19099
DB00838,Q99835
DB01028,P10997
DB11590,O14841
DB00687,P63316
DB06616,O75390
DB13257,P03372
DB00233,Q07912
DB11619,P42330
DB00153,Q9H2S1
DB00157,O00305
DB00659,P17174
DB00142,Q9P0J0
DB14002,P29376
DB14489,P02765
DB06782,P01009
DB13155,Q12809
DB00659,P30536
DB00302,P68871
DB00648,P02538
DB00244,P17612
DB00380,P02652
DB00276,P10828
DB00768,Q99720
DB11186,P61024
DB08895,P99999
DB15617,P14780
DB00909,Q15067
DB01019,Q16620
DB01273,P19878
DB15102,Q7KZI7
DB06154,P14618
DB14895,Q08289
DB00746,P15924
DB01182,P00736
DB14489,Q92769
DB04825,Q16512
DB09048,O14842
DB00648,P02751
DB14491,P14550
DB03754,P03952
DB00306,Q6IA69
DB01268,P63261
DB04837,Q9H244
DB01623,Q9P0Z9
DB00431,P00736
DB00439,O43677
DB01043,P06702
DB15685,Q9H0K1
DB14487,Q99500
DB09130,Q96PR1
DB01428,Q14994
DB14539,P31937
DB00907,P51161
DB02266,P13500
DB09086,P17252
DB15617,P36955
DB03756,P50897
DB00138,Q8N159
DB01708,Q14330
DB13800,Q9BPV8
DB01122,O14939
DB00841,P81605
DB01179,P14866
DB01025,O75636
DB02701,P78330
DB14001,Q9H4B4
DB00138,P54886
DB14489,Q06830
DB14596,Q7Z3S7
DB00276,Q08289
DB09118,P02765
DB00153,P54750
DB00233,P48729
DB00145,P08758
DB06712,P43003
DB01043,P03952
DB06077,Q9Y617
DB14509,Q96Q40
DB06230,P24462
DB00532,P52895
DB00874,Q9P0Z9
DB11619,P06727
DB01593,O95182
DB04703,Q15569
DB14488,P05452
DB01127,Q9Y6T7
DB15091,O14920
DB00239,Q9H8P0
DB01159,Q96C36
DB00313,P31937
DB00241,O00222
DB00465,P51970
DB12500,P29323
DB01588,P24046
DB00415,O14730
DB14489,Q15750
DB00768,P06702
DB00145,P10412
DB15233,O60285
DB00807,Q03181
DB00244,P00519
DB08814,P10635
DB13952,Q16760
DB14507,O15146
DB00939,Q9H422
DB06695,P02775
DB00677,O75636
DB01014,Q13153
DB01327,P14550
DB06709,P54284
DB01180,O14556
DB00281,P57078
DB00612,O94925
DB01043,P29622
DB00132,P51787
DB01744,P20815
DB00195,Q13630
DB13952,P04196
DB08906,P24046
DB09472,Q9Y666
DB11348,Q9UBL9
DB06777,P10176
DB06176,P20851
DB00142,P02766
DB01033,O75380
DB01146,P47712
DB15233,Q9P0L2
DB00228,P24046
DB00945,O75636
DB06249,Q13224
DB00655,P05109
DB00945,P03923
DB01406,P01011
DB01043,Q9Y2T6
DB15102,P07948
DB00454,P48664
DB00185,O00519
DB00179,Q8TD08
DB00145,P35372
DB01028,Q9BYV1
DB11994,P99999
DB01196,P25713
DB01138,Q86XP1
DB01196,P20851
DB15690,P27797
DB00584,P13647
DB09116,P20839
DB06151,Q99705
DB01086,Q15822
DB13154,P23141
DB13751,P00325
DB14487,P05091
DB00170,Q92781
DB01708,P00736
DB00450,P19099
DB00471,Q9NYY3
DB00140,P16219
DB15091,P48736
DB09477,P10909
DB00890,P46663
DB03128,Q99250
DB06153,Q99584
DB01296,P81605
DB13956,O75251
DB03310,P49788
DB06605,P23526
DB13257,P10997
DB04930,P21817
DB01194,P05023
DB09517,P02538
DB01159,P08779
DB00509,Q9H252
DB14649,Q96L42
DB09053,P06733
DB01054,O95139
DB00132,P63252
DB13952,P23743
DB14975,P02775
DB09092,P02747
DB00995,Q7L7X3
DB00824,P18505
DB00605,P51970
DB00163,P17658
DB00145,P14780
DB14723,Q9UL54
DB12010,P07360
DB14649,P31644
DB00145,Q8NER1
DB09517,P49411
DB11823,O43353
DB00205,P30519
DB00680,Q8IW41
DB00655,P00736
DB06151,P43487
DB02701,O94788
DB00904,P03915
DB00823,P19099
DB00418,Q14032
DB01194,Q9NY72
DB14509,Q12851
DB00145,Q9BQ31
DB06603,P05546
DB00142,P03905
DB11611,Q92769
DB01009,Q969S2
DB00178,P05109
DB00151,Q6IA69
DB14509,O75747
DB00145,Q02641
DB13154,P56373
DB08604,Q08289
DB15233,P53350
DB09130,P28676
DB01248,P52429
DB09118,P03923
DB01698,Q13423
DB09118,Q9NXA8
DB00140,O43677
DB04938,P05109
DB03147,P27797
DB13956,P11586
DB06782,P14618
DB15233,P19525
DB05260,P29074
DB06151,Q13698
DB00255,P15169
DB01043,O60701
DB00755,O15239
DB01043,P17735
DB15685,Q9Y2K2
DB14845,Q9NQU5
DB02266,Q9UBN7
DB15685,P11309
DB06777,P48448
DB00896,Q92731
DB02659,P15428
DB04938,P49411
DB00753,P10997
DB06603,P04075
DB11093,P08697
DB00823,P16083
DB14544,Q9UDR5
DB03619,P32418
DB00471,Q15418
DB00947,P49286
DB00153,P30926
DB04930,P04004
DB06151,P51957
DB00239,Q9UN88
DB00914,Q59H18
DB03310,P08185
DB00191,P00387
DB09070,P17252
DB04339,P08172
DB11274,Q9UQD0
DB13155,P35368
DB00874,Q12809
DB00765,Q9NSD9
DB01073,P31350
DB00890,P60174
DB15566,P35228
DB15690,P35858
DB00755,O75380
DB06710,P06702
DB01273,P04839
DB00142,P26447
DB01452,P51161
DB01370,P04196
DB01131,P03897
DB14649,Q13164
DB00421,Q02083
DB11817,Q14123
DB13346,Q14330
DB06626,Q16134
DB00570,P10997
DB00257,Q9NS40
DB01018,Q96A70
DB00521,P60568
DB01101,Q16795
DB11386,P28222
DB00892,Q02218
DB00831,P51858
DB13995,O75340
DB01592,O60568
DB01064,P45381
DB09116,P14060
DB11641,P02647
DB12612,P00736
DB00126,P21917
DB11901,P32004
DB00157,P27361
DB00313,Q14541
DB00139,P23368
DB00411,Q14542
DB08875,P29376
DB06151,Q9Y646
DB00798,P00367
DB06176,Q02383
DB09149,P23528
DB01196,P35858
DB01436,P23219
DB04824,P11137
DB00277,P04217
DB00373,P15428
DB12978,P21860
DB00572,P36955
DB00139,Q92781
DB00239,P10636
DB00175,Q02928
DB00703,Q9Y2T6
DB01592,Q9BY66
DB00712,O14964
DB00648,P01011
DB06802,P35228
DB00132,P02753
DB01159,P37840
DB09477,P29372
DB01115,P62166
DB14975,P23246
DB00415,O95747
DB00852,Q71U36
DB15102,Q7L7X3
DB08877,P12724
DB11644,P45381
DB00239,P18507
DB06757,Q8N907
DB09118,P40939
DB00795,Q13574
DB00431,Q9NS40
DB01956,P51787
DB04575,P34972
DB01079,Q8WWQ8
DB14540,Q15738
DB00831,P04004
DB00132,P30556
DB00192,Q9NS40
DB09061,P06702
DB00600,O43920
DB09112,Q8N907
DB14507,Q04759
DB01624,P23297
DB00244,Q00537
DB00679,P13647
DB04825,Q16513
DB09086,P04035
DB14487,Q92806
DB00602,P98194
DB00241,P17735
DB00449,P10827
DB13952,P0C0L5
DB00142,Q14330
DB00642,O14561
DB00972,P23297
DB06766,P35498
DB11619,Q14994
DB00756,P54687
DB11691,P21796
DB13800,Q9H244
DB04839,O60359
DB00119,Q05586
DB15035,Q02127
DB04838,P24311
DB00257,Q08289
DB00157,P31152
DB09129,P09769
DB12500,Q02779
DB01157,P10515
DB00605,P08319
DB06176,P02790
DB00977,P46736
DB00449,P47900
DB14001,Q15858
DB15685,Q9NYL2
DB15566,P31213
DB06689,P05546
DB01186,Q96L12
DB00655,P51693
DB01179,P62807
DB01054,P24046
DB00179,Q9BVS4
DB00845,O60488
DB00746,P08779
DB06766,P23297
DB00768,P51693
DB04843,P31152
DB00227,P14061
DB01088,Q13946
DB11090,P48051
DB00755,P50213
DB06151,O96013
DB00482,O75715
DB00233,P17050
DB00539,P06727
DB11348,P06733
DB00333,Q9BYV1
DB01260,P14060
DB00145,Q8N907
DB01095,P47895
DB00995,Q9NQU5
DB13952,P02787
DB01214,P18850
DB11219,P23219
DB00361,P02655
DB13269,P51649
DB04574,O14521
DB06209,O43252
DB01065,Q9UKU7
DB05812,P29803
DB01085,P14410
DB04224,P42330
DB01956,Q14624
DB06710,Q14624
DB00439,O75380
DB11644,P22626
DB00711,O60674
DB00114,Q9UPY5
DB09092,O75380
DB01026,Q99714
DB01210,P17544
DB00145,P02775
DB06757,P08697
DB11644,P60174
DB00603,P08700
DB14542,O75251
DB00178,P02765
DB01236,P14866
DB11148,P22459
DB00312,Q5KSL6
DB11093,Q9UK17
DB00142,Q15858
DB01253,Q15418
DB14491,P01009
DB14481,O00299
DB00868,Q9BPV8
DB03615,P11142
DB13954,P30519
DB01081,P27487
DB00142,P14550
DB00914,Q9H422
DB06249,P05067
DB01593,Q9HA77
DB00811,P00352
DB00600,Q08426
DB00622,P16499
DB00337,Q14012
DB00363,Q16775
DB00936,P14061
DB00233,Q9C098
DB14542,Q02218
DB01254,P15086
DB01157,P14060
DB04703,O15530
DB15598,P48050
DB00882,P15169
DB08815,P14060
DB00500,P54756
DB06176,P02747
DB06710,P81605
DB00642,P30519
DB00768,Q9UJ96
DB00179,O43526
DB01608,P10109
DB01236,P00505
DB12010,O60658
DB00647,Q9H015
DB01146,Q16873
DB01189,P13645
DB00421,P49419
DB01043,P02795
DB00427,P04271
DB01131,P23368
DB00768,P01011
DB01019,Q8TDN1
DB14533,Q16878
DB00642,Q16795
DB11791,P30530
DB00298,P16860
DB01956,P43487
DB00755,P00387
DB00233,P48736
DB03615,O15304
DB11148,P05023
DB13873,P16152
DB11156,O15304
DB11641,P25311
DB00418,O14841
DB13954,P08319
DB06695,P31942
DB00912,P48167
DB06249,P45381
DB14509,P41240
DB01233,Q13188
DB00599,O14939
DB03793,Q9UKU7
DB13751,Q13423
DB09112,P29372
DB11791,Q12851
DB00493,P29376
DB02266,P05771
DB01296,P06858
DB09270,P47895
DB00870,Q96SW2
DB01192,Q9H2G2
DB00902,Q9UBL9
DB01259,O00238
DB11090,P45983
DB06213,P31644
DB00539,P00367
DB03193,Q8NER1
DB00864,P09038
DB05239,Q9BY32
DB00425,O75914
DB00119,O15269
DB00598,P09466
DB00142,P16389
DB00431,P17252
DB01039,Q9UNK4
DB00170,O75438
DB08860,P49448
DB06217,P08069
DB00972,P13073
DB03310,P63261
DB00179,Q9Y4K4
DB00536,P23368
DB09237,Q16099
DB14509,Q6PHR2
DB04703,Q96PY6
DB00768,Q12809
DB00631,Q7LG56
DB11186,Q14003
DB01143,P14598
DB00569,P04217
DB01120,P99999
DB11348,P01023
DB00568,P80511
DB00445,P15880
DB08818,P02747
DB14541,P00374
DB06249,Q8TCU5
DB01196,P16220
DB11581,P31151
DB09129,O00750
DB00677,P11021
DB04272,P36897
DB13154,P00915
DB00629,P56556
DB14540,O95298
DB00591,Q96FI4
DB06401,P49286
DB00988,P41238
DB01185,Q08289
DB01098,P56556
DB00364,P07357
DB13615,P41143
DB06782,P02747
DB14491,P02538
DB01087,O96000
DB01197,O15217
DB00795,P49619
DB00178,P35858
DB00555,Q9Y646
DB01626,P16435
DB00721,Q8N5Z0
DB11691,P19878
DB08950,Q96L42
DB06176,Q06481
DB13783,P09466
DB01146,O95665
DB14541,O95182
DB00596,Q15878
DB15233,P62942
DB00768,Q9UBV8
DB00132,Q9NPA2
DB00233,O60674
DB00242,Q9HBG4
DB09080,P11177
DB14509,P51451
DB09517,P02750
DB11644,P32119
DB09371,P00450
DB01251,Q9BXT2
DB00605,O43676
DB00006,P07357
DB15685,Q9Y6R4
DB08911,Q9H2K8
DB14533,P13945
DB00824,Q9UI33
DB00296,P15954
DB14489,P30405
DB01043,P32119
DB00563,P03897
DB05015,Q06830
DB01189,P63244
DB00163,O43525
DB04930,P51693
