0,1
DB01023,Q14432
DB00752,P22888
DB01216,P25024
DB01590,P30086
DB09076,Q15139
DB00882,P46734
DB01227,Q03393
DB06202,P35869
DB00461,P14923
DB00498,Q05940
DB09327,P11712
DB00653,P28221
DB00130,Q8NEY4
DB00877,P46939
DB00565,P20711
DB14490,Q13233
DB04824,P48039
DB00794,P31350
DB00304,Q16647
DB01210,P48039
DB00851,O95342
DB04743,P02655
DB15598,Q9NPA2
DB00732,P00390
DB08865,P08922
DB00816,Q14181
DB03310,Q13698
DB01587,P10809
DB01089,P35908
DB03147,P30926
DB00806,O14732
DB14845,O95747
DB04115,P36969
DB00788,P49281
DB00306,Q9UGJ0
DB01219,P12814
DB00706,Q04912
DB08918,Q9H2M3
DB00280,Q16322
DB01158,O75936
DB06287,Q8WUI4
DB01590,P00387
DB00876,Q9Y698
DB00598,Q9Y4K4
DB00737,P03372
DB00854,Q96D53
DB00230,Q05932
DB11859,O43708
DB00798,P51553
DB00806,Q9UHI5
DB00637,Q01064
DB08329,O96017
DB11496,P62714
DB00373,P49821
DB01107,Q9Y6K1
DB08880,P31350
DB11632,P46939
DB05351,Q13946
DB00736,Q16659
DB04339,O95169
DB00843,P19793
DB00342,Q9NY72
DB00493,P04155
DB05246,P43115
DB04348,Q96I15
DB01165,P16083
DB01193,Q9UGN5
DB01011,Q9NY72
DB01179,P01031
DB00521,Q9HBH9
DB01160,P20020
DB00941,P32004
DB00490,P80075
DB12332,Q9Y2T6
DB00732,P02750
DB08809,O15530
DB00938,Q92506
DB00605,P78330
DB08995,P48167
DB00637,P22607
DB00713,P36543
DB00782,P08514
DB00413,Q16558
DB01142,P40394
DB06800,P37058
DB00956,P16435
DB01135,Q9ULD8
DB01251,Q09470
DB00570,P29317
DB13873,P11177
DB00237,Q9UK17
DB00569,Q8N5Z0
DB00490,P01584
DB00680,Q9P2K8
DB00999,O00264
DB00969,P54219
DB00586,O75489
DB00270,O95299
DB01283,Q05901
DB00357,P35367
DB11642,Q9UI33
DB04861,P30043
DB01623,Q14833
DB06712,O60840
DB04115,P42858
DB01121,P56282
DB00248,P11274
DB00334,P15880
DB01624,O75899
DB11386,P49619
DB11652,Q9UBF8
DB00655,Q9NYL2
DB00346,Q9NRF9
