0,1
DB00708,P05412
DB01097,Q6IA69
DB00585,Q9P286
DB01236,P04070
DB00467,Q9H422
DB00802,P53667
DB00927,P43155
DB06695,Q07864
DB01088,P22033
DB00471,P48506
DB13155,Q86W47
DB00603,P00747
DB04930,Q05209
DB00691,Q15185
DB01303,P31025
DB01259,O14958
DB09216,Q9UHD2
DB00984,Q02818
DB06774,Q13003
DB01399,Q9Y5S8
DB06689,Q15825
DB00598,P22352
DB00257,Q9BXT2
DB00904,P52333
DB00918,P31749
DB15617,P32322
DB00532,P68366
DB05541,Q9H3Y6
DB00984,Q9UBL9
DB01228,P49069
DB00541,P47870
DB00678,P49840
DB01608,P54760
DB01437,P01042
DB01138,Q8TAE7
DB13257,P21266
DB00327,Q8NBN7
DB01394,P02533
DB06764,P60174
DB00700,P08263
DB00818,P19099
DB01274,P25105
DB08881,P48048
DB00481,P08173
DB01399,P27986
DB00316,P32297
DB00262,P50213
DB00598,P37173
DB00437,O75715
DB00621,P52429
DB00617,P16615
DB06594,P17936
DB13952,P25105
DB00448,O15399
DB00195,Q16878
DB00399,P23560
DB00169,P23634
DB11963,Q9NP56
DB00353,P84077
DB01608,P43003
DB00387,O94804
DB00499,O75911
DB00610,P05543
DB01168,P56937
DB09327,Q8WYK2
DB00459,O43617
DB08964,Q96Q83
DB06800,P31152
DB06788,P28335
DB11730,Q5KSL6
DB00877,P31749
DB01656,Q93086
DB00228,Q96PY6
DB01625,P21462
DB00633,P48637
DB00437,P41595
DB00387,Q15569
DB00598,P43652
DB01628,P35348
DB00449,P30838
DB01656,Q9NYX4
DB11853,O75600
DB06204,P01009
DB00633,Q9NYV7
DB06718,P09669
DB13783,P05164
DB01021,P04839
DB01218,O95259
DB09389,P39023
DB01221,Q969S8
DB11660,P19525
DB13179,Q9HBG4
DB12141,Q9UHQ9
DB01197,Q16719
DB01261,P84077
DB00368,P08603
DB09460,P13674
DB00598,Q96GD4
DB01125,P01019
DB00388,Q9Y6Y9
DB12941,P54710
DB06707,P06733
DB01396,Q14957
DB00464,P68871
DB00201,P16860
DB00361,O60603
DB01291,P24530
DB00247,Q05397
DB13943,Q9NSY1
DB01267,Q9Y5K3
DB08881,P28223
DB00986,P00533
DB00472,Q01668
DB00423,O43193
DB00487,P23297
DB01620,P07359
DB00889,P09429
DB09270,P16234
DB04948,Q9NPC2
DB01087,Q7KZI7
DB00647,P18545
DB01195,P05109
DB01010,Q8NET8
DB00498,P36955
DB11978,Q99653
DB14575,O95342
DB00946,P02533
DB01382,Q99720
DB00863,P07359
DB09389,P14902
DB05351,O95470
DB01191,O15528
DB01098,Q9UBN1
DB01138,O15403
DB00717,P43088
DB04224,P09038
DB00519,P11388
DB00574,O43525
DB01744,Q16099
DB00468,P04279
DB00677,P06858
DB12278,P21917
DB01599,P21918
DB06153,P63244
DB00509,Q9Y4U1
DB09091,Q6V0L0
DB00776,Q9UJ96
DB01198,P41238
DB09118,P10826
DB00753,P22460
DB14544,P48443
DB00721,P13631
DB00726,Q9Y698
DB01100,Q12882
DB01110,P10915
DB00867,P56556
DB06691,P08581
DB01399,P51843
DB01213,P00742
DB00134,P08235
DB00221,P42330
DB00281,O43353
DB00816,P22748
DB00405,P32322
DB13952,P21283
DB00340,P30085
DB00846,Q14520
DB00845,P00797
DB09078,P30049
DB01067,Q9UQL6
DB06725,P68104
DB01035,P21589
DB00998,Q16775
DB00163,P06239
DB00838,O43617
DB01081,Q13639
DB04837,Q9NS18
DB14723,P23297
DB06701,P43652
DB00293,O15528
DB00552,Q9UJT0
DB00327,Q9H3Y6
DB00243,O15374
DB01043,P13073
DB01382,P48039
DB04703,Q9H3Y6
DB00563,P30038
DB00245,P24941
DB11496,Q14432
DB00309,P41240
DB01608,P08243
DB01001,P12814
DB06709,Q00987
DB00213,O94788
DB00788,P24941
DB09080,Q9UBN1
DB00162,Q13153
DB09555,P35368
DB13954,Q9Y2U5
DB00968,P22557
DB00636,O75469
DB01452,P51649
DB00346,P02649
DB00737,O60427
DB00200,P29034
DB01105,Q09428
DB00927,Q14697
DB08809,Q9UQ05
DB00186,P48029
DB06695,P18545
DB01380,P02763
DB00200,Q03721
DB00257,P46734
DB00211,P23634
DB13257,P37058
DB09167,P54762
DB06176,Q16099
DB00636,P56181
DB01053,Q01064
DB01288,Q96EN8
DB00737,P36543
DB14723,P03897
DB00497,O14764
DB01624,P00450
DB14002,Q13488
DB00504,Q9ULB1
DB01378,P37058
DB00617,P04181
DB01175,P02671
DB01053,P56556
DB00953,O15270
DB00970,Q14541
DB00979,P49585
DB06154,Q9NWZ3
DB01337,Q93088
DB01380,Q06187
DB01059,Q9Y6R4
DB11581,P18847
DB01075,P51955
DB00780,P61769
DB00771,P32322
DB11994,O14521
DB00138,P18545
DB00483,Q12879
DB01176,P40933
DB00642,Q93088
DB00710,O15528
DB09073,Q9UJ96
DB11760,Q5JPH6
DB00248,Q14571
DB00966,O95819
DB00472,P05089
DB00661,P14061
DB00909,P54762
DB01127,Q02252
DB00682,Q9NRP7
DB14881,P23219
DB13167,Q00975
DB09026,Q9Y5Y9
DB00685,Q09470
DB01428,P13498
DB06786,P31025
DB00835,O95263
DB00492,O95747
DB09049,P14410
DB14499,P56937
DB00226,O43451
DB09080,Q9ULY5
DB00237,Q71U36
DB00733,Q00796
DB04834,P30926
DB00755,Q15139
DB01559,P02746
DB13946,O43674
DB11995,P49908
DB00644,P20020
DB14583,P41143
DB00508,P23975
DB01327,P35869
DB00988,P08865
DB06218,P17405
DB06756,P62312
DB11157,P49619
DB00715,P34903
DB09148,Q92753
DB01262,P99999
DB04898,Q93050
DB12789,P41146
DB03193,P10412
DB00768,P07101
DB00287,P02743
DB00710,P10915
DB01209,P43681
DB02925,Q99437
DB13967,P35754
DB13520,P41231
DB06216,P07864
DB00818,Q04609
DB01133,O95069
DB00825,Q8TCU5
DB01348,O94925
DB00834,P98066
DB00892,Q9BVS4
DB01241,O95864
DB09291,P02656
DB00783,Q14643
DB08867,Q92887
DB08949,Q15208
DB00216,P09455
DB08804,Q06203
DB01135,Q9H0K1
DB01054,Q9Y5K8
DB01053,P00738
DB00366,Q8NFJ5
DB08875,Q9BXA7
DB04575,P11473
DB11362,P07711
DB11219,P16083
DB06230,P02679
DB01600,P54750
DB01212,Q02127
DB00118,Q16659
DB01086,Q16539
DB00421,P17174
DB04938,Q8TDU6
DB00686,Q9NSD9
DB00690,P00747
DB01130,Q03393
DB01436,P48039
DB00402,P08243
DB00462,P62312
DB09128,P28482
DB00138,Q5JVS0
DB09488,O00329
DB14512,Q9H228
DB06267,Q9H3Y6
DB00775,P22460
DB01193,Q8TC12
DB00575,P06213
DB00503,P28223
DB04846,P07949
DB00570,P06493
DB01280,Q9NPD5
DB00913,Q16720
DB00672,Q0VD83
DB01576,P08253
DB01119,P50416
DB11093,P33151
DB01165,P02747
DB00219,Q16678
DB00682,Q9NPA2
DB00361,P10636
DB14596,Q9H3M0
DB06152,P30711
DB01297,P55055
DB06410,P51692
DB01403,Q9UM73
DB14533,P55789
DB06699,O95477
DB09462,O75306
DB01194,P14735
DB06777,Q99640
DB01348,Q9UHW9
DB08881,P01009
DB05812,P68371
DB00648,P09525
DB00797,Q9HCR9
DB14491,O76082
DB01370,P54886
DB01291,P63000
DB00825,Q9H228
DB00680,P30043
DB11994,P28161
DB00580,P05164
DB14001,O43526
DB00939,P04155
DB00635,P09622
DB00549,P14923
DB00755,O60285
DB09091,P00450
DB00317,O14649
DB00736,Q9ULB1
DB01173,P32322
DB01698,O60488
DB00968,P30532
DB01062,P02743
DB00907,Q04759
DB01241,P00739
DB00979,P35968
DB11644,P52209
DB01039,Q92753
DB01698,Q9NY72
DB01132,P09669
DB00136,P80075
DB00344,Q9HC29
DB01087,Q9UBL9
DB09167,P27986
DB14669,Q02252
DB01028,P13569
DB01175,P37059
DB00599,P15954
DB00481,O75936
DB04840,Q9Y6J6
DB00783,P10915
DB09075,P02585
DB00703,Q9Y600
DB01024,P00533
DB00411,P30041
DB01193,O14958
DB09070,P29317
DB00266,Q9NRF9
DB00373,P28702
DB11837,O15547
DB11157,Q04759
DB01338,P18507
DB00952,P09455
DB01097,Q9Y5Y4
DB00521,Q9UQM7
DB01157,P43405
DB00496,P04035
DB00849,P15313
DB08910,P02746
DB00282,P25713
DB00990,P09884
DB11652,P13196
DB01175,Q9UNX9
DB06230,Q15118
DB00465,Q7KZI7
DB00754,Q01959
DB06751,P35398
DB00451,P03952
DB00944,Q13554
DB00411,P06396
DB01181,Q14573
DB01156,P11229
DB00293,Q9UNK4
DB08881,O95479
DB14481,P09917
DB09241,P29972
DB11691,P32004
DB00830,Q9NYL2
DB06777,O15075
DB01196,O95665
DB08828,Q71U36
DB01558,P43003
DB00967,P06276
DB11614,Q15418
DB05294,Q96L12
DB09090,Q8IW41
DB00670,Q9UHD2
DB00721,P08700
DB00540,Q92570
DB06725,P31645
DB04834,P34903
DB01226,Q13555
DB09089,Q9UHF0
DB01407,P00748
DB06780,P15428
DB00876,Q8NI60
DB01001,P03905
DB11963,Q8N8R3
DB09131,P07355
DB00280,P12104
DB00626,P02792
DB00273,P28702
DB08949,Q96RP8
DB11699,P48723
DB00905,P78559
DB06228,P0CG29
DB00797,Q9BYV1
DB00139,Q9BY32
DB01579,P41231
DB00140,P17302
DB09488,O60427
DB00503,Q9Y616
DB00491,P21709
DB01205,P23743
DB00177,Q16772
DB08912,P08235
DB00119,Q96GD0
DB00752,P27797
DB00387,Q9Y666
DB05039,P05090
DB00949,P49286
DB01214,P42574
DB00409,Q02218
DB00628,P48551
DB09124,P52209
DB00481,Q02641
DB00527,P49840
DB00568,Q06323
DB00565,P16455
DB13872,Q8IWT1
DB00654,Q14003
DB00584,O43525
DB00321,P08559
DB04348,Q4U2R8
DB09330,Q9UHD2
DB00235,P01106
DB01084,P38435
DB00924,Q14643
DB00360,Q8N8R3
DB00845,Q14542
DB00328,P35556
DB01221,Q08493
DB01327,Q07869
DB01339,Q13332
DB00209,Q99712
DB00839,Q9UGN5
DB01247,P00395
DB09070,Q9Y617
DB01037,O76083
DB00913,Q04912
DB00564,P10632
DB04843,P45983
DB01079,O15382
DB00333,P05090
DB01144,O00238
DB09216,P51813
DB00500,P49761
DB06218,Q06830
DB06789,O95907
DB09076,P30530
DB00574,Q13557
DB09148,P31040
DB04821,P21796
DB00683,P02649
DB09054,O95819
DB09073,O15217
DB13967,P08908
DB00683,Q9UK32
DB11757,P22459
DB05039,Q15493
DB00628,P31040
DB00591,P51693
DB03255,Q9NZK7
DB00412,Q14833
DB02546,Q05397
DB11853,Q16790
DB00544,Q16719
DB01059,P07686
DB09212,P05093
DB01080,P34972
DB01024,P19878
DB04898,P04217
DB00829,P01133
DB09460,P06744
DB00653,O43526
DB01580,P10635
DB01164,P54219
DB09131,Q9UNQ0
DB00233,P56282
DB01078,P10828
DB11986,P80303
DB00984,P20711
DB00956,P36897
DB11235,P41250
DB08877,P46098
DB05271,P27824
DB04920,P22352
DB06691,O14730
DB00379,Q02641
DB01435,Q9ULY5
DB01558,P42336
DB00244,Q9Y6K1
DB09241,P78352
DB01221,P20815
DB00193,P51575
DB11641,Q9Y2U5
DB06766,P28223
DB14895,P12004
DB00579,P25021
DB00432,P17405
DB00877,Q13547
DB00181,O43570
DB03615,P68104
DB00509,P49619
DB08895,O43252
DB01409,Q9NR96
DB00380,Q86VZ1
DB01081,P23297
DB09477,Q15596
DB00327,P07327
DB00276,O00204
DB00983,Q14353
DB00241,P23246
DB01579,Q06278
DB00118,P08263
DB00622,Q9UGN5
DB01073,P54619
DB04224,Q8TD08
DB06153,Q9UGM1
DB06262,Q16853
DB14541,P54284
DB06782,P13611
DB00962,P07900
DB00014,Q6YP21
DB00434,Q9H2S1
DB00381,P53667
DB01133,P02795
DB00007,P21817
DB08911,P21728
DB06787,Q9UHQ9
DB08439,Q9Y5Y4
DB00593,O60840
DB00708,Q9HBH9
DB01589,P04035
DB09053,P36543
DB08872,Q99714
DB00876,Q07864
DB01012,P49281
DB01217,P47898
DB00795,P00387
DB08897,Q96GD0
DB13967,P46734
DB00527,Q02252
DB08860,P49840
DB11081,Q00534
DB06814,Q15080
DB14575,Q13085
DB00690,Q8IVL6
DB01231,P05089
DB00205,P15814
DB00909,P11511
DB01183,P51787
DB00695,P21695
DB06637,Q14978
DB00528,O14958
DB00295,Q99527
DB00647,P04114
DB01173,O00469
DB00134,Q13956
DB00192,P27816
DB01175,P35354
DB00606,P23634
DB08865,P41595
DB14631,P11926
DB00651,Q16773
DB01189,P32929
DB00342,P45381
DB06689,Q9UJT1
DB01114,Q15080
DB01010,P25103
DB01400,Q07075
DB00951,P80303
DB00287,P48551
DB01191,Q86W47
DB11691,P21918
DB12278,O43920
DB01081,P51692
DB00132,P46597
DB12364,P28161
DB00849,Q03721
DB09049,Q8WXS5
DB09026,P15153
DB00176,P07204
DB00725,Q9UGI6
DB01173,P48637
DB00357,P50406
DB06202,Q9H228
DB00554,P43115
DB00509,Q14643
DB01026,P35908
DB00252,Q14457
DB00670,Q16832
DB01426,Q96SW2
DB00623,P41240
DB00941,Q9HAB3
DB00703,P53667
DB06287,Q06187
DB01576,O95954
DB00439,Q9Y2H1
DB00185,Q9NPH2
DB00445,P21918
DB00783,Q8TED1
DB01370,Q969S8
DB04842,Q13315
DB01143,Q04609
DB09129,Q9Y271
DB00928,P13500
DB00776,Q9BY32
DB11995,Q93086
DB09280,P56556
DB00865,P10415
DB13155,P19525
DB13867,Q02083
DB00939,P07101
DB00457,Q10588
DB06700,O14842
DB01089,P00505
DB00448,P34972
DB01176,P19113
DB00812,Q6YP21
DB01296,P04217
DB00227,Q14994
DB00962,P06276
DB09462,P19525
DB01085,P15531
DB01197,Q8N8R3
DB00951,Q06481
DB00270,Q06323
DB00533,Q8NFJ5
DB00929,Q16595
DB00288,Q969S8
DB00934,Q14457
DB00519,P35556
DB08916,P48029
DB00821,P22033
DB00871,P43003
DB00933,P68371
DB14002,Q9H4B4
DB01001,P22607
DB00159,O60285
DB00448,P48549
DB00598,P19113
DB00383,Q16772
DB06410,P07437
DB01262,O00305
DB00715,P32418
DB00415,P78356
DB06813,Q96RQ9
DB09124,Q7L7X3
DB00568,P33527
DB13954,P46663
DB09526,P49019
DB00574,P18507
DB06267,Q9UKQ2
DB00986,P24462
DB00169,P67775
DB00531,P30101
DB01105,O15350
DB09270,P42898
DB00298,P27338
DB01047,Q16584
DB00648,P05090
DB11921,P43353
DB04573,O43617
DB00187,P18089
DB00179,P26439
DB01070,Q9UP52
DB00353,Q9H3Y6
DB00502,P08620
DB13944,P39086
DB11079,P12268
DB14575,O60391
DB00606,P23458
DB11640,P02795
DB00831,O43283
DB01262,Q16584
DB00471,O15392
DB11591,Q06418
DB15690,P20309
DB00431,Q06278
DB06287,P52209
DB04844,Q8TDR2
DB00370,Q9UBN1
DB00996,P22557
DB00373,P98066
DB00247,P10635
DB00549,Q7KZI7
DB00228,P10275
DB01345,P30926
DB00586,P26440
DB11633,P00367
DB06201,P43405
DB00704,P04731
DB00388,Q15750
DB06148,Q06432
DB00264,O00264
DB00686,O00444
DB04908,Q9BY66
DB11757,P08559
DB00804,P24941
DB14583,Q07864
DB06287,P48448
DB00436,Q9NYY3
DB03793,Q9NR63
DB01114,P41222
DB00641,Q9UHW9
DB08882,Q14833
DB00947,Q8NI60
DB09241,Q16654
DB11359,Q12852
DB00491,P21397
DB00996,O43193
DB15566,P10828
DB00691,Q8IVL6
DB08875,O00469
DB13139,P40933
DB01419,P36956
DB00896,Q9UJ96
DB06751,P31151
DB01165,P28472
DB00845,P13498
DB00287,Q6V0L0
DB14541,P52564
DB00169,P06213
DB00985,P29376
DB01577,P52333
DB12371,Q92569
DB00773,Q9UBF8
DB08818,P51857
DB03193,P42261
DB00285,Q9UPZ9
DB01348,Q99714
DB00342,Q9Y487
DB01195,P10997
DB14543,P05121
DB00675,P27338
DB00905,P21817
DB01184,Q9Y617
DB00918,Q9NZV8
DB00187,Q13237
DB00824,Q9UBC3
DB00831,O75390
DB11703,O60701
DB00661,P28331
DB00482,P10909
DB01708,P23634
DB14488,P01138
DB00751,Q9H252
DB00830,P27448
DB00782,Q9UI33
DB04703,Q9UEW8
DB09063,P01308
DB06709,P02794
DB00838,P54619
DB01011,Q9UKV0
DB00282,Q9NP56
DB00572,P56696
DB00823,P30968
DB00393,P50213
DB00441,O75838
DB00296,P48547
DB00944,P25021
DB05294,P20132
DB00181,P05129
DB00176,Q15750
DB00821,O95977
DB00647,Q96EN8
DB00651,Q9UKE5
DB12483,P00558
DB09272,P14625
DB00665,P25024
DB00315,O76074
DB00245,P42338
DB04843,P41240
DB11587,P02747
DB04820,O14764
DB00217,Q9NYL2
DB01403,P22309
DB13996,P31645
DB02701,P11362
DB12371,O15067
DB01624,Q9UKE5
DB06207,P29622
DB00993,Q06432
DB00494,Q13370
DB01006,O15111
DB00411,Q9UKI8
DB09080,P00441
DB01119,P35372
DB00327,O75936
DB15444,Q15493
DB04348,O60359
DB11614,Q8IWT1
DB00673,Q9Y6L6
DB00716,P49760
DB00344,P01008
DB00231,P16219
DB06766,P05543
DB00380,P16152
DB00937,P30044
DB00695,Q14457
DB00665,O75116
DB01070,P00558
DB01222,O43175
DB00533,P18847
DB14543,Q99808
DB09086,P48507
DB01090,Q9Y646
DB00813,Q15569
DB00114,P22570
DB00631,P00734
DB01336,P11216
DB14500,Q9H228
DB00383,P29275
DB06077,O75716
DB00599,O15427
DB00725,P13945
DB00771,Q9NR63
DB00508,Q9P289
DB00881,Q9NR33
DB01125,P49189
DB06249,P15538
DB00874,P27824
DB00197,O15270
DB00914,Q13133
DB00924,P12277
DB13269,Q16539
DB00307,P61769
DB01273,O15547
DB09241,O00750
DB01106,O60656
DB11691,Q9UL54
DB12941,Q16775
DB00347,Q969S8
DB11963,P51582
DB01183,Q9Y5S8
DB00620,P00739
DB00444,Q13131
DB09185,P15531
DB08899,P43155
DB00640,Q05901
DB00710,Q13547
DB00285,P35408
DB00518,P22607
DB11587,O43676
DB00310,P42680
DB09128,P01019
DB06699,P02775
DB03255,P27169
DB00494,P49840
DB00404,P01375
DB00988,Q92952
DB01409,P29372
DB00725,P08519
DB00657,P15121
DB01600,P16499
DB00592,Q9BQ31
DB13995,O00555
DB08950,P62942
DB11590,Q9UHD2
DB01086,Q96Q40
DB14975,Q8NBN7
DB14539,P36956
DB03088,O00555
DB06267,O95479
DB00163,P51648
DB04573,P63244
DB00679,Q92781
DB01437,Q13153
DB15102,Q8N159
DB00592,Q13002
DB01392,P31644
DB13720,P49908
DB01084,P36969
DB00951,Q08499
DB13179,P63252
DB00377,Q9C098
DB09053,P10635
DB15102,Q6NUM9
DB00820,P23921
DB00715,Q14831
DB00686,Q99712
DB14669,P41146
DB01204,Q9HBH9
DB00227,P62714
DB00142,P30044
DB00993,Q07817
DB00385,P78330
DB00987,P00739
DB01340,P30086
DB11730,Q00266
DB09140,O00519
DB00838,P00846
DB01320,P14854
DB00353,Q9UQM7
DB06782,Q8IVL5
DB00472,P53671
DB00247,P55017
DB00854,Q13423
DB01259,P49619
DB08828,P12277
DB00677,Q15842
DB11703,P04818
DB00956,O14964
DB00264,P48664
DB06217,P54710
DB09091,P10809
DB00408,P28329
DB00121,P20851
DB04896,Q16659
DB08801,P08100
DB08912,Q969G6
DB04840,P10176
DB01028,P13498
DB00533,P01584
DB01102,P00533
DB00509,P40933
DB00712,Q8N159
DB00892,Q9BYZ2
DB13872,Q86U10
DB01193,O95169
DB00210,P25103
DB08883,Q9Y463
DB01218,P50993
DB00825,Q8TAE7
DB00292,Q9BXT2
DB00530,O14732
DB06152,Q04828
DB11186,P00352
DB01090,P51692
DB13720,P08865
DB01130,Q9GZT4
DB01166,Q9H4Y5
DB00758,P00742
DB01217,P06493
DB00465,Q9NR97
DB06626,P20309
DB00695,P01591
DB14517,P49189
DB00611,Q16678
DB00697,P55211
DB01587,Q9UJ90
DB00211,P80192
DB00139,O15440
DB01708,P63000
DB06228,Q16760
DB00928,P02763
DB09068,P78334
DB00169,Q9H6Z9
DB08875,P51649
DB00711,P09486
DB00780,Q9UGI6
DB00924,P05089
DB00542,Q99497
DB01223,Q9P289
DB12332,P35218
DB01100,Q6W5P4
DB11186,P20648
DB00390,P35354
DB00990,P47898
DB01182,Q09428
DB00881,P08913
DB01089,O95069
DB00963,P07202
DB09116,O60488
DB09112,Q16665
DB01062,P31939
DB00967,O95168
DB09128,P13569
DB00910,Q99527
DB09124,Q9NYR8
DB04920,P20701
DB04115,Q02383
DB01280,Q04771
DB00477,P98164
DB01077,Q15139
DB00913,O95747
DB01078,P19838
DB00205,P07949
DB05271,P08069
DB11273,Q14032
DB00754,P23786
DB01057,P54289
DB11672,O75762
DB06176,P35527
DB00483,O95180
DB13257,P80075
DB11855,P48058
DB00436,Q02218
DB13720,P24941
DB04854,P51693
DB00315,P30711
DB06287,O95718
DB09116,P23921
DB08439,Q96GA7
DB02266,P37173
DB00805,P02766
DB00385,Q14978
DB00561,Q99808
DB08868,P06746
DB00126,P48723
DB08882,P51553
DB00195,P06756
DB00014,P49585
DB01591,P42345
DB09097,Q96GD0
DB00306,Q16760
DB00208,P29466
DB13751,O75185
DB11712,Q16760
DB08932,Q96S37
DB00181,Q05932
DB01108,Q9NSA0
DB08880,Q13255
DB02701,P07998
DB00947,P40933
DB01129,P40261
DB00944,O15304
DB09097,Q99707
DB11757,P35498
DB00796,P11473
DB00599,Q9NUV7
DB06694,P06732
DB00756,Q99759
DB06709,P28221
DB09205,O14764
DB01170,Q9HBG4
DB13345,O14965
DB00800,P61769
DB01085,Q03181
DB00276,Q9HC29
DB09216,O00329
DB01558,Q92887
DB00792,Q8IU85
DB00277,P05546
DB04908,Q9UBM7
DB00643,O75185
DB00321,P02792
DB01588,Q9Y697
DB01025,P29323
DB01353,P04731
DB09064,P78508
DB00800,P17707
DB11093,P27707
DB01250,Q8IVL6
DB13781,P02655
DB00734,P48443
DB13257,P06493
DB00439,O95169
DB11148,Q9P286
DB06267,Q04760
DB08804,P16070
DB00503,O96000
DB00334,P60174
DB15102,Q9GZT9
DB06262,P06396
DB09270,Q9P0J0
DB00209,Q9NP56
DB15091,Q9NPD5
DB01181,O14920
DB04953,P35499
