0,1
DB06153,Q92769
DB00014,P05067
DB01203,P39086
DB00494,P00492
DB01054,Q05513
DB00242,Q8WXS5
DB00809,P35913
DB00411,P06396
DB09401,P23458
DB00434,Q7L7X3
DB00541,P47870
DB00528,O60488
DB00343,P27169
DB04855,O60568
DB06148,P51575
DB00989,P02749
DB00396,O95237
DB00246,Q8WWQ8
DB08871,Q14978
DB00569,P22557
DB15822,P03372
DB00502,P08620
DB14498,P46734
DB01209,P43681
DB00924,P12277
DB00810,P17174
DB00490,Q14432
DB00333,Q9Y5S8
DB01231,P33261
DB06691,O14730
DB04876,P08069
DB06756,Q96PY6
DB06789,P20839
DB09216,Q9GZU7
DB00641,P25311
DB11577,P36543
DB00598,P22352
DB06698,Q9NYP7
DB00685,P11216
DB00867,Q9NY46
DB09280,Q06203
DB00574,P18507
DB00306,Q03013
DB06786,P21802
DB09085,Q9NY72
DB04896,P18846
DB00747,O00204
DB00748,P48549
DB01366,P29074
DB00491,O00180
DB01019,P36888
DB09327,Q8WYK2
DB09488,O60427
DB11362,P61024
DB01185,P55211
DB06148,Q06432
DB05039,P39086
DB00467,P26439
DB03193,P42261
DB00373,P05771
DB00376,Q13627
DB00337,Q12809
DB00385,P62508
DB14596,P14598
DB01196,Q15418
DB00421,Q9Y6Y9
DB00121,P20851
DB00543,Q14831
DB01125,P49189
DB00310,Q14500
DB00633,O75912
DB11994,O14521
DB00367,P09619
DB00640,Q15139
DB01173,P59768
DB04948,O14880
DB11738,P04155
DB01336,P22102
DB09116,Q13936
DB00753,P51884
DB04703,P17050
DB13615,P08684
DB11921,Q9BYZ2
DB06154,P42681
DB00248,P02533
DB00414,P10828
DB11952,P14324
DB00637,P21860
DB05351,Q9Y5S1
DB11591,P05108
DB09241,Q13698
DB00626,Q16790
DB00904,P07101
DB00799,P07864
DB15690,O75936
DB01062,P22607
DB12371,P11473
DB06709,P46098
DB00905,P63252
DB14669,Q02252
DB00385,P78330
DB00358,P00505
DB00842,P51161
DB00222,Q8NEV4
DB01078,Q12882
DB06217,P29972
DB12364,P07327
