0,1
DB09130,P68871
DB00228,O00555
DB00201,P42338
DB13873,O75469
DB14533,P00441
DB00907,P08172
DB11660,P43088
DB01179,P11388
DB14491,P39748
DB01559,P18507
DB00315,P08908
DB11823,O60391
DB00148,Q14353
DB00421,P54284
DB00228,Q00975
DB00252,Q99928
DB00583,P43155
DB11823,P23560
DB14533,P31151
DB00312,P43681
DB00418,P14867
DB00216,P08908
DB01069,Q15858
DB02659,P00403
DB00708,P41143
DB00462,P08172
DB01017,P35228
DB00157,P28331
DB06216,P08908
DB11859,Q9UN88
DB02659,P00326
DB13154,P35499
DB00297,P34995
DB01400,P22303
DB00393,P54284
DB12010,O95819
DB00583,Q9H015
DB00924,P28335
DB01110,Q12791
DB01159,P23634
DB12010,Q9UGJ0
DB01240,Q16647
DB00162,Q96NR8
DB11186,Q99720
DB00675,Q15125
DB00656,P28223
DB00439,P04035
DB01593,P01591
DB00490,P08908
DB13873,P37231
DB01162,P35348
DB00998,P28221
DB01956,Q9UBS5
DB01589,Q9UN88
DB06217,Q12809
DB01544,P78334
DB01403,P14416
DB14487,O15350
DB00397,P21728
DB00458,P28223
DB00654,P43088
DB14533,O14618
DB09064,Q07869
DB01138,Q96S37
DB00210,P13631
DB12010,P36507
DB01589,P47869
DB00132,Q96RI1
DB00114,P34897
DB01254,P29317
DB00201,Q13946
DB01151,P31645
DB00228,Q8WXS5
DB00623,P28335
DB00907,Q9Y5Y9
DB00210,P10826
DB00308,Q13936
DB01110,Q9Y6J6
DB00986,P20309
DB00342,P08912
DB01195,Q12809
DB00622,Q08289
DB01182,P07550
DB00281,Q9Y5Y9
DB00619,P11274
DB00745,Q01959
DB00747,P08172
DB00387,P08173
DB06237,O76074
DB11273,P08908
DB11093,P0DP23
DB01043,Q14957
DB00114,P11217
DB13952,P43681
DB00228,O15399
DB09130,P23415
DB00186,P48169
DB00590,Q12809
DB01254,P42684
DB00157,P09622
DB00170,P38435
DB00475,P78334
DB09462,P17050
DB00142,P48507
DB00915,Q8TCU5
DB00306,P43681
DB14500,P05023
DB01028,P48169
DB02546,Q13547
DB00401,Q13698
DB01393,P28702
DB00313,Q8IWT1
DB00312,P47869
DB14001,P49619
DB00898,Q16445
DB14487,Q13547
DB00114,O95470
DB01576,Q01959
DB01234,P35228
DB14488,Q16595
DB00938,P13945
DB11148,Q9P0X4
DB01224,P34969
DB03147,P22570
DB00252,O00555
DB00925,P07550
DB00193,P08913
DB01403,P35348
DB00619,P10721
DB11085,P07202
DB09300,P20309
DB00142,Q9UDR5
DB00503,O75469
DB06701,P31645
DB09130,P02750
DB00674,P06276
DB01068,P47870
DB00308,Q9Y257
DB00346,P35348
DB12537,Q8N1C3
DB00835,P08172
DB06786,Q99835
DB14975,P69905
DB00385,P11388
DB00228,O95259
DB08896,P04049
DB00761,Q13621
DB05015,Q969S8
DB01224,P35462
DB00268,P18089
DB12010,P27448
DB14487,P16455
DB01233,P46098
DB00953,P28221
DB04896,Q14957
DB09061,Q9P0X4
DB00416,Q15822
DB09079,P16234
DB01403,P20309
DB14507,P49841
DB00244,O15111
DB13520,Q99250
DB12010,O94768
DB00382,P06276
DB00397,P18089
DB09097,P21728
DB11619,P30968
DB01175,P35348
DB01183,P03372
DB12010,P54646
DB00431,P24046
DB14533,O14791
DB00514,Q15080
DB01203,P08588
DB00659,Q9UN88
DB08868,Q99500
DB09130,Q969S2
DB00842,P78334
DB00753,P47870
DB00898,P42263
DB00313,P35499
DB00796,P30556
DB00381,P00915
DB13751,P28845
DB05541,Q9UQD0
DB11186,Q9Y5Y9
DB06699,P30968
DB11986,Q16620
DB01088,P34995
DB00458,P34969
DB00659,Q13224
DB00142,O00222
DB00143,O75715
DB00496,P08173
DB00721,P46098
DB00201,Q13370
DB00371,Q16445
DB00795,P37231
DB01593,P14923
DB00692,P25100
DB00562,P22748
DB00197,Q07869
DB01210,P08588
DB00418,Q05586
DB00774,O43570
DB01593,O14618
DB06691,P35367
DB00342,P08172
DB00972,P04054
DB00934,P08172
DB00768,P04271
DB00624,P10275
DB14631,P04083
DB15617,Q9UP52
DB14487,O75340
DB09481,Q05586
DB00897,P48169
DB11148,O60359
DB01593,P02746
DB01558,P14867
DB00367,P10275
DB00898,P17787
DB09061,Q9Y2T6
DB00391,P14416
DB01122,P22303
DB00475,Q16445
DB00454,P31645
DB00814,P35354
DB01069,Q9UJ96
DB00182,Q16568
DB11273,P28221
DB11148,Q00975
DB00237,P48169
DB00273,Q15878
DB01205,Q8N1C3
DB00231,P48169
DB14533,P46736
DB00292,P14867
DB08901,P11362
DB08896,P10721
DB00312,Q16445
DB01238,Q05586
DB14487,P05546
DB01110,P56696
DB00675,Q05655
DB01104,O00264
DB00114,Q9Y697
DB13269,Q9Y5Y9
DB01589,P47870
DB05351,P20648
DB12010,Q15375
DB03904,P35222
DB09086,Q8NET8
DB11148,P48048
DB00228,O60359
DB01624,P08913
DB00679,P35368
DB05260,P21281
DB01016,O95342
DB00934,P28223
DB00334,P35367
DB01069,Q93086
DB09213,P07204
DB01238,P08173
DB01268,P09619
DB13783,P35354
DB00670,P11229
DB01353,Q13002
DB01238,O60391
DB03310,P09210
DB14185,P35462
DB11093,O75838
DB01127,O75469
DB04855,P18089
DB13952,O75469
DB00672,Q09428
DB11633,P22460
DB01159,Q99928
DB00945,Q13131
DB00368,P00439
DB00869,P22748
DB12010,P51617
DB00934,P08913
DB11093,P06703
DB14487,P69905
DB00726,P08172
DB00599,P43681
DB11157,P35908
DB00871,P08588
DB14489,P02794
DB00334,P18507
DB00806,P29274
DB01365,P35368
DB01419,P23219
DB08901,P12931
DB14185,P35368
DB00776,O60939
DB14533,P04279
DB01620,Q9H3N8
DB06616,Q02750
DB00555,P34903
DB08895,P29597
DB01186,P41595
DB00540,Q99720
DB00477,P08908
DB00237,Q8N1C3
DB12147,P07333
DB06288,P14416
DB12010,Q8TBX8
DB00491,Q14697
DB00353,P41595
DB01624,P14416
DB09238,Q02641
DB01118,Q9H252
DB01186,P18089
DB00159,Q8NER1
DB00142,P54886
DB08329,P00918
DB14487,P13645
DB13954,Q99527
DB01019,P08172
DB01189,P47869
DB01254,P10721
DB02659,P24310
DB01142,P08908
DB09130,P29622
DB00243,P08588
DB00655,P11511
DB00690,P34903
DB00622,P54750
DB12010,Q9BUB5
DB00696,P08913
DB00887,P55011
DB13967,P02768
DB00234,P23975
DB00659,P14867
DB08897,P08912
DB04938,P03372
DB00280,Q12809
DB00280,Q9UK17
DB00357,P11511
DB06213,P29274
DB00360,P29474
DB09238,O43497
DB00543,P21728
DB04855,Q9UK17
DB00332,P20309
DB01156,Q01959
DB06694,P35348
DB00388,P25100
DB00312,P18507
DB00830,P23975
DB00482,P07451
DB00153,P54284
DB06412,P10275
DB00715,P07550
DB01268,P35916
DB01303,Q92769
DB14481,P31415
DB06153,P25100
DB06800,P41145
DB00991,P35354
DB04855,P54284
DB00696,P35348
DB00228,P16389
DB00126,Q8IVL6
DB00897,P47870
DB00184,P36544
DB12010,Q05397
DB00321,P34969
DB00153,O00305
DB00912,Q09428
DB11348,Q99584
DB00159,P35354
DB01136,P63252
DB00805,P28335
DB00773,Q02880
DB14533,P02647
DB00421,Q9UF02
DB14488,Q969S2
DB00726,P08588
DB01144,P00918
DB00281,P02763
DB00114,Q16719
DB01069,P25021
DB00228,Q96L42
DB00368,P35368
DB00142,Q8TD30
DB01437,Q9UN88
DB13501,P23219
DB01595,P47869
DB01068,P34903
DB01576,P25100
DB00228,Q9UK17
DB00418,P42262
DB00945,P24385
DB01169,Q16881
DB00849,P43681
DB03619,Q96RI1
DB00945,P42574
DB01054,O95180
DB00622,Q01668
DB00201,Q9Y233
DB09085,P21817
DB00843,P98066
DB09130,P01009
DB09061,P07203
DB00829,P14867
DB06230,P41145
DB01017,P42574
DB00323,P21964
DB09130,P14618
DB00228,Q9UJ90
DB00217,P08588
DB00184,Q05901
DB00852,P01375
DB01558,Q8N1C3
DB00734,P08908
DB00795,O14920
DB00915,P36544
DB13346,P23219
DB01085,P20309
DB00317,P00533
DB00877,P62942
DB01068,P78334
DB00699,P35348
DB00726,P28221
DB00143,Q9NS18
DB13949,P02786
DB00396,P03372
DB00589,P18089
DB01364,P07550
DB00780,P80404
DB09118,Q8N1C3
DB09089,P54284
DB04821,Q05940
DB00114,Q8TD30
DB05294,P07949
DB00942,P11229
