0,1
DB12332,P48551
DB01028,P08514
DB09371,P15814
DB01228,Q03403
DB01591,Q06203
DB11079,P13637
DB00780,O15111
DB01064,Q9H2M3
DB00950,O75636
DB00723,Q16659
DB00665,P29218
DB00711,Q92753
DB00813,P11473
DB00894,O95670
DB00230,P16581
DB11496,P05091
DB06016,P22748
DB00993,P08588
DB00805,O14521
DB00389,P78362
DB00756,P30532
DB08864,O14730
DB12278,P30532
DB15102,Q93050
DB00310,P30837
DB00596,P05091
DB00130,O43570
DB13179,Q9UBC3
DB14019,P05362
DB14001,P07327
DB06789,Q99623
DB14498,P07741
DB00173,O00469
DB01235,Q07343
DB13867,P62942
DB01338,P31939
DB00603,P08069
DB15444,Q13393
DB00554,P53350
DB00302,Q9Y5K3
DB00499,P35354
DB01099,Q9UBS5
DB06016,O15197
DB03796,P62937
DB00399,P09038
DB00521,P15313
DB09090,P67775
DB00283,P06213
DB11587,O15269
DB00482,P35408
DB01097,P08758
DB06777,P41595
DB01045,P31645
DB00686,Q7Z2W7
DB08881,P29401
DB00656,P40261
DB00309,P00797
DB11757,Q86W47
DB00956,P48507
DB00881,Q9H2X6
DB00956,Q5KSL6
DB09053,Q15842
DB00810,P30086
DB09205,Q13630
DB01438,P42330
DB06780,P54687
DB00464,Q86U10
DB14533,Q92772
DB00230,Q05932
DB11978,P62955
DB14490,P09884
DB01108,Q8TCC7
DB01057,Q14833
DB01577,Q9NYR8
DB00993,P48728
DB06701,P21964
DB00549,P31937
DB09053,P02751
DB08816,P17787
DB00680,P80404
DB00704,P08581
DB06694,P36544
DB09462,P00338
DB00984,P80404
DB00470,O75460
DB11921,P08603
DB01410,P02652
DB04840,Q07955
DB00802,Q8NFD2
DB00436,P34969
DB01340,O14964
DB00572,O14618
DB00215,P35913
DB08912,P24385
DB14489,Q9UQQ2
DB00353,P18669
DB00991,P00918
DB00585,O60359
DB00852,P29317
DB01073,Q9Y5S1
DB13781,P56556
DB11994,Q15375
DB00874,Q9NZK7
DB00424,P08559
DB00454,P03952
DB00848,P28335
DB08895,Q14643
DB01189,Q9GZU7
DB01165,P17812
DB00882,Q9UIK4
DB08872,P40933
DB06813,Q99714
DB13269,Q13555
DB01099,O60706
DB09481,P17658
DB00580,P09417
DB00753,Q02750
DB04820,P50897
DB00564,Q9NYL2
DB00747,P09622
DB06689,P02743
DB00628,P56696
DB01065,Q07021
DB03614,O75716
DB00920,P01189
DB00170,P21589
DB00143,O43525
DB00753,P09884
DB01184,Q8WWQ8
DB01076,Q8TDN1
DB00283,P17752
DB04574,P17612
DB01177,Q96KK3
DB09236,P02763
DB00461,Q9NR63
DB00118,O60359
DB01708,O43451
DB00383,P35222
DB03614,O75636
DB00937,P22607
DB15617,P47870
DB00337,Q9NPD5
DB01099,Q8WXS5
DB00754,P34995
DB00499,O75747
DB01267,O43353
DB00565,Q99571
DB00181,Q9Y2D1
