0,1
DB08871,P10415
DB01110,Q12809
DB00683,O14764
DB00247,P28335
DB06412,P16860
DB00114,P00505
DB00715,Q70Z44
DB00805,P21397
DB13872,P47870
DB01168,P21397
DB00246,P50406
DB00114,Q96A70
DB06702,P08912
DB09130,P69905
DB00402,P48169
DB11823,Q12879
DB00200,P22033
DB09076,P11229
DB00396,P08235
DB00630,P14324
DB01224,P28335
DB01407,P13945
DB00252,P18507
DB05246,O43497
DB01110,Q9UQ05
DB05990,Q96RI1
DB01210,P08588
DB06694,P35348
DB01583,P10827
DB14490,P00450
DB00683,P47869
DB00751,P34969
DB14533,Q14624
DB01708,Q92731
DB04946,P18825
DB12010,Q14164
DB01136,P35368
DB00175,P04035
DB01017,P01584
DB00933,P14416
DB00138,Q9UPY5
DB00201,P27815
DB00306,O14764
DB00898,Q05901
DB14488,P69905
DB00925,P07550
DB12010,Q13131
DB14533,P25713
DB13751,Q00653
DB00243,Q9UI33
DB12783,P20711
DB01587,Q16445
DB00733,P06276
DB00780,Q16853
DB00307,P48443
DB00583,Q9H015
DB01267,P18089
DB01593,P01023
DB00191,P21397
DB02701,Q10588
DB09130,P61769
DB00588,P47712
DB00308,Q9H252
DB00282,P14324
DB11901,P78334
DB00795,P24752
DB08818,Q8WWQ8
DB09401,P10415
DB14487,P07360
DB01199,P22303
DB00418,Q05586
DB00574,P08908
DB00418,Q13002
DB00308,Q13936
DB09085,P35498
DB00818,Q9UN88
DB00543,P21728
DB01275,Q16853
DB01325,Q13621
DB06637,Q16322
DB01213,P07327
DB04224,Q03181
DB13346,Q9UBN7
DB12404,O14764
DB01587,P47870
DB00599,P34903
DB00774,P00918
DB00244,P23219
DB00517,P08172
DB00523,P10826
DB01221,P41145
DB08916,P04626
DB01214,P07550
DB00518,Q71U36
DB00245,P11229
DB00801,P14867
DB14487,P01042
DB00977,O75469
DB01017,P28482
DB14533,P46939
DB01107,P14867
DB03147,Q12882
DB00909,P00918
DB14488,P39748
DB00145,P48637
DB01069,P15382
DB00321,P41145
DB09130,P07437
DB00924,P28223
DB02546,O15379
DB00843,Q05586
DB04224,P37231
DB00408,P08908
DB00210,P28702
DB00518,P68371
DB00570,P07437
DB12010,P04629
DB01268,P36888
DB00924,P34969
DB00586,P23219
DB00313,Q9UI33
DB09089,Q9P0X4
DB06684,P31645
DB04657,P31040
DB00675,P45983
DB12010,P33981
DB08818,Q14520
DB12010,P08922
DB01161,Q9Y5Y9
DB12010,P41240
DB01159,P08100
DB00285,P23975
DB06701,Q01959
DB00606,P07451
DB00200,Q8IVH4
DB01624,P21728
DB00334,P28222
DB01351,P36544
DB00672,Q09428
DB11348,Q75N90
DB12010,Q8N5S9
DB01151,P08172
DB03796,P09466
DB04854,P47989
DB00755,P49788
DB00228,P22459
DB01036,P20309
DB01017,P14780
DB14487,O14618
DB01115,O95180
DB06480,Q13639
DB00173,Q9BY49
DB00119,P11177
DB12010,Q9Y478
DB14006,P49585
DB01238,P41143
DB00583,P47989
DB11828,P00533
DB14487,P56524
DB01162,Q9NS40
DB00193,P23975
DB01238,P28335
DB00163,P05771
DB01069,P56373
DB00292,P47870
DB12010,P53667
DB01189,Q9UN88
DB11273,Q70Z44
DB01593,P01591
DB00142,P39086
DB00273,Q13698
DB11652,P21860
DB00944,P06276
DB00243,Q9UNX9
DB01159,O14764
DB09130,P25311
DB14533,P00450
DB01406,P30968
DB00746,P05067
DB06230,P41145
DB11760,P09874
DB09130,P42858
DB08896,P10721
DB06777,P52895
DB00642,P22102
DB09130,Q06323
DB09130,Q07021
DB00945,P54619
DB00490,P21917
DB00408,Q01959
DB00863,P22303
DB01126,P31213
DB00091,P30405
DB06274,P41143
DB00474,P14867
DB14487,P23415
DB09401,Q07820
DB00656,P28335
DB12147,P21802
DB00332,P11229
DB12010,Q9NRP7
DB14490,Q16595
DB06262,P18825
DB00521,P07550
DB01068,O14764
DB00334,P13945
DB12010,O43353
DB00201,Q14123
DB00285,P31645
DB14533,P51693
DB00445,P11388
DB00289,O60391
DB00408,P14416
DB14649,P04150
DB03310,P10620
DB00783,Q92731
DB00363,Q9H3N8
DB01110,O15554
DB00543,P46098
DB00241,P18505
DB00714,P21728
DB12010,O15197
DB01558,P28472
DB01238,Q14957
DB09462,O43252
DB01708,P14867
DB08816,Q9H244
DB00801,P47869
DB01110,P48547
DB01017,Q13164
DB00675,P17252
DB00228,P15382
DB00835,P08173
DB01133,Q9Y5K8
DB03796,Q14541
DB06148,P41145
DB14001,Q16760
DB00114,Q9GZT4
DB00704,P35372
DB00659,Q9UN88
DB00592,P28472
DB11278,P35348
DB00186,O14764
DB00334,P31644
DB00142,O95954
DB00114,Q9Y617
DB00572,P17787
DB00363,P28222
DB01351,Q13002
DB01107,P31644
DB12010,P16234
DB09089,Q12791
DB01593,P03952
DB14185,P08908
DB00753,Q16445
DB01129,P20648
DB01069,Q14722
DB01110,Q6PIU1
DB00575,P08913
DB01242,P09211
DB00142,Q16099
DB00619,P09619
DB00237,P48058
DB00342,P35367
DB14006,P06276
DB01151,P28335
DB14583,P04150
DB01070,P11473
DB00218,P11388
DB00228,Q9Y6J6
DB00924,P23975
DB14541,P04083
DB00804,P08172
