drug,protein
DB00006,P68371
DB00006,P17752
DB00007,P49619
DB00007,P21817
DB00014,Q6YP21
DB00014,P51884
DB00050,P52895
DB00050,Q16760
DB00091,P28335
DB00091,P56282
DB00114,O75251
DB00114,P22570
DB00115,Q8N4C8
DB00115,P10826
DB00118,P31946
DB00118,Q16659
DB00119,P29218
DB00119,Q9Y6K1
DB00120,O00299
DB00120,P54619
DB00121,P20851
DB00121,P35218
DB00122,O15239
DB00122,Q14012
DB00126,P22303
DB00126,Q8IYT8
DB00130,Q07820
DB00130,A5X5Y0
DB00132,Q13258
DB00132,P05108
DB00134,Q13956
DB00134,Q92731
DB00136,P12277
DB00136,P62955
DB00138,Q8IVL6
DB00138,P16499
DB00139,Q01959
DB00139,Q9BY32
DB00140,P07711
DB00140,Q16795
DB00142,P30044
DB00142,P41238
DB00143,P02765
DB00143,O95182
DB00145,O00444
DB00145,Q9H015
DB00146,P33527
DB00146,Q9Y2T6
DB00148,Q0VD83
DB00148,Q02818
DB00151,Q13873
DB00151,Q9BY41
DB00153,Q13547
DB00153,P43119
DB00157,P51858
DB00157,P01042
DB00159,Q15738
DB00159,P47895
DB00162,Q9Y6Y9
DB00162,Q07021
DB00163,P51648
DB00163,Q15391
DB00169,P67775
DB00169,Q92506
DB00170,Q15750
DB00170,P08172
DB00173,P21266
DB00173,O75936
DB00175,P41240
DB00175,Q96PR1
DB00176,O15239
DB00176,P41143
DB00177,Q15738
DB00177,P19113
DB00178,Q9BQB6
DB00178,Q8N5Z0
DB00179,P43405
DB00179,P08758
DB00180,P02753
DB00180,Q9UQL6
DB00181,Q9BUB5
DB00181,O43570
DB00182,P19835
DB00182,O60760
DB00184,P38936
DB00184,P54619
DB00185,P06756
DB00185,P11498
DB00186,P48029
DB00186,O15269
DB00187,P07550
DB00187,Q9UI09
DB00189,P51580
DB00189,P19113
DB00190,P51161
DB00190,Q9UBC3
DB00191,P19784
DB00191,P47900
DB00192,P53805
DB00192,O00750
DB00193,P69905
DB00193,P60568
DB00195,Q16878
DB00195,P06756
DB00197,Q86VZ1
DB00197,P43119
DB00199,Q15155
DB00199,Q96RQ9
DB00200,P08319
DB00200,P29034
DB00201,P16860
DB00201,O94768
DB00202,P0CG30
DB00202,O43678
DB00203,P52333
DB00203,P07686
DB00204,Q8TCC7
DB00204,P15121
DB00205,P07949
DB00205,P00748
DB00206,P15382
DB00206,P27797
DB00208,Q9UQL6
DB00208,P11021
DB00209,P78330
DB00209,Q9NP56
DB00210,P07237
DB00210,P04003
DB00211,P23634
DB00211,P80192
DB00213,O94788
DB00213,P41594
DB00214,Q59H18
DB00214,P09488
DB00215,P32297
DB00215,P04629
DB00216,P14625
DB00216,P41238
DB00217,P23368
DB00217,Q9UBV8
DB00218,P43405
DB00218,P01042
DB00219,O60488
DB00219,Q16678
DB00221,P08631
DB00221,P42330
DB00222,Q9UBC3
DB00222,P18507
DB00223,P49888
DB00223,P02671
DB00226,P42685
DB00226,Q8WYK2
DB00227,P00915
DB00227,P62714
DB00228,P35222
DB00228,P04070
DB00230,P09619
DB00230,P35869
DB00231,P40939
DB00231,P08865
DB00233,P19440
DB00233,P02652
DB00234,P21728
DB00234,P27487
DB00235,P07711
DB00235,O14757
DB00237,P43657
DB00237,P02787
DB00239,P35869
DB00239,P05141
DB00240,Q9Y2U5
DB00240,Q9NVS9
DB00241,Q12809
DB00241,Q32MK0
DB00242,P01100
DB00242,Q8WXS5
DB00243,P12235
DB00243,P10632
DB00244,P17787
DB00244,Q9Y6K1
DB00245,P24941
DB00245,P35858
DB00246,P22557
DB00246,Q8WWQ8
DB00247,P10635
DB00247,P55017
DB00248,Q14571
DB00248,Q8IYT8
DB00252,P29350
DB00252,Q16678
DB00253,P41240
DB00253,Q9NYL2
DB00255,P30926
DB00255,P05155
DB00257,P46734
DB00257,P35408
DB00261,P38606
DB00261,Q16099
DB00262,P01138
DB00262,P35869
DB00264,Q86UE8
DB00264,P48664
DB00266,Q9NRF9
DB00266,P10809
DB00268,P21817
DB00268,Q2M2I8
DB00270,Q9NZD4
DB00270,Q06323
DB00273,Q99714
DB00273,P04155
DB00275,P38606
DB00275,O00469
DB00276,P14060
DB00276,O00204
DB00277,O75838
DB00277,P53667
DB00278,Q9NSA2
DB00278,P00747
DB00279,Q13554
DB00279,O95264
