V1,V2
DB00035,O00142
DB00035,O14746
DB00035,O14980
DB00035,O43613
DB00035,O43614
DB00035,O43766
DB00035,O60502
DB00035,O60894
DB00035,O60895
DB00035,O60896
DB00035,O75874
DB00035,P01350
DB00035,P07098
DB00035,P08174
DB00035,P09110
DB00035,P11168
DB00035,P11413
DB00035,P16233
DB00035,P16444
DB00035,P19971
DB00035,P20594
DB00035,P20618
DB00035,P20813
DB00035,P23381
DB00035,P25092
DB00035,P25116
DB00035,P25815
DB00035,P28062
DB00035,P28065
DB00035,P28074
DB00035,P30559
DB00035,P30872
DB00035,P30988
DB00035,P31391
DB00035,P32238
DB00035,P32239
DB00035,P32245
DB00035,P32745
DB00035,P32754
DB00035,P33032
DB00035,P34981
DB00035,P34998
DB00035,P35346
DB00035,P35610
DB00035,P40306
DB00035,P41968
DB00035,P49146
DB00035,P49327
DB00035,P49354
DB00035,P49356
DB00035,P49721
DB00035,P50135
DB00035,P51681
DB00035,P53396
DB00035,P55157
DB00035,P61626
DB00035,P68133
DB00035,Q01726
DB00035,Q02643
DB00035,Q13509
DB00035,Q14145
DB00035,Q14534
DB00035,Q15910
DB00035,Q16602
DB00035,Q16739
DB00035,Q16850
DB00035,Q8TE23
DB00035,Q92800
DB00035,Q92847
DB00035,Q9H3S4
DB00035,Q9NQX3
DB00035,Q9UEW3
DB00035,Q9UGM6
DB00035,Q9UL51
DB00035,Q9Y234
DB00035,Q9Y289
DB00035,Q9Y3I0
DB00067,O00142
DB00067,O00244
DB00067,O00764
DB00067,O14746
DB00067,O14980
DB00067,O43613
DB00067,O43614
DB00067,O43766
DB00067,O60502
DB00067,O60894
DB00067,O60895
DB00067,O60896
DB00067,O75874
DB00067,P01350
DB00067,P01889
DB00067,P06280
DB00067,P07098
DB00067,P08174
DB00067,P08473
DB00067,P09110
DB00067,P11168
DB00067,P11387
DB00067,P11413
DB00067,P13716
DB00067,P14207
DB00067,P15144
DB00067,P15328
DB00067,P16066
DB00067,P16233
DB00067,P16444
DB00067,P18858
DB00067,P19634
DB00067,P19801
DB00067,P19971
DB00067,P20594
DB00067,P20618
DB00067,P20813
DB00067,P23381
DB00067,P25092
DB00067,P25116
DB00067,P25815
DB00067,P28062
DB00067,P28065
DB00067,P30531
DB00067,P30559
DB00067,P30872
DB00067,P30874
DB00067,P30988
DB00067,P31327
DB00067,P31391
DB00067,P31639
DB00067,P32238
DB00067,P32239
DB00067,P32245
DB00067,P32745
DB00067,P32754
DB00067,P33032
DB00067,P34981
DB00067,P34998
DB00067,P35346
DB00067,P35610
DB00067,P37088
DB00067,P39900
DB00067,P40306
DB00067,P41968
DB00067,P43220
DB00067,P48735
DB00067,P49146
DB00067,P49327
DB00067,P49354
DB00067,P49356
DB00067,P49721
DB00067,P49916
DB00067,P50135
DB00067,P51168
DB00067,P51172
DB00067,P51681
DB00067,P51788
DB00067,P53396
DB00067,P55157
DB00067,P61073
DB00067,P61626
DB00067,P68133
DB00067,P78348
DB00067,Q01718
DB00067,Q01726
DB00067,Q02643
DB00067,Q04206
DB00067,Q08462
DB00067,Q08828
DB00067,Q13509
DB00067,Q14145
DB00067,Q14534
DB00067,Q15910
DB00067,Q16515
DB00067,Q16602
DB00067,Q16850
DB00067,Q8TE23
DB00067,Q92800
DB00067,Q92847
DB00067,Q92911
DB00067,Q99519
DB00067,Q9H3S4
DB00067,Q9NQX3
DB00067,Q9UEW3
DB00067,Q9UGM6
DB00067,Q9UL51
DB00067,Q9UM07
DB00067,Q9UNN8
DB00067,Q9Y234
DB00067,Q9Y289
DB00067,Q9Y3I0
DB00067,Q9Y3R4
DB00150,O00142
DB00150,O00244
DB00150,O00764
DB00150,O14746
DB00150,O14980
DB00150,O43766
DB00150,O60502
DB00150,O60894
DB00150,O60895
DB00150,O60896
DB00150,O75874
DB00150,O95622
DB00150,P00749
