drugbank_id,uniprot_id
DB00006,P04406
DB00006,P01024
DB00007,P06401
DB00007,P22888
DB00014,P06401
DB00014,P13500
DB00050,P13500
DB00050,P03372
DB00091,P14550
DB00091,P01009
DB00114,Q13255
DB00114,P42858
DB00115,O60494
DB00115,Q9UPY5
DB00118,Q14032
DB00118,P41250
DB00119,O75251
DB00119,P62807
DB00120,P22557
DB00120,Q07075
DB00121,Q13126
DB00121,P30613
DB00122,P31644
DB00122,P18505
DB00130,O15067
DB00130,P12268
DB00134,Q9BXJ7
DB00134,Q8IVH4
DB00136,O15440
DB00136,Q9UF02
DB00138,Q16099
DB00138,P37231
DB00140,O94788
DB00140,P04035
DB00142,P18507
DB00142,Q9Y6M9
DB00143,O15399
DB00143,P34897
DB00145,O14556
DB00145,P13647
DB00148,P78352
DB00148,P07998
DB00151,P02765
DB00151,P22626
DB00153,Q05901
DB00153,P07550
DB00157,P04818
DB00157,P22792
DB00159,Q04828
DB00159,P18825
DB00162,P09417
DB00162,P0C0L5
DB00163,P05129
DB00163,Q16445
DB00169,Q08289
DB00169,Q9BXT2
DB00170,P21554
DB00170,P02747
DB00173,Q9BY32
DB00173,O75390
DB00175,P11177
DB00175,Q16798
DB00177,P37231
DB00177,P05412
DB00178,O14791
DB00178,P04279
DB00179,Q06418
DB00179,Q9NSY1
DB00182,P47898
DB00182,P34969
DB00184,P46098
DB00184,Q70Z44
DB00185,P54284
DB00185,P46098
DB00186,P28221
DB00186,P32004
DB00187,P35368
DB00187,P29274
DB00190,P00505
DB00190,Q9Y617
DB00191,P37231
DB00191,P17405
DB00192,P18507
DB00192,Q96G91
DB00193,P30926
DB00193,Q9H2S1
DB00195,P10827
DB00195,Q9UK17
DB00197,P33981
DB00197,Q9NS18
DB00199,O75469
DB00199,P26358
DB00200,P50579
DB00200,Q93088
DB00201,P17948
DB00201,Q9NZK7
DB00203,Q01064
DB00203,Q08499
DB00204,P21917
DB00204,P17658
DB00206,P35348
DB00206,P31645
DB00209,P28472
DB00209,Q03721
DB00210,Q07869
DB00210,O00299
DB00211,Q03721
DB00211,Q01064
DB00213,P10636
DB00213,P35869
DB00214,P09211
DB00214,Q16790
DB00215,Q99572
DB00215,P47898
DB00216,P06276
DB00216,P31644
DB00218,P68366
DB00218,Q14978
DB00219,Q86W47
DB00219,Q9H3M0
DB00221,P29274
DB00221,P17405
DB00223,Q8WXS5
DB00223,P54289
DB00226,P14598
DB00226,O95264
DB00227,P03915
DB00227,P37231
DB00231,Q14994
DB00231,Q96L42
DB00233,P04629
DB00233,P37231
DB00235,O76074
DB00235,O76083
DB00237,P41595
DB00237,P48167
DB00239,P37231
DB00239,P78334
DB00240,P03372
DB00240,Q9P0X4
DB00241,P28222
DB00241,P23415
DB00243,O15554
DB00243,Q9Y257
DB00244,Q59H18
DB00244,Q00536
DB00245,Q8TDN2
DB00245,P54750
DB00246,O95069
DB00246,O95180
DB00247,O14764
DB00247,P61024
DB00248,P35869
DB00248,Q9Y257
DB00252,Q9BQB6
DB00252,P35372
DB00255,Q00987
DB00255,Q07699
DB00257,Q9Y6J6
DB00257,Q9P0X4
DB00261,Q08499
DB00261,O60658
DB00262,P48728
DB00262,P04264
DB00264,Q9UI33
DB00264,P00439
DB00266,O95831
DB00266,Q15067
DB00268,P18507
DB00268,A5X5Y0
DB00270,P18405
DB00270,Q9Y698
DB00273,P18405
DB00273,P48547
DB00275,P37231
DB00275,P05412
DB00276,Q9H2S1
DB00276,P19838
DB00277,P25103
DB00277,Q15569
DB00278,P02538
DB00278,P01591
DB00279,P25101
DB00279,Q13698
DB00281,Q12866
DB00281,P51957
DB00282,P25101
DB00282,P23469
DB00283,P47869
DB00283,Q01959
DB00284,Q9UKQ2
DB00284,P43681
DB00287,P34995
DB00287,P43119
DB00292,Q08289
DB00292,Q01118
DB00293,P42261
DB00293,P42263
DB00294,Q9BXT2
DB00294,P30968
DB00295,Q02641
DB00295,P11229
DB00296,O60939
DB00296,Q14003
DB00298,Q9H252
DB00298,Q9NSA2
DB00302,Q0VD83
DB00302,P68871
DB00304,Q9BXT2
DB00304,P14060
DB00306,Q5JPH6
DB00306,Q9NSA2
DB00307,P05412
DB00307,Q07869
DB00308,Q92806
DB00308,Q13698
DB00309,O75469
DB00309,P68366
DB00312,O14939
DB00312,P48051
DB00313,O15547
DB00313,P43657
DB00315,Q9UK17
DB00315,P18505
DB00316,P04040
DB00316,P23415
DB00318,O14764
DB00318,P43681
DB00320,P20711
DB00320,P15336
DB00321,P52333
DB00321,P48039
DB00322,Q12882
DB00322,P23921
DB00323,Q14749
DB00323,Q8N1G2
DB00327,P18507
DB00327,P47898
DB00328,P00918
DB00328,P10635
DB00331,P30038
DB00331,O00519
DB00332,Q12809
DB00332,O15399
DB00333,Q96KK3
DB00333,Q9Y6J6
DB00335,P18848
DB00335,P29274
DB00337,Q08881
DB00337,Q7KZI7
DB00338,P35348
DB00338,P18825
DB00340,P35348
DB00340,Q9UK17
DB00342,Q15391
DB00342,Q99571
DB00343,Q8N1C3
DB00343,O60939
DB00344,P06276
DB00344,P15336
DB00347,Q9UNX9
DB00347,P21728
DB00349,P18825
DB00349,P42263
DB00350,P28222
DB00350,P10635
DB00351,P30968
DB00351,Q9BXT2
DB00353,P41143
DB00353,P35368
DB00354,P41143
DB00354,Q9Y6H6
DB00356,Q16790
DB00356,P29474
DB00358,Q08499
DB00358,Q9HCR9
DB00360,P25100
DB00360,P35228
DB00361,P02656
DB00361,P05412
DB00363,Q05901
DB00363,Q16678
DB00367,Q00987
DB00367,P01024
DB00368,Q15858
DB00368,Q14654
DB00370,P31645
DB00370,P48547
DB00371,P28221
DB00371,P35462
DB00372,P07451
DB00372,P25100
DB00373,O60840
DB00373,P48169
DB00374,Q86VZ1
DB00374,Q15391
DB00376,P48547
DB00376,Q9H3N8
DB00377,P34903
DB00377,P41595
DB00378,Q92731
DB00378,P13500
DB00379,P26358
DB00379,Q01118
DB00380,Q14978
DB00380,P07437
DB00381,Q9UNX9
DB00381,Q01668
DB00382,Q9H015
DB00382,P11229
DB00383,P14867
DB00383,Q01118
DB00385,Q02880
DB00385,P07437
DB00387,P56696
DB00387,O14764
DB00388,P21918
DB00388,O14764
DB00390,O95180
