drugbank_id,uniprot_id
DB00006,P17752
DB00006,P30085
DB00007,Q9HCR9
DB00007,Q9Y666
DB00014,P35222
DB00014,P34995
DB00050,P05106
DB00050,P29350
DB00091,Q9NR33
DB00091,O94760
DB00114,Q96RD7
DB00114,Q00534
DB00115,Q8WYK2
DB00115,P43119
DB00118,P43116
DB00118,P18545
DB00119,P05106
DB00119,P61421
DB00120,Q15118
DB00120,Q13488
DB00121,P17544
DB00121,P04080
DB00122,P29074
DB00122,Q9H2M3
DB00126,Q9UNK4
DB00126,Q9BXJ7
DB00130,O95670
DB00130,Q9NVH6
DB00132,P29074
DB00132,Q93050
DB00134,P54219
DB00134,P46597
DB00136,P11274
DB00136,P29350
DB00138,Q7LG56
DB00138,P61421
DB00139,P12235
DB00139,O94760
DB00140,Q8IVH4
DB00140,P21283
DB00142,Q9NYK1
DB00142,Q13332
DB00143,P12235
DB00143,P27707
DB00145,P29074
DB00145,P17540
DB00146,Q9GZT9
DB00146,Q9BZV3
DB00148,P18846
DB00148,P08069
DB00151,P27707
DB00151,P21283
DB00153,Q9HBG4
DB00153,P05165
DB00157,P12235
DB00157,Q14181
DB00159,P68371
DB00159,Q8NEY4
DB00162,P55011
DB00162,O60494
DB00163,O00469
DB00163,P19021
DB00169,P50579
DB00169,Q14697
DB00170,Q14697
DB00170,P10253
DB00173,P07288
DB00173,Q9BZV3
DB00175,Q9NRF9
DB00175,Q15904
DB00176,Q15904
DB00176,P23469
DB00177,Q13126
DB00177,Q9UKQ2
DB00178,Q9NR97
DB00178,Q14978
DB00179,Q9UBC3
DB00179,Q96Q83
DB00180,Q8IVL5
DB00180,P23469
DB00181,P17050
DB00181,P56282
DB00182,Q14697
DB00182,P27707
DB00184,P23469
DB00184,O15342
DB00185,O15342
DB00185,P56282
DB00186,P23469
DB00186,P08620
DB00187,Q9UI12
DB00187,P21462
DB00189,P00491
DB00189,O94760
DB00190,P31350
DB00190,Q16760
DB00191,P22888
DB00191,P29350
DB00192,Q99437
DB00192,P14735
DB00193,P12277
DB00193,P29074
DB00195,P50579
DB00195,P05166
DB00197,Q14697
DB00197,O95670
DB00199,P51580
DB00199,Q15118
DB00200,Q9UQQ2
DB00200,P46939
DB00201,P22888
DB00201,P05165
DB00202,P08514
DB00202,Q9NRF9
DB00203,P13674
DB00203,P68371
DB00204,Q14697
DB00204,P04080
DB00205,P52209
DB00205,Q14697
DB00206,P27449
DB00206,Q15118
DB00208,Q08257
DB00208,O75899
DB00209,P17540
DB00209,Q8N8Y2
DB00210,P10253
DB00210,Q8N8Y2
DB00211,Q99437
DB00211,Q9Y487
DB00213,Q9UNQ0
DB00213,P29401
DB00214,Q9Y5K3
DB00214,P09455
DB00215,Q99437
DB00215,Q93088
DB00216,P40261
DB00216,P22888
DB00217,Q9Y5K8
DB00217,Q99437
DB00218,P23469
DB00218,Q05209
DB00219,P55211
DB00219,Q93088
DB00221,P50579
DB00221,Q9BXJ7
DB00222,P08514
DB00222,P31939
DB00223,P61421
DB00223,Q02809
DB00226,P48029
DB00226,P08519
DB00227,P40261
DB00227,Q14978
DB00228,Q14697
DB00228,P05141
DB00230,Q96Q83
DB00230,Q13488
DB00231,Q15904
DB00231,P08514
DB00233,P68371
DB00233,Q14181
DB00234,P29074
DB00234,P27707
DB00235,Q9UI12
DB00235,Q96LZ3
DB00237,Q9UI12
DB00237,P38606
DB00239,Q9NR33
DB00239,Q9Y5K8
DB00240,Q13126
DB00240,Q8IVL5
DB00241,P61421
DB00241,P49281
DB00242,Q99653
DB00242,P11511
DB00243,Q9NR33
DB00243,P00491
DB00244,P05141
DB00244,P50747
DB00245,P09884
DB00245,O60494
DB00246,P29074
DB00246,P48029
DB00247,O60494
DB00247,Q9UBK8
DB00248,Q9UBK8
DB00248,Q9H2M3
DB00252,Q15904
DB00252,Q07864
DB00253,Q9NYV7
DB00253,Q9NYK1
DB00255,Q14181
DB00255,Q96RQ3
DB00257,P08620
DB00257,Q9BY49
DB00261,O95470
DB00261,Q9UHI5
DB00262,Q9NRF9
DB00262,Q93050
DB00264,P27707
DB00264,Q99437
DB00266,P29074
DB00266,Q96RD7
DB00268,P09884
DB00268,P05165
DB00270,P21283
DB00270,P42898
DB00273,P27449
DB00273,P27707
DB00275,P14410
DB00275,P78559
DB00276,Q9UI12
DB00276,P22033
DB00277,Q9NR33
DB00277,P05166
DB00278,Q9Y666
DB00278,Q14181
DB00279,O00763
DB00279,P09884
DB00280,Q9NRF9
DB00280,P23469
DB00281,P23921
DB00281,Q15904
DB00282,P04080
DB00282,Q32P28
DB00283,P78352
DB00283,Q9UBK8
DB00284,P09429
DB00284,Q8N543
DB00285,Q9BTZ2
DB00285,Q8NEY4
DB00287,Q16539
DB00287,P49281
DB00288,P06732
DB00288,P21860
DB00289,Q14697
DB00289,P12277
DB00292,P21283
DB00292,Q99437
DB00293,Q14978
DB00293,Q9UQL6
DB00294,Q8IVL5
DB00294,P56282
DB00295,P49281
DB00295,Q8IVH4
DB00296,O95670
DB00296,P09960
DB00297,P56282
DB00297,P14735
DB00298,Q13332
DB00298,P20061
DB00302,O95670
DB00302,Q9HC29
DB00304,P15313
DB00304,O15342
DB00306,Q07864
DB00306,P38606
DB00307,O15392
DB00307,Q9Y6F1
DB00308,Q93088
DB00308,Q7LG56
DB00309,Q16719
DB00309,Q15750
DB00310,P05165
DB00310,Q14353
DB00312,Q9NYK1
DB00312,P12277
DB00313,P56282
DB00313,Q8N8Y2
DB00315,Q13085
DB00315,Q14697
DB00316,Q9UI12
DB00316,Q14181
DB00317,P11498
DB00317,Q9UP52
DB00318,Q9HBG4
DB00318,P05141
DB00320,Q9BXJ7
DB00320,Q93050
DB00321,Q9BXJ7
DB00321,Q93088
DB00322,O95864
DB00322,P30536
DB00323,Q32MK0
DB00323,P05129
DB00324,P30044
DB00324,Q8IVH4
DB00327,O94760
DB00327,P23469
DB00328,O94760
DB00328,Q8N8Y2
DB00331,Q9NR97
DB00331,P09884
DB00332,Q969G6
DB00332,P38606
DB00333,Q9NR97
DB00333,P05141
DB00334,P50579
DB00334,Q93088
DB00335,Q9Y487
DB00335,P42898
DB00337,P49788
DB00337,P49281
DB00338,P43115
DB00338,P78362
DB00340,Q13488
DB00340,P00491
DB00341,P29074
DB00341,Q8IVH4
DB00342,Q99437
DB00342,Q13126
DB00343,P22033
DB00343,P09884
DB00344,P15313
DB00344,Q96RD7
DB00346,P05165
DB00346,P06732
DB00347,P51580
DB00347,Q96RQ3
DB00349,Q05209
DB00349,O94760
DB00350,P61421
DB00350,Q9Y487
DB00351,Q02750
DB00351,Q02809
DB00353,P30405
DB00353,Q14697
DB00354,P23469
DB00354,P68371
DB00356,Q00534
DB00356,Q9NRF9
DB00357,P19835
DB00357,O15269
DB00358,P61421
DB00358,Q99437
DB00360,P10915
DB00360,P18545
DB00361,O15392
DB00361,P06756
DB00363,Q9HCC0
DB00363,Q8IVH4
DB00364,P17812
DB00364,P50747
DB00366,P08514
DB00366,Q8IVH4
DB00367,P09884
DB00367,Q9NR97
DB00368,P23921
DB00368,P40261
DB00370,Q9NR97
DB00370,P49019
DB00371,P21283
DB00371,P23921
DB00372,P04080
DB00372,P22033
DB00373,P30085
DB00373,Q9BY49
DB00374,P29350
DB00374,P22888
DB00376,Q07817
DB00376,O95749
DB00377,P21283
DB00377,P29074
DB00378,P43116
DB00378,Q9UQQ2
DB00379,Q14697
DB00379,P00742
DB00380,Q8NEY4
DB00380,P15086
DB00381,P17540
DB00381,Q9Y5S8
DB00382,P08514
DB00382,Q9UBK8
DB00383,P06732
DB00383,P31939
DB00385,Q9NSD9
DB00385,P21453
DB00387,P50579
DB00387,Q96RD7
DB00388,O60494
DB00388,Q96RQ3
DB00389,P29074
DB00389,Q9BY66
DB00390,P55211
DB00390,O60931
DB00391,O15342
DB00391,P21283
DB00392,P17540
DB00392,O94760
DB00393,P06732
DB00393,P05166
DB00394,P68371
DB00394,P43115
DB00395,Q93088
DB00395,P06732
DB00396,P38606
DB00396,P22033
DB00397,P78362
DB00397,P38606
DB00398,P40261
DB00398,P29350
DB00399,Q15750
DB00399,Q8WXS5
DB00400,P10253
DB00400,P25103
DB00401,Q13085
DB00401,Q9HCC0
DB00402,Q8NEY4
DB00402,P36543
DB00404,P50579
DB00404,Q8IVH4
DB00405,Q9BY49
DB00405,P49019
DB00408,Q96RQ3
DB00408,Q9H2M3
DB00409,Q9NR97
DB00409,P17540
DB00411,P31939
DB00411,P98164
DB00412,P23921
DB00412,P30085
DB00413,Q13085
DB00413,P20061
DB00414,Q96LZ3
DB00414,Q8N8Y2
DB00415,P31260
DB00415,Q15118
DB00416,O75348
DB00416,Q9NR97
DB00418,Q13126
DB00418,P49281
DB00420,Q13126
DB00420,Q93088
DB00421,Q96A05
DB00421,Q9HBG4
DB00422,P00491
DB00422,Q9BY49
DB00423,P02679
DB00423,P05230
DB00424,Q9NYV7
DB00424,P48029
DB00425,P00491
DB00425,Q93050
DB00427,Q9BY49
DB00427,P23921
DB00429,P05106
DB00429,P50993
DB00431,Q9UBK8
DB00431,Q8IVH4
DB00432,P02679
DB00432,Q7L7X3
DB00433,Q9Y5K8
DB00433,Q9NRF9
DB00434,Q9NYK1
DB00434,Q96RQ3
DB00435,Q4U2R8
DB00435,Q02880
DB00436,Q9BY49
DB00436,P21283
DB00437,Q13085
DB00437,Q6NS38
DB00439,Q96A05
DB00439,P10253
DB00441,Q13882
DB00441,Q12851
DB00443,Q9Y666
DB00443,P61421
DB00444,P24941
DB00444,P30044
DB00445,P27449
DB00445,P84077
DB00448,P14324
DB00448,Q9UJT1
DB00449,P20061
DB00449,Q13332
DB00450,Q8N8Y2
DB00450,P06732
DB00451,P02792
DB00451,Q07864
DB00454,P29074
DB00454,Q13332
DB00455,P51580
DB00455,Q7LG56
DB00457,Q8N8Y2
DB00457,Q13488
DB00458,P05141
DB00458,Q9BY49
DB00459,P13637
DB00459,P02675
DB00461,P51164
DB00461,P15313
DB00462,Q03393
DB00462,Q9NYV7
DB00464,Q9UBK8
DB00464,Q9UK32
DB00465,P06732
DB00465,P12235
DB00467,Q93050
DB00467,Q15274
DB00468,P08620
DB00468,P06732
DB00469,Q8NEY4
DB00469,Q99437
DB00470,P21283
DB00470,Q14978
DB00471,Q9NYV7
DB00471,P05166
DB00472,Q8NEY4
DB00472,P42898
DB00474,P23921
DB00474,P36543
DB00475,P78362
DB00475,P20061
DB00476,P30085
DB00476,Q7LG56
DB00477,Q9NR97
DB00477,Q13332
DB00480,Q9Y5K8
DB00480,Q9NR97
DB00481,P38606
DB00481,P09884
DB00482,P05141
DB00482,O15342
DB00483,P12277
DB00483,Q9H2M3
DB00484,Q13332
DB00484,Q9NR33
DB00486,O60494
DB00486,Q03403
DB00487,O60494
DB00487,O15392
DB00489,P56282
DB00489,P29350
DB00490,Q9Y5S8
DB00490,Q9BXJ7
DB00491,Q96NR8
DB00491,Q8TCT1
DB00492,Q9NYK1
DB00492,Q8NBN7
DB00493,Q14181
DB00493,Q8NEY4
DB00494,P12004
DB00494,Q9UHI5
DB00496,Q03393
DB00496,P14324
DB00497,O15342
DB00497,P23921
DB00498,Q02750
DB00498,O43451
DB00499,Q8NEY4
DB00499,Q14181
DB00500,Q9Y487
DB00500,P68371
DB00501,P23469
DB00501,P36543
DB00502,P12235
DB00502,Q13126
DB00503,Q9UBK8
DB00503,P08514
DB00504,P12277
DB00504,P23469
DB00508,P68371
DB00508,P56282
DB00509,P17707
DB00509,O95977
DB00511,P31040
DB00511,P08620
DB00513,Q9H2M3
DB00513,P23921
DB00514,P12277
DB00514,Q9BY49
DB00517,P09884
DB00517,Q8NEY4
DB00518,P24530
DB00518,P08069
DB00519,P78362
DB00519,P24530
DB00521,Q9Y5S8
DB00521,Q9UI12
DB00523,Q7LG56
DB00523,O94760
DB00524,O00763
DB00524,P05362
DB00527,Q9NYK1
DB00527,P05165
DB00528,P23469
DB00528,P17540
DB00530,Q13332
DB00530,P21283
DB00531,P50747
DB00531,O95670
DB00532,P61421
DB00532,Q13126
DB00533,P68371
DB00533,P15313
DB00535,Q15904
DB00535,P78362
DB00536,Q05209
DB00536,P23469
DB00537,P50579
DB00537,P09884
DB00539,Q9NR97
DB00539,P29350
DB00540,P50747
DB00540,P12235
DB00541,Q07864
DB00541,Q9Y666
DB00542,O95363
DB00542,P00742
DB00543,P17540
DB00543,Q13332
DB00544,P02679
DB00544,P17540
DB00545,P17050
DB00545,P43088
DB00547,Q8IVL6
DB00547,Q9NYK1
DB00548,Q9BXJ7
DB00548,Q9UI12
DB00549,P25103
DB00549,P50993
DB00550,P21281
DB00550,P31153
DB00552,P16435
DB00552,P31350
DB00554,P17540
DB00554,P05166
DB00555,Q13332
DB00555,Q13126
DB00557,Q9HCC0
DB00557,P27449
DB00559,P21283
DB00559,Q9NSD9
DB00561,Q8IVL6
DB00561,Q9H6Z9
DB00562,O94760
DB00562,P14735
DB00563,Q9NR97
DB00563,Q9Y694
DB00564,Q96RQ3
DB00564,P50747
DB00565,P04080
DB00565,P49281
DB00568,P12277
DB00568,Q93088
DB00569,O60494
DB00569,Q96A05
DB00570,P22888
DB00570,Q8IVH4
DB00571,Q99437
DB00571,Q8N8Y2
DB00572,Q9UNQ0
DB00572,Q9UI12
DB00573,Q9Y487
DB00573,Q8NEY4
DB00574,P27707
DB00574,Q13332
DB00575,Q9BY49
DB00575,P22033
DB00579,Q96NR8
DB00579,Q9Y4U1
DB00580,Q96RQ3
DB00580,Q15274
DB00583,P20061
DB00583,P29074
DB00584,P14598
DB00584,Q14571
DB00585,P49019
DB00585,Q9H2X9
DB00586,P56282
DB00586,O43451
DB00588,P29350
DB00588,Q13332
DB00589,P20061
DB00589,Q13085
DB00590,P27449
DB00590,P50747
DB00591,Q13332
DB00591,Q15904
DB00592,Q8NEY4
DB00592,Q9Y487
DB00593,Q13332
DB00593,P27449
