drugbank_id,uniprot_id
DB00006,P07360
DB00006,P06727
DB00006,P08697
DB00006,P06702
DB00006,P16455
DB00006,P32119
DB00014,P13500
DB00050,P03372
DB00050,P04150
DB00050,P06401
DB00050,P10275
DB00091,P31946
DB00091,P02743
DB00091,Q07955
DB00091,P60842
DB00091,P08697
DB00091,P05546
DB00114,P62807
DB00114,P56537
DB00114,P01031
DB00114,Q9UDR5
DB00114,P04004
DB00114,P08603
DB00115,P50579
DB00118,O75311
DB00118,P41250
DB00118,P48167
DB00118,P48637
DB00118,Q14032
DB00118,Q14330
DB00119,Q16795
DB00119,Q9NUV7
DB00119,P48058
DB00119,P36955
DB00119,P03923
DB00119,P27797
DB00120,Q16099
DB00120,P43004
DB00120,P48507
DB00120,Q9UDR5
DB00120,Q14831
DB00120,P42262
DB00121,O15403
DB00121,P07741
DB00121,P78362
DB00121,O60669
DB00121,O15427
DB00121,Q13126
DB00122,P25103
DB00122,P21796
DB00122,Q13003
DB00122,P48058
DB00122,P32004
DB00122,Q7Z2W7
DB00126,P21917
DB00126,P46098
DB00126,Q16595
DB00126,Q969S2
DB00126,Q9BY41
DB00126,Q9NZD4
DB00130,P39086
DB00130,P00519
DB00130,Q12879
DB00130,P06241
DB00130,Q05586
DB00130,Q05932
DB00132,P18505
DB00132,P63252
DB00132,P46098
DB00132,P19835
DB00132,O43174
DB00132,P24311
DB00134,O60494
DB00134,P20061
DB00134,Q8IVH4
DB00134,Q9UPY5
DB00136,P35398
DB00136,Q14994
DB00136,Q9ULY5
DB00138,P48637
DB00138,P49915
DB00138,P54886
DB00138,P43003
DB00138,P24752
DB00138,P09917
DB00139,P03923
DB00139,P08559
DB00139,Q96C36
DB00139,P00338
DB00139,O43677
DB00139,O95139
DB00140,P17516
DB00140,P49448
DB00140,Q08426
DB00140,P11177
DB00140,P28845
DB00140,P21695
DB00142,P47869
DB00142,P08173
DB00142,P00747
DB00142,P08908
DB00142,Q99497
DB00142,Q09470
DB00143,P12268
DB00143,P06744
DB00143,Q9P0X4
DB00143,P68104
DB00143,O14964
DB00143,P51649
DB00145,Q9BQ31
DB00145,P22303
DB00145,P34903
DB00145,P05546
DB00145,O95264
DB00145,Q9Y697
DB00146,O15440
DB00146,P35398
DB00146,Q9ULY5
DB00148,P05091
DB00148,P07998
DB00148,P78352
DB00151,P49189
DB00151,Q16836
DB00151,Q14833
DB00151,P02751
DB00151,P31937
DB00151,P04196
DB00153,P16152
DB00153,P19099
DB00153,Q05901
DB00153,P48050
DB00153,P27338
DB00153,O95069
DB00157,P15814
DB00157,P25963
DB00157,P08697
DB00157,P08913
DB00157,Q9UQD0
DB00157,P46939
DB00159,Q9NPH2
DB00159,Q14643
DB00159,P17050
DB00159,O43708
DB00159,O43252
DB00159,Q14541
DB00162,P50213
DB00162,P03897
DB00162,P30519
DB00162,P14866
DB00162,O95299
DB00162,P04264
DB00163,Q9NRP7
DB00163,Q9UHD2
DB00163,P57078
DB00163,P48547
DB00163,P22001
DB00163,Q9UL54
DB00169,O15440
DB00169,P35398
DB00169,Q9ULY5
DB00170,P21281
DB00170,Q96C36
DB00170,P23560
DB00170,Q13255
DB00170,Q969S2
DB00170,P56556
DB00173,P12724
DB00173,P07360
DB00173,P15086
DB00173,P62312
DB00173,O14964
DB00173,P05166
DB00175,Q9BYZ2
DB00175,P03886
DB00175,P14061
DB00175,P29803
DB00175,P48448
DB00175,P56556
DB00178,P81605
DB00178,P00736
DB00178,P15169
DB00178,P02746
DB00178,O15304
DB00178,P04217
DB00179,P07947
DB00179,Q9P286
DB00179,P42680
DB00179,Q13627
DB00179,Q99640
DB00179,P49761
DB00180,P19099
DB00180,P31213
DB00180,Q9H8P0
DB00181,P50440
DB00182,P11310
DB00182,Q15067
