uniprot,pathway
P00813,hsa00230
P00813,hsa05340
P00813,hsa01100
P00813,hsa01232
Q9Y6H6,hsa04974
Q9UBN7,hsa05203
Q9UBN7,hsa05034
Q9UBN7,hsa04613
Q9UBN7,hsa05014
Q9UQL6,hsa05203
Q9UQL6,hsa05206
Q9UQL6,hsa04371
Q9UQL6,hsa04613
Q9UQL6,hsa05034
Q9UQQ2,hsa04722
P33151,hsa04520
P33151,hsa04670
P33151,hsa04514
P33151,hsa05418
Q9UGN5,hsa03410
Q9UGN5,hsa04210
Q9Y6F1,hsa03410
Q9Y6F1,hsa04210
Q9NSD9,hsa00970
O15440,hsa02010
O15440,hsa01523
O60706,hsa02010
Q13133,hsa03320
Q13133,hsa05160
Q13133,hsa04932
Q13133,hsa04931
P30405,hsa05022
P30405,hsa05415
P30405,hsa05020
P30405,hsa04022
P30405,hsa05012
P30405,hsa05010
P30405,hsa04613
P30405,hsa05208
P30405,hsa05017
P30405,hsa04020
P30405,hsa05016
P30405,hsa05145
Q9H422,hsa04218
Q9UDR5,hsa00310
Q9UDR5,hsa01100
P43657,hsa05200
P43657,hsa04151
P43657,hsa04080
P43657,hsa04072
P24941,hsa05226
P24941,hsa05165
P24941,hsa04934
P24941,hsa04115
P24941,hsa04914
P24941,hsa05215
P24941,hsa04218
P24941,hsa05162
P24941,hsa05160
P24941,hsa04151
P24941,hsa05200
P24941,hsa05169
P24941,hsa05203
P24941,hsa05161
P24941,hsa05222
P24941,hsa05166
P24941,hsa04068
P24941,hsa04110
P24941,hsa04114
P11802,hsa04151
P11802,hsa05160
P11802,hsa04934
P11802,hsa05223
P11802,hsa05219
P11802,hsa05164
P11802,hsa05222
P11802,hsa05167
P11802,hsa04115
P11802,hsa05166
P11802,hsa05212
P11802,hsa04218
P11802,hsa05218
P11802,hsa05162
P11802,hsa05200
P11802,hsa04933
P11802,hsa05203
P11802,hsa05163
P11802,hsa05169
P11802,hsa04530
P11802,hsa01522
P11802,hsa05225
P11802,hsa05224
P11802,hsa04110
P11802,hsa05214
P11802,hsa04660
P11802,hsa05220
P11802,hsa05165
Q16602,hsa04080
Q16602,hsa04270
Q00534,hsa05224
Q00534,hsa05167
Q00534,hsa05214
Q00534,hsa05225
Q00534,hsa04218
Q00534,hsa05223
Q00534,hsa05218
Q00534,hsa05169
Q00534,hsa05220
Q00534,hsa05222
Q00534,hsa04934
Q00534,hsa05162
Q00534,hsa05160
Q00534,hsa05212
Q00534,hsa05203
Q00534,hsa05200
Q00534,hsa05163
Q00534,hsa05165
Q00534,hsa05164
Q00534,hsa04115
Q00534,hsa05206
Q00534,hsa04110
Q00534,hsa04151
Q9NQX3,hsa04727
Q9NQX3,hsa01100
Q9NQX3,hsa01240
Q9NQX3,hsa00790
P38936,hsa05202
P38936,hsa05225
P38936,hsa05222
P38936,hsa05211
P38936,hsa04110
P38936,hsa05160
P38936,hsa04115
P38936,hsa05200
P38936,hsa05213
P38936,hsa01522
P38936,hsa04066
P38936,hsa05161
P38936,hsa05167
P38936,hsa05169
P38936,hsa05214
P38936,hsa05220
P38936,hsa04630
P38936,hsa05218
P38936,hsa05206
P38936,hsa05224
P38936,hsa05226
P38936,hsa05165
P38936,hsa05166
P38936,hsa05223
P38936,hsa05210
P38936,hsa04921
P38936,hsa05219
P38936,hsa04928
P38936,hsa05212
P38936,hsa05216
P38936,hsa05215
P38936,hsa04934
P38936,hsa04068
P38936,hsa05203
P38936,hsa04012
P38936,hsa05163
P38936,hsa04218
P38936,hsa01524
P38936,hsa05217
P38936,hsa04151
P38936,hsa05205
O60895,hsa04270
O60894,hsa04270
O60896,hsa04270
Q99720,hsa05022
Q99720,hsa05014
O96013,hsa05211
O96013,hsa04014
O96013,hsa04660
O96013,hsa05170
O96013,hsa04360
O96013,hsa04510
O96013,hsa05206
O96013,hsa04012
O96013,hsa04810
Q13488,hsa05120
Q13488,hsa04966
Q13488,hsa05323
Q13488,hsa05110
Q13488,hsa01100
Q13488,hsa00190
Q13488,hsa05165
Q13488,hsa04142
Q13488,hsa04145
Q13488,hsa04721
Q13488,hsa05152
P14550,hsa05208
P14550,hsa00620
P14550,hsa00561
P14550,hsa01240
P14550,hsa00010
P14550,hsa00053
P14550,hsa00040
P14550,hsa01100
Q9UGM6,hsa00970
Q16878,hsa00430
Q16878,hsa01100
Q16878,hsa00270
O60359,hsa05412
O60359,hsa04921
O60359,hsa04260
O60359,hsa05410
O60359,hsa05414
O60359,hsa04261
O60359,hsa04010
Q9Y698,hsa05414
Q9Y698,hsa04260
Q9Y698,hsa04261
Q9Y698,hsa04921
Q9Y698,hsa05412
Q9Y698,hsa04010
Q9Y698,hsa05410
Q13509,hsa05010
Q13509,hsa05022
Q13509,hsa05130
Q13509,hsa05012
Q13509,hsa05014
Q13509,hsa05016
Q13509,hsa05020
Q13509,hsa04814
Q13509,hsa05132
Q13509,hsa04540
Q13509,hsa04145
P68371,hsa05130
P68371,hsa04814
P68371,hsa05016
P68371,hsa05010
P68371,hsa04145
P68371,hsa04540
P68371,hsa05020
P68371,hsa05014
P68371,hsa05132
P68371,hsa05022
P68371,hsa05012
P63244,hsa05162
Q15750,hsa04620
Q15750,hsa04010
Q15750,hsa05132
Q15750,hsa05169
Q15750,hsa05140
Q15750,hsa04668
Q15750,hsa05145
Q15750,hsa05417
Q15750,hsa04064
Q15750,hsa05130
Q15750,hsa05168
Q15750,hsa05161
Q15750,hsa05135
Q15750,hsa04380
Q15750,hsa04621
Q15750,hsa05170
Q15750,hsa05131
Q15750,hsa04936
Q15596,hsa04919
Q15596,hsa04915
Q9UNN8,hsa04610
O15269,hsa04071
O15269,hsa00600
O15269,hsa01100
O15304,hsa04115
Q9Y6L6,hsa04976
Q96RR4,hsa04211
Q96RR4,hsa04936
Q96RR4,hsa04140
Q96RR4,hsa04920
Q96RR4,hsa04921
Q96RR4,hsa05034
Q96RR4,hsa04152
P23141,hsa00983
O95363,hsa00970
Q15125,hsa00100
Q15125,hsa01100
Q08828,hsa04925
Q08828,hsa04928
Q08828,hsa04022
Q08828,hsa04261
Q08828,hsa05032
Q08828,hsa04971
Q08828,hsa04072
Q08828,hsa04913
Q08828,hsa04270
Q08828,hsa04918
Q08828,hsa04213
Q08828,hsa04727
Q08828,hsa04935
Q08828,hsa04915
Q08828,hsa04611
Q08828,hsa04934
Q08828,hsa04725
Q08828,hsa04714
Q08828,hsa00230
Q08828,hsa04540
Q08828,hsa04114
Q08828,hsa05166
Q08828,hsa04927
Q08828,hsa04972
Q08828,hsa04020
Q08828,hsa04723
Q08828,hsa04211
Q08828,hsa04713
Q08828,hsa04926
Q08828,hsa04970
Q08828,hsa01522
Q08828,hsa04724
Q08828,hsa04750
Q08828,hsa05207
Q08828,hsa04371
Q08828,hsa05142
