uniprot,pathway
A5X5Y0,R-HSA-112314
O00142,R-HSA-73614
O00180,R-HSA-1299308
O00180,R-HSA-5576886
O00206,R-HSA-1236974
O00206,R-HSA-140534
O00206,R-HSA-166016
O00206,R-HSA-166058
O00206,R-HSA-166166
O00206,R-HSA-2562578
O00206,R-HSA-5602498
O00206,R-HSA-5603041
O00206,R-HSA-5686938
O00206,R-HSA-936964
O00206,R-HSA-937041
O00206,R-HSA-937072
O00206,R-HSA-9707616
O00206,R-HSA-975163
O00217,R-HSA-611105
O00217,R-HSA-6799198
O00222,R-HSA-418594
O00222,R-HSA-420499
O00238,R-HSA-201451
O00244,R-HSA-3299685
O00244,R-HSA-6803544
O00264,R-HSA-6798695
O00305,R-HSA-112308
O00305,R-HSA-419037
O00329,R-HSA-1257604
O00329,R-HSA-1660499
O00329,R-HSA-2219530
O00329,R-HSA-512988
O00329,R-HSA-6811558
O00329,R-HSA-8853659
O00329,R-HSA-9027276
O00329,R-HSA-912526
O00329,R-HSA-912631
O00329,R-HSA-983695
O00408,R-HSA-418457
O00408,R-HSA-418555
O00444,R-HSA-2565942
O00444,R-HSA-380259
O00444,R-HSA-380270
O00444,R-HSA-380284
O00444,R-HSA-380320
O00444,R-HSA-5620912
O00444,R-HSA-8854518
O00459,R-HSA-109704
O00459,R-HSA-112399
O00459,R-HSA-114604
O00459,R-HSA-1257604
O00459,R-HSA-1266695
O00459,R-HSA-1433557
O00459,R-HSA-1660499
O00459,R-HSA-186763
O00459,R-HSA-198203
O00459,R-HSA-201556
O00459,R-HSA-202424
O00459,R-HSA-2029485
O00459,R-HSA-210993
O00459,R-HSA-2219530
O00459,R-HSA-2424491
O00459,R-HSA-2730905
O00459,R-HSA-373753
O00459,R-HSA-388841
O00459,R-HSA-389357
O00459,R-HSA-416476
O00459,R-HSA-4420097
O00459,R-HSA-512988
O00459,R-HSA-5673001
O00459,R-HSA-6811558
O00459,R-HSA-8853659
O00459,R-HSA-8980692
O00459,R-HSA-9009391
O00459,R-HSA-9013026
O00459,R-HSA-9013148
O00459,R-HSA-9013149
O00459,R-HSA-9013404
O00459,R-HSA-9013405
O00459,R-HSA-9013409
O00459,R-HSA-9013420
O00459,R-HSA-9013423
O00459,R-HSA-9035034
O00459,R-HSA-912526
O00459,R-HSA-912631
O00459,R-HSA-9670439
O00459,R-HSA-9673767
O00459,R-HSA-9673770
O00459,R-HSA-9696264
O00459,R-HSA-9696270
O00459,R-HSA-9696273
O00469,R-HSA-1650814
O00483,R-HSA-5628897
O00483,R-HSA-611105
O00483,R-HSA-9707564
O00519,R-HSA-2142753
O00555,R-HSA-112308
O00555,R-HSA-422356
O00750,R-HSA-1660499
O00763,R-HSA-163765
O00763,R-HSA-196780
O00763,R-HSA-200425
O00763,R-HSA-2426168
O00764,R-HSA-6798695
O00764,R-HSA-964975
O14521,R-HSA-611105
O14521,R-HSA-71403
O14556,R-HSA-390471
O14556,R-HSA-70171
O14556,R-HSA-70263
O14561,R-HSA-389661
O14561,R-HSA-611105
O14561,R-HSA-6799198
O14561,R-HSA-77289
O14578,R-HSA-5625900
O14578,R-HSA-8980692
O14578,R-HSA-9013026
O14578,R-HSA-9013106
O14578,R-HSA-9013149
O14618,R-HSA-3299685
O14649,R-HSA-1299316
O14649,R-HSA-5576886
O14730,R-HSA-6791226
O14732,R-HSA-1855183
O14746,R-HSA-171319
O14746,R-HSA-201722
O14757,R-HSA-1433557
O14757,R-HSA-176187
O14757,R-HSA-5693607
O14757,R-HSA-5693616
O14757,R-HSA-6796648
O14757,R-HSA-6804756
O14757,R-HSA-69473
O14757,R-HSA-69601
O14757,R-HSA-75035
O14757,R-HSA-8953750
O14788,R-HSA-5668541
O14788,R-HSA-5669034
O14788,R-HSA-5676594
O14791,R-HSA-2168880
O14791,R-HSA-381426
O14791,R-HSA-8957275
O14832,R-HSA-389599
O14832,R-HSA-9033241
O14832,R-HSA-9033500
O14841,R-HSA-174403
O14841,R-HSA-5578998
O14842,R-HSA-381771
O14842,R-HSA-400511
O14842,R-HSA-416476
O14842,R-HSA-434316
O14842,R-HSA-444209
O14880,R-HSA-156590
O14880,R-HSA-5423646
O14920,R-HSA-1169091
O14920,R-HSA-1236974
O14920,R-HSA-168638
O14920,R-HSA-168927
O14920,R-HSA-1810476
O14920,R-HSA-202424
O14920,R-HSA-209543
O14920,R-HSA-209560
O14920,R-HSA-2871837
O14920,R-HSA-445989
O14920,R-HSA-5357905
O14920,R-HSA-5357956
O14920,R-HSA-5602636
O14920,R-HSA-5603027
O14920,R-HSA-5603029
O14920,R-HSA-5607764
O14920,R-HSA-5684264
O14920,R-HSA-9020702
O14920,R-HSA-933542
O14920,R-HSA-933543
O14920,R-HSA-937039
O14920,R-HSA-937041
O14920,R-HSA-9705671
O14920,R-HSA-975144
O14920,R-HSA-9758274
O14936,R-HSA-212676
O14936,R-HSA-3000170
O14936,R-HSA-373753
O14936,R-HSA-6794361
O14936,R-HSA-9609736
O14936,R-HSA-9662360
O14936,R-HSA-9662361
O14939,R-HSA-1483148
O14939,R-HSA-1483166
O14939,R-HSA-2029485
O14939,R-HSA-9013149
O14939,R-HSA-9013404
O14958,R-HSA-2672351
O14958,R-HSA-5578775
O14964,R-HSA-182971
O14964,R-HSA-432720
O14964,R-HSA-5689880
O14964,R-HSA-6807004
O14964,R-HSA-8856825
O14964,R-HSA-8856828
O14964,R-HSA-8875360
O14964,R-HSA-9013420
O14964,R-HSA-917729
O14964,R-HSA-9635644
O14964,R-HSA-9636383
O14964,R-HSA-9706019
O14965,R-HSA-174178
O14965,R-HSA-2565942
O14965,R-HSA-4615885
O14965,R-HSA-6804114
O14965,R-HSA-6804756
O14965,R-HSA-8854050
O14965,R-HSA-8854518
O14965,R-HSA-8854521
