protein,pathway_id
A5X5Y0,WP2754
O00142,WP4584
O00142,WP4082
O00142,WP4225
O00180,WP2669
O00180,WP3810
O00204,WP4545
O00206,WP5272
O00206,WP4462
O00206,WP2752
O00206,WP2761
O00206,WP3577
O00206,WP2775
O00206,WP5044
O00206,WP4069
O00206,WP5055
O00206,WP5256
O00206,WP4868
O00206,WP2768
O00206,WP3358
O00206,WP5381
O00217,WP1902
O00222,WP4423
O00238,WP2760
O00244,WP2824
O00244,WP4101
O00264,WP4049
O00305,WP1800
O00329,WP2747
O00329,WP2746
O00329,WP5098
O00329,WP2643
O00329,WP2732
O00329,WP1840
O00329,WP4971
O00329,WP5191
O00329,WP4458
O00329,WP4095
O00329,WP2653
O00329,WP2533
O00444,WP4124
O00444,WP1859
O00444,WP2652
O00444,WP3498
O00459,WP2747
O00459,WP2694
O00459,WP1794
O00459,WP1913
O00459,WP2719
O00459,WP1867
O00459,WP4448
O00459,WP1927
O00459,WP2759
O00459,WP2713
O00459,WP4977
O00459,WP1799
O00459,WP1916
O00459,WP2677
O00459,WP2732
O00459,WP2735
O00459,WP1840
O00459,WP1919
O00459,WP1826
O00459,WP1917
O00459,WP2673
O00459,WP4095
O00459,WP2653
O00459,WP1873
O00459,WP4424
O00459,WP1984
O00469,WP2725
O00483,WP3349
O00483,WP1902
O00519,WP2650
O00555,WP1831
O00555,WP1800
O00750,WP2747
O00750,WP4971
O00763,WP1831
O00763,WP5031
O00763,WP2706
O00763,WP1857
O00764,WP4049
O00764,WP1857
O00764,WP4228
O14521,WP2766
O14521,WP1902
O14556,WP4093
O14556,WP1892
O14561,WP4324
O14561,WP1902
O14561,WP3562
O14561,WP4034
O14578,WP3376
O14618,WP2824
O14649,WP2669
O14649,WP3810
O14730,WP3797
O14732,WP2741
O14746,WP5121
O14746,WP1928
O14746,WP3339
O14757,WP2263
O14757,WP4413
O14757,WP3808
O14757,WP3567
O14757,WP3959
O14757,WP2713
O14757,WP3838
O14757,WP2516
O14757,WP1775
O14757,WP4016
O14757,WP1971
O14757,WP1984
O14788,WP3398
O14788,WP3350
O14791,WP2799
O14791,WP4110
O14791,WP2784
O14832,WP4442
O14832,WP4433
O14832,WP1878
O14841,WP4111
O14841,WP4518
O14842,WP4419
O14842,WP1831
O14842,WP2728
O14842,WP4424
O14880,WP4111
O14880,WP3306
O14920,WP3352
O14920,WP2794
O14920,WP3851
O14920,WP1927
O14920,WP2746
O14920,WP2759
O14920,WP5098
O14920,WP2752
O14920,WP2761
O14920,WP3577
O14920,WP2512
O14920,WP2792
O14920,WP4443
O14920,WP2656
O14920,WP3354
O14920,WP3380
O14920,WP1839
O14920,WP2801
O14920,WP1904
O14920,WP2763
O14920,WP2768
O14920,WP5288
O14920,WP5158
O14936,WP1867
O14936,WP2787
O14936,WP1871
O14936,WP5007
O14936,WP4133
O14939,WP2719
O14939,WP5132
O14939,WP2740
O14964,WP1910
O14964,WP3578
O14964,WP4102
O14964,WP4065
O14964,WP4120
O14964,WP5047
O14964,WP3575
O14964,WP4119
O14965,WP3805
O14965,WP3838
O14965,WP3804
O14965,WP4109
O14965,WP1859
O14976,WP3578
O14976,WP4065
O14980,WP2683
O14980,WP2733
O14980,WP4977
O14980,WP3307
O14980,WP2757
O14980,WP2684
O14980,WP2742
O14980,WP1775
O14980,WP1859
O14980,WP3339
O14980,WP2652
O14980,WP2658
O14980,WP3379
O14983,WP1885
O14983,WP2786
O14983,WP3810
O14983,WP4098
O15067,WP4084
O15067,WP4224
O15111,WP3352
O15111,WP2794
O15111,WP3851
O15111,WP1927
O15111,WP2746
O15111,WP2759
O15111,WP5098
O15111,WP2752
O15111,WP2761
O15111,WP3545
O15111,WP3577
O15111,WP2512
O15111,WP2792
O15111,WP2656
O15111,WP3354
O15111,WP3380
O15111,WP1839
O15111,WP2801
O15111,WP1904
O15111,WP2763
O15111,WP2526
O15111,WP2768
O15111,WP2653
O15111,WP1984
O15111,WP5158
O15146,WP2703
O15197,WP3309
O15217,WP4111
O15239,WP4324
O15239,WP1902
O15264,WP5272
O15264,WP3869
O15264,WP2643
O15264,WP1868
O15264,WP1919
O15264,WP2763
O15264,WP1873
O15269,WP5121
O15269,WP5194
O15269,WP2788
O15269,WP4725
O15270,WP2788
O15270,WP4725
O15342,WP1913
O15342,WP2670
O15342,WP3551
O15342,WP5015
O15342,WP4098
O15350,WP3959
O15350,WP3798
O15350,WP4105
O15350,WP3802
O15350,WP1841
O15350,WP1742
O15374,WP5220
O15379,WP1892
O15379,WP4096
O15379,WP2751
O15379,WP5012
O15379,WP4415
O15379,WP3331
O15379,WP2720
O15379,WP1797
O15379,WP4453
O15379,WP3813
O15379,WP3594
O15379,WP4443
O15379,WP1822
O15379,WP2797
O15379,WP3394
O15379,WP5014
O15382,WP3556
O15382,WP5220
O15382,WP4686
O15392,WP3805
O15392,WP4121
O15392,WP2757
O15392,WP4066
O15392,WP1775
O15392,WP2652
O15392,WP3379
O15392,WP3802
O15392,WP5322
O15399,WP3812
O15399,WP2735
O15399,WP4288
O15399,WP4054
O15399,WP5007
O15399,WP4133
O15427,WP1794
O15427,WP1935
O15427,WP2766
O15427,WP5314
O15440,WP1780
O15440,WP5239
O15440,WP2743
O15528,WP4085
O15528,WP3685
O15530,WP4431
O15530,WP4448
O15530,WP1927
O15530,WP2759
O15530,WP5098
O15530,WP4977
O15530,WP1799
O15530,WP4428
O15530,WP3354
O15530,WP1919
O15530,WP3357
O15530,WP3807
O15530,WP1826
O15530,WP2653
O15547,WP1885
O15547,WP4657
O15554,WP2669
O43174,WP4085
O43174,WP4421
O43175,WP4688
O43175,WP4435
O43175,WP5312
O43175,WP5355
O43181,WP4324
O43181,WP1902
O43193,WP4419
O43193,WP4424
O43252,WP4111
O43252,WP2743
O43252,WP3791
O43283,WP1984
O43293,WP3317
O43353,WP1927
O43353,WP4102
O43353,WP2792
O43353,WP4443
O43353,WP2656
O43353,WP1839
O43353,WP2763
O43451,WP4104
O43451,WP4049
O43525,WP5360
O43526,WP5360
O43570,WP2770
O43612,WP4419
O43612,WP4424
O43613,WP4419
O43613,WP3591
O43613,WP3594
O43613,WP4424
O43614,WP4419
O43614,WP3591
O43614,WP3594
O43614,WP4424
O43617,WP4430
O43617,WP4070
O43674,WP4324
O43674,WP1902
O43676,WP4324
O43676,WP1902
O43677,WP4324
O43677,WP1902
O43678,WP4324
O43678,WP1902
O43708,WP4111
O43708,WP4506
O43708,WP2766
O43708,WP4981
O43741,WP2748
O43741,WP1831
O43741,WP3348
O43741,WP3331
O43741,WP3349
O43741,WP3838
O43741,WP4985
O43741,WP4061
O43741,WP2777
O43766,WP3562
O43766,WP5028
O43772,WP4742
O43772,WP4061
O43772,WP5123
O43837,WP2766
O43920,WP4324
O43920,WP1902
O60218,WP3839
O60285,WP3838
O60359,WP3392
O60359,WP4459
