uniprot,pathway_id
Q9ULB1,WP5348
Q9UQF2,WP5348
P07101,WP5376
P09172,WP5376
P20711,WP5376
P31946,WP5376
P67775,WP5376
P04626,WP5287
P13500,WP5287
P42680,WP5287
P49916,WP5287
P78356,WP5287
P80075,WP5287
Q02641,WP5287
Q13085,WP5287
Q16515,WP5287
P04004,WP5345
O75390,hsa01210
Q8N159,hsa01210
P17174,hsa01210
P00505,hsa01210
O75874,hsa01210
P48735,hsa01210
P50213,hsa01210
O43837,hsa01210
P51553,hsa01210
Q8N5Z0,hsa01210
P54687,hsa01210
O15382,hsa01210
Q8TD30,hsa01210
O15547,WP4657
Q13131,WP3879
Q15125,WP5064
Q9UBM7,WP5064
P13611,R-HSA-1971475
P07327,R-HSA-2161541
P08183,R-HSA-2161517
Q9UNQ0,R-HSA-2161517
P07327,WP2712
P08183,WP2712
Q9UNQ0,WP2712
P06746,R-HSA-73930
O15440,R-HSA-382556
O60706,R-HSA-382556
P08183,R-HSA-382556
P13569,R-HSA-382556
P20618,R-HSA-382556
P28062,R-HSA-382556
P28065,R-HSA-382556
P28074,R-HSA-382556
P33527,R-HSA-382556
P40306,R-HSA-382556
P49721,R-HSA-382556
Q06323,R-HSA-382556
Q14654,R-HSA-382556
Q92887,R-HSA-382556
P02647,WP1780
O15440,hsa02010
O60706,hsa02010
P13569,hsa02010
Q92887,hsa02010
O95477,hsa02010
P33527,hsa02010
P08183,hsa02010
Q09428,hsa02010
O95342,hsa02010
Q9UNQ0,hsa02010
P02647,R-HSA-1369062
O75874,R-HSA-2978092
P02708,WP4454
P17787,WP4454
P30532,WP4454
P30926,WP4454
P32297,WP4454
P36544,WP4454
P43681,WP4454
Q05901,WP4454
Q15822,WP4454
Q15825,WP4454
Q9UGM1,WP4454
Q12791,R-HSA-9667769
Q16558,R-HSA-9667769
Q9H2S1,R-HSA-9667769
Q9UGM1,R-HSA-9667769
P28329,R-HSA-264642
P17252,R-HSA-399997
P20309,R-HSA-399997
P23560,R-HSA-9032845
P63000,R-HSA-9032845
Q16620,R-HSA-9032845
P23560,R-HSA-9028731
Q16620,R-HSA-9028731
P12931,R-HSA-9032500
P23560,R-HSA-9032500
Q13224,R-HSA-9032500
Q16620,R-HSA-9032500
P23560,R-HSA-9028335
P27986,R-HSA-9028335
P42336,R-HSA-9028335
Q16620,R-HSA-9028335
P23560,R-HSA-9026527
Q16620,R-HSA-9026527
P23560,R-HSA-9026519
Q16620,R-HSA-9026519
P12931,R-HSA-9603381
P27986,R-HSA-9603381
P42336,R-HSA-9603381
Q16288,R-HSA-9603381
Q16288,R-HSA-9034793
Q16288,R-HSA-9034864
P07288,R-HSA-5625886
P10275,R-HSA-5625886
P62807,R-HSA-5625886
Q15596,R-HSA-5625886
Q16512,R-HSA-5625886
P05230,R-HSA-2033519
P08620,R-HSA-2033519
P09038,R-HSA-2033519
P21802,R-HSA-2033519
O43353,R-HSA-450302
P46734,R-HSA-450302
P51617,R-HSA-450302
P52564,R-HSA-450302
Q15750,R-HSA-450302
Q15759,R-HSA-450302
Q16539,R-HSA-450302
Q9HC29,R-HSA-450302
O15530,R-HSA-165158
P42261,R-HSA-399710
P42262,R-HSA-399710
P42263,R-HSA-399710
P48058,R-HSA-399710
O43741,R-HSA-9619483
P0DP23,R-HSA-9619483
P54619,R-HSA-9619483
P54646,R-HSA-9619483
P68366,R-HSA-9619483
P68371,R-HSA-9619483
Q13131,R-HSA-9619483
Q13509,R-HSA-9619483
Q71U36,R-HSA-9619483
Q96RR4,R-HSA-9619483
Q9H4B7,R-HSA-9619483
Q9UGI9,R-HSA-9619483
Q9UGJ0,R-HSA-9619483
Q9Y478,R-HSA-9619483
O15379,R-HSA-5617472
P05412,R-HSA-5617472
P10276,R-HSA-5617472
P10826,R-HSA-5617472
P13631,R-HSA-5617472
P19793,R-HSA-5617472
P62807,R-HSA-5617472
Q15910,R-HSA-5617472
O14757,R-HSA-176187
P24941,R-HSA-176187
P10415,R-HSA-111447
P31749,R-HSA-111447
P31946,R-HSA-111447
P45983,R-HSA-111446
P45983,R-HSA-139910
P00751,R-HSA-174577
P01024,R-HSA-174577
P01031,R-HSA-174577
P0C0L5,R-HSA-174577
P0DP23,R-HSA-451308
P39086,R-HSA-451308
P78352,R-HSA-451308
Q13002,R-HSA-451308
Q13003,R-HSA-451308
Q16099,R-HSA-451308
Q16478,R-HSA-451308
P42574,R-HSA-111459
P55211,R-HSA-111459
P99999,R-HSA-111459
O75899,R-HSA-1296041
P48050,R-HSA-1296041
P48051,R-HSA-1296041
P48544,R-HSA-1296041
P48549,R-HSA-1296041
P59768,R-HSA-1296041
P63252,R-HSA-1296041
P78508,R-HSA-1296041
Q14500,R-HSA-1296041
Q92806,R-HSA-1296041
Q99712,R-HSA-1296041
Q9UBS5,R-HSA-1296041
O00763,R-HSA-2426168
O95749,R-HSA-2426168
P14324,R-HSA-2426168
P19793,R-HSA-2426168
P49327,R-HSA-2426168
Q07869,R-HSA-2426168
Q13085,R-HSA-2426168
Q14534,R-HSA-2426168
Q15596,R-HSA-2426168
Q16850,R-HSA-2426168
Q9UBM7,R-HSA-2426168
O00206,R-HSA-936964
Q14164,R-HSA-936964
Q9UHD2,R-HSA-936964
Q9Y6Y9,R-HSA-936964
P0DP23,WP4456
P39086,WP4456
P59768,WP4456
P78352,WP4456
Q13002,WP4456
Q13003,WP4456
Q16099,WP4456
Q16478,WP4456
P00747,R-HSA-1592389
P03952,R-HSA-1592389
P08253,R-HSA-1592389
P14780,R-HSA-1592389
Q9NPA2,R-HSA-1592389
P39086,R-HSA-451307
Q13002,R-HSA-451307
O14920,R-HSA-1169091
O15111,R-HSA-1169091
P05771,R-HSA-1169091
P19838,R-HSA-1169091
P20618,R-HSA-1169091
P25963,R-HSA-1169091
P28062,R-HSA-1169091
P28065,R-HSA-1169091
P28074,R-HSA-1169091
P40306,R-HSA-1169091
P49721,R-HSA-1169091
Q04206,R-HSA-1169091
Q06323,R-HSA-1169091
P06493,R-HSA-2980767
P53350,R-HSA-2980767
P04637,R-HSA-111448
O43741,R-HSA-2151209
P53778,R-HSA-2151209
P54619,R-HSA-2151209
P54646,R-HSA-2151209
Q15759,R-HSA-2151209
Q16539,R-HSA-2151209
Q9UGI9,R-HSA-2151209
Q9UGJ0,R-HSA-2151209
Q9Y478,R-HSA-2151209
O15350,R-HSA-139915
P04637,R-HSA-139915
O75914,R-HSA-428540
O96013,R-HSA-428540
P63000,R-HSA-428540
Q13153,R-HSA-428540
Q13177,R-HSA-428540
Q9NQU5,R-HSA-428540
Q9P286,R-HSA-428540
P0DP23,R-HSA-9619229
P63000,R-HSA-9619229
Q14012,R-HSA-9619229
Q8N5S9,R-HSA-9619229
Q96RR4,R-HSA-9619229
P48729,R-HSA-5635838
Q99835,R-HSA-5635838
P01100,R-HSA-450341
P05412,R-HSA-450341
P15336,R-HSA-450341
P27361,R-HSA-450341
P28482,R-HSA-450341
P45983,R-HSA-450341
P45984,R-HSA-450341
P53779,R-HSA-450341
Q15759,R-HSA-450341
Q16539,R-HSA-450341
P60842,R-HSA-72662
P08100,R-HSA-2485179
P16499,R-HSA-2485179
P18545,R-HSA-2485179
P35913,R-HSA-2485179
P09884,R-HSA-68962
P24941,R-HSA-68962
P56282,R-HSA-68962
Q07864,R-HSA-68962
Q14181,R-HSA-68962
Q9NR33,R-HSA-68962
Q9NRF9,R-HSA-68962
O15111,hsa05221
P07333,hsa05221
P31749,hsa05221
P36888,hsa05221
P42345,hsa05221
O14920,hsa05221
P08700,hsa05221
P14923,hsa05221
P10721,hsa05221
P05164,hsa05221
P01106,hsa05221
P19838,hsa05221
Q9UJU2,hsa05221
P42336,hsa05221
P42338,hsa05221
P11309,hsa05221
O00329,hsa05221
P27986,hsa05221
O00459,hsa05221
P29590,hsa05221
Q03181,hsa05221
P28482,hsa05221
P27361,hsa05221
Q02750,hsa05221
P36507,hsa05221
P04049,hsa05221
P10276,hsa05221
P24385,hsa05221
