uniprot,pathway_id,database
O75390,hsa01210,kegg
Q8N159,hsa01210,kegg
P17174,hsa01210,kegg
P00505,hsa01210,kegg
O75874,hsa01210,kegg
P48735,hsa01210,kegg
P50213,hsa01210,kegg
O43837,hsa01210,kegg
P51553,hsa01210,kegg
Q8N5Z0,hsa01210,kegg
P54687,hsa01210,kegg
O15382,hsa01210,kegg
Q8TD30,hsa01210,kegg
O15440,hsa02010,kegg
O60706,hsa02010,kegg
P13569,hsa02010,kegg
Q92887,hsa02010,kegg
O95477,hsa02010,kegg
P33527,hsa02010,kegg
P08183,hsa02010,kegg
Q09428,hsa02010,kegg
O95342,hsa02010,kegg
Q9UNQ0,hsa02010,kegg
O15111,hsa05221,kegg
P07333,hsa05221,kegg
P31749,hsa05221,kegg
P36888,hsa05221,kegg
P42345,hsa05221,kegg
O14920,hsa05221,kegg
P08700,hsa05221,kegg
P14923,hsa05221,kegg
P10721,hsa05221,kegg
P05164,hsa05221,kegg
P01106,hsa05221,kegg
P19838,hsa05221,kegg
Q9UJU2,hsa05221,kegg
P42336,hsa05221,kegg
P42338,hsa05221,kegg
P11309,hsa05221,kegg
O00329,hsa05221,kegg
P27986,hsa05221,kegg
O00459,hsa05221,kegg
P29590,hsa05221,kegg
Q03181,hsa05221,kegg
P28482,hsa05221,kegg
P27361,hsa05221,kegg
Q02750,hsa05221,kegg
P36507,hsa05221,kegg
P04049,hsa05221,kegg
P10276,hsa05221,kegg
P24385,hsa05221,kegg
Q04206,hsa05221,kegg
P15056,hsa05221,kegg
P51692,hsa05221,kegg
Q92569,hsa05221,kegg
P33151,hsa04520,kegg
P68400,hsa04520,kegg
P19784,hsa04520,kegg
P35222,hsa04520,kegg
P00533,hsa04520,kegg
P04626,hsa04520,kegg
P16591,hsa04520,kegg
P11362,hsa04520,kegg
P06241,hsa04520,kegg
P08069,hsa04520,kegg
P06213,hsa04520,kegg
P08581,hsa04520,kegg
Q9UJU2,hsa04520,kegg
P28482,hsa04520,kegg
P27361,hsa04520,kegg
P29350,hsa04520,kegg
P63000,hsa04520,kegg
P15153,hsa04520,kegg
P12931,hsa04520,kegg
P36897,hsa04520,kegg
P37173,hsa04520,kegg
P63261,hsa04520,kegg
P07947,hsa04520,kegg
P12814,hsa04520,kegg
O75116,hsa04520,kegg
Q96RR4,hsa04920,kegg
O15111,hsa04920,kegg
P50416,hsa04920,kegg
P31749,hsa04920,kegg
O60488,hsa04920,kegg
P42345,hsa04920,kegg
O00763,hsa04920,kegg
O14920,hsa04920,kegg
O60674,hsa04920,kegg
P19838,hsa04920,kegg
P25963,hsa04920,kegg
P01303,hsa04920,kegg
Q9UGJ0,hsa04920,kegg
Q9UGI9,hsa04920,kegg
P01189,hsa04920,kegg
Q07869,hsa04920,kegg
Q13131,hsa04920,kegg
P54646,hsa04920,kegg
Q9Y478,hsa04920,kegg
O43741,hsa04920,kegg
P54619,hsa04920,kegg
Q04759,hsa04920,kegg
P45983,hsa04920,kegg
P45984,hsa04920,kegg
P53779,hsa04920,kegg
Q04206,hsa04920,kegg
P19793,hsa04920,kegg
P28702,hsa04920,kegg
P48443,hsa04920,kegg
P01375,hsa04920,kegg
O60359,hsa04261,kegg
Q9Y698,hsa04261,kegg
Q08828,hsa04261,kegg
Q08462,hsa04261,kegg
O95622,hsa04261,kegg
P16220,hsa04261,kegg
P15336,hsa04261,kegg
Q16539,hsa04261,kegg
P25100,hsa04261,kegg
P35368,hsa04261,kegg
P35348,hsa04261,kegg
P08588,hsa04261,kegg
P07550,hsa04261,kegg
P30556,hsa04261,kegg
P31749,hsa04261,kegg
Q9UF02,hsa04261,kegg
Q9UBN1,hsa04261,kegg
P15382,hsa04261,kegg
O95069,hsa04261,kegg
P51787,hsa04261,kegg
P18848,hsa04261,kegg
P05023,hsa04261,kegg
P50993,hsa04261,kegg
P13637,hsa04261,kegg
P54710,hsa04261,kegg
O14983,hsa04261,kegg
P16615,hsa04261,kegg
P20020,hsa04261,kegg
Q01814,hsa04261,kegg
Q16720,hsa04261,kegg
P23634,hsa04261,kegg
P48736,hsa04261,kegg
P67775,hsa04261,kegg
P62714,hsa04261,kegg
P17612,hsa04261,kegg
P22694,hsa04261,kegg
P17252,hsa04261,kegg
P28482,hsa04261,kegg
P27361,hsa04261,kegg
Q15759,hsa04261,kegg
O15264,hsa04261,kegg
Q8WXS5,hsa04261,kegg
P62955,hsa04261,kegg
Q9BXT2,hsa04261,kegg
P10415,hsa04261,kegg
Q92736,hsa04261,kegg
P53778,hsa04261,kegg
Q07699,hsa04261,kegg
Q8IWT1,hsa04261,kegg
Q14524,hsa04261,kegg
Q01118,hsa04261,kegg
P32418,hsa04261,kegg
P19634,hsa04261,kegg
P63316,hsa04261,kegg
Q13936,hsa04261,kegg
Q01668,hsa04261,kegg
O60840,hsa04261,kegg
Q13698,hsa04261,kegg
P54289,hsa04261,kegg
Q02641,hsa04261,kegg
Q08289,hsa04261,kegg
P54284,hsa04261,kegg
O00305,hsa04261,kegg
Q06432,hsa04261,kegg
P0DP23,hsa04261,kegg
Q9UQM7,hsa04261,kegg
Q13554,hsa04261,kegg
Q13557,hsa04261,kegg
Q13555,hsa04261,kegg
Q7Z3S7,hsa04261,kegg
P69905,hsa05143,kegg
P68871,hsa05143,kegg
P00739,hsa05143,kegg
P02647,hsa05143,kegg
P05362,hsa05143,kegg
P01579,hsa05143,kegg
P01584,hsa05143,kegg
P05231,hsa05143,kegg
P14902,hsa05143,kegg
P01042,hsa05143,kegg
Q9NR96,hsa05143,kegg
P17252,hsa05143,kegg
P05771,hsa05143,kegg
P05129,hsa05143,kegg
P16581,hsa05143,kegg
P01375,hsa05143,kegg
P19320,hsa05143,kegg
O14791,hsa05143,kegg
P11802,hsa04933,kegg
Q16539,hsa04933,kegg
P04839,hsa04933,kegg
P30556,hsa04933,kegg
P31749,hsa04933,kegg
P02751,hsa04933,kegg
Q9Y5S8,hsa04933,kegg
P05362,hsa04933,kegg
P01584,hsa04933,kegg
P05231,hsa04933,kegg
O60674,hsa04933,kegg
P05412,hsa04933,kegg
P08253,hsa04933,kegg
O95644,hsa04933,kegg
P19838,hsa04933,kegg
P29474,hsa04933,kegg
P05121,hsa04933,kegg
P42336,hsa04933,kegg
P42338,hsa04933,kegg
P11309,hsa04933,kegg
O00329,hsa04933,kegg
P27986,hsa04933,kegg
O00459,hsa04933,kegg
P17252,hsa04933,kegg
P05771,hsa04933,kegg
Q05655,hsa04933,kegg
Q02156,hsa04933,kegg
Q05513,hsa04933,kegg
P28482,hsa04933,kegg
P27361,hsa04933,kegg
P45983,hsa04933,kegg
Q15759,hsa04933,kegg
P45984,hsa04933,kegg
P53779,hsa04933,kegg
O15264,hsa04933,kegg
P63000,hsa04933,kegg
