Drug,Protein
DB00006,P00734
DB00007,P30968
DB00014,P30968
DB00035,P47901
DB00035,P30518
DB00035,P37288
DB00050,P30968
DB00091,P62937
DB00136,P11473
DB00146,P11473
DB00153,P11473
DB00169,P11473
DB00175,P04035
DB00176,P31645
DB00177,P30556
DB00178,P12821
DB00180,P04150
DB00181,Q9UBS5
DB00181,O75899
DB00182,P23975
DB00182,Q01959
DB00184,P17787
DB00184,P43681
DB00186,P14867
DB00186,P18507
DB00186,Q8N1C3
DB00186,O14764
DB00186,P31644
DB00186,P47870
DB00186,P18505
DB00186,Q16445
DB00186,P34903
DB00186,P28472
DB00186,Q99928
DB00186,P47869
DB00186,Q9UN88
DB00186,P78334
DB00186,P48169
DB00187,P07550
DB00187,P08588
DB00188,P49721
DB00188,P28074
DB00188,P40306
DB00188,P28062
DB00188,P20618
DB00188,P28065
DB00189,P14867
DB00189,P18507
DB00189,Q8N1C3
DB00189,O14764
DB00189,P31644
DB00189,P47870
DB00189,P18505
DB00189,Q16445
DB00189,P34903
DB00189,P28472
DB00189,Q99928
DB00189,P47869
DB00189,Q9UN88
DB00189,P78334
DB00189,P48169
DB00190,P20711
DB00191,P23975
DB00192,P35498
DB00192,P35499
DB00192,Q9Y5Y9
DB00192,Q9UQD0
DB00192,Q9UI33
DB00192,Q9NY46
DB00192,Q15858
DB00192,Q99250
DB00192,Q14524
DB00192,Q01118
DB00193,P35372
DB00195,P08588
DB00197,P37231
DB00201,P29274
DB00201,P29275
DB00201,P30542
DB00202,P02708
DB00203,O76074
DB00204,Q12809
DB00206,Q05940
DB00208,Q9H244
DB00209,P08172
DB00209,P20309
DB00210,P13631
DB00210,P10276
DB00210,P10826
DB00211,P35368
DB00211,P35348
DB00211,P25100
DB00213,P51164
DB00213,P20648
DB00214,Q13621
DB00215,P31645
DB00216,P28222
DB00216,P28221
DB00217,P23975
DB00219,P11229
DB00219,P20309
DB00221,P07550
DB00222,Q09428
DB00222,Q14654
DB00226,P23975
DB00227,P04035
DB00228,P14867
DB00228,P18507
DB00228,Q8N1C3
DB00228,O14764
DB00228,P31644
DB00228,P47870
DB00228,P18505
DB00228,Q16445
DB00228,P34903
DB00228,P28472
DB00228,Q99928
DB00228,P47869
DB00228,Q9UN88
DB00228,P78334
DB00228,P48169
DB00228,O14649
DB00228,Q9NPC2
DB00228,O95069
DB00228,P23415
DB00228,P48167
DB00230,Q9BXT2
DB00230,Q8WXS5
DB00230,Q13936
DB00230,Q15878
DB00230,Q9Y698
DB00230,O60359
DB00230,Q06432
DB00230,Q9P0X4
DB00230,P54289
DB00230,Q02641
DB00230,Q9UF02
DB00230,O00555
DB00230,P54284
DB00230,Q00975
DB00230,O00305
DB00230,Q08289
DB00230,O43497
DB00230,Q13698
DB00230,Q9UBN1
DB00230,P62955
DB00230,O60840
DB00230,O95180
DB00230,Q7Z3S7
DB00230,Q01668
DB00231,P14867
DB00231,P18507
DB00231,Q8N1C3
DB00231,O14764
DB00231,P31644
DB00231,P47870
DB00231,P18505
DB00231,Q16445
DB00231,P34903
DB00231,P28472
DB00231,Q99928
DB00231,P47869
DB00231,Q9UN88
DB00231,P78334
DB00231,P48169
DB00235,Q14432
DB00237,P14867
DB00237,P18507
DB00237,Q8N1C3
DB00237,O14764
DB00237,P31644
DB00237,P47870
DB00237,P18505
DB00237,Q16445
DB00237,P34903
DB00237,P28472
DB00237,Q99928
DB00237,P47869
DB00237,Q9UN88
DB00237,P78334
DB00237,P48169
DB00241,P14867
DB00241,P18507
DB00241,Q8N1C3
DB00241,O14764
DB00241,P31644
DB00241,P47870
DB00241,P18505
DB00241,Q16445
DB00241,P34903
DB00241,P28472
