"drugbank_id","accession"
"DB00006","P00734"
"DB00091","P62937"
"DB00106","P30968"
"DB00136","P11473"
"DB00153","P11473"
"DB00169","P11473"
"DB00177","P30556"
"DB00178","P12821"
"DB00180","P04150"
"DB00181","Q9UBS5"
"DB00181","O75899"
"DB00182","P23975"
"DB00182","Q01959"
"DB00184","P17787"
"DB00184","P43681"
"DB00186","P34903"
"DB00186","O14764"
"DB00186","Q8N1C3"
"DB00186","P47869"
"DB00186","P18507"
"DB00186","Q16445"
"DB00186","P48169"
"DB00186","P14867"
"DB00186","P31644"
"DB00186","Q99928"
"DB00186","P47870"
"DB00186","P78334"
"DB00186","O00591"
"DB00186","P28472"
"DB00186","Q9UN88"
"DB00186","P18505"
"DB00188","P28070"
"DB00188","O00487"
"DB00188","P28062"
"DB00188","Q99460"
"DB00188","P60900"
"DB00188","Q13200"
"DB00188","P40306"
"DB00188","Q99436"
"DB00188","P49721"
"DB00188","P43686"
"DB00188","P49720"
"DB00188","P48556"
"DB00188","P62333"
"DB00188","Q8TAA3"
"DB00188","P51665"
"DB00188","O00231"
"DB00188","P28066"
"DB00188","P62195"
"DB00188","O00232"
"DB00188","P62191"
"DB00188","O14818"
"DB00188","P25789"
"DB00188","P20618"
"DB00188","P55036"
"DB00188","P28072"
"DB00188","P60896"
"DB00188","O43242"
"DB00188","P28065"
"DB00188","Q15008"
"DB00188","P28074"
"DB00188","P25788"
"DB00188","P25786"
"DB00188","Q9UNM6"
"DB00188","P17980"
"DB00188","P25787"
"DB00188","Q16186"
"DB00188","A5LHX3"
"DB00188","P35998"
"DB00189","P34903"
"DB00189","O14764"
"DB00189","Q8N1C3"
"DB00189","P47869"
"DB00189","P18507"
"DB00189","Q16445"
"DB00189","P48169"
"DB00189","P14867"
"DB00189","P31644"
"DB00189","Q99928"
"DB00189","P47870"
"DB00189","P78334"
"DB00189","O00591"
"DB00189","P28472"
"DB00189","Q9UN88"
"DB00189","P18505"
"DB00191","P23975"
"DB00194","P04293"
"DB00196","P10613"
"DB00197","P37231"
"DB00199","P0A7R9"
"DB00199","P0C018"
"DB00199","P0A7N4"
"DB00199","P0A7T3"
"DB00199","P0A7V0"
"DB00199","P0AG44"
"DB00199","P0A7L0"
"DB00199","P60422"
"DB00199","P0AG51"
"DB00199","P0ADZ4"
"DB00199","P0A7N9"
"DB00199","P0AG63"
"DB00199","P0AG59"
"DB00199","P60723"
"DB00199","P0A7S3"
"DB00199","P0AG67"
"DB00199","P0ADY3"
"DB00199","P0A7J3"
"DB00199","P0A7J7"
"DB00199","P0AG48"
"DB00199","P68919"
"DB00199","P0AA10"
"DB00199","P0A7S9"
"DB00199","P0A7R5"
"DB00199","P68679"
"DB00199","P60624"
"DB00199","P0A7T7"
"DB00199","P0A7N1"
"DB00199","P0A7M6"
"DB00199","P0A7M9"
"DB00199","P0A7X3"
"DB00199","P0A7Q1"
"DB00199","Q2EEQ2"
"DB00199","P0A7Q6"
"DB00199","P62399"
"DB00199","P0A7K6"
"DB00199","P0A7U7"
"DB00199","P0A7P5"
"DB00199","P0AG55"
"DB00199","P0A7W1"
"DB00199","P0A7V3"
"DB00199","P0ADZ0"
"DB00199","P0A7U3"
"DB00199","P0A7K2"
"DB00199","P02358"
"DB00199","P0A7V8"
"DB00199","P0A7W7"
"DB00199","P0A7M2"
"DB00199","P60438"
"DB00199","P02359"
"DB00199","P0ADY7"
"DB00199","P0A7L8"
"DB00199","P0A7L3"
"DB00199","P02413"
"DB00199","P61175"
"DB00201","P29274"
"DB00201","P29275"
"DB00201","P0DMS8"
"DB00201","P30542"
"DB00204","Q12809"
"DB00205","P13922"
"DB00206","Q05940"
"DB00207","P0A7R9"
"DB00207","P0C018"
"DB00207","P0A7N4"
"DB00207","P0A7T3"
"DB00207","P0A7V0"
"DB00207","P0AG44"
"DB00207","P0A7L0"
"DB00207","P60422"
"DB00207","P0AG51"
"DB00207","P0ADZ4"
"DB00207","P0A7N9"
"DB00207","P0AG63"
"DB00207","P0AG59"
"DB00207","P60723"
"DB00207","P0A7S3"
"DB00207","P0AG67"
"DB00207","P0ADY3"
"DB00207","P0A7J3"
"DB00207","P0A7J7"
"DB00207","P0AG48"
"DB00207","P68919"
"DB00207","P0AA10"
"DB00207","P0A7S9"
"DB00207","P0A7R5"
"DB00207","P68679"
"DB00207","P60624"
"DB00207","P0A7T7"
"DB00207","P0A7N1"
"DB00207","P0A7M6"
"DB00207","P0A7M9"
"DB00207","P0A7X3"
"DB00207","P0A7Q1"
"DB00207","Q2EEQ2"
"DB00207","P0A7Q6"
"DB00207","P62399"
"DB00207","P0A7K6"
"DB00207","P0A7U7"
"DB00207","P0A7P5"
"DB00207","P0AG55"
"DB00207","P0A7W1"
"DB00207","P0A7V3"
"DB00207","P0ADZ0"
"DB00207","P0A7U3"
"DB00207","P0A7K2"
"DB00207","P02358"
"DB00207","P0A7V8"
"DB00207","P0A7W7"
"DB00207","P0A7M2"
"DB00207","P60438"
"DB00207","P02359"
"DB00207","P0ADY7"
"DB00207","P0A7L8"
"DB00207","P0A7L3"
"DB00207","P02413"
"DB00207","P61175"
"DB00210","P10276"
"DB00210","P10826"
"DB00210","P13631"
"DB00214","Q13621"
"DB00222","Q09428"
"DB00222","Q14654"
"DB00227","P04035"
"DB00228","P34903"
"DB00228","O14764"
"DB00228","Q8N1C3"
"DB00228","P47869"
"DB00228","P18507"
"DB00228","Q16445"
"DB00228","P48169"
"DB00228","P14867"
"DB00228","P31644"
"DB00228","Q99928"
"DB00228","P47870"
"DB00228","P78334"
"DB00228","O00591"
"DB00228","P28472"
"DB00228","Q9UN88"
"DB00228","P18505"
"DB00228","O14649"
"DB00228","Q9NPC2"
"DB00228","O95069"
"DB00228","P57789"
"DB00228","Q7Z418"
"DB00228","P23415"
"DB00228","P48167"
"DB00230","Q01668"
"DB00230","Q00975"
"DB00230","O00305"
"DB00230","Q8IZS8"
"DB00230","Q8WXS5"
"DB00230","Q9NY47"
