"drugbank_id","uniprot_id","scores"
"DB00006","P35367",0.99999446
"DB00006","P30968",0.99997777
"DB00006","P15692",0.99997026
"DB00006","P25100",0.9999677
"DB00006","P30556",0.9998784
"DB00006","O76074",0.9998528
"DB00006","P37231",0.99972165
"DB00006","P35368",0.9996645
"DB00006","P08588",0.9994317
"DB00006","Q14432",0.9993987
"DB00007","P00374",1
"DB00007","P08588",1
"DB00007","P18089",1
"DB00007","P21918",1
"DB00007","P30542",1
"DB00007","P35348",1
"DB00007","P35367",1
"DB00007","P35462",1
"DB00007","Q13639",1
"DB00007","Q14432",1
"DB00014","P00374",1
"DB00014","P08913",1
"DB00014","P14416",1
"DB00014","P18089",1
"DB00014","P18825",1
"DB00014","P21728",1
"DB00014","P21918",1
"DB00014","P25100",1
"DB00014","P27338",1
"DB00014","P30556",1
"DB00050","P49019",0.9883175
"DB00050","P00505",0.9823424
"DB00050","P21549",0.9769295
"DB00050","P32929",0.9757401
"DB00050","P50213",0.9614606
"DB00050","P31040",0.94741344
"DB00050","Q9BYV1",0.9432305
"DB00050","Q9NR97",0.9230999
"DB00050","Q8TDS4",0.92188233
"DB00050","P34896",0.9183962
"DB00091","O00206",1
"DB00091","O00555",1
"DB00091","O43526",1
"DB00091","O60840",1
"DB00091","O60939",1
"DB00091","P00734",1
"DB00091","P01375",1
"DB00091","P02763",1
"DB00091","P07288",1
"DB00091","P08172",1
"DB00114","P31040",0.9999998
"DB00114","P50213",0.9999998
"DB00114","P00390",0.9999997
"DB00114","P49448",0.99999964
"DB00114","P16219",0.9999994
"DB00114","Q02218",0.9999994
"DB00114","Q06278",0.9999994
"DB00114","P40926",0.9999992
"DB00114","P51553",0.9999992
"DB00114","P51649",0.99999905
"DB00115","P00374",1
"DB00115","P00734",1
"DB00115","P00813",1
"DB00115","P01375",1
"DB00115","P01579",1
"DB00115","P02763",1
"DB00115","P04035",1
"DB00115","P07288",1
"DB00115","P09211",1
"DB00115","P11388",1
"DB00118","P47989",0.9999999
"DB00118","P01375",0.99999887
"DB00118","P09211",0.99999887
"DB00118","P23921",0.99999887
"DB00118","P14780",0.9999983
"DB00118","P08253",0.9999978
"DB00118","P31939",0.9999957
"DB00118","P09874",0.99999475
"DB00118","P04035",0.99999416
"DB00118","Q12882",0.9999932
"DB00119","Q8NET8",0.9999992
"DB00119","O43708",0.99999297
"DB00119","O43617",0.9998889
"DB00119","O75762",0.99988174
"DB00119","Q8TDU6",0.99934274
"DB00119","P07202",0.9992651
"DB00119","Q16878",0.9991528
"DB00119","Q9UPY5",0.99871844
"DB00119","O14521",0.9971161
"DB00119","P48029",0.9956633
"DB00120","P11388",0.9999962
"DB00120","P35354",0.9999548
"DB00120","P43088",0.99985445
"DB00120","Q02880",0.9984231
"DB00120","P06401",0.9982346
"DB00120","Q07869",0.9945855
"DB00120","O75469",0.99423444
"DB00120","P39023",0.99343336
"DB00120","P07288",0.9927924
"DB00120","P00742",0.9917259
"DB00121","P48507",0.9999935
"DB00121","P09211",0.9999919
"DB00121","P17174",0.9999663
"DB00121","Q99259",0.9999658
"DB00121","P00390",0.9999472
"DB00121","P48506",0.99994355
"DB00121","P15104",0.99994075
"DB00121","P50213",0.9999002
"DB00121","P80404",0.9998646
"DB00121","P48163",0.99984324
"DB00122","P01375",0.9999998
"DB00122","P09211",0.9999998
"DB00122","P00734",0.9999997
"DB00122","P02768",0.99999964
"DB00122","P05067",0.99999964
"DB00122","P15692",0.99999934
"DB00122","P08253",0.99999887
"DB00122","P35222",0.9999983
"DB00122","P04040",0.9999976
"DB00122","P28329",0.99999654
"DB00126","P09211",1
"DB00126","P01375",0.9999999
"DB00126","P04746",0.9999998
"DB00126","P37231",0.99999964
"DB00126","P10696",0.9999995
"DB00126","P01579",0.9999994
"DB00126","P52209",0.99999934
"DB00126","P14410",0.9999989
"DB00126","P35218",0.99999845
"DB00126","P00813",0.9999984
"DB00130","P17174",0.99981165
"DB00130","P09211",0.9995162
"DB00130","P37231",0.998884
"DB00130","P48506",0.9973177
"DB00130","Q16760",0.99160016
"DB00130","P48507",0.96966916
"DB00130","Q13574",0.96806896
"DB00130","P49619",0.966873
"DB00130","P32929",0.9647603
"DB00130","P15692",0.9644722
"DB00132","P09211",0.9999973
"DB00132","Q00266",0.9998323
"DB00132","P01375",0.99969923
"DB00132","P17174",0.9995739
"DB00132","O75469",0.9990013
"DB00132","P35869",0.99899274
"DB00132","P09917",0.998967
"DB00132","P52895",0.993487
"DB00132","P08253",0.991607
"DB00132","P11473",0.99091864
"DB00134","P09211",1
"DB00134","P14780",1
"DB00134","P01375",0.99999964
"DB00134","P35222",0.9999994
"DB00134","P37231",0.99999887
"DB00134","P52824",0.9999973
"DB00134","P49619",0.9999968
"DB00134","P08253",0.99999523
"DB00134","Q00266",0.9999949
"DB00134","Q16760",0.99999475
"DB00136","P37231",0.9999994
"DB00136","Q07869",0.9999965
"DB00136","Q03181",0.99999267
"DB00136","P01375",0.99998206
"DB00136","P19793",0.9999052
"DB00136","Q96RI1",0.99960554
"DB00136","P03372",0.99950254
"DB00136","P04083",0.9994624
"DB00136","Q16665",0.99857867
"DB00136","P42345",0.9980025
"DB00138","O43708",0.99994546
"DB00138","P48637",0.99987143
"DB00138","Q8TDU6",0.99964076
"DB00138","Q8NET8",0.9989954
"DB00138","P09211",0.9980961
"DB00138","P07202",0.9924134
"DB00138","P51553",0.9922932
"DB00138","Q16878",0.9815556
"DB00138","O43617",0.929179
"DB00138","Q9BYV1",0.9171125
"DB00139","P02768",0.999996
"DB00139","Q9Y5K3",0.9999918
"DB00139","Q9GZT9",0.9999855
"DB00139","P69905",0.9999854
"DB00139","P06746",0.9999674
"DB00139","P02794",0.99991447
"DB00139","P02786",0.99987763
"DB00139","Q03181",0.9998552
"DB00139","Q9UBV8",0.9998318
"DB00139","Q96FI4",0.9997424
"DB00140","P47989",0.9999956
"DB00140","P05231",0.9999809
"DB00140","P15692",0.99997365
"DB00140","P01375",0.9999688
"DB00140","P02768",0.99983895
"DB00140","P14780",0.9996599
"DB00140","P06746",0.99964905
"DB00140","P05067",0.9992881
"DB00140","P37231",0.9990695
"DB00140","P00439",0.9989308
"DB00142","Q9BYV1",0.9999998
"DB00142","P21549",0.99999964
"DB00142","Q9Y600",0.99999964
"DB00142","P50440",0.9999992
"DB00142","P07202",0.9999987
"DB00142","P23378",0.9999984
"DB00142","P34896",0.9999978
"DB00142","P40926",0.9999976
"DB00142","P50213",0.99999744
"DB00142","Q9P0Z9",0.99999726
"DB00143","P0CG30",0.9999998
"DB00143","P80404",0.9999998
"DB00143","P0CG29",0.99999607
"DB00143","P05181",0.9999922
"DB00143","P10632",0.9999903
"DB00143","P33261",0.9997207
"DB00143","P05177",0.99959314
"DB00143","Q9UPY5",0.99915206
"DB00143","P11712",0.99896413
"DB00143","P11498",0.9988216
"DB00145","Q16099",0.99993324
"DB00145","O15399",0.99992114
