drugbank,uniprot
DB00006,P00734
DB00091,P62937
DB00091,P30405
DB00114,Q9BYV1
DB00114,Q99259
DB00114,Q16719
DB00114,P34896
DB00114,Q9Y697
DB00114,P17174
DB00114,P04181
DB00114,P11926
DB00114,Q8N5Z0
DB00114,P80404
DB00114,Q9NVS9
DB00114,O95470
DB00114,P17735
DB00114,Q16773
DB00114,O15270
DB00114,Q9Y600
DB00114,P19113
DB00114,Q96A70
DB00114,P20132
DB00114,O75600
DB00114,P23378
DB00114,Q9Y617
DB00114,P13196
DB00114,P21549
DB00114,Q96GD0
DB00114,O15269
DB00114,P32929
DB00114,P54687
DB00114,O15382
DB00114,P00505
DB00114,P11216
DB00114,P11217
DB00114,P20711
DB00114,Q6YP21
DB00114,Q96I15
DB00114,P34897
DB00114,P22557
DB00114,Q8TD30
DB00114,Q96EN8
DB00114,Q96GA7
DB00114,Q9GZT4
DB00114,Q9HD40
DB00114,Q9NUV7
DB00115,Q99707
DB00115,P22033
DB00115,Q9UBK8
DB00115,Q8IVH4
DB00115,Q9Y4U1
DB00115,P42898
DB00118,Q14749
DB00118,P17707
DB00118,P31153
DB00118,Q00266
DB00118,P21964
DB00118,Q8N1G2
DB00118,Q9HBK9
DB00119,Q9BYV1
DB00119,P30613
DB00119,P11177
DB00119,P14618
DB00119,P80404
DB00119,P11498
DB00120,P17735
DB00120,Q9Y285
DB00120,P00439
DB00120,O95363
DB00120,Q9NSD9
DB00120,P07101
DB00121,P05166
DB00121,P50747
DB00121,Q9HCC0
DB00121,O00763
DB00121,Q96RQ3
DB00121,P11498
DB00121,P05165
DB00121,Q13085
DB00122,Q9Y5K3
DB00122,P22303
DB00122,P49585
DB00122,O14939
DB00122,P06276
DB00122,Q13393
DB00122,Q8TCT1
DB00126,O00469
DB00126,O14832
DB00126,O60568
DB00126,O75936
DB00126,P09172
DB00126,P19021
DB00126,Q32P28
DB00126,Q8IVL5
DB00126,Q8IVL6
DB00126,P13674
DB00126,Q8N543
DB00126,Q6NS38
DB00126,Q96Q83
DB00126,Q9BY66
DB00126,Q02809
DB00126,Q9NVH6
DB00126,Q9GZT9
DB00126,Q96KS0
DB00126,Q9H6Z9
DB00130,P17812
DB00130,Q06203
DB00130,P15104
DB00132,O60427
DB00132,O95864
DB00132,Q9NXB9
DB00132,Q9NYP7
DB00134,Q9UBK8
DB00134,Q99707
DB00134,P50579
DB00134,Q93088
DB00134,Q9H2M3
DB00139,P51649
DB00140,Q969G6
DB00140,P30043
DB00142,O14841
DB00142,O15067
DB00142,O15382
DB00142,O94925
DB00142,P00505
DB00142,P07814
DB00142,P08243
DB00142,P15104
DB00142,P17174
DB00142,P17735
DB00142,P38435
DB00142,P48506
DB00142,P49448
DB00142,P49915
DB00142,P54687
DB00142,P80404
DB00142,Q05932
DB00142,Q07075
DB00142,Q5JPH6
DB00142,Q6IA69
DB00142,Q8N159
DB00142,Q8N5Z0
DB00142,Q8TD30
DB00142,Q9UDR5
DB00142,Q9UI32
DB00142,Q9Y646
DB00142,Q9Y617
DB00142,P00367
DB00142,Q04609
DB00142,Q05329
DB00142,Q99259
DB00142,O95954
DB00142,P54886
DB00143,O14880
DB00143,O60760
DB00143,P08263
DB00143,P09210
DB00143,P10620
DB00143,P10768
DB00143,P19440
DB00143,P28161
DB00143,P36969
DB00143,P46439
DB00143,Q16775
DB00143,Q96SL4
DB00143,Q99735
DB00143,Q9H4Y5
DB00143,Q04760
DB00143,Q16873
DB00143,P00390
DB00143,P48637
DB00143,P09488
DB00143,Q9Y2Q3
DB00143,Q16772
DB00143,P21266
DB00143,O15217
DB00143,Q03013
DB00143,Q7RTV2
DB00143,P09211
DB00143,P78417
DB00143,P07203
DB00143,P30711
DB00143,O43708
DB00143,O75715
DB00143,P22352
DB00143,P15121
DB00143,P14780
DB00143,P08684
DB00143,Q8TED1
DB00145,O75600
DB00145,P13196
DB00145,P22557
DB00145,P41250
DB00145,Q14032
DB00145,P48637
DB00145,P34897
DB00145,Q9BYV1
DB00145,Q9P0Z9
DB00145,P21549
DB00145,P34896
DB00145,Q14749
DB00145,P50440
DB00148,P06732
DB00148,P12277
DB00148,P17540
DB00148,Q14353
DB00150,Q9UGM6
DB00150,P23381
DB00151,P48506
DB00151,P17174
DB00151,P00505
DB00151,P32929
DB00151,P49589
DB00151,P16455
DB00151,P48637
DB00151,Q9HA77
DB00151,Q9Y600
DB00151,Q9Y697
DB00151,Q16878
DB00152,Q9H3S4
DB00157,O60701
DB00157,P07327
DB00157,Q00796
DB00157,P08319
DB00157,P00326
DB00157,P00325
DB00157,P40394
DB00157,P21695
DB00157,P11766
DB00157,P15121
DB00157,Q99714
DB00157,P40926
DB00157,P00338
DB00157,P23368
DB00157,P51659
DB00157,Q9BYZ2
DB00157,P07864
DB00157,P07195
DB00157,Q08426
DB00157,Q16836
DB00157,Q16798
DB00157,P40925
DB00157,P31937
DB00157,P37058
DB00157,P04035
DB00157,P48163
DB00157,O43175
DB00157,P56937
DB00157,P51553
DB00157,O43837
DB00157,P50213
DB00157,P14061
DB00157,P37059
DB00157,Q92781
DB00157,O95479
DB00157,Q92506
DB00157,P17516
DB00157,P12268
DB00157,P42330
DB00157,P15428
DB00157,Q13630
DB00157,Q04828
DB00157,P28845
DB00157,P26439
DB00157,P14060
DB00157,P20839
DB00157,P40939
DB00157,P05091
DB00157,P80365
DB00157,P52895
DB00157,Q15738
DB00157,Q02252
DB00157,P30838
DB00157,P00352
DB00157,O14556
DB00157,P49189
DB00157,P47895
DB00157,P30837
DB00157,P43353
DB00157,P04406
DB00157,O94788
DB00157,P51648
DB00157,P51649
DB00157,P49419
DB00157,P30043
DB00157,Q96C36
DB00157,P32322
DB00157,P00367
DB00157,P11177
DB00157,P29803
DB00157,P08559
DB00157,P53004
DB00157,P16219
DB00157,P00374
DB00157,Q02218
DB00157,P49448
DB00157,Q9UBM7
DB00157,P16083
DB00157,P03891
DB00157,Q9UDR5
DB00157,P03897
DB00157,O75251
