drugbank_id,uniprot_id
DB00006,P50213
DB00091,P30101
DB00114,P30041
DB00115,P50579
DB00118,P41250
DB00119,P21695
DB00120,Q9BYV1
DB00121,P07741
DB00122,P24462
DB00126,Q969S2
DB00130,P08243
DB00132,P07202
DB00134,Q8IVH4
DB00139,P00387
DB00140,P09417
DB00142,P05093
DB00143,Q86YB8
DB00145,Q969S2
DB00148,P05091
DB00151,P00387
DB00157,P03951
DB00159,Q9NPH2
DB00162,O75251
DB00163,Q13554
DB00170,P31350
DB00173,P05165
DB00175,P03891
DB00178,P30101
DB00179,Q9UF33
DB00182,P09622
DB00184,P10696
DB00190,Q6YP21
DB00191,P09622
DB00197,P23526
DB00200,P50579
DB00201,Q8NEV4
DB00203,Q9NP56
DB00205,Q15738
DB00210,O15382
DB00227,Q16878
DB00228,P07814
DB00233,P42679
DB00235,O95263
DB00244,Q13555
DB00262,O75715
DB00266,P11310
DB00273,Q9Y617
DB00276,P17405
DB00277,P29372
DB00278,P30041
DB00281,Q8TD08
DB00282,P28845
DB00284,Q9UKQ2
DB00293,O14841
DB00302,Q15185
DB00313,P51648
DB00316,Q9Y233
DB00323,Q14749
DB00328,Q02252
DB00331,P49419
DB00337,Q9P289
DB00350,Q969S8
DB00357,P28329
DB00360,Q9Y285
DB00363,Q9Y2Q3
DB00367,Q9BY41
DB00368,O95363
DB00382,Q9Y5K3
DB00391,O15530
DB00396,P23368
DB00411,P04629
DB00412,Q9UNK4
DB00415,Q05397
DB00421,P28331
DB00423,P05023
DB00435,P78330
DB00436,P05089
DB00437,P26440
DB00439,P11586
DB00449,P23141
DB00454,O15067
DB00464,P00740
DB00471,P30530
DB00480,P07203
DB00483,Q13393
DB00494,Q9HBK9
DB00498,P00740
DB00511,P06870
DB00513,Q08499
DB00514,Q05932
DB00523,O15528
DB00530,Q13574
DB00536,Q96C36
DB00545,P49585
DB00548,O14556
DB00562,P05089
DB00563,P30038
DB00569,P50213
DB00573,Q9NYP7
DB00580,P05089
DB00583,Q92947
DB00588,Q9H8P0
DB00599,O95954
DB00600,Q13630
DB00603,P60174
DB00605,P07998
DB00606,P05089
DB00608,Q16775
DB00622,P78527
DB00626,P15169
DB00641,P17516
DB00642,P17516
DB00647,Q9UKG9
DB00648,P78330
DB00651,P16499
DB00655,P45381
DB00674,Q13393
DB00675,P00736
DB00677,P11021
DB00682,P52429
DB00688,P11766
DB00711,Q9Y2K2
DB00721,Q9UM73
DB00744,Q02779
DB00747,P37059
DB00749,O15528
DB00752,P14920
DB00753,P13196
DB00755,Q13630
DB00756,P03923
DB00765,O95363
DB00772,P23141
DB00774,P06870
DB00780,Q9Y600
DB00795,Q99259
DB00798,P03923
DB00805,P30530
DB00811,P03915
DB00819,P05089
DB00820,O76083
DB00822,Q16836
DB00824,P04035
DB00834,P52429
DB00843,P15104
DB00862,O95263
DB00869,P05089
DB00870,Q9Y233
DB00880,P05089
DB00894,P28329
DB00900,Q9NR33
DB00903,Q7Z2Z2
DB00907,Q9UKG9
DB00909,P55789
DB00914,P08631
DB00920,P04054
DB00922,P09874
DB00924,P30530
DB00936,P03905
DB00939,P07711
DB00941,P49585
DB00944,P49585
DB00945,P51553
DB00951,O43708
DB00963,P35228
DB00968,O15269
DB00972,P28161
DB00975,P42338
DB00981,P37059
DB00987,P02794
DB00988,O14556
DB00989,Q13393
DB00990,P28329
DB00995,P43405
DB01014,Q86XP1
DB01016,Q9UKG9
DB01017,Q5KSL6
DB01021,P05089
DB01022,Q07075
DB01023,O95263
DB01024,O43175
DB01026,P11766
DB01028,P04075
DB01033,P04406
DB01037,P14920
DB01039,O75912
DB01041,Q13370
DB01050,P15169
DB01057,Q13393
DB01064,P30101
DB01065,Q9UHQ9
DB01074,Q9UKG9
DB01076,O60701
DB01078,P06870
DB01080,Q9NVS9
DB01087,Q12882
DB01088,P42336
DB01095,P14679
DB01098,P51648
DB01108,Q92781
DB01110,Q86XP1
DB01113,P42338
DB01119,P05089
DB01122,O14939
DB01125,Q9UI32
DB01126,P14679
DB01131,P00325
DB01132,Q9UHQ9
DB01133,P31350
DB01138,Q5KSL6
DB01144,P05089
DB01157,P07864
DB01158,P06870
DB01159,Q13630
DB01168,P14920
DB01169,P46736
DB01171,P55789
DB01179,P50213
DB01183,P00367
DB01185,P03915
DB01188,Q01064
DB01189,P49419
DB01194,P05089
DB01197,P10620
DB01199,P09172
DB01213,P26439
DB01216,P14679
DB01217,P05108
DB01221,Q04609
DB01226,Q8TCT1
DB01234,Q5KSL6
DB01236,P60174
DB01242,Q7Z2Z2
DB01244,P35913
DB01245,P49585
DB01247,P47989
DB01254,O75390
DB01259,Q8IU85
DB01275,O75936
DB01296,P09917
DB01303,P33527
DB01325,P05089
DB01327,P30041
DB01367,Q9UHQ9
DB01370,P15169
DB01400,P49585
DB01427,P35913
DB01430,P54750
DB01436,P00352
DB01452,P22830
DB01577,Q92947
DB01586,P12268
DB01592,Q8N543
DB01593,Q9GZU7
DB01599,P22830
DB01626,P11310
DB01656,O00408
