0,1
DB06654,Q12882
DB00157,P14555
DB13953,P32322
DB00939,Q9NWZ3
DB00763,Q5KSL6
DB01296,P09917
DB14507,Q8N5Z0
DB01611,Q16775
DB06813,P07864
DB06603,Q9GZT9
DB08809,Q9NPH2
DB01024,P08319
DB01098,P51648
DB01080,Q9Y646
DB14539,P51649
DB00869,P05089
DB14487,P52895
DB13953,P00325
DB11093,P78330
DB00262,Q15800
DB00281,O94768
DB00328,Q02252
DB01159,P18669
DB00323,Q14749
DB00328,P43353
DB00780,Q9Y600
DB13751,P14324
DB00120,Q16773
DB00139,P52895
DB06287,O75390
DB09079,Q9BY32
DB15822,P18669
DB11760,P45381
DB00536,Q9GZU7
DB14539,P04406
DB00322,P28845
DB01367,P55789
DB00805,P30530
DB00997,P00387
DB00277,P30101
DB00471,Q15746
DB00337,O00519
DB14517,P06276
DB04898,Q00987
DB04743,P00387
DB14001,Q13882
DB00262,P30038
DB11718,P51955
DB14488,Q96DB2
DB00142,O95470
DB01327,P29401
DB14543,P16219
DB11718,Q9NYY3
DB00721,P09622
DB06603,P00751
DB15091,P54756
DB14481,P32119
DB00798,Q15800
DB09327,P55789
DB00380,Q05513
DB04272,Q9UHD2
DB03312,Q9NQX3
DB00798,P15428
DB00711,P17948
DB01064,P52209
DB09343,P31327
DB14533,P23219
DB01378,Q15493
DB14481,P45381
DB00191,Q9UKU7
DB14543,Q16798
DB01083,Q16850
DB00233,Q86UE8
DB01080,P14618
DB09270,O43837
DB01262,P00387
DB14481,P09874
DB11994,Q13546
DB15233,Q15139
DB01259,P22309
DB00848,P54756
DB11081,P80404
DB12332,P00748
DB14845,Q9P0L2
DB01185,P51659
DB14507,P00519
DB00545,P49585
DB04272,O14757
DB00233,Q9BVS4
DB15102,Q9UEW8
DB09343,O95622
DB01327,P00747
DB08329,P05023
DB14533,Q02156
DB13954,Q08426
DB09280,Q9NYP7
DB01613,P19801
DB01213,P11177
DB06757,P06746
DB00752,P14920
DB00530,Q16760
DB01159,Q16836
DB00711,Q5KSL6
DB01327,P14618
DB01014,Q9Y2K2
DB01194,P05089
DB03615,P14618
DB13956,P03891
DB04794,P18858
DB15102,O95747
DB04272,P54760
DB13167,P30530
DB00784,P17735
DB00685,P29474
DB00262,O75715
DB04820,P55789
DB06335,Q16798
DB13954,Q15800
DB01064,P29590
DB00323,P31153
DB00641,P41222
DB02701,P18669
DB09129,Q07912
DB09078,P30101
DB01194,P21397
DB00688,O43837
DB00884,P28845
DB00721,P30530
DB01035,Q9BXA7
DB00824,P00750
DB00970,P50416
DB04838,P22830
DB00988,Q86U10
DB00179,Q9BRS2
DB00337,O15197
DB11817,O60658
DB01370,P15169
DB08875,Q7L7X3
DB00435,P78330
DB11823,Q99759
DB01030,P07098
DB01113,P42338
DB02789,Q9NPA2
DB08875,Q07912
DB14001,Q13233
DB00914,Q9UQM7
DB00190,O15269
DB14544,P49821
DB00909,P55789
DB04703,P06241
DB14507,Q9UKI8
DB00337,Q9NRP7
DB00721,Q9UM73
DB01593,Q9GZU7
DB08911,O15146
DB00914,O95747
DB00218,P32119
DB13952,P40939
DB00399,O15264
DB14491,P15169
DB00142,Q99714
DB00780,O95470
DB00143,P03905
DB06151,P09619
DB00586,P12724
DB09129,P08922
DB00331,P54762
DB09129,O00750
DB05260,P29074
DB01242,Q7Z2Z2
DB00599,O95954
DB08809,O75715
DB00945,Q9Y6R4
DB14723,O00238
DB09292,P16233
DB13867,Q9H8P0
DB08890,P07098
DB08911,P16591
DB01217,P05108
DB14001,Q59H18
DB01197,Q9H4Y5
DB00145,P03952
DB00843,Q14520
DB13954,Q5KSL6
DB00869,P13637
DB04832,Q9UHQ9
DB09130,Q6IA69
DB11791,P43405
DB11730,Q02127
DB11672,P04054
DB00951,O43708
DB09061,P49189
DB04820,P00387
DB09130,Q16720
DB00651,P16499
DB00780,Q9UKU7
DB00396,P07327
DB04825,P33981
DB11994,Q8TDR2
DB01296,P08263
DB01009,Q13630
DB01221,P54687
DB06777,Q15274
DB00382,Q9Y5K3
DB00712,Q9BYV1
DB00415,P29376
DB14489,P00748
DB00641,P30038
DB00278,O60701
DB09130,Q96NR8
DB13955,P28331
DB03310,P24752
DB09026,Q969S8
DB00774,P06870
DB09130,P21549
DB00464,P00740
DB00711,O14936
DB08860,P48728
DB00552,Q13523
DB00411,P04629
DB01138,Q5KSL6
DB08875,Q86UE8
DB01014,Q96RR4
DB09237,P17752
DB01194,P17405
DB15091,P25774
DB01095,P49419
DB00130,P08243
DB00631,Q9NR33
DB02789,P33527
DB00170,P11766
DB00142,P49589
DB00293,P48506
DB14488,Q8WUI4
DB00006,Q15185
DB06695,P29401
DB00118,P41250
DB08911,O43293
DB00162,P50213
DB00121,Q9BY49
DB02266,P45954
DB04825,O00329
DB14002,Q9Y2H1
DB00331,Q9UQB9
DB04794,P08473
DB11718,P16591
DB00530,Q86XP1
DB06813,P40925
DB08814,P04035
DB14509,O75716
DB00627,P23743
DB14507,Q13523
DB00419,P09110
DB00139,Q16798
DB09061,P50213
DB00198,P20594
DB09462,O60658
DB03615,Q99497
DB00688,P16083
DB00173,Q9HCC0
DB00323,Q9HBK9
DB08860,P00387
DB00862,P42338
DB04794,P19801
DB13346,P00441
DB09129,Q9UIK4
DB00244,O15197
DB01014,Q86XP1
DB00233,Q8NEV4
DB00995,O75385
DB00939,P07948
DB00630,P28845
DB00753,P48637
DB00603,P16455
DB00190,Q9Y617
DB00461,P22352
DB11823,P08243
DB09130,O15270
DB11791,P43403
DB01171,O95831
DB13953,P47895
DB06603,P78330
DB00006,P50213
DB08896,Q96FI4
DB00711,P45983
DB00148,P07998
DB00233,P46734
DB00822,Q16836
DB04272,Q7RTV2
DB01592,Q8N543
DB00201,Q8NEV4
DB14845,P06213
DB01340,Q9H4Y5
DB09214,O75489
DB00795,Q9HB55
DB13873,P05129
DB01189,P29401
DB02266,O43175
DB00337,Q16584
DB00170,P16219
DB14490,Q02809
DB01370,P48637
DB09031,P35354
DB02266,P30038
DB06813,O43175
DB00773,Q96FI4
DB00273,Q9Y617
DB11823,Q12866
DB01234,P52429
DB14539,P48728
DB00580,P05089
DB09216,P08243
DB00749,O15528
DB00514,Q5JPH6
DB00939,P06493
DB00244,Q13873
DB06151,Q8TD08
DB01113,P35913
DB00142,O14732
DB14723,Q14164
DB00939,Q12852
DB14544,P03901
DB00207,Q08462
DB00201,P19525
DB09061,O60701
DB03147,P04818
DB04272,P12277
DB00367,P30101
DB01024,P03901
DB00600,Q9UBM7
DB00756,P40394
DB14568,P32754
DB11823,P80192
DB14487,P10635
DB14500,Q86U10
DB01014,P46734
DB00995,Q06418
DB00276,P17405
DB14490,Q6NS38
DB00421,P28331
DB01024,Q13423
DB08911,Q8IU85
DB01259,Q9H3Y6
DB14002,P54646
DB01185,P00338
DB00843,P22557
DB01159,P30101
DB05812,P05091
DB01254,P17812
DB09462,P51553
DB00862,O95263
DB08889,P19971
DB09129,P53355
DB09130,Q14032
DB11823,P41250
DB01088,Q13370
DB00151,O60701
DB01157,P07864
DB01268,P29401
DB06448,Q9Y3R4
DB02546,Q96FI4
DB01129,Q14289
DB00968,P23378
DB09460,P27338
DB01698,Q02252
DB00811,Q02928
DB14001,P22694
DB14488,P30405
DB09129,P29323
DB00469,Q9HBH9
DB11823,Q9P0L2
DB01592,P48637
DB09130,P41250
DB02546,O14556
DB12783,P11217
DB00755,Q13630
DB06262,Q9Y285
DB03147,P27169
DB12887,O43766
DB00173,P05165
DB01626,P11310
DB09129,Q15375
DB01098,P49189
DB00179,O14920
DB00439,P49821
DB04864,P11388
DB00162,Q15738
DB12147,P29218
DB09092,Q9UKV0
DB02789,P37059
DB00191,Q86YB8
DB00281,Q16512
DB00946,P30038
DB00162,O75251
DB09130,P31152
DB14487,P26439
DB01221,Q8N159
DB00588,Q9H8P0
DB03088,P27361
DB00367,Q9BY41
DB09091,P45954
DB00233,P33981
DB14507,Q04771
DB14543,P00374
DB00951,Q99735
DB09061,P07237
DB00675,P46736
DB00184,P0CG30
DB00328,P03897
DB04272,Q16775
DB09526,P51857
DB00337,Q9P289
DB00677,P11021
DB15233,Q9NSY1
DB00415,P42681
DB13995,P27169
DB09061,P55211
DB13954,P00367
DB00293,P00505
DB14002,P18405
DB09462,P42338
DB09462,P13995
DB00179,O15075
DB14845,Q9H2K8
DB14723,Q9P2K8
DB00132,Q9NR63
DB00477,Q9UNK4
DB01131,P30038
DB00914,Q92772
DB14845,Q16513
DB14542,P16219
DB01185,P60174
DB00201,Q9HBH9
DB00432,P48506
DB04272,Q8TED1
DB14509,Q9H422
DB00790,Q9Y2Q3
DB00914,Q9Y4K4
DB09462,Q04760
DB04854,P16083
DB00207,P13716
DB14541,Q15800
DB00120,Q9UDR5
DB08875,Q13153
DB09075,P17174
DB12010,O95263
DB00471,P80192
DB01242,P10768
DB11994,Q9UEW8
DB15685,Q04771
DB04880,P09874
DB00228,P06744
DB00471,O95819
DB00975,P42338
DB09129,Q9UBF8
DB14001,Q96Q40
DB11994,P11309
DB03128,P20815
DB14509,Q06187
DB00711,O95819
DB00995,Q13554
DB03147,P53004
DB00641,P17516
DB04703,P36888
DB14542,P51659
DB13956,P15169
DB01017,Q9NYL2
DB00198,P40306
DB03147,P00915
DB01592,Q8WUI4
DB01017,O00329
DB15102,Q16620
DB14491,O15379
DB00914,P54756
DB00179,Q13237
DB15035,Q9HB55
DB00244,Q9H0K1
DB14001,P51451
DB00313,P51648
DB00988,Q32P28
DB15685,P54760
DB02266,P02788
DB01236,Q9P0Z9
DB03088,P45983
DB00233,P67775
DB01325,P05089
DB00148,P05091
DB11823,P07332
DB01597,P18858
DB01296,P09960
DB00278,Q15185
DB01698,Q13630
DB09462,P17516
DB14002,Q9P0L2
DB00798,P03923
DB01092,O60658
DB11967,P24941
DB01185,P46597
DB00142,Q9UBK8
DB00626,P15169
DB09130,Q6NUM9
DB14002,P23743
DB15102,Q9Y2H1
DB00205,P50213
DB00437,P26440
DB01024,O43175
DB06757,P45381
DB01022,P17735
DB00544,O15382
DB14649,P23219
DB00558,P20813
DB01401,P45983
DB00244,P29317
DB01017,Q5KSL6
DB00914,P53355
DB00175,Q02252
DB00179,Q16659
DB01240,P35913
DB05260,Q05209
DB01452,P22830
DB08901,P07741
DB01108,Q92781
DB01592,Q96Q83
DB11093,P15531
DB00914,P48736
DB13955,Q16760
DB00603,P60174
DB01028,P00387
DB00583,P09622
DB00755,P09417
DB15091,P51813
DB00190,P04181
DB13346,O15379
DB14487,P16615
DB15102,O15146
DB06151,P36507
DB00454,Q07075
DB06689,P00450
DB01074,Q9UKG9
DB15091,Q13153
DB01108,Q969G6
DB14723,Q9UIK4
DB00175,P11766
DB08439,Q9NYY3
DB00756,P49915
DB09092,P11021
DB08875,P36897
DB00284,Q14697
DB04272,P22455
DB14541,P53004
DB14002,Q9Y2K2
DB11791,P29376
DB14481,P04075
DB00939,Q9BXA7
DB00233,P36896
DB15102,P35590
DB13952,P16455
DB15102,P11274
DB06777,P15428
DB00201,O00444
DB14509,P11309
DB02546,P04035
DB00711,P42330
DB00162,P14679
DB00939,P06239
DB11718,Q16832
DB00262,P22570
DB00694,P50213
DB12010,P52824
DB01014,Q9UKI8
DB00439,O95479
DB00862,Q9NP56
DB14845,Q13153
DB00648,P00751
DB00140,P09417
DB00903,Q9Y2Q3
DB13873,P00533
DB11791,Q96L34
DB00530,Q13574
DB01400,P49585
DB00449,P00439
DB14498,P06870
DB00642,P29803
DB00435,Q02083
DB01017,Q9UKQ2
DB04272,P47989
DB04703,P35916
DB03614,Q8IVH4
DB01028,P23526
DB01122,O14939
DB09129,P54764
DB09129,Q16288
DB06751,P22748
DB00163,Q9NRP7
DB14488,P19021
DB00736,Q02127
DB00119,Q15738
DB00163,P53779
DB11718,Q7L7X3
DB00558,Q15910
DB09118,P11766
DB14517,P30041
DB00944,P49585
DB08860,P56937
DB11718,O15075
DB14487,P11511
DB11689,P48637
DB00988,Q96KS0
DB08877,O76083
DB14002,O94804
DB11823,Q13177
DB00711,P28482
DB01221,P48637
DB15685,Q04912
DB00114,Q9Y285
DB12130,O43353
DB15102,Q96PY6
DB00281,Q6PHR2
DB06751,Q14432
DB00755,P56937
DB06603,P15531
DB06151,O15264
DB00991,P16591
DB01208,P00387
DB14543,O95479
DB00205,P40939
DB00163,Q9P286
DB00142,P56937
DB00233,Q15569
DB00132,P24557
DB14491,P50993
DB00242,P29350
DB00936,P31937
DB06151,Q9P289
DB00191,P09622
DB03147,P04070
DB09256,P03923
DB08604,Q9Y6T7
DB09129,P42680
DB03310,P10809
DB00744,P49619
DB11791,Q13153
DB00995,Q9UM73
DB11718,Q9Y6E0
DB00140,P11586
DB00233,P29597
DB08604,P24462
DB01087,Q16878
DB00648,P78330
DB00357,P28329
DB09131,Q9BQB6
DB06777,Q96C36
DB13952,P49419
DB01028,P04075
DB00415,P22607
DB03796,O95864
DB01221,O15067
DB00563,P30038
DB00537,Q02252
DB01183,P22830
DB04824,P40261
DB00235,O95263
DB00006,P00751
DB00721,Q5JPH6
DB15233,Q9BRS2
DB01597,P48735
DB15982,O14556
DB00233,Q9UQM7
DB00122,P24462
DB15822,P11712
DB06775,P28062
DB14006,P07203
DB09462,Q08499
DB04272,P47895
DB03615,P14550
DB14487,P03901
DB14540,P00367
DB09212,P00748
DB00132,P13569
DB01656,O95263
DB14509,Q9P0L2
DB00471,Q9P2K8
DB00337,Q9H4B4
DB00145,P15169
DB04703,Q8IYT8
DB00626,P56524
DB11823,Q8N5Z0
DB01698,P09417
DB13952,P00367
DB00170,Q9UBM7
DB01296,P15121
DB15091,Q8NFD2
DB14517,P78330
DB01087,P14061
DB01014,P48736
DB14543,P51648
DB09121,Q9UGM6
DB00142,P26358
DB11791,Q13557
DB08875,P37173
DB14542,P49189
DB11718,P29597
DB02701,P20839
DB01430,P00915
DB00798,Q16878
DB01028,P60174
DB01600,Q9Y2K2
DB01065,P28331
DB01014,Q8NFD2
DB08912,P05181
DB11967,P00491
DB12887,P00749
DB01245,P49585
DB01254,O75390
DB13954,Q13574
DB00233,P48729
DB06751,O00329
DB14002,Q13237
DB00855,O00142
DB14507,P52564
DB00210,P11926
DB00277,P29372
DB11967,P06858
DB00744,Q02779
DB13953,P00492
DB00513,P27815
DB12010,O75390
DB03193,P10632
DB14481,P98194
DB14723,P36896
DB08820,P00750
DB14533,P05093
DB00548,O14556
DB00244,Q9HB55
DB00210,P80404
DB15091,P15056
DB00179,Q9UIK4
DB00798,P53004
