0,1
DB12010,O96017
DB00583,P50416
DB00765,P07101
DB09212,P35354
DB01612,P16066
DB00157,Q16836
DB14491,P06746
DB03310,P28161
DB12010,P25774
DB01216,P18405
DB01254,P29317
DB12010,Q9UKI8
DB00145,Q9BYV1
DB08895,P23458
DB00909,P00918
DB00142,Q9Y646
DB14490,P39748
DB12887,Q92800
DB00162,Q6NUM9
DB08896,Q02763
DB00313,P45954
DB00118,Q00266
DB00619,P16234
DB00118,P31153
DB09078,P22607
DB00142,P49448
DB00580,P00918
DB01080,P80404
DB12010,P29597
DB03310,P09211
DB00157,O75306
DB05015,Q92769
DB00162,P00352
DB12010,Q9Y463
DB00412,O60488
DB01592,Q9BY41
DB09130,P17174
DB00142,Q05932
DB02659,P22830
DB11936,P53396
DB01050,P13569
DB00201,O95263
DB12010,O00444
DB00157,P32322
DB03310,P22352
DB01021,P00915
DB12010,Q15375
DB08896,P04049
DB01169,Q16881
DB12010,P54646
DB00733,P06276
DB12010,O75385
DB14489,P39748
DB00514,P04839
DB14487,P06733
DB12010,Q9BRS2
DB12010,P06213
DB13783,P35354
DB00157,P30519
DB01592,P39748
DB01275,P13674
DB14533,P41238
DB12010,O95747
DB00619,P07333
DB06335,P27487
DB15233,P10721
DB00674,P06276
DB03147,Q9UKU7
DB00182,P21397
DB12010,Q16620
DB12010,Q9UM73
DB15822,P11362
DB12010,Q12851
DB12010,Q9H2X6
DB00157,P09601
DB03147,P00387
DB12010,Q9UHD2
DB12010,Q9UEW8
DB11963,P00533
DB00642,P31939
DB01698,P16152
DB09073,P11802
DB12010,P05129
DB12010,Q9NQU5
DB09462,O43252
DB00337,P42345
DB00126,O75936
DB00201,Q13315
DB01197,P08253
DB12010,P04629
DB14840,P09619
DB00350,P23219
DB00421,P31213
DB00970,Q02880
DB01010,P22303
DB04743,P02788
DB14533,P03952
DB11828,P00533
DB00445,P11388
DB00142,P00505
DB12010,Q9NYL2
DB01083,P49327
DB14001,P17252
DB00583,P05164
DB01418,Q9BQB6
DB00152,Q9H3S4
DB12010,O00238
DB14491,Q16595
DB14539,P80365
DB00313,Q92769
DB14487,P00748
DB04868,P00519
DB01626,P27338
DB01593,P00734
DB00114,Q9HD40
DB00945,P54646
DB03310,P30711
DB13996,P05023
DB00749,P35354
DB00756,P00367
DB06196,P15144
DB12010,Q07912
DB01007,Q16850
DB04339,P09211
DB00630,P14324
DB00266,P15559
DB02266,P42330
DB06616,P08631
DB02701,P09874
DB00360,P29474
DB02546,O15379
DB00157,O94788
DB01122,P22303
DB13952,P37059
DB12010,Q13627
DB04824,O60656
DB00157,P48163
DB01119,P00915
DB00120,P07101
DB12010,O95835
DB14533,Q00987
DB00145,Q14749
DB01254,P00519
DB11986,O60674
DB00182,P27338
DB08814,Q9Y233
DB00242,P09884
DB00880,P00918
DB00142,P54886
DB09472,P00915
DB00197,O60488
DB01254,P09619
DB00140,Q969G6
DB00157,Q92781
DB00235,Q14432
DB12010,Q8NEV4
DB01452,P23141
DB09079,P07948
DB01592,Q969S2
DB12978,P36888
DB12010,Q9UK32
DB00313,P51649
DB00396,P05093
DB12010,Q8IYT8
DB01593,P00450
DB13346,P35354
DB00945,P35354
DB00201,O76083
DB06176,Q13547
DB00157,P51659
DB00126,Q8N543
DB00284,P04746
DB01435,P23219
DB00201,Q13370
DB15035,P51451
DB00170,P16083
DB14542,P80365
DB12332,Q9UGN5
DB00157,P21695
DB08896,P17948
DB01240,Q16647
DB00398,P35916
DB01026,P05093
DB01097,Q02127
DB05351,P20648
DB01280,P09884
DB06777,P52895
DB00819,O43570
DB04821,P05164
DB00398,P11362
DB00143,Q96SL4
DB08901,P21802
DB00157,P47895
DB01077,Q13332
DB00130,P15104
DB12010,P09917
DB14488,P06746
DB00774,Q16790
DB00163,P62714
DB08895,P52333
DB02659,P04054
DB12010,P54762
DB06589,P10721
DB00119,P14618
DB01600,P35354
DB12010,Q16288
DB00188,P28074
DB06736,P23219
DB12267,P00519
DB01179,P11388
DB00173,P78362
DB00677,P06276
DB04272,Q9GZU7
DB00142,P38435
DB00630,P23469
DB00121,Q96RQ3
DB00218,P11388
DB08818,Q14520
DB01593,P00736
DB00120,Q9Y285
DB00150,Q9UGM6
DB01125,P38435
DB01189,P03886
DB00157,Q02928
DB00606,Q16790
DB00688,P12268
DB12010,O43293
DB00114,P17174
DB06603,O15379
DB00773,Q02880
DB12010,P31152
DB09237,P29474
DB00861,P23219
DB00184,P28329
DB12010,Q9H2G2
DB00157,Q9UBM7
DB00114,Q9BYV1
DB09047,P11388
DB09477,P12821
DB01197,P09960
DB00820,O76074
DB12010,Q8IU85
DB12010,Q9P2K8
DB13751,P28845
DB14840,P16234
DB00606,P07451
DB01126,P31213
DB00795,P24752
DB00157,P13995
DB09130,P23526
DB01593,P15169
DB01017,P27361
DB14845,P23458
DB12010,P17948
DB00884,P14324
DB14507,P49841
DB00277,Q07343
DB11994,P11712
DB14487,P78330
DB01245,P22303
DB09078,P16234
DB09280,P13569
DB00812,P23219
DB15035,P06239
DB00328,P42330
DB08896,P00519
DB12010,O00329
DB00143,Q9Y2Q3
DB01144,P22748
DB00282,P14324
DB00482,P35354
DB01593,P00748
DB00862,O76074
DB00606,Q9ULX7
DB14001,P23743
DB01593,P15531
DB12010,Q9UF33
DB06616,P24941
DB00163,P05771
DB00316,P23219
DB12010,P36896
DB13751,P06858
DB00006,P00734
DB03904,P05089
DB00820,Q9HCR9
DB00483,P22303
DB00843,P22303
DB00142,Q8N159
DB01119,P00918
DB00157,P37059
DB00114,Q6YP21
DB00436,P22748
DB03147,P47989
DB04703,Q96GD4
DB09053,Q06187
DB00170,P15559
DB09130,Q969S2
DB12010,P29317
DB09212,P23219
DB00605,P27361
DB00975,Q9Y233
DB14488,Q9BY41
DB04272,P40926
DB00752,P21397
DB14498,P05023
DB01613,P16066
DB00115,Q99707
DB13995,P02794
DB12010,P33981
DB00863,P22303
DB00126,Q8IVL6
DB04743,P35354
DB00142,O94925
DB01092,P13637
DB00441,P30085
DB11986,Q16620
DB12010,Q9Y2K2
DB00778,P08183
DB00201,P42338
DB09061,P20815
DB09074,P09874
DB09061,P07203
DB14509,O14732
DB11652,P21860
DB09069,P09110
DB00421,P05093
DB05294,P07949
DB08901,P06239
DB09130,P00387
DB01268,P35916
DB00795,O14920
DB14723,Q16620
DB00163,P17252
DB00184,P11511
DB04876,P27487
DB12010,Q15569
DB00997,P11388
DB00115,P22033
DB01101,P04818
DB00120,O95363
DB01017,Q8TD08
DB00157,P03901
DB01234,P35228
DB00939,P09917
DB13501,P23219
DB00651,P27815
DB00755,O94788
DB00421,Q9H8P0
DB00619,P04629
DB00903,P05023
DB00142,Q9UI32
DB14541,P14060
DB12010,Q9C098
DB01021,P22748
DB13954,P37059
DB01017,P53778
DB00277,Q14432
DB00151,P17174
DB03147,P16083
DB14540,P14060
DB01169,Q13547
DB06605,P00742
DB00675,P17252
DB00159,P35354
DB09074,Q9Y6F1
DB00975,P00813
DB00651,Q08499
DB06176,Q92769
DB00722,P12821
DB01593,P30101
DB08895,P29597
DB09389,P18405
DB00806,P21589
DB00157,Q04828
DB00170,P38435
DB00142,P15104
DB00157,P53004
DB00703,P00915
DB14649,P35228
DB00114,Q96GD0
DB00157,Q92506
DB14487,Q00987
DB00869,P00915
DB14487,P15531
DB09054,O00329
DB05294,Q13882
DB11952,P48736
DB04839,P07288
DB12010,P48729
DB00795,P35354
DB01126,P18405
DB12010,P49840
DB02546,Q92769
DB00114,P23378
DB00755,O60760
DB00694,Q02880
DB01133,P23469
DB00126,P13674
DB00703,P07451
DB00119,P30613
DB00157,O75489
DB12267,Q9UM73
DB12010,P68400
DB00328,P23219
DB01189,O14983
DB00464,P04070
DB00843,P06276
DB05260,P31350
DB12010,P35916
DB09092,P40926
DB00909,Q16790
DB00118,P21964
DB00132,Q9NXB9
DB13955,P37059
DB00819,P00915
DB00178,P12821
DB06448,P49356
DB11817,P23458
DB12147,P10721
DB09092,Q02218
DB14491,Q969S2
DB06757,P50213
DB12010,P15056
DB01223,Q92769
DB01268,P17948
DB01254,P07947
DB01593,Q06830
DB12010,P06493
DB12010,Q9UIK4
DB12010,P45984
DB11093,Q15493
DB14487,P60174
DB11986,P04629
DB01592,P00450
DB01159,Q01814
DB01236,P98194
DB01626,P21397
DB12010,P29323
DB00981,P22303
DB00157,P51648
DB15035,Q15303
DB01059,P11388
DB09079,P35916
DB12147,P22455
DB04272,P12724
DB00165,O00764
DB00951,P05177
DB00536,P05091
DB14490,Q9BY41
DB14001,P05771
DB00523,Q6V0L0
DB12010,Q16584
DB11986,Q16288
DB00143,Q9H4Y5
DB01268,P35968
DB01183,P23141
DB14487,P15169
