drugbank,uniprot
DB00007,P30968
DB00014,P22888
DB00014,P30968
DB00035,P30518
DB00035,P37288
DB00035,P47901
DB00050,P30968
DB00050,P22888
DB00067,P30518
DB00067,P37288
DB00067,P47901
DB00142,Q13255
DB00142,Q14833
DB00142,Q14831
DB00142,O00222
DB00145,Q14330
DB00159,O14842
DB00177,P30556
DB00178,P46663
DB00181,Q9UBS5
DB00181,O75899
DB00182,P35348
DB00182,P35368
DB00182,P25100
DB00182,P08913
DB00182,P18089
DB00182,P18825
DB00182,P08588
DB00182,P07550
DB00182,P13945
DB00182,P14416
DB00183,P32239
DB00185,P20309
DB00185,P11229
DB00187,P08588
DB00193,P35372
DB00193,P28335
DB00193,P41145
DB00193,P41143
DB00193,P20309
DB00193,P11229
DB00193,P25103
DB00193,P30542
DB00193,P08913
DB00193,P18089
DB00193,P18825
DB00195,P08588
DB00195,P07550
DB00199,O43193
DB00201,P30542
DB00201,P29274
DB00201,P29275
DB00202,P11229
DB00202,P08172
DB00202,P20309
DB00208,Q9H244
DB00209,P11229
DB00209,P20309
DB00211,P35348
DB00211,P35368
DB00211,P25100
DB00215,P35367
DB00216,P28221
DB00216,P28222
DB00216,P08908
DB00217,P08913
DB00217,P18089
DB00217,P18825
DB00217,P08588
DB00217,P07550
DB00217,P13945
DB00219,P11229
DB00221,P08588
DB00221,P07550
DB00243,P35348
DB00243,P35368
DB00243,P25100
DB00243,P08588
DB00245,P11229
DB00245,P35367
DB00246,P14416
DB00246,P21728
DB00246,P21918
DB00246,P28223
DB00246,P35462
DB00246,P21917
DB00246,P08908
DB00246,P28222
DB00246,P28221
DB00246,P28335
DB00246,P50406
DB00246,P34969
DB00246,P35367
DB00246,P35348
DB00246,P35368
DB00246,P08913
DB00246,P18089
DB00246,P18825
DB00246,P11229
DB00246,P08172
DB00246,P20309
DB00246,P08173
DB00246,P08912
DB00246,P47898
DB00247,P41595
DB00247,P28335
DB00247,P28223
DB00247,P08908
DB00247,P34969
DB00247,P28222
DB00248,P14416
DB00248,P41595
DB00248,P35462
DB00248,P28223
DB00248,P18089
DB00248,P28221
DB00248,P21917
DB00248,P08913
DB00248,P08908
DB00248,P18825
DB00248,P21918
DB00248,P21728
DB00248,P28222
DB00248,P28335
DB00248,P34969
DB00248,P35348
DB00248,P35368
DB00248,P25100
DB00248,P08588
DB00248,P07550
DB00257,Q8TDS4
DB00264,P08588
DB00264,P07550
DB00268,P35462
DB00268,P21917
DB00268,P35348
DB00268,P35368
DB00268,P25100
DB00268,P08913
DB00268,P18089
DB00268,P18825
DB00268,P14416
DB00275,P30556
DB00277,P30542
DB00277,P29274
DB00277,P29275
DB00280,P11229
DB00280,P08172
DB00280,P20309
DB00283,P35367
DB00287,P43088
DB00289,P41145
DB00292,P18089
DB00295,P35372
DB00295,P41145
DB00295,P41143
DB00297,P34995
DB00298,P35348
DB00298,P25100
DB00298,P35368
DB00315,P28222
DB00315,P28221
DB00315,P34969
DB00315,P08908
DB00315,P28223
DB00315,P41595
DB00318,P35372
DB00318,P41145
DB00318,P41143
DB00320,P28221
DB00320,P28222
DB00320,P08913
DB00320,P41595
DB00321,P28223
DB00321,P08908
DB00321,P41143
DB00321,P41145
DB00321,P35348
DB00321,P25100
DB00321,P08913
DB00321,P35367
DB00321,P25021
DB00321,Q9H3N8
DB00321,P28335
DB00321,P35368
DB00321,P34969
DB00321,P28221
DB00321,P35372
DB00321,P28222
DB00321,P50406
DB00321,P11229
DB00321,P08172
DB00321,P20309
DB00321,P08173
DB00321,P08912
DB00327,P35372
DB00327,P41143
DB00327,P41145
DB00328,Q9Y5Y4
DB00332,P11229
DB00332,P08172
DB00332,P20309
DB00333,P35372
DB00333,P41143
DB00334,P28223
DB00334,P14416
DB00334,P21728
DB00334,P21918
DB00334,P35462
DB00334,P21917
DB00334,P28335
DB00334,P50406
DB00334,P35367
DB00334,P35348
DB00334,P35368
DB00334,P11229
DB00334,P08172
DB00334,P20309
DB00334,P08173
DB00334,P08588
DB00334,P07550
DB00334,P13945
DB00334,P08908
DB00334,P28222
DB00334,P28221
DB00335,P08588
