drugbank_id,uniprot_id
DB00142,P25021
DB00145,P47898
DB00193,Q13255
DB00201,Q9Y5Y4
DB00211,Q99705
DB00217,Q99705
DB00257,P08100
DB00289,Q14833
DB00297,P43116
DB00298,Q9Y5N1
DB00333,Q14833
DB00368,Q99705
DB00388,Q96G91
DB00392,Q13255
DB00397,Q99705
DB00408,P25105
DB00411,Q96G91
DB00449,P51582
DB00454,Q8TDU6
DB00455,P25105
DB00457,O43193
DB00471,P21462
DB00502,Q14833
DB00504,P08588
DB00514,Q14833
DB00521,Q9H3N8
DB00549,Q13258
DB00555,Q14831
DB00599,Q14831
DB00610,Q99705
DB00622,P41180
DB00623,P41180
DB00644,P22888
DB00647,Q8TDU6
DB00651,P34995
DB00654,P43119
DB00659,P18089
DB00666,P22888
DB00723,Q99705
DB00737,O95665
DB00747,Q99527
DB00768,Q86VZ1
DB00770,P43088
DB00777,P25105
DB00783,Q8TDS4
DB00792,O95665
DB00797,P25103
DB00809,Q99705
DB00824,P28335
DB00825,P41146
DB00843,Q13255
DB00852,P43657
DB00902,P11229
DB00905,P43116
DB00907,Q8TDU6
DB00913,P35367
DB00915,P08100
DB00925,Q9BPV8
DB00929,P43119
DB00935,Q99705
DB00950,Q99677
DB00964,Q99677
DB00972,Q8TDU6
DB01019,Q9H244
DB01043,P41594
DB01063,P30968
DB01065,P30968
DB01085,Q86VZ1
DB01088,P29275
DB01146,P21918
DB01159,Q14831
DB01160,P43115
DB01162,Q86VZ1
DB01173,Q13255
DB01183,Q9Y2T6
DB01210,P41143
DB01214,Q9H3N8
DB01238,Q14833
DB01303,Q9Y5Y4
DB01364,Q99705
DB01406,P22888
DB01452,Q8TDU6
DB01579,Q99705
DB01593,P29275
DB01608,P30968
DB01619,P25021
DB01956,P18089
DB02530,Q14330
DB03128,Q14330
DB03796,P08588
DB04837,Q13639
DB04841,O95665
DB04890,O95665
DB05381,Q99705
DB06016,O95665
DB06077,O00222
DB06144,O43193
DB06148,O95665
DB06153,P25105
DB06202,P41145
DB06207,P43657
DB06213,P41145
DB06230,Q9Y2T6
DB06274,P14416
DB06441,Q99677
DB06694,Q99705
DB06698,P30542
DB06706,Q99705
DB06707,Q99705
DB06709,P41231
DB06711,Q99705
DB06764,Q99705
DB06766,P43657
DB06777,Q8TDS4
DB06800,P47898
DB08801,P25105
DB08816,Q96G91
DB08819,P43119
DB08868,P46663
DB08950,Q96G91
DB08964,P43088
DB09049,P21554
DB09089,Q8TDS4
DB09097,P30542
DB09195,O95665
DB09209,P47898
DB09242,Q99705
DB11093,Q99677
DB11181,Q99705
DB11186,P07550
DB11235,P25105
DB11274,P35372
DB11348,P41145
DB11577,P47898
DB11619,P46663
DB11660,P43119
DB11691,Q14330
DB11738,Q99705
DB11979,P22888
DB12789,P43119
DB13345,Q9BPV8
DB13952,Q8TDS4
DB13953,Q8TDS4
DB13954,Q8TDS4
DB13955,Q8TDS4
DB13956,Q8TDS4
DB14481,Q96G91
DB14487,P08100
DB14533,Q9Y5N1
DB14895,P21728
DB00333,O00222
DB03796,O14842
DB11186,O43193
DB00145,O75899
DB00408,O95665
DB14533,O95977
DB00145,P07550
DB00659,P08100
DB00902,P08172
DB00902,P08173
DB11186,P08588
DB06274,P08908
DB00768,P08912
DB06213,P08913
DB01619,P11229
DB00768,P13945
DB00145,P14416
DB11186,P18825
DB01146,P20309
DB14533,P21453
DB00549,P21462
DB09209,P21554
DB00504,P21728
DB00768,P21917
DB01210,P21918
DB11186,P25021
DB14895,P25100
DB00142,P25103
DB00902,P25105
DB00142,P28221
DB11186,P28222
DB11186,P28223
DB11093,P28335
DB00298,P29274
DB01619,P30542
DB01619,P34969
DB00913,P34972
DB00824,P34995
DB06213,P35348
DB06213,P35367
DB00659,P35368
DB00142,P35372
DB00905,P35408
DB04837,P35462
DB11274,P41143
DB09209,P41146
DB00797,P41231
DB00145,P41594
DB11348,P41595
DB11348,P43657
DB06709,P47898
DB11186,P47900
DB11093,P48039
DB06202,P49286
DB04837,P50406
DB11093,P51582
DB14895,Q13639
DB00659,Q14330
DB11093,Q15391
DB00145,Q6W5P4
DB00449,Q86VZ1
DB00457,Q96G91
DB14533,Q99500
DB06202,Q99527
DB01162,Q9BPV8
DB14487,Q9H228
DB11274,Q9H244
DB01619,Q9H3N8
DB14487,Q9UBS5
DB11186,Q9Y2T6
DB00050,P25100
DB00159,Q14831
DB00178,P48039
DB00182,Q8TDU6
DB00185,O43193
DB00187,Q99527
DB00195,Q14831
DB00199,O14842
DB00202,Q99527
DB00208,P43088
DB00209,O43193
DB00215,Q14833
DB00216,O95665
DB00219,Q8TDU6
DB00221,P41594
DB00243,P43115
DB00245,Q14831
DB00246,P41180
DB00247,P41180
