0,1
DB01624,P21728
DB13954,Q99527
DB13345,P28335
DB09195,P28335
DB01337,P08172
DB01203,P07550
DB11653,P32245
DB01075,P08172
DB01267,P35368
DB00248,P41595
DB03128,P20309
DB00715,P18825
DB06153,P28335
DB01267,P35367
DB06077,P14416
DB00777,P14416
DB00734,P35348
DB00486,P34972
DB00543,P25100
DB06148,P18825
DB00755,Q8NFJ5
DB08893,P13945
DB06594,P49286
DB00363,P14416
DB01151,P35367
DB11278,P35368
DB05271,P18089
DB08819,P43088
DB09034,O43614
DB00598,P35348
DB06148,P21918
DB01151,P08908
DB08868,Q99500
DB00708,P41143
DB00215,P35367
DB01608,P35368
DB01239,P28221
DB01580,P08588
DB00726,P08173
DB11181,P20309
DB00804,P08172
DB00656,P28223
DB00865,P35348
DB00246,P35368
DB00264,P08588
DB01238,P25021
DB00295,P41143
DB00346,P35368
DB00408,P28223
DB00555,P14416
DB00408,P28222
DB00844,P41143
DB01235,P21728
DB01238,P08588
DB00334,P21917
DB01238,P11229
DB06787,P11229
DB00420,P28223
DB04946,P18825
DB09068,P34969
DB00726,P08913
DB11855,P08172
DB00679,P14416
DB01392,P41595
DB01142,P41595
DB06441,Q9H244
DB00268,P21917
DB09167,P35368
DB14642,P47901
DB00217,P07550
DB14185,P11229
DB01576,P08913
DB11273,Q13639
DB09128,P35368
DB01224,P08913
DB00408,Q9H3N8
DB06230,P41143
DB00246,P35462
DB00257,Q8TDS4
DB00243,P08588
DB00484,P08913
DB06711,P35348
DB04890,P35367
DB00321,P08908
DB00797,P35367
DB00067,P47901
DB00835,P08173
DB09099,P30872
DB01365,P08588
DB05316,P14416
DB00734,P21728
DB00917,P35408
DB01623,P14416
DB00397,P18089
DB01392,P28221
DB00458,P28223
DB00668,P35348
DB01069,P25100
DB00411,P08172
DB09195,P28223
DB01136,P07550
DB00376,P08173
DB14185,P08912
DB00692,P35368
DB01239,P08912
DB11362,P43119
DB00477,P35367
DB01284,Q01718
DB00424,P11229
DB00333,P35372
DB00370,P08913
DB00800,P18825
DB00408,P08172
DB00805,P11229
DB01142,P08173
DB00813,P35372
DB00986,P20309
DB00960,P07550
DB01186,P28223
DB04843,P20309
DB01200,P08913
DB00825,P41145
DB00734,P28335
DB06262,P18825
DB01365,P07550
DB00035,P47901
DB06800,P35372
DB13985,P30874
DB00654,P43088
DB00332,P11229
DB00363,P21728
DB11181,P08173
DB04846,P18089
DB00387,P20309
DB00555,P30542
DB00408,P35348
DB06594,P28335
DB00726,P21918
DB09209,P35372
DB01186,P28335
DB06711,P08913
DB00715,P28335
DB00728,P08172
DB01149,P08908
DB00590,P35368
DB00007,P30968
DB00925,P08913
DB00696,P28223
DB08815,P08908
DB06148,P21728
DB00268,P18089
DB00540,P18825
DB00543,P11229
DB01200,P35368
DB11235,P08912
DB00768,Q9Y5N1
DB00193,P11229
DB00768,P25021
DB00409,P21917
DB00420,P11229
DB00809,P11229
DB12141,P28221
DB01224,P21917
DB00777,P20309
DB00199,O43193
DB00751,P25021
DB00847,P49146
DB02638,P30518
DB06698,P35367
DB00571,P08908
DB00714,P21917
DB06702,P08173
DB01278,P30988
DB06702,P11229
DB00508,P08172
DB12278,P08912
DB00921,P35372
DB04946,P28223
DB06148,Q9H3N8
DB00424,P08173
DB04846,P13945
DB13345,P35462
DB06230,P41145
DB00397,P08588
DB14185,P35368
DB00543,P08173
DB00246,P08172
DB01239,P34969
DB00872,P30518
DB01239,P08908
DB00248,P28335
DB11156,P11229
DB00458,P08912
DB09048,P25103
DB00770,P43116
DB00555,P21918
DB09076,P08172
DB00248,P34969
DB00422,P08908
DB01186,P21918
DB01403,P18089
DB00340,P11229
DB01403,P21918
DB06196,P30411
DB00964,P35348
DB13345,P18089
