0,1
DB14533,P35367
DB09059,P35346
DB01102,Q9UBS5
DB00424,O14842
DB11348,Q9Y5N1
DB08950,Q9BPV8
DB00929,Q9BPV8
DB04837,P30542
DB11348,P25021
DB06766,P43657
DB14895,P28335
DB00555,O00222
DB00497,O00222
DB11348,P21917
DB00610,P48039
DB00824,Q14330
DB00768,P46663
DB01365,P30968
DB11614,O00222
DB11842,P35372
DB00797,Q99705
DB00142,P41146
DB12278,Q14833
DB00335,Q13255
DB06213,P14416
DB01452,O95665
DB01303,Q6W5P4
DB11186,Q8TDU6
DB04842,Q8TDU6
DB00145,P08173
DB01364,Q14831
DB06274,P28221
DB01029,O00222
DB00457,P51582
DB00935,Q99705
DB14487,Q99527
DB11274,P41231
DB14487,P35348
DB00768,P35368
DB01303,P30968
DB00902,P35462
DB00297,P43115
DB00950,P25105
DB04841,O95665
DB11619,P46663
DB11186,Q99677
DB00902,P08172
DB00295,O95665
DB00699,Q9UBS5
DB14533,Q8NFJ5
DB00714,P41180
DB00915,Q14833
DB11186,P28335
DB11186,Q96G91
DB00457,Q96G91
DB11186,Q9H244
DB00629,P30968
DB00904,P25024
DB00725,O43193
DB01956,Q9Y271
DB00768,P25105
DB00824,Q9H244
DB00392,O00222
DB14481,P20309
DB05381,Q99677
DB00340,P25105
DB11979,P22888
DB00940,Q8TDU6
DB00847,Q01718
DB01065,P30968
DB11951,P33032
DB14487,P21917
DB13952,Q14833
DB00387,Q8TDU6
DB11186,P08173
DB00810,P41180
DB01338,O00222
DB01406,P22888
DB11577,P47898
DB01173,Q13255
DB01338,Q8TDS4
DB00725,Q13255
DB00297,P48039
DB14895,P25100
DB00852,Q86VZ1
DB00388,Q96G91
DB00913,P34969
DB00867,Q99705
DB13345,Q86VZ1
DB01623,O00222
DB00768,Q9BPV8
DB01019,Q9BPV8
DB14533,P28223
DB00669,Q14833
DB14481,P08912
DB01079,P41594
DB00298,Q86VZ1
DB04837,P08173
DB00836,Q13255
DB11855,Q13255
DB05381,P41231
DB00572,P41180
DB00618,P41968
DB00411,Q86VZ1
DB11274,P29274
DB00257,P41146
DB01227,O00222
DB11348,Q15391
