drugbank,uniprot
DB00122,P36544
DB00132,Q8NER1
DB00142,Q16099
DB00142,Q16478
DB00142,O15399
DB00142,Q05586
DB00142,Q12879
DB00142,Q13224
DB00142,Q14957
DB00142,Q8TCU5
DB00142,P39086
DB00142,P42261
DB00142,P42262
DB00142,P42263
DB00142,P48058
DB00142,Q13002
DB00142,Q13003
DB00145,Q12879
DB00145,Q14957
DB00145,O60391
DB00145,P23415
DB00145,P48167
DB00145,O75311
DB00153,Q06432
DB00153,Q9Y698
DB00153,O60359
DB00153,Q9UBN1
DB00153,Q9UF02
DB00153,Q9BXT2
DB00153,P62955
DB00153,Q8WXS5
DB00153,P54289
DB00153,Q7Z3S7
DB00153,Q13936
DB00153,Q01668
DB00153,O60840
DB00153,Q13698
DB00153,Q02641
DB00153,Q08289
DB00153,P54284
DB00153,O00305
DB00153,Q00975
DB00153,O00555
DB00153,Q15878
DB00153,O43497
DB00153,O95180
DB00153,Q9P0X4
DB00159,Q8NER1
DB00176,Q12809
DB00184,P43681
DB00184,P36544
DB00184,P17787
DB00184,Q15822
DB00184,P32297
DB00184,P30532
DB00184,Q15825
DB00184,Q9UGM1
DB00184,Q05901
DB00184,P30926
DB00186,P14867
DB00186,P47869
DB00186,P34903
DB00186,P48169
DB00186,P31644
DB00186,Q16445
DB00186,P18505
DB00186,P47870
DB00186,P28472
DB00186,O14764
DB00186,P78334
DB00186,Q8N1C3
DB00186,P18507
DB00186,Q99928
DB00186,Q9UN88
DB00189,P14867
DB00189,P47869
DB00189,P34903
DB00189,P48169
DB00189,P31644
DB00189,Q16445
DB00189,P18505
DB00189,P47870
DB00189,P28472
DB00189,O14764
DB00189,P78334
DB00189,Q8N1C3
DB00189,P18507
DB00189,Q99928
DB00189,Q9UN88
DB00192,Q14524
DB00193,Q99250
DB00193,Q8NER1
DB00193,Q05586
DB00193,Q12879
DB00193,Q13224
DB00193,Q14957
DB00193,O15399
DB00193,Q8TCU5
DB00193,O60391
DB00199,Q12809
DB00201,P21817
DB00201,Q14643
DB00201,Q14571
DB00201,Q14573
DB00204,Q12809
DB00204,O95069
DB00204,Q14500
DB00217,P48048
DB00222,Q14654
DB00222,P48048
DB00228,P14867
DB00228,P47869
DB00228,P34903
DB00228,P48169
DB00228,P31644
DB00228,Q16445
DB00228,P18505
DB00228,P47870
DB00228,P28472
DB00228,O14764
DB00228,P78334
DB00228,Q8N1C3
DB00228,P18507
DB00228,Q99928
DB00228,Q9UN88
DB00228,Q09470
DB00228,Q16322
DB00228,P16389
DB00228,P22001
DB00228,P22459
DB00228,P22460
DB00228,P17658
DB00228,Q14721
DB00228,Q92953
DB00228,P48547
DB00228,Q96PR1
DB00228,Q14003
DB00228,Q03721
DB00228,Q9NSA2
DB00228,Q9NZV8
DB00228,Q9UK17
DB00228,P15382
DB00228,Q9Y6J6
DB00228,Q9Y6H6
DB00228,Q9UJ90
DB00228,Q9H3M0
DB00228,Q9UIX4
DB00228,Q9UJ96
DB00228,Q8TAE7
DB00228,Q8TDN1
DB00228,O95259
DB00228,Q12809
DB00228,Q9ULD8
DB00228,Q9UQ05
DB00228,Q8NCM2
DB00228,Q9H252
DB00228,Q9NS40
DB00228,Q96L42
DB00228,P51787
DB00228,O43526
DB00228,O43525
DB00228,P56696
DB00228,Q9NR82
DB00228,Q96KK3
DB00228,Q9BQ31
DB00228,Q6PIU1
DB00228,Q8TDN2
DB00228,Q14722
DB00228,Q13303
DB00228,Q05586
DB00228,Q12879
DB00228,Q13224
DB00228,Q14957
DB00228,O15399
DB00228,Q8TCU5
DB00228,O60391
DB00228,Q06432
DB00228,Q9Y698
DB00228,O60359
DB00228,Q9UBN1
DB00228,Q9UF02
DB00228,Q9BXT2
DB00228,P62955
DB00228,Q8WXS5
DB00228,P54289
DB00228,Q7Z3S7
DB00228,Q13936
DB00228,Q01668
DB00228,O60840
DB00228,Q13698
DB00228,Q02641
DB00228,Q08289
DB00228,P54284
DB00228,O00305
DB00228,Q00975
DB00228,O00555
DB00228,Q15878
DB00228,O43497
DB00228,O95180
DB00228,Q9P0X4
DB00228,P23415
DB00230,P54289
DB00231,P14867
DB00231,P47869
DB00231,P34903
DB00231,P48169
DB00231,P31644
DB00231,Q16445
DB00231,P18505
DB00231,P47870
DB00231,P28472
DB00231,O14764
DB00231,P78334
DB00231,Q8N1C3
DB00231,P18507
DB00231,Q99928
DB00231,Q9UN88
DB00237,P14867
DB00237,P47869
DB00237,P34903
DB00237,P48169
DB00237,P31644
DB00237,Q16445
DB00237,P18505
DB00237,P47870
DB00237,P28472
DB00237,O14764
DB00237,P78334
DB00237,Q8N1C3
DB00237,P18507
DB00237,Q99928
DB00237,Q9UN88
DB00237,Q15822
DB00237,P32297
DB00237,P43681
DB00237,P30532
DB00237,Q15825
DB00237,P36544
DB00237,Q9UGM1
DB00237,P17787
DB00237,Q05901
DB00237,P30926
DB00237,P42261
DB00237,P42262
DB00237,P42263
DB00237,P48058
DB00237,P39086
DB00237,Q13002
DB00237,Q13003
DB00237,Q16099
DB00237,Q16478
DB00241,P14867
DB00241,P47869
DB00241,P34903
DB00241,P48169
DB00241,P31644
DB00241,Q16445
DB00241,P43681
DB00241,P36544
DB00241,P42262
DB00241,Q13002
DB00241,P18505
DB00241,P47870
DB00241,P28472
DB00241,O14764
DB00241,P78334
DB00241,Q8N1C3
DB00241,P18507
DB00241,Q99928
DB00241,Q9UN88
DB00243,P35498
DB00243,Q9Y5Y9
DB00243,Q9UI33
DB00243,Q99250
DB00243,Q9NY46
DB00243,P35499
DB00243,Q14524
DB00243,Q01118
DB00243,Q9UQD0
DB00243,Q15858
DB00243,Q07699
DB00243,O60939
DB00243,Q9NY72
DB00243,Q8IWT1
DB00243,Q14500
DB00243,Q9UNX9
DB00243,P63252
DB00243,P48050
DB00243,Q13936
DB00243,Q01668
DB00243,O60840
DB00243,Q13698
DB00243,Q02641
DB00243,Q08289
DB00243,P54284
DB00243,O00305
DB00246,P46098
DB00246,O95264
DB00246,Q8WXA8
DB00246,Q70Z44
DB00246,A5X5Y0
DB00252,Q14524
DB00252,P35498
DB00252,Q07699
DB00252,Q9NY46
DB00252,Q12809
DB00252,Q13936
DB00252,Q01668
DB00252,O60840
DB00252,Q13698
DB00252,Q02641
DB00252,Q08289
DB00252,P54284
DB00252,O00305
DB00252,O00555
DB00252,Q99250
DB00252,Q9UQD0
DB00252,P14867
DB00252,P47869
DB00252,P34903
DB00252,P48169
DB00252,P31644
DB00252,Q16445
DB00252,P18505
DB00252,P47870
DB00252,P28472
DB00252,O14764
DB00252,P78334
DB00252,Q8N1C3
DB00252,P18507
DB00252,Q99928
DB00252,Q9UN88
DB00257,O15554
DB00270,Q13936
DB00270,P54289
DB00270,Q08289
DB00270,O95180
DB00270,Q01668
DB00270,Q13698
DB00273,P14867
DB00273,P35498
DB00273,Q9Y5Y9
DB00273,Q9UI33
DB00273,Q99250
DB00273,Q9NY46
DB00273,P35499
DB00273,Q14524
