drugbank_id,uniprot_id
DB00122,Q16099
DB00132,Q9NS40
DB00142,Q16322
DB00145,Q05901
DB00153,O43525
DB00159,Q14643
DB00184,Q16478
DB00186,P24046
DB00189,P24046
DB00192,Q9UBL9
DB00193,Q14573
DB00204,P62955
DB00222,Q99712
DB00228,O00299
DB00231,P24046
DB00237,P24046
DB00241,P24046
DB00252,P24046
DB00257,Q9UQD0
DB00276,Q8NCM2
DB00292,P24046
DB00297,P21817
DB00306,P24046
DB00308,Q9HBA0
DB00312,P24046
DB00346,Q9UBN1
DB00349,P24046
DB00371,P24046
DB00379,Q16099
DB00402,P24046
DB00404,P24046
DB00411,O00305
DB00414,Q9BXT2
DB00421,P24046
DB00431,Q01118
DB00455,P48549
DB00457,Q99572
DB00475,P24046
DB00527,Q9UNX9
DB00532,P24046
DB00543,P24046
DB00555,P24046
DB00564,P24046
DB00572,P24046
DB00592,P42262
DB00602,Q9BQ31
DB00603,P24046
DB00622,Q14571
DB00628,P24046
DB00645,P63252
DB00659,Q8NER1
DB00674,P48544
DB00675,P24046
DB00683,P24046
DB00690,P24046
DB00740,O95069
DB00750,Q14722
DB00753,P24046
DB00754,P24046
DB00776,Q92736
DB00783,P24046
DB00794,P24046
DB00801,P24046
DB00807,Q9UQ05
DB00818,P24046
DB00825,P48051
DB00829,P24046
DB00839,P78508
DB00842,P24046
DB00845,O60359
DB00848,P23415
DB00849,P24046
DB00868,O00555
DB00874,A5X5Y0
DB00892,P56696
DB00897,P24046
DB00898,P24046
DB00914,P62955
DB00915,Q9NPC2
DB00922,Q14573
DB00961,P21817
DB00981,Q06432
DB00988,P48544
DB01016,Q99712
DB01023,Q14573
DB01026,P24046
DB01028,Q96RP8
DB01043,P78508
DB01056,Q8TDN1
DB01068,P24046
DB01086,Q9H252
DB01090,P48544
DB01107,P24046
DB01110,Q13003
DB01115,P24046
DB01121,P48050
DB01124,Q99712
DB01159,P24046
DB01161,Q14500
DB01162,Q9UQ05
DB01174,P24046
DB01189,P24046
DB01195,O60359
DB01205,O14649
DB01215,P24046
DB01219,Q14571
DB01228,P21817
DB01236,O00299
DB01244,Q14573
DB01251,P62955
DB01273,Q7Z2W7
DB01382,Q9Y698
DB01392,Q8TD43
DB01426,Q13003
DB01437,P24046
DB01438,P21817
DB01440,P24046
DB01544,P24046
DB01558,P24046
DB01559,P24046
DB01587,P24046
DB01588,P24046
DB01589,P24046
DB01593,P24046
DB01595,P24046
DB01708,Q15858
DB01744,P54284
DB01956,Q9NZV8
DB03128,Q13003
DB04838,Q99712
DB04855,Q9UF02
DB04930,Q8NET8
DB05541,O95069
DB06151,Q02641
DB06201,Q92736
DB06217,O60359
DB06716,P24046
DB06751,P35498
DB09061,P24046
DB09085,Q9Y257
DB09086,P24046
