0,1
DB01115,Q9UK17
DB11859,Q16445
DB00280,Q12809
DB00228,P22459
DB09118,Q9UN88
DB00184,P30926
DB00801,P18507
DB00246,Q70Z44
DB04841,O95180
DB00411,Q15822
DB01110,Q9NZV8
DB00874,O15399
DB01437,Q9UN88
DB01069,P48547
DB00228,Q14721
DB00349,P47869
DB00754,Q14524
DB00237,Q99928
DB13269,Q9Y5Y9
DB13345,O95264
DB01068,P48169
DB00555,Q9UN88
DB01043,Q9UN88
DB11859,P47869
DB01069,P16389
DB00568,Q13936
DB13345,Q8WXA8
DB09238,O60840
DB00603,Q99928
DB13872,P47870
DB00252,P54284
DB01708,Q05586
DB09481,Q13224
DB00231,P18505
DB01588,O14764
DB00939,O43525
DB00845,P22001
DB01245,Q15822
DB13872,P48169
DB00794,P47869
DB00334,Q99928
DB01199,P46098
DB01595,P35498
DB00228,P18507
DB00622,P54289
DB00939,O43526
DB01110,Q9ULD8
DB00281,Q14524
DB00243,Q07699
DB01544,P47869
DB00184,Q05901
DB00690,Q9UN88
DB09481,Q8TCU5
DB12537,O14764
DB00825,Q8NET8
DB01558,P47870
DB00555,Q9UI33
DB11901,P47870
DB01544,Q99928
DB01228,Q14524
DB00603,P14867
DB09089,Q9H2S1
DB00371,O14764
DB01159,Q12791
DB01559,Q99928
DB00561,Q9NPC2
DB00776,Q9UI33
DB00273,Q01668
DB01236,P42261
DB00898,P42263
DB00316,Q8NER1
DB09089,O00555
DB01956,O75311
DB01174,P42262
DB00243,Q13698
DB01159,P14867
DB00483,Q15822
DB00418,P14867
DB00228,P54289
DB00555,P35498
DB09089,O15554
DB00313,Q9Y5Y9
DB00281,Q15858
DB01589,Q16445
DB00818,P31644
DB01149,Q12809
DB01054,Q08289
DB00475,P31644
DB00659,P78334
DB09236,P54284
DB00565,Q15822
DB00653,Q02641
DB05541,Q01118
DB01587,Q99928
DB00475,P18505
DB01587,P48169
DB00228,Q9Y6H6
DB00243,P35498
DB00475,P47869
DB11859,P28472
DB00690,P18505
DB00289,Q13224
DB00898,Q9Y698
DB06637,P17658
DB01069,Q9NZV8
DB01588,P28472
DB01119,Q14654
DB11633,P22460
DB00237,P47869
DB00270,P54289
DB00468,O15554
DB01956,P34903
DB00193,Q12879
DB00416,Q15822
DB01588,Q16445
DB04855,Q14500
DB01026,Q12809
DB01118,Q9P0X4
DB00371,P31644
DB04855,P51787
DB00189,P47869
DB00273,Q9UQD0
DB12404,O14764
DB01074,Q12809
DB00628,O14764
DB00818,P18507
DB01588,P47869
DB00371,P14867
DB00308,Q13936
DB01236,P18505
DB00904,P46098
DB00572,P23415
DB01215,Q9UN88
DB00228,Q8TDN1
DB04896,O60391
DB00915,Q8TCU5
DB00898,P34903
DB00228,P28472
DB06144,Q12809
DB00661,O00555
DB01744,Q8NER1
DB04855,Q12809
DB00312,P78334
DB01558,Q9UN88
DB01110,Q9UIX4
DB09085,Q9UQD0
DB00312,Q13224
DB00502,Q13224
DB00252,P18505
DB01236,P18507
