drugbank,uniprot
DB00132,Q07869
DB00132,Q96RI1
DB00132,Q03181
DB00132,P37231
DB00132,P19793
DB00136,P11473
DB00146,P11473
DB00153,P11473
DB00159,P37231
DB00159,Q03181
DB00159,Q07869
DB00163,O75469
DB00169,P11473
DB00180,P04150
DB00197,P37231
DB00197,P62508
DB00197,P11474
DB00197,Q03181
DB00197,Q07869
DB00210,P10826
DB00210,P13631
DB00210,P28702
DB00210,P48443
DB00210,P19793
DB00210,P10276
DB00223,P04150
DB00239,O75469
DB00240,P04150
DB00244,P37231
DB00252,O75469
DB00253,P04150
DB00255,P03372
DB00255,P62508
DB00255,Q92731
DB00255,P11474
DB00255,O95718
DB00255,O75469
DB00255,P10275
DB00257,O75469
DB00279,P10827
DB00279,P10828
DB00288,P04150
DB00294,P06401
DB00304,P06401
DB00304,P03372
DB00307,P19793
DB00307,P28702
DB00307,P48443
DB00312,O75469
DB00313,Q07869
DB00313,Q03181
DB00313,P37231
DB00324,P04150
DB00328,P37231
DB00328,Q07869
DB00351,P06401
DB00351,P04150
DB00366,Q14994
DB00367,P06401
DB00367,P03372
DB00367,P10275
DB00367,P04150
DB00374,Q03181
DB00378,P06401
DB00393,P08235
DB00394,P04150
DB00396,P06401
DB00396,P03372
DB00396,P08235
DB00396,P04150
DB00396,P10275
DB00396,Q92731
DB00412,P37231
DB00412,Q07869
DB00412,Q03181
DB00412,P19793
DB00412,P28702
DB00412,P48443
DB00421,P08235
DB00421,P10275
DB00421,P06401
DB00421,P04150
DB00421,O75469
DB00431,P06401
DB00431,P03372
DB00431,O75469
DB00443,P04150
DB00451,P10827
DB00451,P10828
DB00459,P19793
DB00459,P10276
DB00459,P10826
DB00459,P13631
DB00459,P28702
DB00459,P48443
DB00481,P03372
DB00481,Q92731
DB00499,P10275
DB00499,O75469
DB00503,O75469
DB00509,P10827
DB00509,P10828
DB00523,P10276
DB00523,P19793
DB00523,P10826
DB00523,P28702
DB00523,P13631
DB00523,P48443
DB00530,O75469
DB00531,O75469
DB00532,O75469
DB00539,P03372
DB00547,P04150
DB00564,O75469
DB00573,Q07869
DB00573,P37231
DB00588,P04150
DB00588,P06401
DB00588,P08235
DB00591,P04150
DB00596,P04150
DB00603,P06401
DB00603,P03372
DB00605,Q03181
DB00620,P04150
DB00621,P10275
DB00623,P10275
DB00624,P10275
DB00624,P03372
DB00624,P08235
DB00635,P04150
DB00636,Q07869
DB00648,P03372
DB00648,P06401
DB00648,P10275
DB00655,P03372
DB00655,Q92731
DB00655,P10275
DB00663,P04150
DB00665,P10275
DB00675,P03372
DB00675,Q92731
DB00675,P10275
DB00675,O75469
DB00675,P62508
DB00682,O75469
DB00687,P08235
DB00687,P04150
DB00700,P08235
DB00717,P06401
DB00717,P10275
DB00717,P04150
DB00731,P37231
DB00737,Q14994
DB00741,P04150
DB00749,P19793
DB00754,O75469
DB00755,P28702
DB00755,P48443
DB00755,P13631
DB00755,P10276
DB00755,P10826
DB00755,P19793
DB00756,P03372
DB00769,P04150
DB00783,P03372
DB00783,Q92731
DB00783,O75469
DB00795,P37231
DB00799,P10276
DB00799,P28702
DB00799,P13631
DB00799,P10826
DB00823,P06401
DB00823,P03372
DB00834,P06401
DB00834,P04150
DB00834,O75469
DB00836,Q14994
DB00838,P04150
DB00841,P03372
DB00845,P37231
DB00846,P04150
DB00849,O75469
DB00860,P04150
DB14596,P04150
DB00882,P03372
DB00890,P03372
DB00896,P04150
DB00910,P11473
DB00912,P37231
DB00947,P03372
DB00957,P06401
DB00957,P10275
DB00957,P03372
DB00959,P04150
DB00966,P37231
DB00977,P03372
DB00977,O75469
DB00982,P10276
DB00982,P13631
DB00984,P10275
DB01013,P04150
DB01013,P08235
DB01014,P37231
DB01023,P08235
DB01026,P10275
DB01026,O75469
DB01026,Q14994
DB01039,Q07869
DB01039,O75469
DB01045,O75469
DB01047,P04150
DB01050,P37231
DB01050,Q07869
DB01063,P10275
DB01065,P03372
DB01067,P37231
DB01068,O75469
DB01070,P11473
DB01076,Q14994
DB01108,P03372
DB01108,Q92731
DB01110,O75469
DB01115,O75469
DB01118,P10827
DB01118,P10828
DB01118,P37231
DB01118,Q07869
DB01127,O75469
DB01128,P10275
DB01130,P04150
DB01132,P37231
DB01138,O75469
DB01174,O75469
DB01181,O75469
DB01183,P03372
DB01185,P10275
DB01185,P03372
DB01185,P04150
DB01196,P03372
DB01196,Q92731
DB01220,O75469
DB01222,P04150
DB01229,O75469
DB01234,P04150
DB01234,P51843
DB01234,O75469
DB01241,Q07869
DB01248,O75469
DB01254,Q92570
DB01260,P04150
DB01357,P03372
DB01380,P04150
DB01393,Q07869
DB01393,Q03181
DB01393,P37231
DB01393,O75469
DB01393,P19793
DB01393,P28702
DB01393,P48443
DB01395,P06401
DB01395,P08235
DB01395,P10275
DB01395,P04150
DB01406,P03372
DB01406,P10275
DB01406,P06401
DB01410,P04150
DB01420,P10275
DB01428,P06401
DB01428,P10275
DB01428,P03372
DB01428,Q92731
DB01436,P11473
DB01436,P19793
DB01583,P10827
DB01583,P10828
DB01586,Q96RI1
DB01593,P03372
DB01608,P10275
DB01620,Q14994
DB01708,Q92731
DB01708,P03372
DB01708,P10275
DB01708,Q07869
DB01708,O75469
DB01708,Q14994
DB02266,P10275
DB02266,Q07869
DB02266,P37231
DB02300,P11473
DB02659,P62508
DB02659,Q96RI1
DB02789,O75469
DB03193,Q07869
DB03619,Q96RI1
DB03756,Q07869
DB03756,P37231
DB03756,P19793
DB03756,P28702
DB03756,P48443
