drugbank_id,uniprot_id
DB00132,Q92731
DB00136,P35398
DB00146,P35398
DB00153,P35398
DB00159,Q14541
DB00169,P35398
DB00197,Q14541
DB00223,Q92731
DB00239,P03372
DB00240,Q92731
DB00244,P11473
DB00253,P51843
DB00257,P51843
DB00288,Q92731
DB00312,P51843
DB00313,Q14541
DB00328,Q14541
DB00366,P35398
DB00367,O95718
DB00374,Q96RI1
DB00378,P08235
DB00412,Q14541
DB00431,O95718
DB00499,O95718
DB00509,P10275
DB00539,O95718
DB00573,Q14541
DB00596,Q92731
DB00621,Q14994
DB00623,O95718
DB00636,Q14541
DB00663,Q92731
DB00737,P35398
DB00754,P28702
DB00756,P10275
DB00769,P51843
DB00823,Q14994
DB00836,P35398
DB00838,P51843
DB00841,O95718
DB00845,Q96RI1
DB00846,Q92731
DB00849,Q96RI1
DB00882,O95718
DB00890,O95718
DB00896,Q92731
DB00910,Q14994
DB00912,P11473
DB00947,P62508
DB00984,O95718
DB01014,Q96RI1
DB01026,P35398
DB01039,Q14541
DB01050,Q14541
DB01063,O95718
DB01067,P11473
DB01070,P35398
DB01076,P35398
DB01110,O95718
DB01118,Q14541
DB01127,O95718
DB01130,P51843
DB01183,O95718
DB01185,O95718
DB01196,O95718
DB01220,P51843
DB01241,Q14541
DB01260,P51843
DB01393,Q14541
DB01406,O95718
DB01428,O95718
DB01436,P35398
DB01593,P62508
DB01608,P62508
DB01620,P11473
DB01708,Q14541
DB02266,P03372
DB02300,Q14994
DB02789,P08235
DB03193,P10275
DB03619,P11473
DB03756,Q14541
DB03796,P10827
DB04224,P62508
DB04573,O95718
DB04575,O95718
DB04824,P48443
DB04839,O95718
DB04930,O95718
DB06202,P62508
DB06249,P62508
DB06401,P62508
DB06410,Q14994
DB06412,O95718
DB06710,O95718
DB06713,O95718
DB06718,O95718
DB06777,P51843
DB06780,Q92731
DB06781,P51843
DB08604,P11473
DB08804,O95718
DB08864,O95718
DB08867,Q14994
DB09061,P11473
DB09064,Q14541
DB09070,P62508
DB09086,O95718
DB09091,Q14994
DB09123,O95718
DB09124,Q92731
DB09213,P11473
DB09371,O95718
DB09389,O95718
DB09462,P11474
DB11219,Q07869
DB11619,Q14994
DB11672,P10828
DB13155,P06401
DB13158,Q92731
DB13179,Q03181
DB13873,O95718
DB14001,P06401
DB14002,Q92731
DB14487,P62508
DB14533,O95718
DB14543,Q92731
DB14544,Q92731
DB14583,O95718
DB14596,Q92731
DB14649,P06401
DB15566,P51843
DB15690,P08235
DB14596,O75469
DB00947,O95718
DB03193,P03372
DB01127,P04150
DB14596,P06401
DB14487,P08235
DB03193,P10827
DB03193,P10828
DB00257,P28702
DB08604,P35398
DB00509,P37231
DB00223,P51843
DB01014,P55055
DB02266,Q03181
DB13155,Q07869
DB01014,Q13133
DB06202,Q14994
DB02789,Q92731
DB00163,Q14541
DB00210,P08235
DB00252,P35398
DB00255,P35398
DB00279,P11473
DB00294,O95718
DB00304,P35398
DB00307,P35398
DB00324,Q96RI1
DB00351,O95718
DB00393,O95718
DB00396,P35398
DB00421,P55055
DB00451,Q14541
DB00459,P35398
DB00481,Q14541
DB00503,Q14541
DB00523,Q14541
DB00530,Q14541
DB00531,P35398
DB00532,P35398
DB00547,P10827
DB00564,Q14541
DB00591,Q14994
DB00603,P35398
DB00605,Q14541
DB00624,Q14541
DB00648,P48443
DB00655,Q14541
DB00665,Q14541
DB00675,Q14541
DB00682,P35398
DB00687,Q96RI1
DB00700,O95718
DB00717,Q14541
DB00731,P35398
DB00749,P35398
DB00755,Q14541
DB00783,P35398
DB00795,Q14541
DB00799,Q14541
DB00834,P35398
DB00957,P35398
DB00966,P35398
DB00977,P35398
DB01013,Q96RI1
DB01023,P55055
DB01045,Q14541
DB01047,Q96RI1
DB01065,Q14541
DB01068,Q14541
DB01108,Q96RI1
DB01115,P35398
DB01128,Q14541
DB01132,Q14541
DB01138,Q13133
DB01174,Q14541
DB01181,P35398
DB01229,Q14541
DB01234,Q14541
DB01248,Q14541
DB01357,Q14541
DB01380,Q96RI1
DB01395,P35398
DB01410,Q96RI1
DB01420,P35398
DB01583,Q14541
DB01586,Q14541
DB02659,Q14541
DB04348,P10826
DB04540,P04150
DB04574,Q14541
DB04855,Q14541
DB04938,P35398
DB05990,P51843
DB06789,P10828
DB08899,Q14541
DB09095,Q96RI1
DB11901,Q14541
DB11921,Q96RI1
DB11994,Q14541
DB12941,Q14541
DB13943,Q14541
DB13944,Q14541
DB13946,Q14541
DB13952,P35398
DB13953,Q14541
DB13954,P35398
DB13955,Q14541
DB13956,P35398
DB14512,Q96RI1
DB14539,Q96RI1
DB14540,Q96RI1
DB14541,Q96RI1
DB14542,P11473
DB14669,Q96RI1
DB04348,P10276
DB14544,P10826
DB14544,P13631
DB06780,P19793
DB00210,Q92570
DB00180,P08235
DB00394,Q92731
DB00443,P51843
DB00588,O75469
DB00620,Q92731
DB00635,P03372
DB00741,P03372
DB00860,P03372
DB00959,P03372
DB00982,P19793
DB01222,P51843
DB08906,Q92731
DB13867,O75469
DB14631,P51843
DB01254,P51843
DB00756,P62508
DB06202,P08235
DB08604,O95718
DB00132,P62508
DB11219,O75469
DB01063,P11474
DB00257,P11474
DB14002,P55055
DB11619,O95718
DB00756,P08235
DB15690,Q14994
DB02266,Q96RI1
DB00257,Q03181
DB13155,P11474
DB00845,P11474
DB13155,O95718
DB00663,P51843
DB15690,O95718
DB14583,Q14994
DB00239,Q03181
DB03193,Q92731
DB14649,P11474
DB08604,P10828
DB01620,P35398
DB11219,Q14994
DB04824,P28702
DB08864,P51843
DB01063,Q92731
DB02789,P28702
DB02266,P10827
DB14649,O95718
DB01127,P11474
DB00845,P11473
DB00838,Q92731
DB02266,Q14994
DB13179,P11474
DB02789,P37231
DB00239,P48443
DB00257,P08235
DB14002,P06401
DB14649,P28702
DB02789,P11474
DB00621,O95718
DB06249,Q14994
DB06401,P08235
DB00431,P08235
DB14544,P51843
DB00756,Q07869
DB00366,P11473
DB00257,P48443
DB03193,O75469
DB02789,P48443
DB00239,P28702
DB04824,Q03181
DB00257,P62508
DB01608,P11474
DB00846,P51843
DB02789,P10275
DB02789,P04150
DB08604,P62508
DB02789,P62508
DB00153,P10827
DB01608,Q92731
DB02789,O95718
DB11219,P37231
DB01127,Q03181
DB00239,Q14994
DB00239,Q96RI1
DB14001,P55055
DB01014,P11473
DB00136,Q14994
DB00623,P11474
DB04824,Q96RI1
DB01127,P28702
DB03193,Q14994
DB14001,P11474
DB00896,P51843
DB01127,Q14994
DB06410,P37231
DB00756,O75469
DB03193,Q14541
DB14487,Q14994
DB13155,Q14994
DB02266,Q92731
DB06202,Q07869
DB00240,P51843
DB01063,P62508
DB06401,O95718
DB02266,P62508
DB06249,O75469
DB00288,P51843
DB08604,Q03181
DB06780,P03372
DB00754,P51843
DB06249,P08235
DB00239,P37231
DB06410,P35398
DB02789,P51843
DB01127,Q92731
DB13873,P11473
DB09070,O95718
DB01127,P37231
DB00509,Q07869
DB00239,P11474
DB02789,Q03181
DB02266,O75469
DB00431,P48443
DB01708,P35398
DB00509,Q14994
DB01127,P08235
DB02266,P10828
DB09389,Q14994
DB06249,O95718
DB01127,P03372
DB00153,P10828
DB01260,Q92731
DB00132,Q14541
DB14533,P08235
DB03796,Q14994
DB14533,P62508
DB11672,P62508
DB00756,O95718
DB06202,O95718
DB14001,Q92731
DB00253,Q92731
DB02300,P35398
DB00910,P35398
DB09123,Q14994
DB06202,O75469
DB06202,P37231
DB00823,O95718
DB13155,Q92731
DB04224,Q14541
DB11219,P62508
DB03193,P62508
DB01130,Q92731
DB14543,P51843
DB04824,O95718
DB03796,Q92731
DB03796,P03372
DB14649,Q03181
DB04824,P11473
DB00509,O75469
DB02789,Q07869
DB14002,O95718
DB02789,Q14994
DB00239,P51843
DB14002,P62508
DB03796,P10828
DB13158,P51843
DB03796,P62508
DB14649,P48443
DB08604,P10827
DB06781,Q92731
DB09086,P62508
DB00239,P62508
