0,1
DB04930,P03372
DB11219,P10275
DB00573,Q07869
DB00783,P03372
DB01067,P37231
DB01013,P04150
DB00146,P11473
DB14649,P51843
DB13955,Q92731
DB01420,P10275
DB00655,P10275
DB13944,P10275
DB00412,P48443
DB04824,P03372
DB01050,Q07869
DB00675,O75469
DB00324,P04150
DB09124,P06401
DB00539,P03372
DB14649,O75469
DB00421,P06401
DB00977,O75469
DB00531,O75469
DB00588,P04150
DB00741,P04150
DB00136,P11473
DB00717,P06401
DB01583,P10828
DB00210,P13631
DB04824,Q14994
DB00459,P19793
DB01357,P03372
DB00624,P03372
DB00737,Q14994
DB09070,P03372
DB00180,P04150
DB00210,P28702
DB01050,P37231
DB06718,P10275
DB00799,P10826
DB01593,P03372
DB09371,P03372
DB01026,P10275
DB09123,P10275
DB13952,P62508
DB00957,P10275
DB06401,Q92731
DB00197,P62508
DB01026,Q14994
DB00749,P19793
DB01130,P04150
DB04573,P03372
DB11672,P11473
DB08906,P08235
DB00503,O75469
DB00153,P11473
DB04224,P19793
DB01013,P08235
DB08899,P10275
DB00532,O75469
DB01708,Q07869
DB00459,P48443
DB06410,P11473
DB08906,P06401
DB01108,P03372
DB13953,P62508
DB00799,P13631
DB00255,O75469
DB13873,Q03181
DB11219,P06401
DB01586,Q96RI1
DB11619,P03372
DB01065,P03372
DB01196,Q92731
DB14583,P06401
DB01380,P04150
DB00313,Q03181
DB01395,P10275
DB11219,Q92731
DB13954,P62508
DB00396,Q92731
DB00197,P37231
DB08604,Q14994
DB04224,Q03181
DB01708,Q92731
DB15690,P03372
DB13946,P03372
DB00257,O75469
DB00523,P28702
DB00396,P04150
DB00977,P03372
DB01118,P37231
DB00755,P48443
DB09091,P04150
DB01181,O75469
DB00648,P03372
DB04348,Q96RI1
DB01014,P37231
DB00687,P08235
DB11619,P06401
DB00499,O75469
DB00530,O75469
DB14001,O75469
DB13943,P10275
DB01108,Q92731
DB01229,O75469
DB02266,Q07869
DB00197,P11474
DB00255,P03372
DB00769,P04150
DB01428,P03372
DB00374,Q03181
DB00564,O75469
DB00754,O75469
DB00159,Q07869
DB00846,P04150
DB00210,P10826
DB00845,P37231
DB00132,Q07869
DB01708,Q14994
DB00624,P10275
DB00882,P03372
DB00412,Q03181
DB14540,P04150
DB01047,P04150
DB00663,P04150
DB00620,P04150
DB01395,P08235
DB00431,P03372
DB00313,Q07869
DB09389,P06401
DB14002,O75469
DB00328,P37231
DB01118,Q07869
DB13953,O75469
DB01174,O75469
DB01128,P10275
DB15566,P04150
DB04824,O75469
DB11619,P04150
DB00982,P13631
DB00603,P03372
DB00304,P03372
DB00655,Q92731
DB03756,Q07869
DB00795,P37231
DB13956,Q92731
DB00210,P48443
DB13952,Q92731
DB02300,P11473
DB00351,P06401
DB01708,O75469
DB09061,P37231
DB01234,P51843
DB00648,P10275
