0,1
DB01608,P11474
DB01708,P35398
DB09124,Q92731
DB00351,O95718
DB01357,Q14541
DB00966,P35398
DB00169,P35398
DB14649,Q96RI1
DB14649,P48443
DB00756,P62508
DB14649,P06401
DB11219,P62508
DB03193,P10275
DB00239,P28702
DB01234,Q14541
DB14596,P06401
DB01026,P35398
DB01127,Q92731
DB09091,Q14994
DB03193,Q96RI1
DB03756,Q14541
DB00799,Q14541
DB09070,P62508
DB09389,O95718
DB01014,P55055
DB00159,Q14541
DB03193,P10828
DB01063,P11474
DB00412,Q14541
DB02789,P48443
DB04930,O95718
DB00180,P08235
DB14533,O95718
DB00223,P51843
DB06780,P03372
DB00288,Q92731
DB00431,O95718
DB01229,Q14541
DB04824,Q96RI1
DB00523,Q14541
DB14002,P55055
DB01127,P37231
DB01045,Q14541
DB02789,P51843
DB14002,O95718
DB00717,Q14541
DB11219,P37231
DB00313,Q14541
DB01108,Q96RI1
DB02266,Q03181
DB13944,Q14541
DB06249,Q14994
DB01260,Q92731
DB06249,O75469
DB06777,P51843
DB00197,Q14541
DB02789,P37231
DB00977,P35398
DB01063,P62508
DB09086,O95718
DB00257,Q03181
DB06710,O95718
DB01127,Q03181
DB02266,P62508
DB02659,Q14541
DB00239,P51843
DB00503,Q14541
DB00769,P51843
DB00823,O95718
DB00431,P48443
DB00257,P11474
DB01127,P03372
DB01248,Q14541
DB14539,Q96RI1
DB14001,O95718
DB00443,P51843
DB00947,P62508
DB00982,P19793
DB00509,Q14994
DB13158,P51843
DB01608,P62508
DB00312,P51843
DB00756,O75469
DB02266,Q14994
DB00756,P08235
DB01127,Q07869
DB14543,P51843
DB00836,P35398
DB08804,O95718
DB01593,P62508
DB00795,Q14541
DB09095,Q96RI1
DB00210,P08235
DB00239,P37231
DB13953,Q14541
DB14543,Q92731
DB14002,P06401
DB01013,Q96RI1
DB03193,P10827
DB02266,P10828
DB06718,O95718
DB09064,Q14541
DB00239,O95718
DB13155,Q92731
DB04348,P10826
DB14541,Q96RI1
DB13155,O95718
DB00328,Q14541
DB00623,O95718
DB00324,Q96RI1
DB08604,O95718
DB01196,O95718
DB09123,O95718
DB13155,Q07869
DB00244,P11473
DB00624,Q14541
DB00374,Q96RI1
DB00605,Q14541
DB00132,Q92731
DB00845,P11474
DB14487,P62508
DB00675,Q14541
DB02266,P03372
DB15690,Q07869
DB01181,P35398
DB15566,P51843
DB13873,O95718
DB00959,P03372
DB04575,O95718
DB00912,P11473
DB00239,P11474
DB00239,P08235
DB01039,Q14541
DB11921,Q96RI1
DB02789,Q14994
DB13952,P35398
DB13943,Q14541
DB14002,P11474
DB03193,O75469
DB09389,Q14994
DB00957,P35398
DB13158,Q92731
DB00849,Q96RI1
DB14596,Q92731
DB11219,Q14994
DB00421,P55055
DB00239,P62508
DB00539,O95718
DB02789,Q07869
DB15690,O95718
DB01070,P35398
DB13155,P11474
DB00288,P51843
DB14669,Q96RI1
DB14544,Q92731
DB00132,Q14541
DB06713,O95718
DB11219,O95718
DB00257,P08235
DB00240,Q92731
DB01128,Q14541
DB13155,P06401
DB00756,O95718
DB11672,P62508
DB13873,P11473
DB00823,Q14994
DB00841,O95718
DB01393,Q14541
DB06780,P19793
DB00845,Q96RI1
DB02266,P11473
DB01127,O95718
DB00509,Q07869
DB14649,P28702
DB00846,Q92731
DB00882,O95718
DB00623,P11474
DB02300,Q14994
DB00783,P35398
DB00252,P35398
DB01110,O95718
DB03619,P11473
DB00588,O75469
DB00756,Q14994
DB08864,P11474
DB00239,Q92731
DB06249,P08235
DB01076,P35398
DB01115,P35398
DB01118,Q14541
DB15690,P08235
DB01420,P35398
DB01127,P28702
DB01014,Q96RI1
DB00596,Q92731
DB13179,Q03181
DB01023,P55055
DB04573,O95718
DB01241,Q14541
DB00573,P11473
DB00481,Q14541
DB00636,Q14541
DB06410,P35398
DB12941,Q14541
DB05990,P51843
DB00210,Q92570
DB00396,P35398
DB14001,P55055
DB01127,P04150
DB11619,O95718
DB00547,P10827
DB00153,P10828
DB00860,P03372
DB06202,P08235
DB06410,P37231
DB01406,O95718
DB01708,Q14541
DB06401,O95718
DB01127,P11474
DB00838,Q92731
DB08604,P11473
DB04540,P04150
DB00621,O95718
DB14596,O75469
DB14649,Q03181
DB01127,P08235
DB00239,Q03181
DB14487,P08235
DB00239,Q96RI1
DB01138,Q13133
DB00603,P35398
DB01070,Q14994
DB04224,Q14541
DB01260,P51843
DB01380,Q96RI1
DB00663,P51843
DB03193,P62508
DB13955,Q14541
DB14540,Q96RI1
DB01222,P51843
DB01393,P06401
DB02266,O95718
DB02789,O95718
DB04574,Q14541
DB00754,P51843
DB11619,Q14994
DB14001,P06401
DB11219,O75469
DB14649,P11474
DB00294,O95718
DB11219,Q07869
DB03796,P03372
DB06780,Q92731
DB00846,P51843
DB14583,Q14994
DB01620,P11473
DB09371,O95718
DB13954,P35398
DB00530,Q14541
DB00655,Q14541
DB04348,P10276
DB00687,Q96RI1
DB00253,P51843
DB09462,P11474
DB00741,P03372
DB01063,Q92731
DB01428,O95718
DB00896,P51843
DB00890,O95718
DB01130,Q92731
DB00573,Q14541
DB03796,P62508
DB06249,P62508
DB14542,P11473
DB06412,O95718
DB02789,P04150
DB06202,P10275
DB00665,Q14541
DB09123,Q14994
DB00146,P35398
DB01220,P51843
DB02789,P10275
DB00756,Q07869
DB00257,P62508
DB04855,Q14541
DB00682,P35398
DB04824,P11473
DB13946,Q14541
DB06202,P62508
DB00845,P11473
DB01708,P10828
DB09061,P11473
DB04824,P28702
DB00564,Q14541
DB02789,Q03181
DB01608,Q92731
DB08604,Q03181
DB00451,Q14541
DB01047,Q96RI1
DB06781,P51843
DB00731,P35398
DB14487,Q14994
DB02789,Q92731
DB13956,P35398
DB02789,P62508
DB04824,P35398
DB14002,Q92731
DB00700,O95718
DB06202,Q07869
DB15690,Q14994
DB00754,P28702
DB14512,Q96RI1
DB02789,P08235
DB00367,O95718
DB09070,O95718
DB14583,O95718
DB06249,O95718
DB00756,P10275
DB06410,Q14994
DB01050,Q14541
DB13155,Q14994
DB00153,P35398
DB14002,P62508
DB01183,O95718
DB01608,O95718
