drugbank,uniprot
DB00091,P49069
DB00091,Q96LZ3
DB00114,O94903
DB00119,O15427
DB00119,P36021
DB00119,O15403
DB00119,O60669
DB00119,O15374
DB00119,O95907
DB00119,P53985
DB00120,Q9UHI5
DB00132,P32418
DB00136,P31260
DB00138,Q9UPY5
DB00138,O60931
DB00142,P43003
DB00142,P43004
DB00142,P43005
DB00142,P48664
DB00142,Q9UPY5
DB00142,P48507
DB00143,P35754
DB00143,Q9NS18
DB00148,P48029
DB00151,P48507
DB00157,Q86Y39
DB00157,Q16718
DB00157,Q16795
DB00157,O95299
DB00157,O95182
DB00157,O15239
DB00157,O00483
DB00157,P56556
DB00157,O14561
DB00157,O43678
DB00157,P51970
DB00157,O95167
DB00157,O95169
DB00157,O95298
DB00157,O75438
DB00157,O96000
DB00157,O95168
DB00157,O43676
DB00157,O95178
DB00157,P17568
DB00157,Q9Y6M9
DB00157,O43674
DB00157,O43677
DB00157,O95139
DB00157,P56181
DB00157,Q9UI09
DB00157,O43920
DB00157,O43181
DB00157,Q9P0J0
DB00157,O75380
DB00158,P14207
DB00158,P15328
DB00159,P32418
DB00162,P05090
DB00166,Q9Y234
DB00166,Q9Y289
DB00170,P07225
DB00170,P02818
DB00176,P31645
DB00182,Q05940
DB00182,Q01959
DB00182,Q16568
DB00182,P23975
DB00182,P31645
DB00191,P23975
DB00191,P31645
DB00191,Q01959
DB00191,P01303
DB00193,P23975
DB00193,P31645
DB00197,P05121
DB00197,Q99808
DB00200,P20061
DB00200,Q9BXJ7
DB00200,O60494
DB00203,P18545
DB00203,Q13956
DB00206,Q05940
DB00206,P54219
DB00206,O15392
DB00210,P05412
DB00210,O60603
DB00214,Q13621
DB00214,P55011
DB00215,P31645
DB00222,Q09428
DB00226,P23975
DB00227,P20701
DB00234,P23975
DB00245,Q01959
DB00245,P31645
DB00245,P23975
DB00255,Q15596
DB00276,P02763
DB00276,P02768
DB00277,Q15155
DB00279,P12004
DB00281,P02763
DB00285,P31645
DB00285,P23975
DB00285,Q01959
DB00288,P04083
DB00289,P23975
DB00289,P31645
DB00295,Q9Y6Y9
DB00309,Q9H4B7
DB00310,Q13621
DB00321,P23975
DB00321,P31645
DB00321,Q99720
DB00331,Q9Y478
DB00338,P35869
DB00344,P23975
DB00344,P31645
DB00361,P07437
DB00363,Q9NYX4
DB00364,P09038
DB00364,P01133
DB00364,P02671
DB00364,P02675
DB00364,P02679
DB00368,Q05940
DB00368,P54219
DB00379,P35869
DB00393,P35869
DB00396,P02763
DB00400,Q99456
DB00408,P31645
DB00408,P23975
DB00408,Q01959
DB00409,Q99720
DB00415,Q16348
DB00422,Q01959
DB00422,P23975
DB00428,P11168
DB00435,P04731
DB00436,P55017
DB00446,P08174
DB00448,P10636
DB00451,P06756
DB00451,P05106
DB00454,Q01959
DB00454,P23975
DB00454,P31645
DB00458,P23975
DB00458,P31645
DB00458,Q01959
DB00459,P09455
DB00464,P07225
DB00468,P14770
DB00472,P31645
DB00472,P61024
DB00476,P31645
DB00476,P23975
DB00476,Q01959
DB00477,P0DP23
DB00477,P02763
DB00480,Q96SW2
DB00480,O14788
DB00480,P33151
DB00481,P50453
DB00481,P04155
DB00493,Q4U2R8
DB00493,Q8TCC7
DB00493,Q9NSA0
DB00493,Q9Y694
DB00493,P02768
DB00493,Q16348
DB00499,P35869
DB00502,Q05940
DB00502,Q99720
DB00514,Q99720
DB00514,P31645
DB00514,O00264
DB00514,P13498
DB00514,P14598
DB00514,P19878
DB00514,Q15080
DB00514,P63000
DB00514,P15153
DB00514,P23975
DB00518,Q71U36
DB00518,P68371
DB00523,P17936
DB00524,P55017
DB00527,P0DP23
DB00533,P15502
DB00536,P78352
DB00540,P23975
DB00540,P31645
DB00540,O00264
DB00540,Q99720
DB00541,P07437
DB00541,P68366
DB00543,P23975
DB00543,P31645
DB00543,Q01959
DB00545,P02768
DB00562,P55017
DB00569,P01008
DB00570,Q71U36
DB00570,P07437
DB00570,Q9UJT1
DB00570,P23258
DB00570,Q9UJT0
DB00570,P05412
DB00574,P31645
DB00574,Q99720
DB00579,P23975
DB00579,Q01959
DB00579,P31645
DB00579,Q05940
DB00583,Q9H015
DB00583,O76082
DB00583,Q8N8R3
DB00583,O43772
DB00591,P04083
DB00591,P07355
DB00591,P12429
