0,1
DB00143,P04004
DB00721,Q07820
DB01159,P02538
DB00843,P16070
DB00468,O95169
DB00458,P80511
DB01169,P04279
DB09517,P05121
DB14490,P04279
DB00756,Q92753
DB00852,Q15080
DB11186,Q9UPY5
DB14975,P02652
DB00831,P08865
DB00255,P78559
DB00396,P08700
DB11641,P13645
DB13955,O43678
DB00999,O95299
DB04832,P16435
DB00852,Q9NR96
DB00162,P48723
DB00677,Q14624
DB01023,P35556
DB00142,P29622
DB01296,P18846
DB11641,P05090
DB00143,O95178
DB00768,P05109
DB00400,P35908
DB01017,Q8NEY4
DB00545,Q9NSA0
DB00151,Q14624
DB00091,P51884
DB01065,P56556
DB00197,P37840
DB09149,Q07955
DB11186,Q9Y6L6
DB00393,P30536
DB14975,P63261
DB00755,Q9P0J0
DB00142,P14598
DB00142,P11142
DB09536,P31639
DB00907,P20674
DB06700,P05546
DB11644,Q15428
DB00877,P02679
DB14975,P05155
DB01136,Q03403
DB03147,P02818
DB00170,O15304
DB01138,Q96RD7
DB00713,Q7Z460
DB11348,P01579
DB05381,P23297
DB03756,O43617
DB00775,P49281
DB00157,Q9UPY5
DB09195,Q9Y2D1
DB01161,P18850
DB00415,Q13188
DB11186,P35869
DB00138,P43005
DB00159,Q9UNQ0
DB00170,P61421
DB01325,P54710
DB01017,Q7Z460
DB14533,Q01959
DB06152,P14598
DB00545,P98066
DB03756,O15440
DB00924,P16220
DB06154,Q9UP52
DB00945,P04279
DB14481,Q92753
DB14487,Q15428
DB00119,P00739
DB01593,O95182
DB11590,O60494
DB00622,O75838
DB01065,O95182
DB00132,P12104
DB11718,O43741
DB00988,P02652
DB13954,P07360
DB03147,P36956
DB00120,P54219
DB03754,P15924
DB00142,P60842
DB01017,P21281
DB14481,P02533
DB00210,P43487
DB09148,Q07955
DB01161,P17544
DB09130,P49069
DB01164,P08700
DB13995,P04264
DB14543,O75438
DB00481,P46939
DB00119,P02749
DB00945,P51693
DB00648,P16220
DB00119,P09525
DB11644,Q06323
DB00541,P06727
DB01198,P08758
DB14542,O95167
DB15617,P25713
DB13954,P00738
DB06151,O60931
DB11672,P31151
DB08818,P45973
DB00120,O94903
DB03754,P48723
DB00170,Q14624
DB01708,Q9H4B7
DB00746,P29622
DB01159,P07360
DB01212,P36956
DB00114,Q9UHI5
DB09517,P02786
DB09185,P18846
DB01133,P01584
DB00843,Q5JVS0
DB00591,P43652
DB13995,P01308
DB09116,P17568
DB00536,P17568
DB01179,P01031
DB00768,P23975
DB11644,P08697
DB00132,P19835
DB00143,Q07955
DB01189,P15880
DB00591,P08603
DB01370,P23528
DB13751,P54619
DB00142,O00264
DB00831,O75880
DB13615,P16220
DB01017,Q8NI60
DB01183,Q9HC29
DB00626,P06727
DB01592,Q8N907
DB00759,P30531
DB01592,P49411
DB00091,Q15428
DB09148,P12814
DB09517,P48723
DB00805,Q16795
DB00880,P43005
DB08814,P04083
DB00524,P55011
DB11359,Q4U2R8
DB00166,O14980
DB01599,O95342
DB00527,Q75N90
DB01579,Q15596
DB11995,Q4U2R8
DB11942,Q92911
DB11157,P01106
DB00364,P13647
DB00843,P18848
DB12010,P13639
DB00170,P05090
DB00945,O75438
DB13995,P20851
DB13954,O75438
DB00396,P0C0L5
DB01394,P23528
DB00162,Q9UI09
DB13952,P02538
DB01189,P29622
DB09517,P14625
DB01370,P51884
DB11093,P80511
DB01275,O43677
DB13956,P51693
DB00502,P48664
DB09130,Q96LZ3
DB14488,O15350
DB00226,P19878
DB01159,P11142
DB00523,P49788
DB13952,P01042
DB14533,O43920
DB01593,P31415
DB14541,P56556
DB01048,P08174
DB00114,P68871
DB09140,P51161
DB14481,P01375
DB00623,P35556
DB00448,P29034
DB13952,P01009
DB09130,P51692
DB01254,P15880
DB00277,O15304
DB00435,O14618
DB00157,P35527
DB00166,P04156
DB14491,P08779
DB11348,Q9NYX4
DB04825,Q96D53
DB11942,P01350
DB00157,P15924
DB06757,P36955
DB01708,O00264
DB09195,P17544
DB00159,P09466
DB06684,Q06481
DB00836,P06703
DB13967,Q00653
DB06077,P35222
DB14975,P02747
DB01592,O14618
DB00157,Q9UHF0
DB00206,Q16795
DB01364,Q15080
DB08818,P51858
DB06077,P48664
DB06292,Q13509
DB00210,Q71U36
DB09038,P68133
DB09092,P05546
