0,1
DB11093,P27824
DB09130,P63244
DB11560,Q96S37
DB01133,P36543
DB03255,P02768
DB00166,Q9Y289
DB00464,P07225
DB11093,Q99584
DB13952,Q14457
DB09130,P10909
DB01593,P04217
DB00668,P01375
DB14487,P04264
DB14481,P09486
DB01592,Q9NZD4
DB00157,P56181
DB14533,P29034
DB00843,Q00653
DB04845,Q13509
DB00543,P23975
DB01593,P13645
DB01275,Q16665
DB14487,P29034
DB00396,P02763
DB14489,P69905
DB01133,Q15904
DB11995,Q9UNQ0
DB00865,Q05940
DB01023,P02585
DB00157,Q9UI09
DB09130,P56537
DB01593,P35908
DB14487,P00739
DB09130,P01009
DB00409,Q99720
DB00157,Q16718
DB09130,P08603
DB02659,P00414
DB03088,P15692
DB14533,O14791
DB01593,P31151
DB01133,Q93050
DB09130,P05090
DB14631,P04083
DB01136,Q16665
DB06757,Q15750
DB14517,P02787
DB00344,P23975
DB11093,P30626
DB01593,O15304
DB00999,P55017
DB00831,Q9NYX4
DB06148,P23975
DB04821,P23975
DB08910,P01375
DB00570,P07437
DB00836,P0DP23
DB00281,P02763
DB09130,P05155
DB09130,P08185
DB14487,P29622
DB01593,O15350
DB01229,P27816
DB00138,Q9UPY5
DB09130,P29034
DB09130,P31942
DB00493,Q9NSA0
DB01593,P01024
DB01593,P08700
DB06701,P23975
DB01593,P68104
DB00831,P26447
DB00364,P09038
DB01593,Q06481
DB11348,Q9UBV8
DB11348,P27824
DB00745,Q01959
DB00898,P32004
DB00514,Q15080
DB00852,P23975
DB00203,P18545
DB14487,P04217
DB01105,P23975
DB00843,P19838
DB14487,P05109
DB14533,P01024
DB09130,P15880
DB00119,O95907
DB13953,Q14457
DB11348,Q02818
DB13954,Q15596
DB09130,P68871
DB01248,P11137
DB09401,Q07817
DB11823,P23560
DB01296,P01375
DB00459,P09455
DB01017,P01584
DB14533,P05109
DB09462,P09466
DB00119,O15374
DB01327,P40933
DB00210,O60603
DB14533,P01023
DB00695,Q13621
DB01032,Q8TCC7
DB06151,Q9UPY5
DB00761,Q9UHW9
DB01169,P05412
DB00898,Q14542
DB00852,P01375
DB00713,Q16348
DB11348,P35556
DB00852,P60568
DB00524,P55017
DB00142,P48507
DB01593,P14923
DB00245,P23975
DB00458,P31645
DB06154,P69905
DB01593,P02787
DB00988,Q05940
DB00615,P14625
DB00448,P10636
DB01593,P02649
DB14491,P02787
DB14487,O75636
DB00594,P19634
DB01133,O75348
DB14481,P27797
DB01151,P31645
DB09130,P35527
DB01136,P19320
DB00142,P43003
DB11093,Q75N90
DB00197,Q99808
DB01151,P23975
DB01370,P02787
DB00774,Q13621
DB00309,Q9H4B7
DB00721,Q01959
DB01593,P20851
DB00476,Q01959
DB09130,P51884
DB11359,P02768
DB14533,P01011
DB14481,P28676
DB14487,P01031
DB01114,P31645
DB14487,P06702
DB00288,P04083
DB04832,P31645
DB01016,Q09428
DB09130,P10997
DB00686,P09038
DB14533,P01042
DB00887,Q13621
DB00191,P31645
DB09130,P12814
DB01593,Q0VD83
DB12010,P57078
DB08908,Q04206
DB01124,Q09428
DB01136,P15692
DB00720,P05141
DB14533,P20851
DB00852,P18847
DB13954,P00846
DB00731,Q09428
DB14487,P01024
DB11093,P28676
DB12532,P01350
DB13257,P02786
DB09130,P02647
DB00652,Q99720
DB01327,P60568
DB09130,P35908
DB06292,P31639
DB14491,P02786
DB00182,Q16568
DB01593,O75636
DB14487,Q06481
DB00157,O95299
DB01104,Q99720
DB01324,P55017
DB00907,Q99720
DB14487,P31151
DB01211,Q9Y6L6
DB13953,P00846
DB14533,P02766
DB01577,P54219
DB00606,Q6FHJ7
DB08910,Q96SW2
DB00203,Q13956
DB03088,P80075
DB14488,P69905
DB01325,P55017
DB09140,Q9Y5S8
DB11157,Q9UQF2
DB00795,Q9UPY5
DB11093,O14958
DB15617,Q9UP52
DB12010,P54619
DB01593,P13647
DB01593,P81605
DB14754,Q01959
DB01133,Q9Y5K8
DB01229,P10636
DB09130,P01024
DB00622,P0DP23
DB00142,Q9UPY5
DB06756,P10415
DB00321,P23975
DB08818,P98066
DB09130,P14625
DB14489,P02786
DB11718,P24385
DB14487,P06396
DB02659,P09669
DB00493,P02768
DB14487,P04637
DB00570,Q9UJT1
DB14533,Q02383
DB01593,P02746
DB11348,Q9ULB1
DB01032,Q4U2R8
DB14487,P49908
DB11348,Q99653
DB00422,P23975
DB00724,Q9NR97
DB00191,P23975
DB01593,O14791
DB01593,P05546
DB00468,P14770
DB13956,P00846
DB00656,P31645
DB00428,P11168
DB09130,P05546
DB11348,P28676
DB14487,P08779
DB00157,Q86Y39
DB04840,P23975
DB01593,P01019
DB13751,Q00653
DB14669,P04083
DB01325,Q13621
DB00543,Q01959
DB13751,P19838
DB01251,Q09428
DB14487,P10909
DB09130,Q06323
DB00945,Q9UGJ0
DB06774,Q99623
DB00422,Q01959
DB11348,P13693
DB00157,O43678
DB13956,Q14457
DB00226,P23975
DB14533,P35858
DB01234,P04083
DB01098,P20701
DB02659,P00403
DB09130,P05067
DB06077,P31645
DB01100,P0DP23
DB14487,P06727
DB00255,Q15596
DB00768,P23297
DB14481,P13693
DB00898,P19320
DB14517,P05067
DB00436,P55017
DB09130,Q07955
DB01169,P24385
DB00648,P10109
DB11093,P06703
DB01097,P35869
DB01242,P23975
DB01254,P11142
DB00206,Q05940
DB01064,P27986
DB01017,P99999
DB09130,P05121
DB11093,P04271
DB14487,P02533
DB09517,P69905
DB01022,P02818
DB14481,Q99584
DB00493,Q9Y694
DB01593,P01023
DB14489,Q9NZD4
DB01162,P01137
DB00200,P20061
DB03147,P16435
DB09130,P05109
DB11093,P31415
DB14487,P68871
DB00945,P24385
DB00182,Q01959
DB00924,P31645
DB14481,O14958
DB14491,Q9NZD4
DB00775,P08514
DB06782,P05067
DB09130,P26447
DB00091,Q96LZ3
DB11348,P62166
DB00214,Q13621
DB04272,Q9HB21
DB01212,Q8TCC7
DB01025,Q99584
DB04348,P51161
DB02659,P10606
DB00959,P04083
DB01064,Q92569
DB14487,P0C0L5
DB00852,Q01959
DB00862,Q13956
DB00570,P23258
DB09213,P12104
DB14533,P02649
DB01593,P10909
DB01325,P55011
DB14487,O14618
DB09112,P68871
DB00852,O95644
DB09130,P08758
DB00839,Q09428
DB00768,P04271
DB13956,Q15596
DB00361,P07437
DB00454,P23975
DB14544,P04083
DB00277,Q15155
DB14649,P04083
DB09068,P31645
DB00493,Q8TCC7
DB01593,P02671
DB08818,P05362
DB00200,O60494
DB00945,P25963
DB00852,P31645
DB04540,Q9ULY5
DB14487,P02647
DB00159,P32418
DB00338,P35869
DB00686,P05230
DB06204,P23975
DB00222,Q09428
DB09130,P11142
DB08814,P19838
DB00514,P31645
DB09401,P10415
DB00458,Q01959
DB01593,P02747
DB14490,P02786
DB09130,P61769
DB01114,Q01959
DB09225,P31645
DB14487,P13647
DB01159,P59768
DB14533,P08700
DB09130,P37840
DB00143,Q9NS18
DB00289,P31645
DB14533,P35527
DB09130,P45973
DB03796,P09466
DB00331,Q9Y478
DB01133,Q8NEY4
DB00907,P31645
DB00591,P07355
DB02925,Q13621
DB00408,Q01959
DB14487,P02671
DB14487,O75340
DB01136,O95298
DB00182,Q05940
DB01178,P30536
DB01407,P01138
DB14533,P02751
DB06589,P05230
DB09213,P31151
DB00142,P48664
DB00761,Q13621
DB01104,O00264
DB09130,P15814
DB14487,P22792
DB00523,P17936
DB00993,P63000
DB00937,Q01959
DB11093,P35556
DB13995,P02792
DB11827,P31639
DB14487,P07357
DB09130,P04003
DB05260,P02818
DB00591,P12429
DB02659,P24310
DB04272,P62312
DB00783,P00846
DB01016,O95342
DB00157,O43674
DB05382,Q92911
DB01593,P01308
DB13995,P69905
DB00945,P54619
DB14533,P08185
DB11348,P04271
DB14487,P51693
DB11093,P13693
DB00458,P23975
DB09130,Q15428
DB08818,Q8WWQ8
DB08818,Q07021
DB00364,P01133
DB01593,P04003
DB14481,O75340
DB13967,P02768
DB04821,Q01959
DB01593,Q8N907
DB00408,P31645
DB00206,P54219
DB00726,Q01959
DB01577,Q01959
DB09130,P35858
DB00643,P68371
DB09130,P51693
DB14487,P02766
DB00344,P31645
DB14533,P04637
DB09130,P05543
DB01708,Q99720
DB11348,P30626
DB01229,P10415
DB01104,P23975
DB01577,Q05940
DB13615,Q9HC29
DB00157,O95168
DB00193,P31645
DB09130,P04264
DB09213,P07204
DB00569,P01008
DB09130,P01019
DB00518,P68371
DB00768,Q99584
DB09130,P02656
DB11348,O14958
DB06412,P16860
DB09148,P05067
DB01175,Q01959
DB00191,P01303
DB01133,P27449
DB11348,P09486
DB01196,P78559
DB01248,P10415
DB01576,Q01959
DB00579,P23975
DB00945,Q9Y478
DB00285,Q01959
DB00790,Q6FHJ7
DB01576,P23975
DB01120,P15692
DB01023,P0DP23
DB09220,O60706
DB00865,Q01959
DB01041,P19838
DB00142,P43004
DB09130,P02765
DB14533,P51693
DB00157,O95178
DB11641,P07437
DB00608,P09429
DB00157,O75438
DB01593,Q14624
DB01593,P15924
DB01133,P21281
DB00956,Q99720
DB11348,Q96L12
DB14533,P00738
DB00136,P31260
DB00715,P23975
DB11644,P02766
DB01173,P23975
DB11611,P20701
DB11093,Q02818
DB00880,P55017
DB14533,P0C0L5
DB00472,P31645
DB14539,P04083
DB01142,P23975
DB00158,P14207
DB01133,Q9HBG4
DB14487,O15304
DB01069,P0DP23
DB02659,P20674
DB12010,O43741
DB00570,Q9UJT0
DB00215,P31645
DB00476,P23975
DB00158,P15328
DB00132,P32418
DB00157,O95139
DB01611,Q9NYK1
DB01198,P30536
DB11672,O15440
DB01076,P35869
DB01576,Q05940
DB00925,P0DP23
DB09130,Q07021
DB00379,P35869
DB09462,P84077
DB11093,P62166
DB01254,P51692
DB11157,P35908
DB11967,P01584
DB01593,P04264
DB14487,P01011
DB01189,P30049
DB08860,P20701
DB01120,Q09428
DB14487,O15350
DB00877,P09038
DB01065,P27797
DB00541,P68366
DB01179,P07437
DB01593,P35858
DB01136,P16860
DB01023,P63316
DB00170,P07225
DB14481,P30626
DB01599,O95477
DB13953,Q15596
DB14520,P02786
