drugbank,disease_mesh
DB13501,MESH:D006529
DB11134,MESH:D007249
DB11730,MESH:D009503
DB12001,MESH:D005221
DB12001,MESH:D003967
DB12455,MESH:D013207
DB12455,MESH:D013203
DB12455,MESH:D001733
DB12455,MESH:D017714
DB12455,MESH:D010326
DB09330,MESH:D015431
DB14761,MESH:D064420
DB09293,MESH:D011833
DB09293,MESH:D013364
DB09293,MESH:D012793
DB13444,MESH:D007674
DB13444,MESH:D058186
DB00360,MESH:D002318
DB00360,MESH:D001927
DB00360,MESH:D064420
DB06753,MESH:D005076
DB06753,MESH:D004401
DB06753,MESH:D003873
DB06753,MESH:D003967
DB06753,MESH:D009069
DB06753,MESH:D014549
DB06753,MESH:D053608
DB06753,MESH:D005334
DB06753,MESH:D003680
DB06753,MESH:D015835
DB06753,MESH:D009127
DB06753,MESH:D005242
DB11148,MESH:D001100
DB01161,MESH:D001919
DB01161,MESH:D010243
DB01161,MESH:D012131
DB01161,MESH:D001416
DB01161,MESH:D016584
DB01161,MESH:D009120
DB01161,MESH:D004487
DB01161,MESH:D014581
DB01161,MESH:D020258
DB01161,MESH:D013035
DB01161,MESH:D010246
DB01161,MESH:D007022
DB01161,MESH:D009422
DB01161,MESH:D012640
DB01161,MESH:D013118
DB01161,MESH:D004830
DB01161,MESH:D006987
DB01161,MESH:D002493
DB00606,MESH:D012640
DB00606,MESH:D007008
DB13944,MESH:D020181
DB13944,MESH:D001281
DB13944,MESH:D011086
DB13944,MESH:D002561
DB13944,MESH:D011470
DB13944,MESH:D004487
DB13944,MESH:D015430
DB13944,MESH:D018248
DB13944,MESH:D009845
DB00748,MESH:D010554
DB00748,MESH:D014839
DB00748,MESH:D053609
DB00748,MESH:D014202
DB01111,MESH:D018908
DB01111,MESH:D001259
DB01111,MESH:D010292
DB01111,MESH:D058186
DB00924,MESH:D006212
DB00924,MESH:D011618
DB00924,MESH:D009459
DB00924,MESH:D009207
DB00924,MESH:D016171
DB00924,MESH:D003693
DB00924,MESH:D001714
DB00924,MESH:D013575
DB00924,MESH:D010259
DB00924,MESH:D008133
DB00924,MESH:D009759
DB00924,MESH:D014103
DB00340,MESH:D014987
DB00340,MESH:D008064
DB00340,MESH:D016464
DB01428,MESH:D015431
DB01428,MESH:D001724
DB01428,MESH:D011297
DB00892,MESH:D001919
DB00892,MESH:D001049
DB00892,MESH:D000707
DB00892,MESH:D012640
DB00892,MESH:D007634
DB06751,MESH:D017118
DB01062,MESH:D002375
DB01062,MESH:D001766
DB01062,MESH:D003693
DB01062,MESH:D011605
DB01062,MESH:D020521
DB01062,MESH:D003072
DB01062,MESH:D064420
DB01062,MESH:D008569
DB01062,MESH:D012640
DB01062,MESH:D006212
DB01062,MESH:D013610
DB01062,MESH:D007022
DB01062,MESH:D006973
DB04822,MESH:D008064
DB04822,MESH:D016464
DB11496,MESH:D006967
DB11496,MESH:D003877
DB11496,MESH:D009361
DB11496,MESH:D017449
DB00807,MESH:D012640
DB00807,MESH:D007634
DB00807,MESH:D001049
DB00617,MESH:D009404
DB00617,MESH:D000014
DB11256,MESH:D001321
DB14075,MESH:D017449
DB14075,MESH:D003876
DB14177,MESH:D011041
DB14177,MESH:D000014
DB00600,MESH:D017496
DB15477,MESH:D006965
DB00676,MESH:D017449
DB00676,MESH:D003877
DB12401,MESH:D012893
DB12401,MESH:D020246
DB12401,MESH:D004421
DB12401,MESH:D008064
DB12401,MESH:D000860
DB12401,MESH:D014202
DB12401,MESH:D005334
DB12401,MESH:D017109
DB12401,MESH:D016464
DB12401,MESH:D001480
DB12401,MESH:D011605
DB12401,MESH:D010302
DB12401,MESH:D004417
DB13960,MESH:D003877
DB13960,MESH:D017449
DB13960,MESH:D003876
DB14545,MESH:D004342
DB01495,MESH:D004401
DB01495,MESH:D005076
DB01495,MESH:D015835
DB01495,MESH:D003873
DB01495,MESH:D003967
DB01495,MESH:D003680
DB01495,MESH:D005334
DB01495,MESH:D000707
DB01495,MESH:D053608
DB01495,MESH:D004342
DB01495,MESH:D005242
DB01495,MESH:D009127
DB01495,MESH:D009069
DB01495,MESH:D014549
DB11594,MESH:D005131
DB13954,MESH:D000855
DB13954,MESH:D053609
DB13954,MESH:D000741
DB00180,MESH:D005767
DB14183,MESH:D003877
DB14183,MESH:D017449
DB14183,MESH:D006967
DB14183,MESH:D003643
DB14183,MESH:D019457
DB14540,MESH:D003877
DB14540,MESH:D017449
DB01436,MESH:D058186
DB01436,MESH:D006934
DB01436,MESH:D015431
DB01436,MESH:D054559
DB01436,MESH:D012279
DB01436,MESH:D000471
DB01436,MESH:D009397
DB13966,MESH:D017449
DB09383,MESH:D001862
DB13882,MESH:D005483
DB13882,MESH:D014581
DB13882,MESH:D004890
DB13882,MESH:D012559
DB00984,MESH:D018248
DB00984,MESH:D014717
DB00984,MESH:D009759
DB09209,MESH:D004342
DB09418,MESH:D013959
DB09418,MESH:D013964
DB09418,MESH:D006980
DB09418,MESH:D015431
DB14015,MESH:D004802
DB14015,MESH:D009205
DB14015,MESH:D004831
DB14015,MESH:D010243
DB14015,MESH:D004830
DB14015,MESH:D004342
DB09536,MESH:D003924
DB09536,MESH:D007248
DB09536,MESH:D018149
DB09536,MESH:D012871
DB09536,MESH:D043171
DB09536,MESH:D011014
DB09536,MESH:D012130
DB09536,MESH:D000075322
DB09536,MESH:D009336
DB09536,MESH:D005355
DB09536,MESH:D010049
DB09536,MESH:D049188
DB09536,MESH:D007964
DB09536,MESH:D006943
DB09536,MESH:D009069
DB09536,MESH:D006967
DB09536,MESH:D018476
DB09536,MESH:D006335
DB09536,MESH:D053842
DB09536,MESH:D011658
DB09536,MESH:D008107
DB09536,MESH:D011297
DB09536,MESH:D009845
DB09536,MESH:D011654
DB09536,MESH:D016535
DB09536,MESH:D000013
DB09536,MESH:D005313
DB09536,MESH:D048629
DB09536,MESH:D001791
DB09536,MESH:D007247
DB09536,MESH:D013158
DB09536,MESH:D015431
DB09536,MESH:D001835
DB09536,MESH:D056486
DB09536,MESH:D002471
DB09536,MESH:D001145
DB09536,MESH:D001068
DB09536,MESH:D007249
DB09536,MESH:D014202
DB09536,MESH:D055370
DB09536,MESH:D002429
DB09536,MESH:D008171
DB09536,MESH:D013952
DB09536,MESH:D013927
DB09536,MESH:D008103
DB09536,MESH:D007674
DB09536,MESH:D053609
DB11155,MESH:D000015
DB11155,MESH:D010490
DB11155,MESH:D020964
DB11155,MESH:D000013
DB13747,MESH:D003876
DB06694,MESH:D002375
DB15566,MESH:D009765
DB15566,MESH:D000052
DB15566,MESH:D003480
DB15566,MESH:D017449
DB15566,MESH:D006130
DB15566,MESH:D006201
DB15566,MESH:D009798
DB15566,MESH:D002386
DB01108,MESH:D052776
DB11989,MESH:D056486
DB00801,MESH:D001259
DB13813,MESH:D003875
DB13813,MESH:D014581
DB08981,MESH:D012640
DB08981,MESH:D000741
DB01616,MESH:D007565
DB01616,MESH:D056486
DB01616,MESH:D002779
DB01616,MESH:D064420
DB01251,MESH:D041781
DB00660,MESH:D006212
DB14197,MESH:D017449
DB01602,MESH:D005076
DB01602,MESH:D014581
DB01602,MESH:D003875
DB04812,MESH:D014839
DB04812,MESH:D006461
DB04812,MESH:D012871
DB04812,MESH:D014657
DB04812,MESH:D010437
DB04812,MESH:D004487
DB04812,MESH:D006529
DB04812,MESH:D011537
DB04812,MESH:D009325
DB04812,MESH:D000550
DB04812,MESH:D005767
DB04812,MESH:D008105
DB04812,MESH:D003967
DB04812,MESH:D007565
DB04812,MESH:D010787
DB04812,MESH:D054039
DB04812,MESH:D056486
DB00486,MESH:D014717
DB00486,MESH:D006212
DB09472,MESH:D017453
DB13628,MESH:D007247
DB04743,MESH:D056486
DB04743,MESH:D006529
DB04743,MESH:D013276
DB04743,MESH:D014581
DB04743,MESH:D017114
DB04743,MESH:D014786
DB04743,MESH:D003967
DB04743,MESH:C536875
DB04743,MESH:D004417
DB04743,MESH:D003231
DB04743,MESH:D004342
DB04743,MESH:D009410
DB04743,MESH:D011273
DB04743,MESH:D017496
DB04743,MESH:D013927
DB04743,MESH:D002779
DB04743,MESH:D006976
DB04743,MESH:D000799
DB04743,MESH:D011297
DB04743,MESH:D004802
DB04743,MESH:D005767
DB04743,MESH:D065631
DB04743,MESH:D006505
DB04743,MESH:D007565
DB04743,MESH:D007249
DB04743,MESH:D008107
DB04743,MESH:D004487
DB04743,MESH:D003875
DB04743,MESH:D015746
DB04743,MESH:D017380
DB04743,MESH:D051437
DB04743,MESH:D017093
DB04743,MESH:D012640
DB04743,MESH:D009336
DB00288,MESH:D011537
DB00288,MESH:D005076
DB00288,MESH:D012871
DB00288,MESH:D014581
DB00288,MESH:D003877
DB00288,MESH:D017449
DB14184,MESH:D003877
DB14184,MESH:D010146
DB14184,MESH:D003371
DB14184,MESH:D006930
DB14184,MESH:D004890
DB14184,MESH:D012678
DB14184,MESH:D006470
DB14184,MESH:D002471
DB14184,MESH:D004487
DB14184,MESH:D006967
DB14184,MESH:D014581
DB14184,MESH:D017449
DB09414,MESH:C565891
DB09413,MESH:C565891
DB00896,MESH:D009798
DB01399,MESH:D006973
DB01551,MESH:D003248
DB01551,MESH:D015746
DB01551,MESH:D058186
DB01551,MESH:D010149
DB01551,MESH:D009325
DB01551,MESH:D012804
DB01551,MESH:D062787
DB01551,MESH:D006212
DB01551,MESH:D053608
DB01551,MESH:D006261
DB01551,MESH:D006930
DB01551,MESH:D004244
DB01551,MESH:D014839
DB00754,MESH:D006528
DB00754,MESH:D013964
DB00865,MESH:D019966
DB00449,MESH:D006973
DB00449,MESH:D016510
DB00449,MESH:D020246
DB14212,MESH:D001724
DB14212,MESH:D047928
DB14212,MESH:D004065
DB14212,MESH:D017449
DB14212,MESH:D049188
DB14212,MESH:D007247
DB14212,MESH:D001289
DB14212,MESH:D005124
DB14212,MESH:D004487
DB14212,MESH:D000015
DB02925,MESH:D034381
DB02925,MESH:D011141
DB12278,MESH:D002375
DB01294,MESH:D013651
DB13943,MESH:D015430
DB13943,MESH:D019964
DB13943,MESH:D005234
DB00385,MESH:D009202
DB14533,MESH:D009336
DB14533,MESH:D049188
DB00964,MESH:D004342
DB00964,MESH:D015878
DB00964,MESH:D053609
DB00964,MESH:D003229
DB00964,MESH:D004774
DB00964,MESH:D003244
DB00964,MESH:D064420
DB00964,MESH:D014786
DB00964,MESH:D001919
DB00964,MESH:D014987
DB00964,MESH:D003316
DB00964,MESH:D007022
DB00964,MESH:D006732
DB00964,MESH:D015814
DB00964,MESH:D012131
DB01419,MESH:D001744
DB04574,MESH:D001943
DB00957,MESH:D002542
DB13136,MESH:D012871
DB13136,MESH:D009400
DB13136,MESH:D005334
DB13136,MESH:D058186
DB13136,MESH:D009395
DB13136,MESH:D004342
DB13136,MESH:D008107
DB13136,MESH:D004802
DB13136,MESH:D004417
DB13136,MESH:D006417
DB13136,MESH:D007674
DB13136,MESH:D011507
DB13136,MESH:D000419
DB13136,MESH:D013921
DB13136,MESH:D008206
DB13136,MESH:D006470
DB13136,MESH:D002779
DB13136,MESH:D003873
DB13136,MESH:D056486
DB14206,MESH:D048629
DB14206,MESH:D003638
DB14206,MESH:D008569
DB14206,MESH:D010523
DB14206,MESH:D009336
DB14206,MESH:D009202
DB14206,MESH:D000860
DB14206,MESH:D051437
DB14206,MESH:D017449
DB14206,MESH:D005911
DB14206,MESH:D007003
DB14206,MESH:D006311
DB14206,MESH:D050171
DB14206,MESH:D011658
DB14206,MESH:D001008
DB14206,MESH:D009668
DB14206,MESH:D011297
DB14206,MESH:D006965
DB14206,MESH:D055370
DB14206,MESH:D020260
DB14206,MESH:D001766
DB14206,MESH:D056486
DB14206,MESH:D019457
DB14206,MESH:D001284
DB14206,MESH:D020258
DB14206,MESH:D007249
DB14206,MESH:D001836
DB14206,MESH:D002534
DB14649,MESH:D003866
DB14502,MESH:D002114
DB14502,MESH:D009202
DB09449,MESH:D002114
DB09449,MESH:D009202
DB14198,MESH:D017449
DB14198,MESH:D003876
DB09496,MESH:D017449
DB09496,MESH:D003876
DB11678,MESH:D020246
DB11678,MESH:D064420
DB11678,MESH:D006402
DB01201,MESH:D056486
DB01583,MESH:D006973
DB01583,MESH:D006332
DB11186,MESH:D002375
DB09555,MESH:D008582
DB09555,MESH:D056486
DB09555,MESH:D000743
DB09555,MESH:D010409
DB14083,MESH:D003092
DB14083,MESH:D001008
DB14083,MESH:D009135
DB14083,MESH:D015430
DB14083,MESH:D009336
DB14083,MESH:D004681
DB09064,MESH:D002779
DB09064,MESH:D012206
DB09064,MESH:D008175
DB09064,MESH:D008113
DB09064,MESH:D006528
DB09064,MESH:D011230
DB09064,MESH:D056486
DB09064,MESH:D007674
DB09064,MESH:D006529
DB09064,MESH:D009362
DB03614,MESH:D008114
DB03614,MESH:D001201
DB03614,MESH:D002279
DB14186,MESH:D017449
DB01282,MESH:D014839
DB01282,MESH:D006473
DB01282,MESH:D015746
DB01282,MESH:D018457
DB01282,MESH:D014652
DB13257,MESH:D007249
DB13257,MESH:D009410
DB13257,MESH:D001778
DB14187,MESH:D003877
DB14187,MESH:D017449
DB00972,MESH:D013651
DB00972,MESH:D002819
DB00972,MESH:D006970
DB00972,MESH:D016464
DB00972,MESH:D008064
DB00972,MESH:D012640
DB09118,MESH:D006948
DB09118,MESH:D011297
DB00261,MESH:D020246
DB00261,MESH:D006333
DB00261,MESH:D009202
DB00261,MESH:D006470
DB08964,MESH:D005313
DB08964,MESH:D006470
DB08964,MESH:D001919
DB08964,MESH:D000787
DB08964,MESH:D012770
DB08964,MESH:D014474
DB08964,MESH:D003967
DB08964,MESH:D020521
DB08964,MESH:D014839
DB08964,MESH:D009203
DB08964,MESH:D014592
DB08964,MESH:D002318
DB08964,MESH:D012640
DB08964,MESH:D011248
DB08964,MESH:D015746
DB01600,MESH:D003556
DB01600,MESH:D003875
DB01600,MESH:D056486
DB01600,MESH:D014581
DB14539,MESH:D007690
DB14539,MESH:D004108
DB14539,MESH:D009133
DB14539,MESH:D020300
DB14539,MESH:D014693
DB14539,MESH:D001014
DB14539,MESH:D006973
DB11921,MESH:D015430
DB09225,MESH:D017109
DB09225,MESH:D020246
DB09225,MESH:D001480
DB09225,MESH:D002375
DB09129,MESH:D017449
DB09129,MESH:D011297
DB11056,MESH:D009336
DB09123,MESH:D003866
DB09123,MESH:D006261
DB09123,MESH:D014839
DB09123,MESH:D009325
DB09123,MESH:D004412
DB09123,MESH:D001941
DB09123,MESH:D015430
DB00697,MESH:D006333
DB00697,MESH:D007022
DB00697,MESH:D001247
DB00697,MESH:D008107
DB00697,MESH:D001919
DB00697,MESH:D002637
DB00697,MESH:D005767
DB00697,MESH:D006970
DB01218,MESH:D008064
DB01218,MESH:D016464
DB01218,MESH:D029597
DB01218,MESH:D008133
DB01218,MESH:D016171
DB01218,MESH:D001145
DB13872,MESH:D006606
DB13872,MESH:D011596
DB13872,MESH:D008569
DB01073,MESH:D015275
DB01073,MESH:D017114
DB01073,MESH:D016609
DB01073,MESH:D010523
DB01073,MESH:D013921
DB01073,MESH:D019046
DB01073,MESH:D013262
DB01073,MESH:D058186
DB01073,MESH:D002493
DB01073,MESH:D006509
DB01073,MESH:D004198
DB01073,MESH:D018487
DB01073,MESH:D007239
DB06816,MESH:D008064
DB06816,MESH:D016464
DB09270,MESH:D003865
DB09270,MESH:D015430
DB09269,MESH:D003128
DB09269,MESH:D007676
DB09269,MESH:D020181
DB09269,MESH:D053609
DB09269,MESH:D000855
DB11994,MESH:D014581
DB11994,MESH:D003875
DB04948,MESH:D008133
DB04948,MESH:D007022
DB04948,MESH:D001919
DB07565,MESH:D000740
DB07565,MESH:D005767
DB07565,MESH:D007970
DB07565,MESH:D064420
DB07565,MESH:D003638
DB07565,MESH:D014839
DB07565,MESH:D012131
DB07565,MESH:D004802
DB07565,MESH:D009503
DB04221,MESH:D011014
DB04221,MESH:D011654
DB04221,MESH:D005497
DB04221,MESH:D011658
DB04221,MESH:D007249
DB04221,MESH:D001284
DB04221,MESH:D055370
DB05260,MESH:D009901
DB05260,MESH:D012607
DB09070,MESH:D015430
DB09070,MESH:D020521
DB09055,MESH:D007333
DB01353,MESH:D058186
DB11431,MESH:D010243
DB14201,MESH:D017449
DB14110,MESH:D056486
DB14110,MESH:D001259
DB14110,MESH:D005234
DB14110,MESH:D002418
DB14110,MESH:D005141
DB14110,MESH:D007003
DB14110,MESH:D017449
DB14110,MESH:D007662
DB00733,MESH:D014786
DB00733,MESH:D004830
DB09380,MESH:D019457
DB09380,MESH:D006030
DB09380,MESH:D007674
DB09380,MESH:D000608
DB14669,MESH:D014012
DB14669,MESH:D000309
DB14669,MESH:D034381
DB13154,MESH:D009069
DB13154,MESH:D002869
DB03766,MESH:D019956
DB03766,MESH:D004342
DB03766,MESH:D001321
DB03766,MESH:D001008
DB03766,MESH:D011595
DB14141,MESH:D051437
DB14141,MESH:D017449
DB14141,MESH:D002869
DB14141,MESH:D012206
DB14141,MESH:D009336
DB14141,MESH:D000799
DB14141,MESH:D048629
DB14141,MESH:D003877
DB09131,MESH:D014202
DB09131,MESH:D010243
DB09131,MESH:D056486
DB09131,MESH:D006461
DB09131,MESH:D006527
DB09131,MESH:D003072
DB09131,MESH:D008659
DB09131,MESH:D001008
DB09131,MESH:D019457
DB09131,MESH:D012640
DB09131,MESH:D001259
DB09131,MESH:D009410
DB09131,MESH:D009336
DB09131,MESH:D048629
DB09131,MESH:D000544
DB09131,MESH:D019954
DB14180,MESH:D000857
DB14180,MESH:D002471
DB14180,MESH:D003877
DB14180,MESH:D055371
DB14180,MESH:D015430
DB14180,MESH:D055370
DB14180,MESH:D015431
DB14180,MESH:D018476
DB14180,MESH:D006967
DB14180,MESH:D017449
