drugbank,disease_mesh
DB12001,MESH:D001749
DB12001,MESH:D064726
DB12001,MESH:D001943
DB12130,MESH:D002289
DB12130,MESH:D009374
DB12130,MESH:D009362
DB12130,MESH:D005909
DB12130,MESH:D001932
DB12455,MESH:D017714
DB12455,MESH:D013207
DB12455,MESH:D001442
DB12455,MESH:D018461
DB12455,MESH:D011023
DB12455,MESH:D007710
DB12455,MESH:D014552
DB12455,MESH:D013203
DB12455,MESH:D011008
DB12455,MESH:D006192
DB12455,MESH:D010930
DB12455,MESH:D003015
DB12455,MESH:D011018
DB12455,MESH:D004927
DB12455,MESH:D000881
DB12455,MESH:D045828
DB12455,MESH:D018410
DB11817,MESH:D001172
DB11817,MESH:D000086382
DB09330,MESH:D002289
DB12147,MESH:D002295
DB11703,MESH:D012128
DB11703,MESH:D000086382
DB11703,MESH:D000860
DB14761,MESH:D006524
DB14761,MESH:D018702
DB14761,MESH:D019142
DB14761,MESH:D045464
DB14761,MESH:D045169
DB14761,MESH:D018184
DB14761,MESH:D018186
DB14761,MESH:D012131
DB14761,MESH:D003333
DB14761,MESH:D018352
DB14761,MESH:D000086382
DB13125,MESH:D001791
DB11791,MESH:D056486
DB09293,MESH:D013964
DB11191,MESH:D005128
DB11191,MESH:D010612
DB11191,MESH:D000749
DB11191,MESH:D010523
DB11191,MESH:D010292
DB13063,MESH:D006968
DB13063,MESH:D001943
DB13063,MESH:D053201
DB13063,MESH:D009389
DB13063,MESH:D011471
DB13063,MESH:D009369
DB13063,MESH:D007249
DB13063,MESH:D013274
DB00360,MESH:D024821
DB00360,MESH:D001321
DB06753,MESH:D001008
DB13153,MESH:D009203
DB01161,MESH:D010146
DB00606,MESH:D006973
DB13944,MESH:D019247
DB13944,MESH:D007006
DB13944,MESH:D013733
DB13944,MESH:D007172
DB15594,MESH:D000690
DB15594,MESH:D012640
DB15594,MESH:D009336
DB15594,MESH:D013119
DB00924,MESH:D013035
DB00924,MESH:D005356
DB00924,MESH:D010146
DB00924,MESH:D001416
DB01231,MESH:D010842
DB00226,MESH:D006973
DB00340,MESH:D010302
DB00892,MESH:D010146
DB01121,MESH:D012640
DB01062,MESH:D053201
DB01062,MESH:D014549
