uniprot,disease_mesh
P04217,MESH:D012559
P04217,MESH:D006529
P01023,MESH:D009404
P01023,MESH:D008106
P01023,MESH:D006528
P01023,MESH:D003110
P01023,MESH:D018248
P01023,MESH:D008103
P01023,MESH:D008171
P01023,MESH:D058186
P01023,MESH:D006527
P01023,MESH:D000544
P01023,MESH:D008175
P18440,MESH:D009783
P18440,MESH:D009369
P18440,MESH:D001749
P18440,MESH:D002869
P18440,MESH:D011471
P18440,MESH:D064420
P11245,MESH:D056486
P11245,MESH:D008113
P11245,MESH:D011471
P11245,MESH:D009436
P11245,MESH:D001943
P11245,MESH:D064420
P11245,MESH:D054198
P11245,MESH:D000086002
P11245,MESH:D009783
P11245,MESH:D003324
P11245,MESH:D001749
P11245,MESH:D004342
P11245,MESH:D006528
P11245,MESH:D007970
P01011,MESH:D008064
P01011,MESH:D011471
P22760,MESH:D008106
Q16613,MESH:D020178
P49588,MESH:C567653
P49588,OMIM:616339
P80404,MESH:D001321
P80404,MESH:D020022
P80404,MESH:C535407
P80404,MESH:D011596
P80404,MESH:D012640
P80404,MESH:D012021
P80404,MESH:D053609
P80404,MESH:D008106
P80404,MESH:D009123
P80404,MESH:D005764
O95477,MESH:D006938
O95477,MESH:D015179
O95477,MESH:D006937
O95477,MESH:D052456
O95477,MESH:D050197
O95477,MESH:C538394
O95477,MESH:D007676
O95477,MESH:D010523
O95477,MESH:D013631
Q99758,MESH:C567046
Q99758,MESH:D006976
Q99758,MESH:D004646
Q99758,MESH:D015179
Q99758,MESH:D011658
O75027,MESH:C536358
O75027,MESH:D001259
O75027,MESH:D000756
Q8NE71,MESH:D018450
Q8NE71,MESH:D011014
Q8NE71,MESH:D006967
P78363,MESH:D008268
P78363,MESH:C565827
P78363,MESH:D000080362
P78363,MESH:D012174
P78363,MESH:D000080345
P78363,MESH:C562479
P78363,MESH:D002971
P78363,MESH:D015179
P78363,MESH:C566637
P00519,MESH:D004938
P00519,MESH:D054198
P00519,MESH:D006330
P00519,MESH:D009139
P00519,MESH:D009374
P00519,MESH:D001943
P00519,MESH:D005183
P00519,MESH:D063646
P00519,MESH:D001848
P00519,MESH:D015464
P00519,MESH:D000230
P00519,MESH:D011230
P00519,MESH:D008113
P19801,MESH:D006332
P19801,MESH:D006973
P16442,MESH:D010190
P16442,MESH:D012131
P16442,MESH:D016638
P16442,MESH:D000077216
P16442,MESH:D003324
P16442,MESH:D020521
P16442,MESH:D011471
P16442,MESH:D000086382
P16442,MESH:D004381
P16442,MESH:D000076385
Q12979,MESH:D011471
Q13085,MESH:C562678
Q13085,MESH:D006333
Q13085,MESH:D006528
O00763,MESH:D009765
O00763,MESH:D007333
P11310,MESH:D015430
P11310,MESH:C536038
P11310,MESH:D017093
P11310,MESH:D009765
P11310,MESH:D020345
P16219,MESH:C537596
P16219,MESH:D006333
P45954,MESH:D001321
P45954,MESH:C566487
P49748,MESH:C536353
P49748,MESH:D000860
P24752,MESH:D012640
P24752,MESH:D008106
P24752,MESH:C535434
P24752,MESH:D007676
Q9BWD1,MESH:C536005
Q16515,MESH:D007249
Q16515,MESH:D001321
P78348,MESH:D001930
P78348,MESH:D007249
P78348,MESH:D002545
P22303,MESH:D006130
P22303,MESH:D019969
P22303,MESH:D000740
P22303,MESH:D062025
P22303,MESH:D001749
P22303,MESH:D002292
P22303,MESH:D011041
P22303,MESH:D011471
P22303,MESH:D008106
P22303,MESH:D008569
P22303,MESH:D049188
