uniprot,disease_mesh
P22303,MESH:D064420
P22303,MESH:D062025
P22303,MESH:D012640
P22303,MESH:D014202
P00813,MESH:D006940
O95622,MESH:D005355
O95622,MESH:D018487
P18509,MESH:D009202
P18509,MESH:D020258
P18509,MESH:D053201
P35318,MESH:D006943
P35318,MESH:D007333
P35318,MESH:D013276
P35318,MESH:D011085
P30542,MESH:D009203
P30542,MESH:D009410
P30542,MESH:D002546
P30542,MESH:D002375
P30542,MESH:D020244
P29274,MESH:D015427
P29274,MESH:D009202
P29274,MESH:D006948
P29275,MESH:D015427
P0DMS8,MESH:D009203
P09874,MESH:D011654
P09874,MESH:D002471
P08913,MESH:D004827
P08913,MESH:D006332
P08913,MESH:D005355
P07550,MESH:D014202
P25098,MESH:D009202
P02771,MESH:D008325
P02771,MESH:D001943
P01019,MESH:D007022
P01019,MESH:D001002
P01019,MESH:D013927
P01019,MESH:D062787
P01019,MESH:D002375
P01019,MESH:D018149
P01019,MESH:D003928
P01019,MESH:D017379
P01019,MESH:D004719
P01019,MESH:D000471
P01019,MESH:D011014
P01019,MESH:D015428
P01019,MESH:D006973
P01019,MESH:D001145
P01019,MESH:D011658
P01019,MESH:D011507
P01019,MESH:D007008
P01019,MESH:D001919
P01019,MESH:D006332
P35869,MESH:D003092
P35869,MESH:D018149
P35869,MESH:D006529
P35869,MESH:D009362
P35869,MESH:D009361
P35869,MESH:D055370
P35869,MESH:D010190
P31749,MESH:D009133
P31749,MESH:D004827
P31749,MESH:D008175
P02768,MESH:D013262
P02768,MESH:D020521
P02768,MESH:D017114
P02768,MESH:D058186
P02768,MESH:D003928
P02768,MESH:D010146
P02768,MESH:D053713
P02768,MESH:D012128
P02768,MESH:D002545
P02768,MESH:D009135
P02768,MESH:D006973
P05091,MESH:D018754
P05091,MESH:D048909
P05091,MESH:D006335
P09917,MESH:D015464
P16050,MESH:D050197
P05186,MESH:D012640
P02760,MESH:D002295
P02760,MESH:D058186
P02760,MESH:D009361
Q15389,MESH:D009410
Q15389,MESH:D018805
Q15389,MESH:D005911
Q15389,MESH:D020879
Q15389,MESH:D006984
P12235,MESH:D058065
P04083,MESH:D007674
P04083,MESH:D013272
P08758,MESH:D011225
P98170,MESH:D008325
O15392,MESH:D003110
O15392,MESH:D008175
O15392,MESH:D006528
O15392,MESH:D015464
O15392,MESH:D002292
O15392,MESH:D007947
O15392,MESH:D010051
P02647,MESH:D003643
P02647,MESH:D007249
P02647,MESH:D055371
P02647,MESH:D058065
P02647,MESH:D004487
P06727,MESH:D050197
P04114,MESH:D050171
P05090,MESH:D019636
P05067,MESH:D005600
P48023,MESH:D011471
P48023,MESH:D008545
P41181,MESH:D018500
O43315,MESH:D007938
O43315,MESH:D015470
P10275,MESH:D011471
P10275,MESH:D006528
P10398,MESH:D001943
P15514,MESH:D002294
P15514,MESH:D010051
P15514,MESH:D001943
P15514,MESH:D013274
P08842,MESH:D015430
P08842,MESH:D005234
P08842,MESH:D007249
P08842,MESH:D003921
P08842,MESH:D007333
P08842,MESH:D009765
P50553,MESH:D055371
P00966,MESH:D003925
P01008,MESH:D013927
P01008,MESH:D001930
P01008,MESH:D004211
P01008,MESH:D054058
P18847,MESH:D009202
P18847,MESH:D010051
O00244,MESH:D006973
P05023,MESH:D009203
P05023,MESH:D015428
P16615,MESH:D018487
P01185,MESH:D010146
P01185,MESH:D062787
P01185,MESH:D008569
P01185,MESH:D006975
P01185,MESH:D011141
P01185,MESH:D006471
P01185,MESH:D000647
P01185,MESH:D012769
P01185,MESH:D007022
P01185,MESH:D003681
P30530,MESH:D002289
P61769,MESH:D006942
P61769,MESH:D001327
Q07812,MESH:D009410
Q07812,MESH:D001943
P06276,MESH:D062025
P06276,MESH:D009765
P06276,MESH:D003643
P06276,MESH:D003072
P06276,MESH:D012640
P06276,MESH:D066126
P06276,MESH:D020258
P06276,MESH:D001049
P06276,MESH:D011041
P06276,MESH:D019970
P06276,MESH:D013610
P06276,MESH:D006948
P24385,MESH:D002471
P10415,MESH:D013584
P10415,MESH:D015427
P10415,MESH:D012983
P10415,MESH:D005706
P10415,MESH:D012162
P10415,MESH:D009410
P10415,MESH:D009336
Q07817,MESH:D013274
Q07817,MESH:D034381
Q07817,MESH:D006528
P30411,MESH:D004833
P23560,MESH:D007249
P23560,MESH:D009422
P23560,MESH:D001930
P23560,MESH:D009410
P23560,MESH:D019970
P23560,MESH:D005911
P23560,MESH:D012640
P23560,MESH:D003638
P23560,MESH:D003866
O75626,MESH:D055371
P12643,MESH:D001847
P12643,MESH:D050723
P12643,MESH:C535682
P12643,MESH:D066126
P12643,MESH:D011297
P18075,MESH:D050723
P18075,MESH:D001862
P18075,MESH:D011658
P18075,MESH:D005264
P18075,MESH:D008106
P38398,MESH:D009369
P35613,MESH:D016778
P35613,MESH:D000086382
Q13887,MESH:D013964
Q06187,MESH:D000361
P05155,MESH:D054179
P05155,MESH:C538173
Q00975,MESH:D010523
P06881,MESH:D020426
P06881,MESH:D006948
P06881,MESH:D006930
P06881,MESH:D006934
P06881,MESH:D006973
P06881,MESH:D014947
P06881,MESH:D006976
P01258,MESH:D020426
P01258,MESH:D006948
P01258,MESH:D006930
P01258,MESH:D006934
P01258,MESH:D006973
P01258,MESH:D014947
P01258,MESH:D006976
P30988,MESH:D006934
P27797,MESH:D015179
P27797,MESH:D008546
P07384,MESH:D009369
P17655,MESH:D003072
P20810,MESH:D009336
P20810,MESH:D017114
Q14790,MESH:D054198
P04040,MESH:D009361
P04040,MESH:D003921
P04040,MESH:D003922
P04040,MESH:D015428
P04040,MESH:D006940
P04040,MESH:D013226
P04040,MESH:D015427
P04040,MESH:D007022
P04040,MESH:D009203
P04040,MESH:D018450
