uniprot,uniprot2
Q02790,P53041
P11233,Q15311
Q9H1B5,Q9UBV7
Q8TDY2,P60520
P13569,P25789
P01730,Q13094
Q9H1B5,P07585
Q9UBV7,P07585
Q9P2E5,P07585
P20645,Q15836
P07992,P35250
P82664,P82673
Q13094,P20273
P25789,P43686
P13569,P43686
P28799,P19438
Q9Y4K4,P19438
O14641,Q15173
P20273,P15907
Q9BZR6,P08138
P47872,P09683
P82673,P82930
P82664,P82930
Q9GZP9,Q96DZ1
P13569,Q96DZ1
P82673,Q13084
P82930,Q13084
P82664,Q13084
O60306,Q9NW64
P26006,P16144
Q9BQI3,O75807
Q9H6T3,Q9NUG6
P11233,Q2PPJ7
O95168,P31930
Q7KZN9,P31930
O43897,Q9H2X0
P29322,P98172
P31930,P09622
Q99714,P09622
Q16654,P09622
P11597,P02749
P25789,Q99741
P35250,Q99741
P43686,Q99741
Q14145,Q9Y2M5
P13569,Q16401
P25789,Q16401
Q99741,Q16401
P43686,Q16401
P07327,Q16772
P11233,O15264
Q15654,P18206
Q9HBL0,P18206
Q99741,P48556
Q16401,P48556
P13569,P48556
P43686,P48556
P25789,P48556
Q15836,P61266
P98172,O43921
P29322,O43921
O95168,P17568
P31930,P17568
O15264,P53778
P11233,P53778
P61266,O95721
Q15836,O95721
Q9Y2M5,Q8N653
Q14145,Q8N653
P04233,P14174
O60306,Q15459
Q9NW64,Q15459
Q9NRG9,P62318
Q8N8D1,P62318
O60306,P62318
Q15459,P62318
Q9NW64,P62318
Q15173,P28482
Q9HCT0,P28482
Q9NP95,P28482
P53041,P28482
P08620,P28482
P53778,P28482
Q02790,P28482
P18206,P28482
O15264,P28482
Q9NZ01,Q9NS69
Q15173,P17861
Q99741,P33992
P53778,Q15750
P19438,Q15750
O15264,Q15750
Q9UMW8,Q15750
Q3SYC2,Q9NST1
P11233,P35579
P28482,P14784
Q8N653,P62877
P49427,P62877
Q14145,P62877
Q9Y2M5,P62877
P01730,P62877
Q15459,Q7RTV0
O60306,Q7RTV0
P62318,Q7RTV0
Q9NW64,Q7RTV0
Q8N8D1,Q7RTV0
Q9NS69,Q99798
P11217,Q9Y572
P19438,Q9Y572
Q99741,P56282
P33992,P56282
P35250,P56282
P11217,P06737
Q9Y572,P06737
P30049,Q9Y5K8
Q9BRB3,Q14442
Q16401,P25788
Q99741,P25788
P48556,P25788
P13569,P25788
P25789,P25788
P43686,P25788
Q16772,O43708
Q02790,O95433
P13569,O95433
O15371,P55010
P29992,P46663
P35250,P27695
Q96EB6,P27695
P51003,Q86U42
P17568,Q9BW66
P25788,P25963
P49427,P25963
P08138,P25963
P48556,P25963
P25789,P25963
Q16401,P25963
Q15750,P25963
Q9Y572,P25963
P19438,P25963
P62877,P25963
P20749,P25963
P43686,P25963
P28482,P25963
P13569,Q9UL46
P48556,Q9UL46
P25789,Q9UL46
P25788,Q9UL46
P43686,Q9UL46
Q99741,Q9UL46
P25963,Q9UL46
Q16401,Q9UL46
P25963,O14965
Q16772,P48637
Q9Y572,P11216
P06737,P11216
P11217,P11216
Q86U42,Q05048
P51003,Q05048
Q7L8A9,Q9H4B7
Q9NSC7,Q05639
Q14166,Q05639
Q9Y5B9,P68400
P25963,P68400
Q96EB6,P68400
O14641,P68400
P53778,Q13424
P60520,Q9H444
Q9H4B7,Q9H444
P13569,Q9H444
P13725,P18428
P48556,O43396
P35579,P19105
P18206,P19105
P98172,P19105
Q99798,P51553
Q9NS69,P51553
P13569,O75832
P48556,O75832
P25963,O75832
Q9UL46,O75832
Q99741,O75832
Q14145,O75832
P25789,O75832
Q16401,O75832
P43686,O75832
P25788,O75832
O00204,P08842
Q8WUI4,O60907
Q96RU7,O60907
Q96S59,P51784
P25963,P51784
P19438,P01033
P18428,P01033
P13725,P01033
P15289,P06280
Q13424,Q13326
P27695,P78549
P18428,P08253
P13725,P08253
P01033,P08253
P98172,P08253
P07585,P08253
P24347,P08253
P56282,Q9Y5N6
P33992,Q9Y5N6
Q99741,Q9Y5N6
Q9NPJ8,P61970
O00626,Q92583
Q9Y5B9,P19387
P62318,P19387
Q03167,Q9NPB6
O14641,Q9NPB6
Q9BRR8,Q9BQ65
Q99741,P51665
P13569,P51665
P25789,P51665
O43396,P51665
P48556,P51665
Q9UL46,P51665
Q16401,P51665
O75832,P51665
P25788,P51665
P43686,P51665
P25963,P51665
P19438,Q9NY59
Q8TCT0,Q9NY59
Q9NZ20,Q8NCC3
Q9Y5L4,Q9NRP2
P08138,Q99819
P27695,P29372
P28482,P49815
Q96EB6,P49815
Q13232,O00746
O14734,Q9NUI1
Q9Y572,Q9UNE7
P13569,Q9UNE7
P25788,Q9UNE7
P41181,O94778
Q9UGB7,O14735
Q14442,O14735
Q9BRB3,O14735
Q9Y216,O14735
Q969R5,Q8IWI9
O94778,O43315
P41181,O43315
P28482,P41240
Q99952,P41240
Q9HBL0,P41240
P18206,P41240
P01730,P41240
P11586,Q96DP5
P04233,P09668
Q8N3F8,Q9H223
P10645,Q8WXD2
Q99819,Q96L33
Q15654,O43482
Q9NSP4,O43482
P17861,O43909
Q99714,Q9UKV8
Q9NRG9,Q9UKV8
Q02790,Q9UKV8
P41240,Q9NWQ8
P01730,Q9NWQ8
Q16533,Q9HAW0
P08138,O43353
P53778,O43353
Q15654,O43353
Q15750,O43353
O15264,O43353
P33897,Q8TB36
O15371,P60228
P55010,P60228
P56282,Q9NRG0
Q9Y216,Q96QG7
O96015,O00399
Q02790,O00399
Q16772,P00390
P48637,P00390
P01730,O00220
Q9Y572,O00220
Q8WZ74,P62714
P28482,P62714
O75807,P62714
O14641,P62714
Q15173,P62714
O15264,P07197
P53778,P07197
O00178,Q9NQT4
Q9Y5B9,Q8N7H5
P19387,Q8N7H5
Q9NUI1,Q13011
O14734,Q13011
P25963,Q01201
P20749,Q01201
Q9H598,Q9P2U7
O60306,Q15428
Q7RTV0,Q15428
Q15459,Q15428
P62318,Q15428
Q9NW64,Q15428
Q9H2X0,P03971
P60520,Q9HA65
Q16533,Q13487
Q08477,P78329
Q9UNQ2,P22087
Q9NQT4,P22087
Q9H4B7,Q99426
Q8N7H5,P36954
Q9Y5B9,P36954
P07992,P36954
P19387,P36954
P07585,P01137
Q9NPB6,P01137
Q15750,P01137
P01033,P01137
P28482,P01137
P13725,P01137
O75807,P01137
Q03167,P01137
P08253,P01137
P18428,P01137
P20645,O60664
Q15836,O60664
Q9H444,O60664
P41240,P11912
P20273,P11912
Q9NWQ8,P11912
O60907,Q06520
Q02790,Q16543
P53041,Q16543
Q9UNE7,Q16543
O95433,Q16543
